recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.005466194,-0.136187012,0.075139930,-0.158979894,0.843396999,0.078705743,0.507161074,254668.080357500
40,254668111694041,0.005364384,-0.141255856,0.074126344,-0.158501207,0.843701142,0.079074858,0.506747442,254668.113694041
41,254668145030541,0.005159537,-0.146322865,0.073087885,-0.157692135,0.844011360,0.078664773,0.506547057,254668.147030541
42,254668178367083,0.004763834,-0.153278100,0.071430533,-0.157765895,0.844376569,0.078671962,0.505913933,254668.180367083
43,254668211703541,0.004711433,-0.158446769,0.070103484,-0.157965602,0.844951498,0.078938845,0.504849033,254668.213703541
44,254668245040125,0.004863620,-0.163634069,0.068775721,-0.158597306,0.845691583,0.079296480,0.503353516,254668.247040125
45,254668278376708,0.001868727,-0.170514594,0.067635793,-0.159147089,0.846080921,0.079797982,0.502445632,254668.280376708
46,254668311713250,0.001749756,-0.175649937,0.066809338,-0.158948474,0.846102321,0.080714373,0.502326078,254668.313713250
47,254668345049666,0.001580147,-0.180643756,0.066383651,-0.159712681,0.845399427,0.081905238,0.503073805,254668.347049666
48,254668378386291,0.001704113,-0.187054377,0.066014847,-0.162082454,0.844328582,0.083742237,0.503811289,254668.380386291
49,254668411722791,0.001729222,-0.191619125,0.065938935,-0.163730350,0.843982038,0.083989871,0.503817871,254668.413722791
50,254668445059375,0.001764349,-0.195933054,0.065812499,-0.165663065,0.843719132,0.083457829,0.503714820,254668.447059375
51,254668478395833,0.001838950,-0.201453207,0.065815380,-0.168005134,0.843914377,0.083156470,0.502660775,254668.480395833
52,254668511732416,0.002001594,-0.205482732,0.065362959,-0.170067348,0.843997463,0.082420176,0.501948551,254668.513732416
53,254668545068916,0.002167029,-0.209390856,0.064557768,-0.171675071,0.844396549,0.082103395,0.500780614,254668.547068916
54,254668578405500,0.002612146,-0.214346766,0.063284383,-0.172702417,0.845838627,0.081216686,0.498131304,254668.580405500
55,254668611741875,0.003195577,-0.218233842,0.061733447,-0.173846680,0.847072545,0.081097420,0.495649772,254668.613741875
56,254668645078458,0.003894226,-0.222058604,0.059930384,-0.175191042,0.848827757,0.081076844,0.492164745,254668.647078458
57,254668678414916,0.004368442,-0.226866030,0.058209359,-0.175886339,0.850608884,0.078343200,0.489275913,254668.680414916
58,254668711751458,0.004446888,-0.230739766,0.057158441,-0.176220079,0.850798285,0.077534333,0.488955256,254668.713751458
59,254668745088000,0.004363557,-0.234757961,0.056537393,-0.177296825,0.850238202,0.077878571,0.489485257,254668.747088000
60,254668778424458,0.004764544,-0.240114766,0.055493386,-0.179347549,0.849825795,0.078837721,0.489300769,254668.780424458
61,254668811761083,0.004680873,-0.244130533,0.055110277,-0.179956131,0.849844708,0.078255221,0.489137952,254668.813761083
62,254668845097625,0.004522340,-0.248112665,0.054796501,-0.181197068,0.849468139,0.077718770,0.489419400,254668.847097625
63,254668878434083,0.012912884,-0.238365943,0.064041153,-0.183045370,0.849562097,0.079445373,0.488289998,254668.880434083
64,254668911770625,0.013124506,-0.241932575,0.063939318,-0.183810344,0.849244167,0.080799104,0.488333555,254668.913770625
65,254668945107041,0.013484903,-0.246837328,0.063492827,-0.184710251,0.848625386,0.081622624,0.488932385,254668.947107041
