recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.003930885,-0.125826096,0.067305978,-0.158340310,0.843388372,0.078003189,0.507483947,254668.088357500
40,254668111694041,0.003727159,-0.132101298,0.065878736,-0.157546397,0.843847775,0.078225687,0.506932797,254668.121694041
41,254668145030541,0.003484291,-0.136816226,0.064763129,-0.156941433,0.844093983,0.077842518,0.506769504,254668.155030541
42,254668178367083,0.003257239,-0.141673166,0.063461700,-0.157128355,0.844370309,0.078060306,0.506217447,254668.188367083
43,254668211703541,0.003250381,-0.148072819,0.061665083,-0.157522385,0.845197233,0.078417164,0.504657445,254668.221703541
44,254668245040125,0.003477788,-0.152877450,0.060328589,-0.158303829,0.845887026,0.079027033,0.503159833,254668.255040125
45,254668278376708,0.002432155,-0.161665146,0.063385204,-0.158683101,0.846179054,0.079425880,0.502486084,254668.288376708
46,254668311713250,0.002409708,-0.168163042,0.062484251,-0.158577580,0.846001654,0.080703953,0.502614442,254668.321713250
47,254668345049666,0.002406536,-0.172833237,0.062244651,-0.159767935,0.845105778,0.082115373,0.503515193,254668.355049666
48,254668378386291,0.002640554,-0.177353042,0.062044734,-0.161511278,0.844466047,0.083403945,0.503820443,254668.388386291
49,254668411722791,0.002864358,-0.183059516,0.062049543,-0.163821323,0.844021939,0.083475800,0.503806893,254668.421722791
50,254668445059375,0.003053052,-0.187057155,0.061983360,-0.165752323,0.843850503,0.082989112,0.503542804,254668.455059375
51,254668478395833,0.003312686,-0.190811029,0.062152619,-0.167484465,0.843994104,0.082890321,0.502744621,254668.488395833
52,254668511732416,0.003793051,-0.195814136,0.061601901,-0.170198502,0.844162141,0.082059458,0.501686205,254668.521732416
53,254668545068916,0.004130245,-0.199455077,0.060784238,-0.171383638,0.844826895,0.081733367,0.500214831,254668.555068916
54,254668578405500,0.004896217,-0.204040198,0.059615050,-0.172542566,0.846326199,0.080754680,0.497433174,254668.588405500
55,254668611741875,0.005747951,-0.207639733,0.058084176,-0.173756880,0.847729693,0.081002044,0.494572176,254668.621741875
56,254668645078458,0.006617279,-0.211201534,0.056427134,-0.175012294,0.849556691,0.080435515,0.491074645,254668.655078458
57,254668678414916,0.007333641,-0.215833873,0.055068840,-0.175356558,0.850875552,0.077608028,0.489119534,254668.688414916
58,254668711751458,0.007574081,-0.219498812,0.054299519,-0.175887134,0.850761116,0.077480826,0.489148253,254668.721751458
59,254668745088000,0.007730121,-0.223292695,0.053933267,-0.177261949,0.850054141,0.077845797,0.489822666,254668.755088000
60,254668778424458,0.008599721,-0.228152353,0.053501823,-0.178850675,0.850014698,0.078554567,0.489200043,254668.788424458
61,254668811761083,0.008752110,-0.231921989,0.053382474,-0.179665311,0.849946734,0.077669983,0.489160865,254668.821761083
62,254668845097625,0.008830654,-0.235618914,0.053262439,-0.181034641,0.849394582,0.077615761,0.489623477,254668.855097625
63,254668878434083,0.014033159,-0.239900645,0.064928376,-0.184073283,0.849049987,0.080728631,0.488583757,254668.888434083
64,254668911770625,0.014327077,-0.243710314,0.064844359,-0.184684279,0.848757445,0.081714608,0.488697548,254668.921770625
65,254668945107041,0.014692307,-0.247587639,0.064554880,-0.185412424,0.848249769,0.082395164,0.489188770,254668.955107041
66,254668978443541,0.015026158,-0.252490450,0.064036669,-0.185595651,0.848343336,0.083465135,0.488775473,254668.988443541
67,254669011780041,0.015574975,-0.256369629,0.063081932,-0.185582074,0.848697406,0.084706452,0.487951715,254669.021780041
68,254669045116583,0.016361358,-0.260201590,0.061788162,-0.186108433,0.848593923,0.086952746,0.487535926,254669.055116583
69,254669078453041,0.022759831,-0.269265611,0.068933755,-0.187320132,0.848948773,0.090469764,0.485811099,254669.088453041
70,254669111789583,0.023724475,-0.273002658,0.067624229,-0.187668294,0.848538983,0.091790691,0.486144760,254669.121789583
71,254669145126208,0.024888805,-0.276672412,0.066047185,-0.188165074,0.847966510,0.094282076,0.486474713,254669.155126208
72,254669178462708,0.027245910,-0.281849279,0.063392133,-0.189455332,0.846937728,0.099062785,0.486815961,254669.188462708
73,254669211799166,0.029475075,-0.285990447,0.061137213,-0.191255811,0.846260491,0.102112758,0.486659464,254669.221799166
74,254669245135625,0.032128531,-0.290267749,0.058436640,-0.192488397,0.846415236,0.104835204,0.485323705,254669.255135625
75,254669278472083,0.041039394,-0.295987799,0.054941706,-0.193243379,0.847931941,0.107561754,0.481766481,254669.288472083
76,254669311808625,0.045009079,-0.301041234,0.051404037,-0.195191076,0.848838233,0.109417035,0.478959355,254669.321808625
77,254669345145041,0.049229151,-0.305985223,0.047556268,-0.197773017,0.849887756,0.111234427,0.475608653,254669.355145041
78,254669378481666,0.058270725,-0.309637355,0.042038963,-0.201083239,0.851831442,0.112930549,0.470314225,254669.388481666
79,254669411818083,0.062952911,-0.314188318,0.037826870,-0.203181978,0.852852710,0.113984908,0.467297370,254669.421818083
80,254669445154666,0.067533651,-0.318656710,0.033597738,-0.204950719,0.852899489,0.116643305,0.465781126,254669.455154666
81,254669478491041,0.074335005,-0.322299207,0.027563886,-0.208331071,0.852609874,0.120855204,0.463733372,254669.488491041
82,254669511827666,0.079008055,-0.326663010,0.023273365,-0.209948913,0.853011214,0.123479877,0.461569167,254669.521827666
83,254669545163958,0.085461835,-0.332659401,0.017245416,-0.211278968,0.854187682,0.126801560,0.457871181,254669.555163958
84,254669578500666,0.089631877,-0.337432714,0.013229000,-0.212463801,0.855345056,0.128044517,0.454806139,254669.588500666
85,254669611837125,0.094388654,-0.342067783,0.008740673,-0.213433891,0.856668802,0.129376401,0.451471303,254669.621837125
86,254669645173666,0.100355105,-0.348232716,0.002987342,-0.214426732,0.858138846,0.129927408,0.448037744,254669.655173666
87,254669678510000,0.104129239,-0.353341742,-0.000610388,-0.215064200,0.858131033,0.131454083,0.447301238,254669.688510000
88,254669711846666,0.107892654,-0.357750765,-0.004394750,-0.215373011,0.857574561,0.133476030,0.447620979,254669.721846666
89,254669745183041,0.112587092,-0.363298206,-0.009147392,-0.216482578,0.857034302,0.136472540,0.447216724,254669.755183041
90,254669778519583,0.114697115,-0.366934032,-0.012885974,-0.217337975,0.856649550,0.138528703,0.446906708,254669.788519583
91,254669811855958,0.118189851,-0.370629675,-0.016444351,-0.218165422,0.855878890,0.141833198,0.446943589,254669.821855958
92,254669845192583,0.122779766,-0.375166657,-0.020869936,-0.221226109,0.855082790,0.145031048,0.445935511,254669.855192583
