recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.005369850,-0.132048184,0.073235044,-0.158780106,0.843331574,0.078095819,0.507426675,254668.078357500
40,254668111694041,0.005237534,-0.138774539,0.071783191,-0.158129519,0.843644369,0.079091214,0.506955488,254668.111694041
41,254668145030541,0.005024482,-0.143822842,0.070660533,-0.157340575,0.843889176,0.079011173,0.506805969,254668.145030541
42,254668178367083,0.004833241,-0.148894076,0.069455379,-0.157351549,0.844283098,0.078768345,0.506183902,254668.178367083
43,254668211703541,0.004695145,-0.155720239,0.067659634,-0.157536846,0.845002720,0.078977757,0.504891189,254668.211703541
44,254668245040125,0.004831678,-0.160842633,0.066276108,-0.158223572,0.845719838,0.079285757,0.503425346,254668.245040125
45,254668278376708,0.001843043,-0.169403400,0.067775738,-0.158868782,0.846050050,0.079363449,0.502654473,254668.278376708
46,254668311713250,0.001777706,-0.176277905,0.066460019,-0.158790367,0.846223620,0.080527422,0.502201743,254668.311713250
47,254668345049666,0.001645854,-0.181337993,0.065945830,-0.159637588,0.845596824,0.081704813,0.502798397,254668.345049666
48,254668378386291,0.001548332,-0.186156945,0.065744706,-0.161002293,0.844721706,0.083125656,0.503600714,254668.378386291
49,254668411722791,0.001525996,-0.192300009,0.065659314,-0.163200708,0.844103360,0.083802534,0.503817661,254668.411722791
50,254668445059375,0.001544793,-0.196681557,0.065557365,-0.165177630,0.843742676,0.083563345,0.503817295,254668.445059375
51,254668478395833,0.001650649,-0.200739554,0.065440919,-0.167096232,0.843842974,0.083203828,0.503075602,254668.478395833
52,254668511732416,0.001764563,-0.206098701,0.064881662,-0.169828107,0.843957801,0.082256693,0.502123027,254668.511732416
53,254668545068916,0.001961368,-0.210014138,0.064034238,-0.171425737,0.844413631,0.082003855,0.500853529,254668.545068916
54,254668578405500,0.002325587,-0.215038203,0.062651392,-0.172696301,0.845775614,0.081018989,0.498272591,254668.578405500
55,254668611741875,0.002776906,-0.218916621,0.061043924,-0.173878132,0.846911054,0.081005157,0.495929712,254668.611741875
56,254668645078458,0.003429685,-0.222745814,0.059195811,-0.175117133,0.848669300,0.080772362,0.492514251,254668.645078458
57,254668678414916,0.004079750,-0.227632168,0.057206870,-0.175693821,0.850582605,0.078365962,0.489387110,254668.678414916
58,254668711751458,0.004271637,-0.231481807,0.055863751,-0.176275230,0.850889375,0.077900883,0.488718549,254668.711751458
59,254668745088000,0.004183363,-0.235445249,0.055101068,-0.177251616,0.850595558,0.077777826,0.488896435,254668.745088000
60,254668778424458,0.004240883,-0.241077979,0.054386972,-0.178938134,0.849965660,0.078577709,0.489249546,254668.778424458
61,254668811761083,0.004102762,-0.245098978,0.053999940,-0.179635931,0.849865681,0.077985732,0.489262236,254668.811761083
62,254668845097625,0.003921020,-0.249148248,0.053630608,-0.180983624,0.849429471,0.077760473,0.489558846,254668.845097625
63,254668878434083,0.011781151,-0.238775111,0.063238938,-0.182639287,0.849803854,0.078875689,0.488113695,254668.878434083
64,254668911770625,0.011850522,-0.242189015,0.063149648,-0.183438056,0.849490187,0.079906344,0.488192515,254668.911770625
65,254668945107041,0.012004851,-0.245748995,0.062808013,-0.184264132,0.848958387,0.080710166,0.488674032,254668.945107041
66,254668978443541,0.012272034,-0.250518223,0.061963386,-0.184591842,0.848817826,0.081995683,0.488580506,254668.978443541
