recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.002649433,-0.122173859,0.064658262,-0.157885212,0.843141799,0.077148209,0.508165695,254668.088357500
40,254668111694041,0.002443816,-0.128382462,0.063129051,-0.157026461,0.843612902,0.077704287,0.507564832,254668.121694041
41,254668145030541,0.002154720,-0.133015452,0.061991959,-0.156507613,0.843793821,0.077576868,0.507443827,254668.155030541
42,254668178367083,0.001962317,-0.137704776,0.060758482,-0.156585485,0.844261600,0.077353343,0.506675290,254668.188367083
43,254668211703541,0.001831457,-0.143979500,0.058948591,-0.156844803,0.845038352,0.077593822,0.505261460,254668.221703541
44,254668245040125,0.002015829,-0.148698732,0.057576566,-0.157632032,0.845700045,0.078206428,0.503812847,254668.255040125
45,254668278376708,0.001955208,-0.160698364,0.062712298,-0.158476536,0.846159671,0.079098723,0.502635498,254668.288376708
46,254668311713250,0.001988556,-0.167151024,0.061717431,-0.158575298,0.846042205,0.080375368,0.502599559,254668.321713250
47,254668345049666,0.001973724,-0.171855529,0.061424882,-0.159667901,0.845268913,0.081760785,0.503330759,254668.355049666
48,254668378386291,0.002012152,-0.176278339,0.061412812,-0.161100260,0.844515239,0.083058008,0.503926718,254668.388386291
49,254668411722791,0.002159306,-0.181936981,0.061528140,-0.163445697,0.843928568,0.083272851,0.504118797,254668.421722791
50,254668445059375,0.002338051,-0.185940287,0.061505247,-0.165342329,0.843729759,0.083041633,0.503871162,254668.455059375
51,254668478395833,0.002577763,-0.189610548,0.061522080,-0.167319595,0.843892749,0.082589332,0.503019122,254668.488395833
52,254668511732416,0.002951241,-0.194535376,0.061029470,-0.170018733,0.844019430,0.081783776,0.502032170,254668.521732416
53,254668545068916,0.003259142,-0.198122638,0.060246284,-0.171213777,0.844707029,0.081423736,0.500525829,254668.555068916
54,254668578405500,0.003951155,-0.202737969,0.058989710,-0.172608580,0.846103803,0.080484795,0.497832185,254668.588405500
55,254668611741875,0.004695578,-0.206321458,0.057446352,-0.173751093,0.847482136,0.080760745,0.495037718,254668.621741875
56,254668645078458,0.005490844,-0.209832932,0.055795431,-0.174937761,0.849245071,0.079991593,0.491712301,254668.655078458
57,254668678414916,0.006424892,-0.214563622,0.054223552,-0.175269746,0.850778352,0.077694887,0.489305905,254668.688414916
58,254668711751458,0.006715473,-0.218141581,0.053261346,-0.175954822,0.850897793,0.077601225,0.488867006,254668.721751458
59,254668745088000,0.006808009,-0.221890410,0.052855836,-0.177171470,0.850368300,0.077518981,0.489361713,254668.755088000
60,254668778424458,0.007385514,-0.226919711,0.052841979,-0.178495192,0.849989812,0.078270863,0.489418545,254668.788424458
61,254668811761083,0.007485061,-0.230632336,0.052772927,-0.179540852,0.849753099,0.077512564,0.489567777,254668.821761083
62,254668845097625,0.007542141,-0.234396458,0.052662576,-0.180817484,0.849251793,0.077643443,0.489946914,254668.855097625
63,254668878434083,0.013383902,-0.240477124,0.064536404,-0.184004617,0.849086618,0.080682673,0.488553554,254668.888434083
64,254668911770625,0.013544196,-0.244199681,0.064540031,-0.184719390,0.848713830,0.081463591,0.488801920,254668.921770625
65,254668945107041,0.013843724,-0.248060133,0.064278397,-0.185539261,0.848171601,0.082404698,0.489274603,254668.955107041
66,254668978443541,0.014261534,-0.253200470,0.063540019,-0.185605545,0.848281310,0.083745189,0.488831460,254668.988443541
67,254669011780041,0.014667275,-0.257040029,0.062631956,-0.185746895,0.848481564,0.084909068,0.488229075,254669.021780041
68,254669045116583,0.015377238,-0.260942453,0.061341843,-0.186194821,0.848399724,0.087112184,0.487812380,254669.055116583
69,254669078453041,0.022732630,-0.270723495,0.068617458,-0.187301070,0.849006335,0.090667876,0.485680905,254669.088453041
70,254669111789583,0.023700383,-0.274474426,0.067235679,-0.187744586,0.848577557,0.092251686,0.485960677,254669.121789583
71,254669145126208,0.024836919,-0.278181381,0.065669965,-0.188240226,0.848021274,0.094790099,0.486251403,254669.155126208
72,254669178462708,0.026961565,-0.283297766,0.063094644,-0.189507480,0.846895036,0.099073934,0.486867663,254669.188462708
73,254669211799166,0.029130941,-0.287475014,0.060817026,-0.191165889,0.846269198,0.102210634,0.486659108,254669.221799166
74,254669245135625,0.031669811,-0.291752792,0.058158768,-0.192339813,0.846297017,0.105052366,0.485541768,254669.255135625
75,254669278472083,0.041180644,-0.297424836,0.054587020,-0.193574297,0.847671848,0.108093138,0.481972360,254669.288472083
76,254669311808625,0.045227947,-0.302556335,0.051003841,-0.195431915,0.848564116,0.110072075,0.479196724,254669.321808625
77,254669345145041,0.049453780,-0.307616282,0.047115619,-0.197757383,0.849604304,0.111871393,0.475972045,254669.355145041
78,254669378481666,0.058626798,-0.311111141,0.041633861,-0.201182291,0.851697296,0.113448806,0.470390076,254669.388481666
79,254669411818083,0.063391926,-0.315737839,0.037391213,-0.203318742,0.852706385,0.114587494,0.467357539,254669.421818083
80,254669445154666,0.068063662,-0.320187956,0.033048500,-0.205238785,0.852889226,0.117182381,0.465537702,254669.455154666
81,254669478491041,0.074743259,-0.323783266,0.027242245,-0.208326147,0.852751130,0.120933735,0.463455296,254669.488491041
82,254669511827666,0.079362564,-0.328223894,0.023029446,-0.209931918,0.853037684,0.123702822,0.461468270,254669.521827666
83,254669545163958,0.085770620,-0.334196824,0.017063544,-0.211465344,0.854069959,0.127135246,0.457912215,254669.555163958
84,254669578500666,0.090163651,-0.338902113,0.012843433,-0.212632953,0.855253437,0.128570721,0.454750931,254669.588500666
85,254669611837125,0.094982249,-0.343623211,0.008322603,-0.213542470,0.856517139,0.130015384,0.451524149,254669.621837125
