recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.005243065,-0.134959420,0.074148134,-0.158810227,0.843301438,0.078429877,0.507415810,254668.081357500
40,254668111694041,0.005161071,-0.140051920,0.073057265,-0.158279572,0.843616394,0.079068993,0.506958681,254668.114694041
41,254668145030541,0.004935993,-0.145106685,0.071979141,-0.157528901,0.843855554,0.078948859,0.506813161,254668.148030541
42,254668178367083,0.004703547,-0.151892549,0.070388668,-0.157665289,0.844426265,0.078690633,0.505859445,254668.181367083
43,254668211703541,0.004588810,-0.157024090,0.069048207,-0.157696664,0.844953185,0.078852048,0.504943843,254668.214703541
44,254668245040125,0.004728656,-0.162159708,0.067689208,-0.158368019,0.845667098,0.079189232,0.503483712,254668.248040125
45,254668278376708,0.002090175,-0.169487599,0.067021045,-0.158982862,0.846119277,0.079743304,0.502441715,254668.281376708
46,254668311713250,0.002082810,-0.174587276,0.066118519,-0.158950061,0.846211186,0.080648691,0.502152714,254668.314713250
47,254668345049666,0.001975890,-0.179607186,0.065649410,-0.159713385,0.845606976,0.081829195,0.502737022,254668.348049666
48,254668378386291,0.001929450,-0.185917861,0.065460934,-0.161706587,0.844506028,0.083668731,0.503646845,254668.381386291
49,254668411722791,0.001955131,-0.190454197,0.065486144,-0.163345359,0.844054583,0.084000664,0.503819508,254668.414722791
50,254668445059375,0.002025724,-0.194786486,0.065427355,-0.165288276,0.843727917,0.083758136,0.503773377,254668.448059375
51,254668478395833,0.002221182,-0.200143160,0.065279051,-0.167907171,0.843928506,0.083221204,0.502659072,254668.481395833
52,254668511732416,0.002364821,-0.204104386,0.064893590,-0.169958847,0.843944452,0.082465013,0.502067055,254668.514732416
53,254668545068916,0.002599763,-0.207971627,0.064117628,-0.171567556,0.844386369,0.082176718,0.500822598,254668.548068916
54,254668578405500,0.003033839,-0.212931827,0.062827469,-0.172876683,0.845720473,0.081233588,0.498268694,254668.581405500
55,254668611741875,0.003566097,-0.216784359,0.061285622,-0.173992376,0.846898293,0.081191396,0.495880979,254668.614741875
56,254668645078458,0.004464046,-0.221836696,0.058935406,-0.175615168,0.849269279,0.080549453,0.491337809,254668.648078458
57,254668678414916,0.005052101,-0.225453365,0.057608848,-0.175870391,0.850563518,0.078684465,0.489305748,254668.681414916
58,254668711751458,0.005284875,-0.229262056,0.056369652,-0.176409886,0.850928370,0.078066837,0.488575566,254668.714751458
59,254668745088000,0.005285409,-0.234524482,0.055499889,-0.177970099,0.850282069,0.078165208,0.489118902,254668.748088000
60,254668778424458,0.005489176,-0.238742621,0.055154092,-0.179069141,0.849942228,0.078847506,0.489198912,254668.781424458
61,254668811761083,0.005441209,-0.242729646,0.054852938,-0.179841257,0.849815874,0.078314909,0.489220738,254668.814761083
62,254668845097625,0.005285248,-0.248068512,0.054469611,-0.181639440,0.849149049,0.078207873,0.489731139,254668.848097625
63,254668878434083,0.013165936,-0.238486470,0.064291321,-0.182981686,0.849670265,0.079275659,0.488153221,254668.881434083
64,254668911770625,0.013337077,-0.241989708,0.064295712,-0.183818655,0.849312535,0.080384100,0.488280012,254668.914770625
65,254668945107041,0.013685325,-0.246853844,0.063935595,-0.184851860,0.848620938,0.081426152,0.488919347,254668.948107041
66,254668978443541,0.014012524,-0.250537537,0.063358545,-0.184958615,0.848658365,0.082494284,0.488634871,254668.981443541
67,254669011780041,0.014349194,-0.254172606,0.062509321,-0.184952669,0.848888662,0.083512558,0.488063783,254669.014780041
68,254669045116583,0.015228470,-0.259071340,0.060789018,-0.185519172,0.848841835,0.086212245,0.487460437,254669.048116583
69,254669078453041,0.021853457,-0.266024451,0.070729758,-0.186364104,0.849543175,0.089156436,0.485382322,254669.081453041
70,254669111789583,0.022744012,-0.269584460,0.069459851,-0.186754669,0.849188520,0.090675567,0.485571361,254669.114789583
71,254669145126208,0.024143720,-0.274246047,0.067474246,-0.187383675,0.848462914,0.093739180,0.486015495,254669.148126208
72,254669178462708,0.025576528,-0.277771871,0.065629074,-0.188116981,0.847696500,0.096870123,0.486455422,254669.181462708
73,254669211799166,0.027496084,-0.281611737,0.063521775,-0.189672952,0.846890148,0.099975408,0.486627393,254669.214799166
74,254669245135625,0.030722050,-0.286970188,0.060127901,-0.191346660,0.846878507,0.103785139,0.485192691,254669.248135625
75,254669278472083,0.039710503,-0.294464683,0.057943003,-0.192570644,0.847880940,0.106435384,0.482375394,254669.281472083
76,254669311808625,0.043550045,-0.299279166,0.054469255,-0.194078160,0.848723414,0.108349512,0.479856927,254669.314808625
77,254669345145041,0.049071804,-0.305708232,0.049398965,-0.197216653,0.850086150,0.110780289,0.475591117,254669.348145041
78,254669378481666,0.056298964,-0.306116976,0.043891468,-0.199798432,0.851655538,0.112324551,0.471324389,254669.381481666
79,254669411818083,0.060963452,-0.310541742,0.039615191,-0.202181921,0.852848044,0.113420233,0.467876681,254669.414818083
80,254669445154666,0.067034086,-0.316202537,0.033783518,-0.204602543,0.853194208,0.116566474,0.465413529,254669.448154666
81,254669478491041,0.071950511,-0.317331927,0.027954475,-0.207133430,0.853077453,0.119482292,0.463765713,254669.481491041
82,254669511827666,0.076408660,-0.321585831,0.023656648,-0.208938236,0.853224488,0.122307436,0.461945592,254669.514827666
83,254669545163958,0.082574399,-0.327248283,0.017592911,-0.210616822,0.854139782,0.125917840,0.458509039,254669.548163958
84,254669578500666,0.087320401,-0.330735844,0.013385684,-0.211852979,0.855217390,0.127489814,0.455486478,254669.581500666
85,254669611837125,0.092070784,-0.335223431,0.008736428,-0.212855011,0.856503293,0.129182492,0.452113691,254669.614837125
86,254669645173666,0.098093590,-0.341178688,0.002684632,-0.213904465,0.858130615,0.130001531,0.448281588,254669.648173666
87,254669678510000,0.102095505,-0.347285846,-0.000664900,-0.214830493,0.858612881,0.131078133,0.446598651,254669.681510000
88,254669711846666,0.107091115,-0.352990728,-0.005946513,-0.215220984,0.858129139,0.133485062,0.446627474,254669.714846666
89,254669745183041,0.110605243,-0.357147812,-0.009591915,-0.216080919,0.857841488,0.135654480,0.446110897,254669.748183041
90,254669778519583,0.113447202,-0.361786313,-0.011774183,-0.216895740,0.857241259,0.137859997,0.446193160,254669.781519583
91,254669811855958,0.118037722,-0.366504448,-0.016459354,-0.217959408,0.856294808,0.142096230,0.446163213,254669.814855958
92,254669845192583,0.121432487,-0.369788955,-0.019765929,-0.220157158,0.855665093,0.144474438,0.445528075,254669.848192583
93,254669878529083,0.123515378,-0.370252031,-0.020702738,-0.221772649,0.855331031,0.146275331,0.444780059,254669.881529083
94,254669911865625,0.127621745,-0.373739496,-0.024239186,-0.224289425,0.854730714,0.148036912,0.444088715,254669.914865625
95,254669945201958,0.130527301,-0.376314231,-0.026545304,-0.226841112,0.854360216,0.148957655,0.443196798,254669.948201958
