recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.004367606,-0.128306481,0.069008972,-0.158454447,0.843312255,0.078085167,0.507562202,254668.086357500
40,254668111694041,0.004220835,-0.134772142,0.067506176,-0.157613619,0.843787171,0.078612646,0.506952919,254668.119694041
41,254668145030541,0.003975712,-0.139593715,0.066375320,-0.157095601,0.843956076,0.078535272,0.506844530,254668.153030541
42,254668178367083,0.003830203,-0.144460450,0.065141188,-0.157225270,0.844437864,0.078341637,0.506031174,254668.186367083
43,254668211703541,0.003758373,-0.150988838,0.063328663,-0.157468229,0.845212089,0.078591197,0.504622391,254668.219703541
44,254668245040125,0.003989720,-0.155886311,0.061950888,-0.158284936,0.845871914,0.079199575,0.503164053,254668.253040125
45,254668278376708,0.002667305,-0.163770634,0.064221720,-0.158717149,0.846237608,0.079580152,0.502352297,254668.286376708
46,254668311713250,0.002736828,-0.170337181,0.063193296,-0.158805101,0.846129477,0.080855359,0.502303008,254668.319713250
47,254668345049666,0.002755188,-0.175135241,0.062882169,-0.159969874,0.845342896,0.082259850,0.503029221,254668.353049666
48,254668378386291,0.002815849,-0.179650706,0.062843094,-0.161380250,0.844607548,0.083552515,0.503600571,254668.386386291
49,254668411722791,0.003000781,-0.185430662,0.062927838,-0.163707198,0.844039808,0.083737412,0.503770638,254668.419722791
50,254668445059375,0.003211594,-0.189537207,0.062884419,-0.165633089,0.843820896,0.083537740,0.503540937,254668.453059375
51,254668478395833,0.003482577,-0.193300154,0.062860177,-0.167608755,0.844000960,0.083112259,0.502655041,254668.486395833
52,254668511732416,0.003886596,-0.198347849,0.062335887,-0.170317768,0.844107442,0.082279458,0.501701732,254668.519732416
53,254668545068916,0.004246141,-0.202043768,0.061509868,-0.171501337,0.844814127,0.081963133,0.500158455,254668.553068916
54,254668578405500,0.004763295,-0.205528322,0.060641300,-0.172584426,0.845794082,0.081219239,0.498247403,254668.586405500
55,254668611741875,0.005739242,-0.210425691,0.058623285,-0.174092386,0.847569682,0.081308571,0.494678123,254668.619741875
56,254668645078458,0.006582308,-0.214040499,0.056939379,-0.175278873,0.849352031,0.080512957,0.491320832,254668.653078458
57,254668678414916,0.007387596,-0.217571892,0.055686918,-0.175617139,0.850715262,0.078809183,0.489112798,254668.686414916
58,254668711751458,0.007850543,-0.222485631,0.054301013,-0.176316967,0.850952654,0.078197065,0.488545985,254668.719751458
59,254668745088000,0.007991426,-0.226313155,0.053853111,-0.177562865,0.850448984,0.078083608,0.488989732,254668.753088000
60,254668778424458,0.008538352,-0.230176646,0.053805537,-0.178717741,0.850047546,0.078848311,0.489144289,254668.786424458
61,254668811761083,0.008739799,-0.235292397,0.053588929,-0.179890206,0.849862732,0.078028636,0.489167084,254668.819761083
62,254668845097625,0.008852730,-0.239153472,0.053414473,-0.181223171,0.849329522,0.078232188,0.489568486,254668.853097625
63,254668878434083,0.014067961,-0.238452551,0.064907114,-0.183464171,0.849446193,0.079665649,0.488298578,254668.886434083
64,254668911770625,0.014389802,-0.243304154,0.064927241,-0.184485084,0.848952719,0.081083257,0.488538733,254668.919770625
65,254668945107041,0.014745314,-0.247083627,0.064668051,-0.185329371,0.848389074,0.082012393,0.489042968,254668.953107041
66,254668978443541,0.015107902,-0.250850158,0.064177016,-0.185483776,0.848372257,0.082981898,0.488850019,254668.986443541
67,254669011780041,0.015725308,-0.255873292,0.063019998,-0.185515527,0.848725792,0.084519053,0.487960145,254669.019780041
68,254669045116583,0.016503575,-0.259691593,0.061732703,-0.185983068,0.848620320,0.086736600,0.487576319,254669.053116583
69,254669078453041,0.022377570,-0.267294210,0.069493933,-0.186892704,0.849285614,0.089635397,0.485541565,254669.086453041
70,254669111789583,0.023678620,-0.272196370,0.067716833,-0.187423983,0.848749795,0.091647313,0.485897993,254669.119789583
71,254669145126208,0.024829554,-0.275821489,0.066165130,-0.187924295,0.848189770,0.094228914,0.486188789,254669.153126208
72,254669178462708,0.026963794,-0.280799338,0.063604200,-0.189179864,0.847070677,0.098498453,0.486806281,254669.186462708
73,254669211799166,0.029133970,-0.284862347,0.061335548,-0.190850064,0.846460168,0.101557420,0.486587691,254669.219799166
74,254669245135625,0.031685645,-0.289050633,0.058693817,-0.191974757,0.846513310,0.104407398,0.485448306,254669.253135625
75,254669278472083,0.040985465,-0.295636300,0.055250320,-0.193310340,0.847855743,0.107494721,0.481888669,254669.286472083
76,254669311808625,0.045029609,-0.300654822,0.051663063,-0.195208006,0.848738501,0.109465898,0.479118004,254669.319808625
77,254669345145041,0.049249643,-0.305620293,0.047790778,-0.197514501,0.849784548,0.111264036,0.475893488,254669.353145041
78,254669378481666,0.058227385,-0.308997004,0.041824487,-0.200927515,0.851849683,0.113039905,0.470321469,254669.386481666
79,254669411818083,0.062968096,-0.313540187,0.037573472,-0.203052979,0.852844363,0.114170309,0.467323416,254669.419818083
80,254669445154666,0.067613172,-0.317896063,0.033209185,-0.204957382,0.853008950,0.116814380,0.465534807,254669.453154666
81,254669478491041,0.073959994,-0.321215390,0.027011742,-0.208109832,0.852860078,0.120587539,0.463442213,254669.486491041
82,254669511827666,0.078520096,-0.325595313,0.022769263,-0.209659502,0.853183060,0.123297865,0.461431738,254669.519827666
83,254669545163958,0.083264388,-0.329942633,0.018268615,-0.210929606,0.853867739,0.126039628,0.458838370,254669.553163958
84,254669578500666,0.089431647,-0.336169364,0.012614611,-0.212408625,0.855391745,0.128193480,0.454702126,254669.586500666
