recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.004390963,-0.128321120,0.068979204,-0.158412780,0.843334222,0.078326048,0.507501591,254668.086357500
40,254668111694041,0.004222470,-0.134759726,0.067507368,-0.157709778,0.843722681,0.078854403,0.506992801,254668.119694041
41,254668145030541,0.003983116,-0.139596716,0.066376450,-0.157004432,0.843996663,0.078485346,0.506812928,254668.153030541
42,254668178367083,0.003808613,-0.144460530,0.065139882,-0.157111912,0.844394323,0.078265963,0.506150735,254668.186367083
43,254668211703541,0.003775377,-0.150986804,0.063317059,-0.157483404,0.845182820,0.078602425,0.504664928,254668.219703541
44,254668245040125,0.003985686,-0.155897894,0.061945303,-0.158190602,0.845897763,0.079093342,0.503166976,254668.253040125
45,254668278376708,0.002690255,-0.163766216,0.064213330,-0.158857939,0.846281714,0.079579432,0.502233594,254668.286376708
46,254668311713250,0.002720811,-0.170361907,0.063194140,-0.158712702,0.846248236,0.080834517,0.502135475,254668.319713250
47,254668345049666,0.002720253,-0.175138867,0.062882041,-0.159706068,0.845448341,0.082148780,0.502953980,254668.353049666
48,254668378386291,0.002815822,-0.179649413,0.062859197,-0.161391751,0.844511086,0.083617163,0.503747904,254668.386386291
49,254668411722791,0.003021644,-0.185438889,0.062909638,-0.163677024,0.844013562,0.083992996,0.503781867,254668.419722791
50,254668445059375,0.003201502,-0.189514556,0.062887892,-0.165612256,0.843795014,0.083497956,0.503597756,254668.453059375
51,254668478395833,0.003475982,-0.193298875,0.062870136,-0.167595172,0.843958141,0.083105138,0.502732636,254668.486395833
52,254668511732416,0.003907705,-0.198347536,0.062332416,-0.170326333,0.844134683,0.082256497,0.501656754,254668.519732416
53,254668545068916,0.004238753,-0.202015749,0.061528865,-0.171711096,0.844676334,0.081953694,0.500320733,254668.553068916
54,254668578405500,0.004766721,-0.205534161,0.060634252,-0.172548612,0.845765841,0.081283106,0.498297329,254668.586405500
55,254668611741875,0.005758860,-0.210424656,0.058635642,-0.174029831,0.847509437,0.081105036,0.494836740,254668.619741875
56,254668645078458,0.006611958,-0.214030968,0.056894292,-0.175330390,0.849308005,0.080801825,0.491331136,254668.653078458
57,254668678414916,0.007411413,-0.217552870,0.055660951,-0.175770863,0.850844132,0.078927466,0.488814254,254668.686414916
58,254668711751458,0.007810650,-0.222491613,0.054348720,-0.176174314,0.851127758,0.077755685,0.488362834,254668.719751458
59,254668745088000,0.007975810,-0.226341292,0.053855445,-0.177413960,0.850493846,0.078110158,0.488961513,254668.753088000
60,254668778424458,0.008548445,-0.230157064,0.053816166,-0.178860977,0.849932013,0.078881932,0.489287255,254668.786424458
61,254668811761083,0.008757960,-0.235314365,0.053566619,-0.179814287,0.849905043,0.078232380,0.489088937,254668.819761083
62,254668845097625,0.008834076,-0.239152338,0.053439105,-0.181130039,0.849432348,0.077967480,0.489466771,254668.853097625
63,254668878434083,0.014053790,-0.238444632,0.064927219,-0.183508058,0.849406445,0.079480583,0.488381381,254668.886434083
64,254668911770625,0.014409607,-0.243312440,0.064910620,-0.184580082,0.848913619,0.081330552,0.488529688,254668.919770625
65,254668945107041,0.014747924,-0.247092152,0.064661609,-0.185287778,0.848438067,0.082007082,0.488974619,254668.953107041
66,254668978443541,0.015095267,-0.250838049,0.064194631,-0.185590355,0.848264638,0.082910311,0.489008443,254668.986443541
67,254669011780041,0.015735603,-0.255903083,0.063015413,-0.185447493,0.848737038,0.084488858,0.487971674,254669.019780041
68,254669045116583,0.016506792,-0.259694922,0.061730599,-0.185878875,0.848725710,0.086534690,0.487468475,254669.053116583
69,254669078453041,0.022381352,-0.267290053,0.069480370,-0.186955580,0.849274585,0.089796849,0.485506817,254669.086453041
70,254669111789583,0.023671762,-0.272211302,0.067736274,-0.187425470,0.848764145,0.091713867,0.485859794,254669.119789583
71,254669145126208,0.024797507,-0.275799563,0.066181407,-0.187879584,0.848214579,0.093874143,0.486231414,254669.153126208
72,254669178462708,0.026967825,-0.280835374,0.063590607,-0.189038723,0.847122796,0.098586806,0.486752530,254669.186462708
73,254669211799166,0.029125639,-0.284874713,0.061351053,-0.190772653,0.846355728,0.101667349,0.486776725,254669.219799166
74,254669245135625,0.031694564,-0.289017273,0.058694608,-0.192150162,0.846370793,0.104448681,0.485618495,254669.253135625
75,254669278472083,0.041027686,-0.295673705,0.055238251,-0.193215581,0.847847824,0.107610035,0.481914868,254669.286472083
76,254669311808625,0.045020848,-0.300683389,0.051663812,-0.194964996,0.848734025,0.109448047,0.479228946,254669.319808625
77,254669345145041,0.049259866,-0.305612342,0.047777549,-0.197524993,0.849734858,0.111302895,0.475968766,254669.353145041
78,254669378481666,0.058265294,-0.309009916,0.041832314,-0.200959038,0.851839401,0.113115003,0.470308567,254669.386481666
79,254669411818083,0.062986673,-0.313516885,0.037551347,-0.203184905,0.852952697,0.114149197,0.467073448,254669.419818083
80,254669445154666,0.067601614,-0.317902760,0.033219604,-0.204900741,0.853157388,0.116494991,0.465367733,254669.453154666
81,254669478491041,0.073948780,-0.321241884,0.027037775,-0.208088275,0.852753017,0.120716214,0.463615369,254669.486491041
82,254669511827666,0.078536961,-0.325568790,0.022770315,-0.209832488,0.853059624,0.123401882,0.461553501,254669.519827666
83,254669545163958,0.083272959,-0.329938302,0.018262861,-0.210977442,0.853847757,0.126032344,0.458855564,254669.553163958
84,254669578500666,0.089456967,-0.336188855,0.012612634,-0.212342148,0.855335562,0.128300465,0.454808676,254669.586500666
85,254669611837125,0.094235897,-0.340810076,0.008050631,-0.213353146,0.856663641,0.129745897,0.451413221,254669.619837125
86,254669645173666,0.098813740,-0.345434137,0.003597890,-0.214127539,0.857903305,0.130307972,0.448521127,254669.653173666
87,254669678510000,0.103922450,-0.352429988,-0.001185801,-0.215080428,0.858461024,0.131441721,0.446663415,254669.686510000
88,254669711846666,0.107684844,-0.356827052,-0.005029271,-0.215333856,0.857975474,0.133377630,0.446900299,254669.719846666
89,254669745183041,0.111200861,-0.361073184,-0.008603500,-0.216092789,0.857463941,0.135730409,0.446807347,254669.753183041
90,254669778519583,0.114446363,-0.365955087,-0.013043970,-0.217241088,0.856731044,0.138650412,0.446759828,254669.786519583
91,254669811855958,0.117881986,-0.369586232,-0.016580656,-0.217977970,0.855996446,0.141853581,0.446803429,254669.819855958
92,254669845192583,0.121279277,-0.373025704,-0.019932422,-0.219952157,0.855232343,0.144735636,0.446374659,254669.853192583
93,254669878529083,0.124164144,-0.376204263,-0.023294106,-0.222629860,0.854715562,0.147056800,0.445276998,254669.886529083
94,254669911865625,0.127177912,-0.379051778,-0.026039422,-0.224401987,0.854279552,0.148293537,0.444813754,254669.919865625
95,254669945201958,0.129968568,-0.381863862,-0.028489676,-0.226796550,0.853880681,0.149261917,0.444040585,254669.953201958
96,254669978538583,0.133420445,-0.385290100,-0.031419809,-0.230109640,0.853099437,0.150626793,0.443376281,254669.986538583
97,254670011874916,0.135853808,-0.387897308,-0.033416973,-0.231981978,0.852411167,0.151411819,0.443456964,254670.019874916
98,254670045211500,0.138321576,-0.390619544,-0.035179506,-0.234349833,0.851433155,0.151869494,0.443934059,254670.053211500
99,254670078548083,0.139687516,-0.390214271,-0.033986424,-0.238138812,0.849467815,0.151938755,0.445655702,254670.086548083
100,254670111884541,0.142729173,-0.392922328,-0.035271935,-0.241155542,0.848008079,0.152099341,0.446757369,254670.119884541
101,254670145220916,0.147497745,-0.396781408,-0.037540258,-0.245910518,0.845808189,0.153418460,0.447883192,254670.153220916
102,254670178557583,0.151224689,-0.397987497,-0.037420405,-0.249057926,0.844790183,0.155269923,0.447427089,254670.186557583
103,254670211893916,0.155618876,-0.400892695,-0.039805738,-0.253088117,0.844175767,0.155670356,0.446184348,254670.219893916
104,254670245230500,0.161884032,-0.404507507,-0.043334390,-0.257897938,0.844729013,0.155581669,0.442397950,254670.253230500
105,254670278567083,0.168968369,-0.407497652,-0.045666256,-0.261927612,0.845046947,0.156168469,0.439205016,254670.286567083
106,254670311903375,0.174203864,-0.409834393,-0.048242897,-0.265873036,0.844368098,0.157836200,0.437540661,254670.319903375
107,254670345240000,0.181010666,-0.412857669,-0.050939896,-0.271112141,0.843074175,0.158583465,0.436549517,254670.353240000
108,254670378576458,0.187798664,-0.415760202,-0.053227129,-0.274427211,0.843115524,0.157332543,0.434847609,254670.386576458
109,254670411913000,0.192893734,-0.417872738,-0.055154621,-0.277464142,0.843196187,0.156306600,0.433130627,254670.419913000
110,254670445249416,0.199891531,-0.420592826,-0.057815975,-0.282181852,0.843620408,0.154987981,0.429717103,254670.453249416
111,254670478585916,0.205641165,-0.422298717,-0.060500761,-0.286271858,0.843327936,0.155877100,0.427257299,254670.486585916
112,254670511922416,0.210979046,-0.424199736,-0.062688196,-0.290123686,0.842400944,0.157550716,0.425871719,254670.519922416
113,254670545258916,0.217816027,-0.426957022,-0.065559261,-0.295213856,0.840332336,0.160924197,0.425198543,254670.553258916
114,254670578595416,0.222847874,-0.428780862,-0.068434833,-0.299447369,0.837935141,0.164358044,0.425655329,254670.586595416
115,254670611931875,0.227535033,-0.430851216,-0.070680092,-0.302797494,0.836007138,0.167085794,0.426014240,254670.619931875
116,254670645268375,0.233767117,-0.433856118,-0.073858257,-0.307188385,0.833501647,0.170421021,0.426458708,254670.653268375
117,254670678604958,0.238331057,-0.435660804,-0.076835780,-0.311562307,0.831359610,0.173035022,0.426414190,254670.686604958
118,254670711941458,0.242845374,-0.437669478,-0.079315074,-0.316410768,0.829462243,0.174662766,0.425875081,254670.719941458
119,254670745277833,0.248884167,-0.440166931,-0.082626540,-0.323496039,0.825547845,0.177209448,0.427104124,254670.753277833
120,254670778614375,0.253481468,-0.442405158,-0.084638157,-0.331444384,0.821801508,0.178858812,0.427547050,254670.786614375
121,254670811950875,0.257703115,-0.443772732,-0.086579025,-0.339497199,0.818628410,0.180111850,0.426789120,254670.819950875
122,254670845287416,0.263544327,-0.445478330,-0.089094611,-0.347567975,0.814675587,0.181726317,0.427171851,254670.853287416
123,254670878623958,0.267421781,-0.447334068,-0.090055746,-0.353075479,0.811161398,0.183197733,0.428711483,254670.886623958
124,254670911960333,0.271492121,-0.448858896,-0.091728280,-0.357730770,0.808620765,0.183645381,0.429459640,254670.919960333
125,254670945296791,0.277181033,-0.451164377,-0.094753514,-0.360033998,0.807838270,0.184771652,0.428523441,254670.953296791
126,254670978633291,0.282349297,-0.452832129,-0.096547012,-0.361532417,0.808326356,0.185226671,0.426138414,254670.986633291
127,254671011969833,0.287331159,-0.454719662,-0.099779931,-0.362909646,0.809661174,0.184445241,0.422759244,254671.019969833
128,254671045306250,0.294559342,-0.457011448,-0.104574446,-0.364862337,0.810479299,0.184509872,0.419469834,254671.053306250
129,254671078642791,0.301241605,-0.458414892,-0.107898695,-0.366068667,0.810473006,0.187722488,0.416998272,254671.086642791
130,254671111979208,0.307311605,-0.460459392,-0.111725294,-0.366394588,0.811672123,0.189650223,0.413492704,254671.119979208
131,254671145315833,0.315458784,-0.462822716,-0.116908548,-0.366186658,0.815197025,0.187492051,0.407686062,254671.153315833
132,254671178652166,0.322340568,-0.463914705,-0.121507473,-0.365820288,0.817265234,0.187907836,0.403662920,254671.186652166
133,254671211988666,0.330557751,-0.466015485,-0.126867319,-0.365947557,0.818118577,0.190214470,0.400727948,254671.219988666
134,254671245325208,0.336791315,-0.467378607,-0.130621125,-0.367122102,0.818565599,0.190780176,0.398465431,254671.253325208
135,254671278661833,0.342094751,-0.467192312,-0.134858120,-0.368390143,0.818790537,0.191895007,0.396291709,254671.286661833
136,254671311998208,0.351074206,-0.468123266,-0.139939137,-0.370772706,0.818819118,0.193967933,0.392987719,254671.319998208
137,254671345334541,0.358106648,-0.468600857,-0.143595162,-0.373954823,0.818014965,0.195432514,0.390916223,254671.353334541
138,254671378671041,0.362986878,-0.469013844,-0.147597122,-0.377601348,0.816626127,0.196022370,0.390018301,254671.386671041
139,254671412007708,0.372188147,-0.469144104,-0.152069376,-0.382752580,0.814919515,0.198148930,0.387483807,254671.420007708
140,254671445344083,0.378935770,-0.469096333,-0.155290975,-0.386279624,0.812563733,0.200911901,0.387508313,254671.453344083
141,254671478680541,0.382349502,-0.468368937,-0.157905463,-0.388765129,0.811032866,0.204097848,0.386563691,254671.486680541
142,254671512017125,0.390777758,-0.468457070,-0.161593223,-0.392800960,0.809115147,0.208055311,0.384386686,254671.520017125
143,254671545353625,0.397061715,-0.468442743,-0.164097082,-0.395721608,0.806643685,0.211130114,0.384908435,254671.553353625
144,254671578690083,0.399342172,-0.466755482,-0.164272538,-0.397700823,0.804647864,0.213511805,0.385731295,254671.586690083
145,254671612026500,0.406933967,-0.466856654,-0.167042980,-0.401110779,0.801996041,0.217853334,0.385295304,254671.620026500
146,254671645363041,0.412587445,-0.467128268,-0.169161425,-0.403525750,0.801246494,0.218034847,0.384228947,254671.653363041
147,254671678699458,0.417324113,-0.468370278,-0.170741405,-0.404624229,0.800667870,0.219663164,0.383351461,254671.686699458
148,254671712036000,0.423802249,-0.469124232,-0.173867938,-0.405566595,0.798773726,0.224052579,0.383766553,254671.720036000
149,254671745372500,0.428053157,-0.469840945,-0.175963312,-0.406493382,0.797903551,0.225975835,0.383468420,254671.753372500
150,254671778709041,0.429418165,-0.470724154,-0.176526458,-0.406825203,0.797976257,0.227200153,0.382239834,254671.786709041
151,254671812045458,0.434215917,-0.471320501,-0.179528253,-0.407457896,0.798747746,0.227551055,0.379737636,254671.820045458
152,254671845382000,0.437700354,-0.471701753,-0.181885264,-0.408378572,0.799731010,0.227073898,0.376954574,254671.853382000
153,254671878718458,0.439061794,-0.471488570,-0.183770870,-0.409985958,0.800839888,0.226085034,0.373433528,254671.886718458
154,254671912054875,0.443539971,-0.471982448,-0.187535376,-0.413032338,0.803821998,0.221524850,0.366334925,254671.920054875
155,254671945391375,0.447097412,-0.472466763,-0.190727383,-0.415672344,0.806810232,0.216064641,0.359985939,254671.953391375
156,254671978727833,0.450815294,-0.472228328,-0.195050457,-0.419645362,0.806137169,0.214622419,0.357739996,254671.986727833
157,254672012064208,0.455746257,-0.473084920,-0.198718513,-0.427636036,0.798771182,0.218321403,0.362529774,254672.020064208
158,254672045400833,0.459084710,-0.474414062,-0.200834802,-0.432665680,0.792284845,0.221854464,0.368599761,254672.053400833
159,254672078737375,0.463768947,-0.475558632,-0.204704558,-0.436806770,0.790049986,0.220461625,0.369347521,254672.086737375
160,254672112073875,0.468376325,-0.477752952,-0.207885943,-0.441075391,0.789748430,0.216933785,0.367000957,254672.120073875
161,254672145410291,0.471970673,-0.479272128,-0.210264873,-0.444409668,0.788636397,0.216256737,0.365767355,254672.153410291
162,254672178746750,0.477015821,-0.481735949,-0.212810511,-0.448807453,0.784604916,0.217521477,0.368308913,254672.186746750
163,254672212083250,0.480945526,-0.483881957,-0.214450915,-0.452079790,0.781060307,0.220297655,0.370185977,254672.220083250
164,254672245419666,0.485051645,-0.486251164,-0.216117416,-0.455729132,0.778000598,0.222860677,0.370620021,254672.253419666
165,254672278756208,0.490972522,-0.489737414,-0.218126014,-0.460617689,0.775180406,0.221603267,0.371239448,254672.286756208
166,254672312092666,0.495340387,-0.492534936,-0.219614299,-0.464419294,0.773580249,0.220387214,0.370564228,254672.320092666
167,254672345429208,0.499765490,-0.495409728,-0.221200148,-0.467815097,0.771507310,0.221881777,0.369721566,254672.353429208
168,254672378765750,0.505764154,-0.498769397,-0.221185339,-0.471328874,0.768133463,0.223913032,0.371056713,254672.386765750
