recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,-0.000891025,-0.119418782,0.060752156,-0.157294056,0.842457777,0.076686530,0.509551473,254668.087357500
40,254668111694041,-0.001462822,-0.125220853,0.059393712,-0.156669173,0.842725791,0.077341344,0.509201710,254668.120694041
41,254668145030541,-0.002017975,-0.129641846,0.058298892,-0.155798413,0.843094192,0.076654292,0.508962877,254668.154030541
42,254668178367083,-0.002468167,-0.134066226,0.057136552,-0.155760761,0.843383921,0.076350123,0.508539929,254668.187367083
43,254668211703541,-0.002790836,-0.140026492,0.055473010,-0.156270355,0.844155457,0.076707649,0.507047463,254668.220703541
44,254668245040125,-0.002929649,-0.144475863,0.054302707,-0.156812268,0.844896384,0.077093907,0.505585399,254668.254040125
45,254668278376708,-0.002337296,-0.152681396,0.058228120,-0.157962969,0.845440652,0.077878437,0.504195207,254668.287376708
46,254668311713250,-0.002825941,-0.158652732,0.057753807,-0.157654714,0.845457209,0.079102476,0.504073359,254668.320713250
47,254668345049666,-0.003144768,-0.162846743,0.057813610,-0.158365852,0.844667147,0.080296135,0.504985397,254668.354049666
48,254668378386291,-0.003307592,-0.166857273,0.058065014,-0.160248629,0.843547114,0.081873070,0.506009384,254668.387386291
49,254668411722791,-0.003503169,-0.171871299,0.058344490,-0.162521091,0.843033677,0.082503360,0.506037906,254668.420722791
50,254668445059375,-0.003724587,-0.175380817,0.058560587,-0.164407791,0.842832712,0.081719129,0.505890437,254668.454059375
51,254668478395833,-0.003701823,-0.178829493,0.058695366,-0.166370033,0.842924294,0.081262643,0.505169361,254668.487395833
52,254668511732416,-0.003777000,-0.183236574,0.058339730,-0.169079431,0.843191724,0.080434702,0.503954536,254668.520732416
53,254668545068916,-0.003865555,-0.186481030,0.057690913,-0.170663819,0.843542855,0.080065138,0.502890584,254668.554068916
54,254668578405500,-0.003493760,-0.189931635,0.056911360,-0.171280430,0.844673595,0.079485353,0.500870905,254668.587405500
55,254668611741875,-0.003061087,-0.194305336,0.055183244,-0.172644496,0.846416383,0.078980828,0.497529161,254668.620741875
56,254668645078458,-0.002779636,-0.197549950,0.053728728,-0.174009312,0.848177378,0.079120070,0.494020205,254668.654078458
57,254668678414916,-0.002647822,-0.201013397,0.052973110,-0.174613390,0.849892710,0.077271142,0.491143328,254668.687414916
58,254668711751458,-0.003330536,-0.205746408,0.052524476,-0.174670122,0.850296256,0.075374794,0.490719186,254668.720751458
59,254668745088000,-0.003782603,-0.209325934,0.052445901,-0.175810084,0.849537051,0.076106342,0.491513470,254668.754088000
60,254668778424458,-0.003767700,-0.213182288,0.052803211,-0.177498839,0.848790233,0.076852889,0.492080268,254668.787424458
61,254668811761083,-0.004516318,-0.218048191,0.053074502,-0.178326076,0.848844962,0.076468899,0.491746481,254668.820761083
62,254668845097625,-0.005302046,-0.221557139,0.053361258,-0.179503024,0.848475207,0.075691726,0.492076521,254668.854097625
63,254668878434083,0.008391299,-0.236473015,0.063307618,-0.184060835,0.848395912,0.080028991,0.489838135,254668.887434083
64,254668911770625,0.008434941,-0.240500767,0.063159236,-0.184805927,0.848070047,0.081680531,0.489849272,254668.920770625
65,254668945107041,0.008408306,-0.244509456,0.062876548,-0.185354508,0.847703850,0.082207256,0.490187626,254668.954107041
66,254668978443541,0.008521537,-0.249919225,0.062064041,-0.185815372,0.847405417,0.083383293,0.490330487,254668.987443541
67,254669011780041,0.008833307,-0.254065106,0.060991620,-0.185560265,0.847886261,0.084648696,0.489378103,254669.020780041
68,254669045116583,0.009215642,-0.258077040,0.059653666,-0.185901497,0.848005146,0.086492933,0.488719687,254669.054116583
69,254669078453041,0.019977573,-0.265256731,0.064993338,-0.187530273,0.848689095,0.090932288,0.486097304,254669.087453041
70,254669111789583,0.020848927,-0.269021753,0.063591361,-0.187817804,0.848319107,0.092204091,0.486392459,254669.120789583
71,254669145126208,0.021983479,-0.272825725,0.061895352,-0.188221057,0.847793133,0.093928554,0.486823497,254669.154126208
72,254669178462708,0.024328738,-0.278311890,0.059131799,-0.189307859,0.846722215,0.098990418,0.487262738,254669.187462708
73,254669211799166,0.026569193,-0.282480282,0.056700849,-0.191060492,0.845803975,0.102212304,0.487508178,254669.220799166
74,254669245135625,0.029353108,-0.286924773,0.053805183,-0.192726700,0.845707463,0.104955990,0.486435607,254669.254135625
75,254669278472083,0.040366752,-0.287430911,0.050776975,-0.193387476,0.847462237,0.107866651,0.482466454,254669.287472083
76,254669311808625,0.044349422,-0.292351090,0.047139043,-0.194925025,0.848366331,0.109605992,0.479859753,254669.320808625
77,254669345145041,0.048651207,-0.297160830,0.043253206,-0.197659372,0.849329096,0.111489313,0.476593167,254669.354145041
78,254669378481666,0.057473712,-0.303285282,0.039483594,-0.201033549,0.851465751,0.113143933,0.470945953,254669.387481666
79,254669411818083,0.061961906,-0.307696724,0.035440509,-0.203359369,0.852705137,0.114128312,0.467454488,254669.420818083
80,254669445154666,0.066285569,-0.312182089,0.031514343,-0.204983185,0.853026385,0.116076829,0.465675964,254669.454154666
81,254669478491041,0.072436635,-0.318272259,0.027328999,-0.208039085,0.852418291,0.120548521,0.464296138,254669.487491041
82,254669511827666,0.076948383,-0.322553551,0.023284512,-0.210053737,0.852645983,0.123320215,0.462238502,254669.520827666
83,254669545163958,0.081539333,-0.327051726,0.019087943,-0.211130393,0.853509049,0.125807431,0.459476664,254669.554163958
84,254669578500666,0.086582392,-0.332707611,0.013579570,-0.212320330,0.854934281,0.128243296,0.455588810,254669.587500666
85,254669611837125,0.090980062,-0.337329292,0.009410424,-0.213432207,0.856303006,0.129669734,0.452081485,254669.620837125
