recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,-0.000587875,-0.125436559,0.063180585,-0.157425949,0.842343355,0.077755428,0.509537917,254668.081357500
40,254668111694041,-0.001053402,-0.129925483,0.062175823,-0.157011551,0.842524921,0.078207499,0.509296348,254668.114694041
41,254668145030541,-0.001645593,-0.134489604,0.061093671,-0.156132689,0.842919027,0.077538897,0.509016571,254668.148030541
42,254668178367083,-0.002273637,-0.140606417,0.059529268,-0.156074686,0.843325618,0.077128337,0.508422922,254668.181367083
43,254668211703541,-0.002541632,-0.145244329,0.058289147,-0.156464537,0.843902267,0.077436205,0.507298235,254668.214703541
44,254668245040125,-0.002747250,-0.149857273,0.057126155,-0.156924724,0.844636726,0.077762710,0.505881850,254668.248040125
45,254668278376708,-0.002186436,-0.158022152,0.059288607,-0.158197554,0.845465932,0.078949451,0.503912620,254668.281376708
46,254668311713250,-0.002634702,-0.162601458,0.058952146,-0.157876341,0.845499760,0.079861128,0.503812932,254668.314713250
47,254668345049666,-0.003028839,-0.166926259,0.058966475,-0.158325207,0.844832175,0.080968130,0.504614645,254668.348049666
48,254668378386291,-0.003291721,-0.172400785,0.059241426,-0.160780722,0.843378542,0.083033480,0.505932495,254668.381386291
49,254668411722791,-0.003491394,-0.176243142,0.059392416,-0.162449049,0.843029771,0.083519801,0.505900789,254668.414722791
50,254668445059375,-0.003769288,-0.179892032,0.059561813,-0.164303225,0.842817196,0.082778311,0.505778043,254668.448059375
51,254668478395833,-0.003823263,-0.184696964,0.059580401,-0.166937497,0.842937159,0.082139090,0.504818821,254668.481395833
52,254668511732416,-0.003957401,-0.188140290,0.059227880,-0.168979696,0.843134996,0.081478558,0.503915210,254668.514732416
53,254668545068916,-0.004104434,-0.191555488,0.058539485,-0.170747653,0.843370713,0.081056146,0.502992082,254668.548068916
54,254668578405500,-0.003761768,-0.196314548,0.057296145,-0.171647147,0.844844272,0.080293195,0.500328361,254668.581405500
55,254668611741875,-0.003522938,-0.199770528,0.055903099,-0.172693769,0.846119206,0.079877496,0.497874273,254668.614741875
56,254668645078458,-0.003356828,-0.204353260,0.053954514,-0.174492862,0.848439092,0.079945734,0.493266744,254668.648078458
57,254668678414916,-0.003459902,-0.208047160,0.053386041,-0.174885615,0.850038052,0.077794252,0.490712177,254668.681414916
58,254668711751458,-0.004146679,-0.211858482,0.053065557,-0.174884382,0.850307152,0.076309597,0.490479457,254668.714751458
59,254668745088000,-0.004920369,-0.216910304,0.052914057,-0.176397728,0.849309521,0.077192851,0.491526698,254668.748088000
60,254668778424458,-0.005175721,-0.220705696,0.053316415,-0.178023344,0.848660033,0.077953932,0.491942147,254668.781424458
61,254668811761083,-0.005908493,-0.224560971,0.053471733,-0.178539520,0.848760683,0.077648856,0.491629588,254668.814761083
62,254668845097625,-0.007182692,-0.229526555,0.053733330,-0.180091884,0.848266186,0.076703255,0.492065093,254668.848097625
63,254668878434083,0.007660316,-0.234749650,0.063955915,-0.183210602,0.848844673,0.079752501,0.489424344,254668.881434083
64,254668911770625,0.007685206,-0.238720639,0.063883282,-0.184072165,0.848449893,0.081570443,0.489485989,254668.914770625
65,254668945107041,0.007609004,-0.243981443,0.063565537,-0.184807243,0.847963635,0.082327669,0.489924652,254668.948107041
66,254668978443541,0.007713635,-0.247999688,0.062989869,-0.185166499,0.847717569,0.083218574,0.490064295,254668.981443541
67,254669011780041,0.007998954,-0.252078711,0.062007866,-0.184893854,0.848168980,0.084452240,0.489174321,254669.014780041
68,254669045116583,0.008449168,-0.257310921,0.060304373,-0.185334728,0.848323765,0.086939398,0.488302594,254669.048116583
69,254669078453041,0.020622675,-0.261386111,0.065237892,-0.186792423,0.849171679,0.090455580,0.485627317,254669.081453041
70,254669111789583,0.021529584,-0.264985927,0.063847627,-0.187101944,0.848808117,0.091856975,0.485880635,254669.114789583
71,254669145126208,0.023192844,-0.269908519,0.061552340,-0.187631383,0.848117748,0.094232549,0.486426798,254669.148126208
72,254669178462708,0.025074472,-0.273873079,0.059460026,-0.188399510,0.847325106,0.098157314,0.486735024,254669.181462708
73,254669211799166,0.027357407,-0.277839143,0.057042393,-0.190015051,0.846357896,0.101509058,0.487102203,254669.214799166
74,254669245135625,0.031264497,-0.283608423,0.053132571,-0.192172566,0.846240656,0.105148573,0.485685378,254669.248135625
75,254669278472083,0.040357061,-0.283546318,0.051536702,-0.192712569,0.847705528,0.107244839,0.482447719,254669.281472083
76,254669311808625,0.044301397,-0.288209829,0.047925191,-0.194000021,0.848612911,0.108988583,0.479939227,254669.314808625
77,254669345145041,0.050032988,-0.294252312,0.042763584,-0.197568375,0.849919653,0.111455428,0.475584968,254669.348145041
78,254669378481666,0.056017796,-0.298140296,0.039608741,-0.200088569,0.851510579,0.112712081,0.471370701,254669.381481666
79,254669411818083,0.060345017,-0.302296877,0.035566831,-0.202500428,0.852834109,0.113712518,0.467693357,254669.414818083
80,254669445154666,0.065858704,-0.307944117,0.030373950,-0.204725305,0.853266837,0.116346726,0.465281363,254669.448154666
81,254669478491041,0.069814707,-0.312296226,0.026483340,-0.207134321,0.852674626,0.119948422,0.464385383,254669.481491041
82,254669511827666,0.074110803,-0.316375095,0.022405908,-0.209313385,0.852758282,0.122876029,0.462485410,254669.514827666
83,254669545163958,0.079923695,-0.322143991,0.016763524,-0.210765691,0.853890550,0.126181423,0.458832272,254669.548163958
84,254669578500666,0.084138825,-0.326750363,0.012956933,-0.211709499,0.854971654,0.128078308,0.455849272,254669.581500666
85,254669611837125,0.088337707,-0.331192348,0.008769942,-0.212829375,0.856322603,0.129569861,0.452357116,254669.614837125
86,254669645173666,0.093415642,-0.337122007,0.003493517,-0.213891053,0.858029039,0.130430298,0.448357866,254669.648173666
87,254669678510000,0.097295354,-0.342300438,0.000498246,-0.214741966,0.858648406,0.131047947,0.446581786,254669.681510000
88,254669711846666,0.101360798,-0.347942800,-0.003843382,-0.215044041,0.857941905,0.133792577,0.446980254,254669.714846666
89,254669745183041,0.104346160,-0.351769999,-0.007027751,-0.215834352,0.857342813,0.136244371,0.447008230,254669.748183041
90,254669778519583,0.108442670,-0.356533257,-0.010197093,-0.216874560,0.857003150,0.138518785,0.446456744,254669.781519583
91,254669811855958,0.112546838,-0.361190373,-0.014310621,-0.217785334,0.856011546,0.142579215,0.446637440,254669.814855958
92,254669845192583,0.115630978,-0.364188254,-0.017215686,-0.219821826,0.855197801,0.145660488,0.446204170,254669.848192583
93,254669878529083,0.119967739,-0.367730062,-0.019903973,-0.222183662,0.854967358,0.147362568,0.444915233,254669.881529083
94,254669911865625,0.123646530,-0.371489251,-0.022977365,-0.224360628,0.854455010,0.149007932,0.444258522,254669.914865625
95,254669945201958,0.126233151,-0.374069071,-0.025006686,-0.226796195,0.854048059,0.149957964,0.443484003,254669.948201958
96,254669978538583,0.128742291,-0.376604536,-0.026804965,-0.229520725,0.853491601,0.150839937,0.442854028,254669.981538583
97,254670011874916,0.131981204,-0.380205423,-0.028963605,-0.232020408,0.852555361,0.152136764,0.442911217,254670.014874916
98,254670045211500,0.134611108,-0.382891839,-0.030276579,-0.234311576,0.851581746,0.152499067,0.443453157,254670.048211500
99,254670078548083,0.138140598,-0.384632666,-0.031042020,-0.237363531,0.850109089,0.152593315,0.444621664,254670.081548083
100,254670111884541,0.142934472,-0.388628089,-0.032960687,-0.241355168,0.848063827,0.152836687,0.446291865,254670.114884541
