recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.038242053,-0.237109258,0.104067540,-0.117869878,0.847414713,0.058616539,0.514353137,268463.457852837
40,268463481915875,-0.033647759,-0.243449982,0.102585938,-0.121421847,0.848855271,0.061413629,0.510812963,268463.491189379
41,268463515252541,-0.029893909,-0.248210521,0.101516506,-0.124568315,0.849026215,0.063977277,0.509454789,268463.524526045
42,268463548589125,-0.028569396,-0.261332105,0.102126859,-0.126182058,0.848783085,0.065752995,0.509236645,268463.557862629
43,268463581925708,-0.022546342,-0.268100828,0.100405609,-0.130124871,0.848615021,0.069698853,0.507998216,268463.591199212
44,268463615262250,-0.017242803,-0.273207645,0.098763842,-0.134924491,0.849160124,0.074615327,0.505128767,268463.624535754
45,268463648598958,-0.015145161,-0.284034635,0.099428906,-0.139206422,0.850461358,0.075501327,0.501633984,268463.657872462
46,268463681935541,-0.007267071,-0.291638933,0.096485991,-0.144366385,0.852600770,0.078713701,0.496018629,268463.691209045
47,268463715272041,-0.001079417,-0.297552840,0.093971689,-0.148448950,0.853589189,0.080394906,0.492833762,268463.724545545
48,268463748608625,0.005803179,-0.309102689,0.093016944,-0.154750073,0.853651249,0.082089933,0.490503065,268463.757882129
49,268463781945250,0.015544180,-0.318245519,0.089338617,-0.162241707,0.852617149,0.082469781,0.489816715,268463.791218754
50,268463815281708,0.023695942,-0.325785754,0.086664854,-0.168014809,0.852226537,0.083768049,0.488327677,268463.824555212
51,268463848618291,0.032429207,-0.338253950,0.085653890,-0.171511717,0.852132338,0.084732737,0.487108433,268463.857891795
52,268463881954875,0.044528189,-0.350511185,0.083499975,-0.175382661,0.852057269,0.083738697,0.486032115,268463.891228379
53,268463915291416,0.053973144,-0.360032462,0.082410204,-0.178230968,0.851894956,0.080164344,0.485883151,268463.924564920
54,268463948628000,0.063287191,-0.373154142,0.082338711,-0.180974957,0.851813648,0.075416924,0.485771463,268463.957901504
55,268463981964583,0.077124648,-0.385926158,0.081501584,-0.184390739,0.851521854,0.072764491,0.485402893,268463.991238087
56,268464015301166,0.088214792,-0.395405678,0.081032903,-0.189604516,0.850776904,0.075393379,0.484298129,268464.024574670
57,268464048637666,0.102511843,-0.405867552,0.081683751,-0.195311894,0.851092636,0.081863933,0.480409137,268464.057911170
58,268464081974208,0.113928873,-0.414418827,0.081844075,-0.199282160,0.851516344,0.085977129,0.477299197,268464.091247712
59,268464115310791,0.124955025,-0.422278626,0.082101216,-0.202841410,0.851651177,0.088759808,0.475044614,268464.124584295
60,268464148647291,0.137943533,-0.428973502,0.084115188,-0.206998161,0.850288810,0.089231215,0.475603348,268464.157920795
61,268464181983833,0.147836854,-0.435821145,0.084729482,-0.209134282,0.848045758,0.091344205,0.478265129,268464.191257337
62,268464215320333,0.157379339,-0.442462683,0.085131080,-0.210661313,0.845921921,0.094739612,0.480689477,268464.224593837
63,268464248656958,0.168595854,-0.450966649,0.085867109,-0.212660251,0.844971595,0.099732494,0.480470710,268464.257930462
64,268464281993541,0.177634608,-0.456865044,0.085586734,-0.213791904,0.845248823,0.103298206,0.478724330,268464.291267045
65,268464315329916,0.186352761,-0.462226822,0.085087576,-0.214665499,0.845919143,0.105538762,0.476656218,268464.324603420
66,268464348666500,0.195727972,-0.468353997,0.085395864,-0.216224714,0.846175758,0.109755925,0.474538882,268464.357940004
67,268464382003041,0.203466284,-0.472627302,0.084862429,-0.219518367,0.844820503,0.113917218,0.474460667,268464.391276545
68,268464415339625,0.210853068,-0.476291890,0.084423057,-0.223371100,0.842890546,0.117625693,0.475189572,268464.424613129
69,268464448676125,0.220531520,-0.482330539,0.084695854,-0.227768818,0.841779061,0.121812146,0.474016067,268464.457949629
70,268464482012708,0.227509673,-0.485547993,0.084118153,-0.231843636,0.841667261,0.125369624,0.471303788,268464.491286212
71,268464515349291,0.234040614,-0.488612844,0.083738026,-0.234311639,0.841488529,0.126996453,0.469964961,268464.524622795
72,268464548685791,0.243902011,-0.496567283,0.084860411,-0.238068599,0.840432226,0.128137892,0.469657055,268464.557959295
73,268464582022416,0.249389486,-0.499699893,0.085086400,-0.241903776,0.839659096,0.128298575,0.469035920,268464.591295920
74,268464615358791,0.254830530,-0.502832989,0.085221716,-0.244716229,0.839034064,0.128080428,0.468755015,268464.624632295
75,268464648695375,0.262542098,-0.508898212,0.084598654,-0.246351972,0.839457442,0.127706197,0.467239863,268464.657968879
76,268464682031958,0.267990363,-0.513131366,0.084090665,-0.247964126,0.840210372,0.129041459,0.464659745,268464.691305462
77,268464715368500,0.273270735,-0.517378452,0.083486736,-0.249667957,0.840409757,0.131410832,0.462718703,268464.724642004
78,268464748704958,0.280091512,-0.523724010,0.083093095,-0.250866203,0.838586142,0.133589327,0.464750874,268464.757978462
79,268464782041541,0.284563528,-0.528035521,0.082892208,-0.253642734,0.835243640,0.136386531,0.468435901,268464.791315045
80,268464815378083,0.289064723,-0.532170144,0.082648030,-0.258132335,0.831350730,0.139128769,0.472087810,268464.824651587
81,268464848714625,0.295532709,-0.537696191,0.080832807,-0.264960978,0.827853830,0.142171715,0.473540888,268464.857988129
82,268464882051125,0.300631363,-0.542236123,0.080271930,-0.268981346,0.826476794,0.143755109,0.473201508,268464.891324629
83,268464915387625,0.305967899,-0.547221646,0.079720423,-0.273466070,0.824996823,0.145672926,0.472626705,268464.924661129
84,268464948724166,0.312063472,-0.553375974,0.078816825,-0.280628801,0.821984407,0.150338637,0.472215478,268464.957997670
85,268464982060708,0.317669553,-0.559622469,0.078771781,-0.285179112,0.819698961,0.152394164,0.472802876,268464.991334212
86,268465015397250,0.323603620,-0.566417459,0.078826399,-0.290172296,0.817103427,0.154737674,0.473495864,268465.024670754
87,268465048733708,0.331166171,-0.575624546,0.079225169,-0.297960316,0.812589853,0.160555350,0.474488582,268465.058007212
88,268465082070333,0.338007848,-0.583573456,0.079359607,-0.304493648,0.809034927,0.165835325,0.474599625,268465.091343837
89,268465115406791,0.347550166,-0.595107317,0.079792544,-0.311626555,0.805557166,0.170613870,0.474191420,268465.124911296
90,268465148743416,0.353341679,-0.603596379,0.081064749,-0.315943754,0.804022675,0.172097713,0.473402063,268465.158247921
91,268465182079875,0.361134730,-0.613194148,0.081725575,-0.320568147,0.803402461,0.173551925,0.470808168,268465.191584380
92,268465215416541,0.371957320,-0.626533635,0.082744406,-0.326640111,0.802431573,0.177398428,0.466840079,268465.224921046
93,268465248752958,0.378932134,-0.636930023,0.084109003,-0.329448661,0.801295292,0.180034673,0.465807906,268465.258257463
94,268465282089500,0.387024225,-0.647843893,0.085321153,-0.332801627,0.800240604,0.183963486,0.463697683,268465.291594005
95,268465315426125,0.397750420,-0.662451480,0.087226713,-0.336604606,0.798877310,0.188233878,0.461584709,268465.324930630
96,268465348762541,0.404831746,-0.673821377,0.089261205,-0.340017958,0.797109648,0.190596013,0.461169394,268465.358267046
97,268465382099083,0.412339193,-0.684339604,0.090944408,-0.344099561,0.795293594,0.192966040,0.460290943,268465.391603588
98,268465415435666,0.422278896,-0.698098685,0.092997447,-0.349751656,0.792744348,0.195880787,0.459195980,268465.424940171
99,268465448772166,0.428969522,-0.709377295,0.093461636,-0.353302456,0.791457955,0.196817936,0.458295138,268465.458276671
100,268465482108666,0.436339134,-0.719681610,0.094544435,-0.356428234,0.790811788,0.197959768,0.456494921,268465.491613171
