recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037329024,-0.252223028,0.104363947,-0.118510365,0.847225759,0.060369833,0.514314439,268463.447852837
40,268463481915875,-0.032934989,-0.259256378,0.101758018,-0.122243275,0.849376985,0.063750609,0.509461708,268463.481189379
41,268463515252541,-0.029365555,-0.264584129,0.099865138,-0.125356677,0.849891879,0.066334579,0.507512831,268463.514526045
42,268463548589125,-0.026411428,-0.273037104,0.101800851,-0.127966775,0.849815638,0.068790422,0.506661443,268463.547862629
43,268463581925708,-0.020719129,-0.280301341,0.099522408,-0.130694887,0.849464203,0.071681933,0.506153305,268463.581199212
44,268463615262250,-0.015641004,-0.285740226,0.097440426,-0.135176417,0.849603932,0.076347222,0.504055206,268463.614535754
45,268463648598958,-0.013521888,-0.289441969,0.101637262,-0.139364196,0.850753768,0.076615030,0.500924982,268463.647872462
46,268463681935541,-0.005597844,-0.296957437,0.098862608,-0.143870499,0.852820246,0.079183250,0.495710574,268463.681209045
47,268463715272041,0.000669272,-0.302752656,0.096401789,-0.148246858,0.854181905,0.081798762,0.491635188,268463.714545545
48,268463748608625,0.007938817,-0.308300271,0.095646685,-0.153482248,0.854932492,0.083520567,0.488423998,268463.747882129
49,268463781945250,0.017596616,-0.316849059,0.092221540,-0.161511115,0.854074123,0.084381726,0.487187160,268463.781218754
50,268463815281708,0.025691384,-0.323895423,0.089696346,-0.167293303,0.853354614,0.084842950,0.486416057,268463.814555212
51,268463848618291,0.034815645,-0.334880999,0.088414264,-0.172063271,0.853201779,0.086700963,0.484689541,268463.847891795
52,268463881954875,0.047092713,-0.346536836,0.086284823,-0.175979154,0.853198810,0.086528352,0.483317726,268463.881228379
53,268463915291416,0.056726420,-0.355725194,0.085236857,-0.178719808,0.853089988,0.084528623,0.482857813,268463.914564920
54,268463948628000,0.065994137,-0.362595711,0.084522692,-0.181753458,0.852881881,0.080692320,0.482749397,268463.947901504
55,268463981964583,0.079883912,-0.375183439,0.084358999,-0.184884654,0.852795830,0.075129569,0.482610131,268463.981238087
56,268464015301166,0.091028097,-0.384590859,0.084388712,-0.189086943,0.852214590,0.075877850,0.481891094,268464.014574670
57,268464048637666,0.104664543,-0.393088888,0.082780538,-0.194947913,0.851604818,0.082449169,0.479548467,268464.047911170
58,268464081974208,0.116306514,-0.401843208,0.083285480,-0.199802513,0.851962248,0.087308168,0.476042666,268464.081247712
59,268464115310791,0.127686716,-0.410019514,0.083996246,-0.203287386,0.852409758,0.090932461,0.473078413,268464.114584295
60,268464148647291,0.140713546,-0.429089258,0.085315317,-0.207263575,0.851787499,0.091767536,0.472312015,268464.147920795
