ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw
368.105,268463.422516212,1,1,1,2,268462131783166,268462.13905667001,411062b88e64df28,0.0016324012823863174,-0.023599460513062422,-0.0041896012086239214,-0.045647084748932087,0.83859886711659604,0,0.54283366711143521,-0.00066117238888828108,0.0095584873441264002,0.0016969132551747802,0.38384135685828163,-0.38384135685828163,-0.56070156754797429,0.62525629216514966
319.102,268463.422516212,1,6,1,7,268462298466208,268462.30573971203,411062b93913d4c1,-0.011894707704228461,-0.04466657062223349,0.014985415888750239,-0.041009791609246615,0.83593419534161817,0.017049859641823706,0.54702977391491403,-0.014604856939558212,-0.011755104217189647,0.021974795128604993,0.39886452340490697,-0.37475238130441563,-0.56209642145456062,0.62009302339538008
271.361,268463.422516212,1,11,1,12,268462465149375,268462.47242287901,411062b9e3c2d2bd,-0.024409640595801065,-0.075505819383903897,0.050336757026598442,-0.039486280874668656,0.83891203697468986,0.022559024500943992,0.54236387367496142,-0.027148414460537007,-0.042678186303113555,0.05769926855442907,0.39946080151959035,-0.36755752396527469,-0.5652793581535499,0.62112139060843319
224.839,268463.422516212,1,16,1,17,268462631832458,268462.63910596207,411062ba8e71cb17,-0.034959107261842474,-0.10058167302078033,0.079224927379735355,-0.046279498771193861,0.83750916389760355,0.024062582786149866,0.54392798576940682,-0.038158433839751822,-0.067758924933685447,0.086421625888467857,0.40162997198977346,-0.36760034197327546,-0.55948384680108409,0.62493293988178122
178.650,268463.422516212,1,21,1,22,268462798515500,268462.80578900402,411062bb3920c0af,-0.042846588876047587,-0.11958469146059912,0.090548067429049361,-0.054584154385879602,0.83995365084368689,0.024228322863010576,0.53936210110469029,-0.046438278154577392,-0.086744120889210338,0.097473213249804846,0.3985185999962812,-0.36425457812149431,-0.55534008190686845,0.63253373127621348
130.764,268463.422516212,1,26,1,27,268462965198583,268462.97247208701,411062bbe3cfb908,-0.051218293281585739,-0.14380984411770775,0.099537088757489872,-0.056414554102955095,0.83753977650212352,0.026858846121180779,0.54279201952465783,-0.055064053415588496,-0.11101205174558776,0.10652821859991318,0.40280397928986011,-0.36481983584620947,-0.55233892701864018,0.63212115242356504
80.433,268463.422516212,1,31,1,32,268463215223250,268463.22249675402,411062bce3d63068,-0.049455996755287369,-0.19380596465433708,0.10870133693391781,-0.091908142867177245,0.83924620609067135,0.044990618514711089,0.53403613763046509,-0.055780315811173202,-0.16134870263133236,0.11547555883875497,0.4094337348652114,-0.34580739367501062,-0.52844779828414468,0.65842553696121187
31.845,268463.422516212,1,36,1,37,268463381906208,268463.38917971205,411062bd8e85205e,-0.043305971591892221,-0.22548231430115964,0.10426020394444754,-0.11270940291564785,0.84116523728470893,0.056041868585715388,0.52592489602229242,-0.051045653586362261,-0.19332036542042841,0.11097342364771269,0.41151263473071376,-0.33225746622474639,-0.51509604657249863,0.67449120854187561
403.720,268463.522526045,2,1,1,2,268462131783166,268462.13905667001,411062b88e64df28,0.0016324012823863174,-0.023599460513062422,-0.0041896012086239214,-0.045647084748932087,0.83859886711659604,0,0.54283366711143521,-0.00066117238888828108,0.0095584873441264002,0.0016969132551747802,0.38384135685828163,-0.38384135685828163,-0.56070156754797429,0.62525629216514966
354.711,268463.522526045,2,6,1,7,268462298466208,268462.30573971203,411062b93913d4c1,-0.012564238187438143,-0.045104365878457224,0.015789634772081299,-0.040963647600085806,0.83591555640345949,0.01699044458776755,0.54706356133741985,-0.015270281732128688,-0.01219219795684675,0.022777301263876212,0.39884640193333409,-0.37481828540586248,-0.56211587047626588,0.62004721493524406
306.970,268463.522526045,2,11,1,12,268462465149375,268462.47242287901,411062b9e3c2d2bd,-0.025630341334877099,-0.076463826392814793,0.051822543914162515,-0.039395715950013732,0.8388704621376315,0.022441735867475665,0.54243962523170919,-0.028361251417606849,-0.04363476186215802,0.059181593046259563,0.39943143037175205,-0.36769402398918627,-0.56531399937577875,0.62102795368934738
260.472,268463.522526045,2,16,1,17,268462631832458,268462.63910596207,411062ba8e71cb17,-0.036621131894751455,-0.10212432005569287,0.081256908820416807,-0.046149375474205778,0.83744561775845461,0.023892808576301272,0.54404435421325492,-0.039809218828230374,-0.069299358949988912,0.088448499887781792,0.40159220841148474,-0.36780267537870776,-0.55953092395961179,0.62479599491382376
21.597,268463.522526045,1,39,1,40,268463481915875,268463.48918937903,411062bdf4ee0f82,-0.035984730847201149,-0.24653373703544262,0.1011421913182272,-0.12142881371593528,0.84906639759489178,0.061710178056123971,0.51042453194525761,-0.044149808223903166,-0.21450828496657645,0.10800243061316617,0.4045603224303469,-0.31728895400888074,-0.51451745611763067,0.68624372676859213
244.378,268463.622535754,2,21,1,22,268462798515500,268462.80578900402,411062bb3920c0af,-0.043584091643724635,-0.12422759603510504,0.09511064351881876,-0.055030473057513518,0.84005290170508728,0.023635174688869665,0.53918846529004694,-0.047177156408038344,-0.091377048695940488,0.10198758884965832,0.39797640185253241,-0.36455121814779412,-0.55509466791125028,0.63291950718236678
14.649,268463.622535754,1,42,1,43,268463581925708,268463.58919921203,411062be5b5709ca,-0.024632145811450804,-0.27042945314107852,0.10149725496828073,-0.13023154505627454,0.84879248427892229,0.067663709817339213,0.50794954364592759,-0.033451056705519767,-0.23858955438315779,0.10841163199693855,0.40702002403545468,-0.31132909047727192,-0.50809929930149711,0.69227451166867349
226.480,268463.722545545,2,26,1,27,268462965198583,268462.97247208701,411062bbe3cfb908,-0.052004928005575338,-0.15088468759685222,0.10544906046614856,-0.057122895999009937,0.8377360473116986,0.026475844333852028,0.54243374956444912,-0.055870774124102476,-0.11807967140103635,0.11239507357776356,0.40227982102442028,-0.36483732388841195,-0.55197683809057463,0.6327608101850446
