recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.036161804,-0.273137000,0.112453895,-0.120213089,0.848101786,0.063345466,0.512112858,268463.447852837
40,268463481915875,-0.030947696,-0.280683548,0.109289950,-0.123812874,0.849920325,0.066144322,0.507868876,268463.481189379
41,268463515252541,-0.026707439,-0.286469935,0.107083431,-0.127099310,0.850311409,0.068944644,0.506026641,268463.514526045
42,268463548589125,-0.025057432,-0.283897009,0.107680213,-0.128270460,0.849929692,0.069879782,0.506244089,268463.547862629
43,268463581925708,-0.018719433,-0.291526470,0.105634897,-0.131324701,0.849633843,0.073022598,0.505513511,268463.581199212
44,268463615262250,-0.013168495,-0.297218713,0.103728071,-0.136467753,0.849936006,0.078405866,0.502829903,268463.614535754
45,268463648598958,-0.013827996,-0.298076299,0.104462193,-0.139377170,0.850773576,0.076555134,0.500896888,268463.647872462
46,268463681935541,-0.005408349,-0.305705573,0.101565419,-0.143971646,0.852894910,0.079171711,0.495554570,268463.681209045
47,268463715272041,0.001372675,-0.311618618,0.099009768,-0.148550589,0.854065471,0.081911131,0.491727072,268463.714545545
48,268463748608625,0.007869653,-0.325426463,0.099751024,-0.154021174,0.854821847,0.082763356,0.488576880,268463.747882129
49,268463781945250,0.017922010,-0.334430767,0.096007705,-0.161848078,0.853860265,0.083502266,0.487601550,268463.781218754
50,268463815281708,0.026300394,-0.341597446,0.093049665,-0.167609176,0.853302436,0.084248713,0.486502132,268463.814555212
51,268463848618291,0.036281575,-0.353209004,0.091214314,-0.172105698,0.852797359,0.085728198,0.485558464,268463.847891795
52,268463881954875,0.049353033,-0.365344855,0.088492917,-0.175977193,0.852705627,0.084947559,0.484467859,268463.881228379
53,268463915291416,0.059573555,-0.375072286,0.087152324,-0.178768156,0.852569570,0.082373481,0.484129876,268463.914564920
54,268463948628000,0.069332067,-0.385531829,0.086720339,-0.181398610,0.852599904,0.078030845,0.483817308,268463.947901504
55,268463981964583,0.083771386,-0.398585993,0.085978675,-0.184267857,0.852478279,0.073624125,0.483637966,268463.981238087
56,268464015301166,0.095397433,-0.408194404,0.085552743,-0.189320739,0.851710649,0.075514102,0.482746623,268464.014574670
57,268464048637666,0.110165590,-0.418502716,0.085064842,-0.194938466,0.851561611,0.082253508,0.479662622,268464.047911170
58,268464081974208,0.122314750,-0.427768099,0.085162189,-0.199611324,0.852017879,0.086836994,0.476109486,268464.081247712
59,268464115310791,0.134512491,-0.436558407,0.085671820,-0.203019403,0.852279529,0.090189269,0.473570138,268464.114584295
60,268464148647291,0.147506004,-0.448208434,0.087710618,-0.207301101,0.851555531,0.091097364,0.472843266,268464.147920795
61,268464181983833,0.158266081,-0.455551354,0.088543018,-0.209791287,0.849522939,0.092813207,0.475062264,268464.181257337
62,268464215320333,0.168686224,-0.462496792,0.089039471,-0.211434599,0.847259979,0.095816197,0.477771125,268464.214593837
63,268464248656958,0.177644866,-0.469939210,0.090808999,-0.212924714,0.845100982,0.099786302,0.480114719,268464.247930462
64,268464281993541,0.187054039,-0.476586522,0.090998500,-0.214211600,0.845222329,0.103702054,0.478496125,268464.281267045
65,268464315329916,0.196318016,-0.482573725,0.090813001,-0.215216325,0.845768107,0.106148692,0.476540398,268464.314603420
66,268464348666500,0.203936915,-0.484116236,0.089826871,-0.215743545,0.847022059,0.109446427,0.473317956,268464.347940004
67,268464382003041,0.212213832,-0.488699611,0.089330804,-0.218799146,0.845963191,0.113664264,0.472814659,268464.381276545
68,268464415339625,0.220135141,-0.492766567,0.088904428,-0.222423744,0.844099598,0.117399142,0.473540961,268464.414613129
69,268464448676125,0.225852911,-0.493683300,0.087793331,-0.227335426,0.841965401,0.121971446,0.473852178,268464.447949629
70,268464482012708,0.232812059,-0.496779465,0.087277347,-0.231218653,0.841784724,0.125128494,0.471465085,268464.481286212
71,268464515349291,0.239568619,-0.499823908,0.086825064,-0.234154083,0.841708743,0.127653122,0.469470970,268464.514622795
72,268464548685791,0.247431069,-0.504278283,0.085840652,-0.237187386,0.841150216,0.128247452,0.468786842,268464.547959295
73,268464582022416,0.252898769,-0.507232842,0.085994279,-0.241032595,0.840458505,0.128775505,0.467920626,268464.581295920
74,268464615358791,0.258104215,-0.510138236,0.086188977,-0.244293092,0.839676840,0.128541770,0.467697291,268464.614632295
75,268464648695375,0.265467426,-0.516611578,0.085746462,-0.246353370,0.839533799,0.127663601,0.467113558,268464.647968879
76,268464682031958,0.270687846,-0.520434519,0.085205293,-0.248041577,0.840267840,0.128596415,0.464637867,268464.681305462
77,268464715368500,0.275902196,-0.524543787,0.084504931,-0.249571288,0.840722767,0.130619644,0.462426170,268464.714642004
78,268464748704958,0.285051840,-0.534427110,0.083439134,-0.250779281,0.839826456,0.133820472,0.462486118,268464.747978462
79,268464782041541,0.289632751,-0.538934194,0.083008675,-0.252747012,0.836955190,0.136321269,0.465877154,268464.781315045
80,268464815378083,0.293969338,-0.543353621,0.082679382,-0.256700782,0.833071486,0.138914733,0.469892922,268464.814651587
81,268464848714625,0.303034032,-0.551843447,0.082751829,-0.264370708,0.828123311,0.142852019,0.473194743,268464.847988129
82,268464882051125,0.307751936,-0.556302258,0.082225326,-0.268279145,0.826580006,0.144274283,0.473261850,268464.881324629
83,268464915387625,0.312805896,-0.561229472,0.081671494,-0.272541285,0.825235334,0.145920120,0.472668238,268464.914661129
84,268464948724166,0.322429130,-0.570048521,0.081835866,-0.279735018,0.823016681,0.150260539,0.470971004,268464.947997670
85,268464982060708,0.328045589,-0.576260760,0.081719577,-0.284350733,0.820744680,0.152470559,0.471461147,268464.981334212
86,268465015397250,0.333876914,-0.583088131,0.081817717,-0.289236925,0.818247877,0.154754771,0.472084132,268465.014670754
87,268465048733708,0.341576026,-0.593256325,0.082460589,-0.296755712,0.813746700,0.159853022,0.473497012,268465.048007212
88,268465082070333,0.348297567,-0.601322537,0.082701829,-0.303284176,0.810077675,0.165105145,0.473849358,268465.081343837
89,268465115406791,0.357694007,-0.613082892,0.083186876,-0.310908745,0.806207102,0.170770079,0.473501314,268465.114911296
90,268465148743416,0.364090582,-0.622204650,0.083685402,-0.315748940,0.804077142,0.173357138,0.472979823,268465.148247921
91,268465182079875,0.371775711,-0.632140300,0.084407213,-0.320358070,0.803181381,0.174609948,0.470937145,268465.181584380
92,268465215416541,0.382592758,-0.645869156,0.085367344,-0.326658348,0.802421560,0.178281918,0.466507850,268465.214921046
93,268465248752958,0.390045201,-0.655598892,0.086235719,-0.329381505,0.801863113,0.179999013,0.464891150,268465.248257463
94,268465282089500,0.398413014,-0.666814669,0.087386388,-0.332786159,0.800754165,0.183828835,0.462874877,268465.281594005
95,268465315426125,0.409580849,-0.682111650,0.089205417,-0.336642269,0.799513884,0.188455630,0.460362966,268465.314930630
96,268465348762541,0.416971451,-0.694067094,0.090328807,-0.339677382,0.797709087,0.191470850,0.460020060,268465.348267046
97,268465382099083,0.424924313,-0.705279226,0.092010753,-0.343788234,0.795868808,0.194077343,0.459060484,268465.381603588
98,268465415435666,0.435201589,-0.719949781,0.094134375,-0.349332700,0.793337080,0.197023369,0.458000860,268465.414940171
99,268465448772166,0.442728260,-0.730177723,0.094937299,-0.353577292,0.791616644,0.198042547,0.457280429,268465.448276671
100,268465482108666,0.450341071,-0.740912559,0.096033918,-0.356757772,0.790903638,0.199067256,0.455595883,268465.481613171
101,268465515445250,0.460501031,-0.755176288,0.097243561,-0.359858932,0.790021209,0.200331807,0.454131324,268465.514949755
102,268465548781750,0.468301654,-0.765523350,0.097024953,-0.361100364,0.789352543,0.200263340,0.454338791,268465.548286255
103,268465582118333,0.475770204,-0.775917686,0.097546371,-0.362621696,0.788377868,0.200591533,0.454674535,268465.581622838
104,268465615454916,0.485585716,-0.789008876,0.097866493,-0.364561320,0.787733286,0.200062824,0.454473579,268465.614959421
105,268465648791416,0.492616440,-0.796847368,0.096950156,-0.365334078,0.788255804,0.196751985,0.454392460,268465.648295921
106,268465682127916,0.500101790,-0.805341797,0.096430545,-0.365878637,0.789908049,0.194036041,0.452247902,268465.681632421
107,268465715464333,0.510617358,-0.816137354,0.095476804,-0.365044408,0.791231031,0.192796570,0.451138085,268465.714968838
