recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.036161804,-0.273137000,0.112453895,-0.120213089,0.848101786,0.063345466,0.512112858,268463.447852837
40,268463481915875,-0.030947696,-0.280683548,0.109289950,-0.123812874,0.849920325,0.066144322,0.507868876,268463.481189379
41,268463515252541,-0.026707439,-0.286469935,0.107083431,-0.127099310,0.850311409,0.068944644,0.506026641,268463.514526045
42,268463548589125,-0.026087228,-0.281483079,0.109143003,-0.127381908,0.849712893,0.068881637,0.506968660,268463.547862629
43,268463581925708,-0.019614380,-0.289027245,0.107351341,-0.130393857,0.849417603,0.072000605,0.506263907,268463.581199212
44,268463615262250,-0.013960307,-0.294656673,0.105642823,-0.135506401,0.849726991,0.077366407,0.503603562,268463.614535754
45,268463648598958,-0.014849330,-0.298767845,0.105020823,-0.138893461,0.850408824,0.076222719,0.501700696,268463.647872462
46,268463681935541,-0.006368910,-0.306486079,0.102081515,-0.143432961,0.852529406,0.078816843,0.496395564,268463.681209045
47,268463715272041,0.000458141,-0.312474407,0.099494098,-0.147971790,0.853700465,0.081538238,0.492596624,268463.714545545
48,268463748608625,0.006924473,-0.329476425,0.100355759,-0.153553873,0.854732093,0.082300163,0.488959092,268463.747882129
49,268463781945250,0.017134113,-0.338733111,0.096461651,-0.161325726,0.853768567,0.083017499,0.488017819,268463.781218754
50,268463815281708,0.025641229,-0.346095412,0.093386842,-0.167045590,0.853209878,0.083748188,0.486944524,268463.814555212
51,268463848618291,0.035639650,-0.359447708,0.091657485,-0.171818619,0.852252560,0.084757647,0.486785508,268463.847891795
52,268463881954875,0.048811182,-0.371868129,0.088732883,-0.175635341,0.852157336,0.083954338,0.485728138,268463.881228379
53,268463915291416,0.059094350,-0.381807728,0.087235085,-0.178382546,0.852017293,0.081363044,0.485413544,268463.914564920
54,268463948628000,0.068714967,-0.395758638,0.087020028,-0.180588160,0.852216611,0.076480630,0.485041782,268463.947901504
55,268463981964583,0.083258301,-0.409032235,0.085891175,-0.183400943,0.852088554,0.072047944,0.484890026,268463.981238087
56,268464015301166,0.094954010,-0.418799578,0.085165451,-0.188419836,0.851325254,0.073915740,0.484024579,268464.014574670
57,268464048637666,0.110185357,-0.430612624,0.085476454,-0.194212020,0.851267636,0.080996628,0.480691901,268464.047911170
58,268464081974208,0.122442321,-0.439917345,0.085256652,-0.198853581,0.851732656,0.085560008,0.477166925,268464.081247712
59,268464115310791,0.134744538,-0.448740554,0.085438158,-0.202229738,0.852000089,0.088892497,0.474654779,268464.114584295
60,268464148647291,0.148190857,-0.453506706,0.087554827,-0.206727105,0.851522350,0.090722757,0.473226189,268464.147920795
61,268464181983833,0.159097229,-0.460887734,0.088276162,-0.209188204,0.849488709,0.092424912,0.475464949,268464.181257337
62,268464215320333,0.169672731,-0.467874442,0.088658138,-0.210803153,0.847223810,0.095414234,0.478194545,268464.214593837
63,268464248656958,0.178909427,-0.473987465,0.089890559,-0.212391129,0.844440406,0.099758504,0.481517084,268464.247930462
64,268464281993541,0.188369997,-0.480806277,0.089969140,-0.213657732,0.844561475,0.103669349,0.479915626,268464.281267045
65,268464315329916,0.197672655,-0.486980139,0.089670753,-0.214640072,0.845108321,0.106111894,0.477976866,268464.314603420
66,268464348666500,0.204002918,-0.487097177,0.088945215,-0.215222308,0.847059196,0.109372882,0.473505758,268464.347940004
67,268464382003041,0.212277634,-0.491849069,0.088415064,-0.218255248,0.846000966,0.113585500,0.473017335,268464.381276545
68,268464415339625,0.220202950,-0.496094635,0.087954996,-0.221857319,0.844138460,0.117314260,0.473758386,268464.414613129
69,268464448676125,0.224815613,-0.495005643,0.087343889,-0.227512800,0.841479003,0.122058495,0.474608039,268464.447949629
70,268464482012708,0.231664287,-0.498236043,0.086846293,-0.231378436,0.841299131,0.125205190,0.472232470,268464.481286212
71,268464515349291,0.238300823,-0.501426300,0.086413695,-0.234295718,0.841224126,0.127720376,0.470249982,268464.514622795
72,268464548685791,0.247384068,-0.507133878,0.086499623,-0.237330932,0.841199207,0.128081271,0.468671702,268464.547959295
73,268464582022416,0.252851806,-0.510214414,0.086756727,-0.241156791,0.840508430,0.128602364,0.467814564,268464.581295920
74,268464615358791,0.258065681,-0.513249697,0.087059325,-0.244398156,0.839727684,0.128361732,0.467600552,268464.614632295
75,268464648695375,0.265596109,-0.518193262,0.086390061,-0.246513971,0.839423153,0.126551305,0.467530162,268464.647968879
76,268464682031958,0.270805844,-0.521991670,0.085923089,-0.248181274,0.840161481,0.127472687,0.465065058,268464.681305462
77,268464715368500,0.276005936,-0.526067675,0.085300537,-0.249691253,0.840621531,0.129484723,0.462864428,268464.714642004
78,268464748704958,0.284967146,-0.534654148,0.084695813,-0.250306044,0.840037343,0.132778545,0.462659765,268464.747978462
79,268464782041541,0.289537537,-0.538995541,0.084390689,-0.252259778,0.837169785,0.135263844,0.466063838,268464.781315045
80,268464815378083,0.293869505,-0.543242477,0.084190371,-0.256200980,0.833291718,0.137841365,0.470091249,268464.814651587
81,268464848714625,0.300306656,-0.549640923,0.082533436,-0.264083624,0.827336187,0.141824756,0.475037331,268464.847988129
82,268464882051125,0.304765364,-0.553947798,0.081968934,-0.267974858,0.825796475,0.143226259,0.475116774,268464.881324629
83,268464915387625,0.309530637,-0.558725721,0.081377727,-0.272220133,0.824457298,0.144851067,0.474536179,268464.914661129
84,268464948724166,0.316474253,-0.565803161,0.079896922,-0.279291295,0.822949180,0.149129002,0.471711367,268464.947997670
85,268464982060708,0.321754284,-0.571926624,0.079649630,-0.283890111,0.820683742,0.151325729,0.472213064,268464.981334212
86,268465015397250,0.327238510,-0.578662067,0.079614307,-0.288759802,0.818193912,0.153596447,0.472847422,268465.014670754
87,268465048733708,0.336346267,-0.588834131,0.080910168,-0.296609661,0.813470650,0.158968300,0.474359931,268465.048007212
88,268465082070333,0.342823778,-0.596823825,0.081085201,-0.303126922,0.809809278,0.164206916,0.474720068,268465.081343837
89,268465115406791,0.351875998,-0.608480638,0.081481414,-0.310734310,0.805949105,0.169855283,0.474383248,268465.114911296
90,268465148743416,0.357952437,-0.615633404,0.082517902,-0.316207835,0.803627559,0.173525779,0.473375336,268465.148247921
91,268465182079875,0.365486895,-0.625551856,0.083244240,-0.320800146,0.802734249,0.174770152,0.471338986,268465.181584380
92,268465215416541,0.376100350,-0.639268720,0.084214313,-0.327079680,0.801978560,0.178430042,0.466917601,268465.214921046
93,268465248752958,0.383868701,-0.648543026,0.085714301,-0.329452360,0.802125938,0.179491095,0.464583816,268465.248257463
94,268465282089500,0.392171449,-0.659673634,0.086942482,-0.332838655,0.801024242,0.183317332,0.462572591,268465.281594005
95,268465315426125,0.403270356,-0.674847652,0.088869957,-0.336670498,0.799793433,0.187939147,0.460067789,268465.314930630
96,268465348762541,0.410845683,-0.686663736,0.091064241,-0.339173643,0.797899466,0.191061685,0.460231645,268465.348267046
97,268465382099083,0.418745207,-0.697736197,0.092934625,-0.343266873,0.796067374,0.193660880,0.459282165,268465.381603588
98,268465415435666,0.428965271,-0.712221560,0.095319564,-0.348787951,0.793546810,0.196597128,0.458235800,268465.414940171
99,268465448772166,0.436320613,-0.723260277,0.095754322,-0.353237690,0.791609761,0.197115479,0.457954868,268465.448276671
100,268465482108666,0.443778742,-0.733844130,0.096974773,-0.356399449,0.790905623,0.198131219,0.456280399,268465.481613171
101,268465515445250,0.453726953,-0.747900619,0.098354785,-0.359475868,0.790033567,0.199384078,0.454829755,268465.514949755
102,268465548781750,0.460756579,-0.758254684,0.097179798,-0.360307645,0.789709249,0.198807958,0.454986980,268465.548286255
103,268465582118333,0.467971447,-0.768394904,0.097739468,-0.361810426,0.788741442,0.199124979,0.455334438,268465.581622838
104,268465615454916,0.477446866,-0.781131883,0.098110564,-0.363723195,0.788105822,0.198582119,0.455148158,268465.614959421
105,268465648791416,0.485243033,-0.789466668,0.096912075,-0.364433304,0.788481873,0.195205544,0.455389450,268465.648295921
106,268465682127916,0.492477331,-0.797705330,0.096397006,-0.364951679,0.790139950,0.192482308,0.453254615,268465.681632421
107,268465715464333,0.502647146,-0.808150563,0.095449443,-0.364087517,0.791467223,0.191232184,0.452161719,268465.714968838
