recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.035273028,-0.277121997,0.112356879,-0.120806601,0.848274628,0.064357872,0.511560396,268463.445852837
40,268463481915875,-0.031361734,-0.282881212,0.109786760,-0.123506506,0.849951298,0.066460902,0.507850309,268463.479189379
41,268463515252541,-0.025743992,-0.290754316,0.106580690,-0.127713828,0.850495274,0.069863385,0.505436572,268463.512526045
42,268463548589125,-0.025204003,-0.294414818,0.112536941,-0.128134939,0.849979018,0.070320701,0.506134526,268463.545862629
43,268463581925708,-0.020215201,-0.300361596,0.110978621,-0.130115037,0.849715754,0.072395171,0.505778812,268463.579199212
44,268463615262250,-0.012485936,-0.308253821,0.108386715,-0.136428511,0.849998152,0.078971351,0.502646975,268463.612535754
45,268463648598958,-0.013928891,-0.307032413,0.107075891,-0.139047975,0.850616942,0.076559922,0.501253539,268463.645872462
46,268463681935541,-0.005205179,-0.314906843,0.103918940,-0.143617615,0.852730827,0.079148283,0.495943262,268463.679209045
47,268463715272041,0.001844052,-0.321017235,0.101164904,-0.148311216,0.853870482,0.082065890,0.492112006,268463.712545545
48,268463748608625,0.008518875,-0.338411372,0.102847088,-0.153580399,0.854928533,0.082337169,0.488600971,268463.745882129
49,268463781945250,0.019205520,-0.347741249,0.098736528,-0.161390454,0.853969228,0.083122599,0.487627282,268463.779218754
50,268463815281708,0.028083034,-0.355146266,0.095475114,-0.167064445,0.853450454,0.083875716,0.486494307,268463.812555212
51,268463848618291,0.038057987,-0.367553991,0.093519841,-0.171953496,0.852477221,0.085094521,0.486285469,268463.845891795
52,268463881954875,0.051590432,-0.379892114,0.090309611,-0.175754424,0.852351565,0.084154435,0.485309465,268463.879228379
53,268463915291416,0.062155929,-0.389759584,0.088596036,-0.178579982,0.852217393,0.081621979,0.484945988,268463.912564920
54,268463948628000,0.072554095,-0.403526003,0.088096532,-0.180799241,0.852428750,0.077012567,0.484505912,268463.945901504
55,268463981964583,0.087616813,-0.416939590,0.086695471,-0.183577642,0.852307304,0.072683196,0.484343592,268463.979238087
56,268464015301166,0.099722052,-0.426781823,0.085741844,-0.188734017,0.851513944,0.074699672,0.483449569,268464.012574670
57,268464048637666,0.110916600,-0.434868987,0.086252802,-0.193008858,0.851293369,0.080084135,0.481283457,268464.045911170
58,268464081974208,0.127722888,-0.447617006,0.085783519,-0.199035904,0.851945157,0.086262660,0.476584688,268464.079247712
59,268464115310791,0.140405222,-0.456642785,0.085862189,-0.202416767,0.852156528,0.089599518,0.474161031,268464.112584295
60,268464148647291,0.149764214,-0.460411326,0.088116523,-0.206126614,0.852172306,0.092015575,0.472067122,268464.145920795
61,268464181983833,0.164965368,-0.470867250,0.089014342,-0.209510800,0.849586101,0.093264778,0.474984649,268464.179257337
62,268464215320333,0.175980992,-0.478230134,0.089337761,-0.211098024,0.847350370,0.096339745,0.477654354,268464.212593837
63,268464248656958,0.180962426,-0.480653619,0.091329717,-0.212131498,0.844573714,0.099138523,0.481525778,268464.245930462
64,268464281993541,0.194129020,-0.490002171,0.091537588,-0.213831648,0.844706419,0.104064850,0.479497290,268464.279267045
65,268464315329916,0.203799998,-0.496361290,0.091289541,-0.214798068,0.845209055,0.106506044,0.477639990,268464.312603420
66,268464348666500,0.205369630,-0.492399424,0.090767032,-0.214822563,0.847169523,0.108508296,0.473688789,268464.345940004
67,268464382003041,0.216742705,-0.499072904,0.090190449,-0.218356865,0.846023848,0.113887133,0.472856957,268464.379276545
68,268464415339625,0.224874267,-0.503498148,0.089822513,-0.221922793,0.844169997,0.117539768,0.473615610,268464.412613129
69,268464448676125,0.225145375,-0.498099638,0.088405467,-0.226541609,0.841639114,0.121259029,0.474993477,268464.445949629
70,268464482012708,0.234450924,-0.502617531,0.087782315,-0.231230606,0.841419365,0.125226973,0.472084863,268464.479286212
71,268464515349291,0.241170964,-0.505909603,0.087363355,-0.234163716,0.841292221,0.127774649,0.470179164,268464.512622795
72,268464548685791,0.246125009,-0.507404773,0.086249212,-0.236189911,0.841636503,0.127899372,0.468512676,268464.545959295
73,268464582022416,0.253499495,-0.511492726,0.086442461,-0.241004147,0.840567330,0.128487770,0.467818887,268464.579295920
74,268464615358791,0.258667783,-0.514509407,0.086655591,-0.244192644,0.839781458,0.128210246,0.467652906,268464.612632295
75,268464648695375,0.265050670,-0.519438709,0.086328994,-0.246244105,0.839231740,0.126694347,0.467977055,268464.645968879
76,268464682031958,0.271863894,-0.524413828,0.085733628,-0.248031339,0.840209769,0.127531907,0.465041574,268464.679305462
77,268464715368500,0.276970058,-0.528487661,0.085093408,-0.249529705,0.840640033,0.129541966,0.462901926,268464.712642004
78,268464748704958,0.285885442,-0.537102218,0.084275802,-0.250164761,0.840039817,0.132798700,0.462725898,268464.745978462
79,268464782041541,0.290397722,-0.541435908,0.083890368,-0.252134996,0.837163355,0.135277292,0.466139001,268464.779315045
80,268464815378083,0.294650187,-0.545669059,0.083625767,-0.256155267,0.833303705,0.137885214,0.470082052,268464.812651587
81,268464848714625,0.303740528,-0.554898026,0.082585902,-0.264008999,0.827454177,0.142151327,0.474775618,268464.845988129
82,268464882051125,0.308217929,-0.559366656,0.081998787,-0.267785486,0.825931828,0.143482312,0.474910969,268464.879324629
83,268464915387625,0.313020857,-0.564296997,0.081389432,-0.272117544,0.824535334,0.145177081,0.474359773,268464.912661129
84,268464948724166,0.321305841,-0.572360400,0.080831775,-0.279451395,0.822966732,0.149489812,0.471471659,268464.945997670
85,268464982060708,0.326604932,-0.578541483,0.080603683,-0.283953277,0.820748119,0.151578222,0.471982157,268464.979334212
86,268465015397250,0.332112685,-0.585325862,0.080588823,-0.288846218,0.818259042,0.153866505,0.472594069,268465.012670754
87,268465048733708,0.340918810,-0.595661696,0.081789257,-0.296737318,0.813472710,0.159388243,0.474135589,268465.046007212
88,268465082070333,0.347371611,-0.603717354,0.081976305,-0.303245699,0.809809559,0.164639903,0.474493708,268465.079343837
89,268465115406791,0.354097619,-0.612420118,0.082239046,-0.309242026,0.806660719,0.169357509,0.474326830,268465.112911296
90,268465148743416,0.362763472,-0.623047483,0.083338664,-0.316265796,0.803633209,0.173872724,0.473199684,268465.146247921
91,268465182079875,0.370286919,-0.633078137,0.084066684,-0.320922417,0.802717593,0.175199468,0.471124684,268465.179584380
92,268465215416541,0.378183885,-0.643413290,0.084778101,-0.325623990,0.802213937,0.177608098,0.467843171,268465.212921046
