recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037166761,-0.244229046,0.108622293,-0.118434625,0.848318538,0.059622898,0.512614925,268463.455852837
40,268463481915875,-0.033278470,-0.249049669,0.107454424,-0.121202060,0.849195336,0.062223000,0.510201621,268463.489189379
41,268463515252541,-0.027698860,-0.255571874,0.106109714,-0.125121220,0.849223784,0.064701280,0.508898263,268463.522526045
42,268463548589125,-0.024764474,-0.271466144,0.107820189,-0.127262910,0.849051286,0.067402993,0.508303999,268463.555862629
43,268463581925708,-0.019885793,-0.276883608,0.106575177,-0.128890189,0.848791665,0.069527056,0.508041406,268463.589199212
44,268463615262250,-0.012125536,-0.283960236,0.104486745,-0.136200414,0.849381254,0.076805655,0.504085188,268463.622535754
45,268463648598958,-0.013933028,-0.291042847,0.101440707,-0.140507753,0.850507231,0.077088554,0.500951524,268463.655872462
46,268463681935541,-0.005640082,-0.298895088,0.098399862,-0.144308818,0.852879172,0.078459051,0.495596928,268463.689209045
47,268463715272041,0.000940542,-0.304913564,0.095811619,-0.149407599,0.853897778,0.081491857,0.491828309,268463.722545545
48,268463748608625,0.007486975,-0.319359473,0.095321515,-0.155456808,0.853634404,0.082490094,0.490241699,268463.755882129
49,268463781945250,0.017734485,-0.328674315,0.091414168,-0.163540198,0.852182259,0.082501043,0.490136340,268463.789218754
50,268463815281708,0.026343339,-0.336411861,0.088529207,-0.168901655,0.851749450,0.083525713,0.488895299,268463.822555212
51,268463848618291,0.035157241,-0.349747124,0.087036054,-0.172448129,0.851966628,0.085373869,0.486955710,268463.855891795
52,268463881954875,0.047797303,-0.362318681,0.084442091,-0.175344442,0.851888196,0.083637985,0.486359505,268463.889228379
53,268463915291416,0.057686647,-0.372036517,0.083121772,-0.178413356,0.851634607,0.079933818,0.486310404,268463.922564920
54,268463948628000,0.066651235,-0.389232965,0.083595873,-0.181516210,0.851525098,0.074103730,0.486277250,268463.955901504
55,268463981964583,0.080967833,-0.402299623,0.082293940,-0.184265801,0.851393088,0.070712488,0.485979138,268463.989238087
56,268464015301166,0.092519666,-0.411968563,0.081332869,-0.189842438,0.850459249,0.075338373,0.484771180,268464.022574670
57,268464048637666,0.102810667,-0.419573767,0.082327291,-0.194948007,0.850329395,0.081276482,0.482005582,268464.055911170
58,268464081974208,0.118627021,-0.431426579,0.081926650,-0.200044930,0.851530272,0.086881693,0.476791198,268464.089247712
59,268464115310791,0.130205526,-0.439640235,0.081898107,-0.203063691,0.851774550,0.089368308,0.474614171,268464.122584295
60,268464148647291,0.139462877,-0.438185352,0.084514736,-0.206445651,0.850845250,0.089788667,0.474742670,268464.155920795
61,268464181983833,0.153322485,-0.447683670,0.085277889,-0.209561622,0.847575612,0.090734958,0.479026856,268464.189257337
62,268464215320333,0.163290669,-0.454620150,0.085566557,-0.210817962,0.845077319,0.095413807,0.481971337,268464.222593837
63,268464248656958,0.170230590,-0.457020770,0.086093018,-0.212286968,0.844151871,0.099998117,0.482018974,268464.255930462
64,268464281993541,0.182679649,-0.465444061,0.085859149,-0.214065028,0.845125420,0.104264809,0.478610585,268464.289267045
65,268464315329916,0.191679277,-0.471235260,0.085430627,-0.214924273,0.845944649,0.106539602,0.476271534,268464.322603420
66,268464348666500,0.194992775,-0.471696284,0.085207252,-0.215135923,0.846517339,0.108467578,0.474720727,268464.355940004
67,268464382003041,0.205520921,-0.477862474,0.084490041,-0.219472138,0.844719780,0.114617815,0.474492659,268464.389276545
