recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037364391,-0.258655429,0.110814339,-0.119353625,0.848020737,0.061303713,0.512696255,268463.454852837
40,268463481915875,-0.033499756,-0.263890402,0.109137498,-0.121949236,0.849353351,0.063301839,0.509627511,268463.488189379
41,268463515252541,-0.027964863,-0.270952044,0.107028973,-0.126102859,0.849598390,0.066595003,0.507785195,268463.521526045
42,268463548589125,-0.024724114,-0.274047775,0.107635790,-0.127052025,0.849268719,0.067964240,0.507918636,268463.554862629
43,268463581925708,-0.019855079,-0.279453394,0.106453735,-0.129615367,0.849083582,0.070472059,0.507238277,268463.588199212
44,268463615262250,-0.012280330,-0.286663075,0.104335166,-0.136182110,0.849711025,0.077215988,0.503471301,268463.621535754
45,268463648598958,-0.013979569,-0.293471295,0.102586919,-0.139660698,0.850642841,0.076288952,0.501080529,268463.654872462
46,268463681935541,-0.007665936,-0.299251741,0.100415656,-0.143312984,0.852237710,0.078619057,0.496962143,268463.688209045
47,268463715272041,0.001181151,-0.307246175,0.097072797,-0.149123585,0.853650139,0.081458771,0.492349590,268463.721545545
48,268463748608625,0.007723275,-0.322882883,0.096939531,-0.155452688,0.853871761,0.082537215,0.489821539,268463.754882129
49,268463781945250,0.015244097,-0.329816836,0.094036343,-0.161071668,0.853166343,0.083001411,0.489156343,268463.788218754
50,268463815281708,0.026433091,-0.339776830,0.090092404,-0.168582505,0.852545518,0.084436838,0.487459284,268463.821555212
51,268463848618291,0.035961754,-0.353515246,0.088545056,-0.171970582,0.852030411,0.084747112,0.487122446,268463.854891795
52,268463881954875,0.045615831,-0.362817561,0.086462948,-0.175048010,0.851979843,0.084326493,0.486186834,268463.888228379
53,268463915291416,0.058950803,-0.375918563,0.084563837,-0.178825424,0.851747012,0.079889705,0.485969324,268463.921564920
54,268463948628000,0.068056568,-0.391031951,0.084730665,-0.181214113,0.851809357,0.074843819,0.485778468,268463.954901504
55,268463981964583,0.082528358,-0.404151755,0.083508831,-0.184584142,0.851491369,0.072646409,0.485400552,268463.988238087
56,268464015301166,0.094114982,-0.413797762,0.082766369,-0.190117724,0.850685340,0.075497964,0.484241484,268464.021574670
57,268464048637666,0.104522302,-0.422489442,0.083552768,-0.194140467,0.850839004,0.080799556,0.481512152,268464.054911170
58,268464081974208,0.120399875,-0.434523229,0.083216297,-0.199608836,0.851544276,0.086473524,0.477023104,268464.088247712
59,268464115310791,0.132253206,-0.442964099,0.083378046,-0.203180486,0.851565074,0.089197300,0.474972114,268464.121584295
60,268464148647291,0.141970216,-0.443514911,0.085657923,-0.206388602,0.851086736,0.090175136,0.474261121,268464.154920795
61,268464181983833,0.156114432,-0.453216294,0.086586186,-0.209373179,0.848102233,0.092450198,0.477847767,268464.188257337
62,268464215320333,0.166284979,-0.460071464,0.086903694,-0.210834742,0.846078003,0.095922296,0.480103834,268464.221593837
63,268464248656958,0.172923576,-0.463507961,0.087467749,-0.212354723,0.844418283,0.099641779,0.481596100,268464.254930462
64,268464281993541,0.185377327,-0.472298494,0.087416074,-0.213957096,0.844868847,0.104377868,0.479086950,268464.288267045
65,268464315329916,0.194449818,-0.478229536,0.086996018,-0.214771365,0.845475202,0.106508244,0.477180249,268464.321603420
66,268464348666500,0.198000222,-0.477747970,0.086716089,-0.215428781,0.846600346,0.109025251,0.474311968,268464.354940004
67,268464382003041,0.208707808,-0.484021634,0.086036975,-0.219701872,0.844876842,0.114680683,0.474091345,268464.388276545
68,268464415339625,0.216300770,-0.488123242,0.085584325,-0.223415449,0.842994890,0.118182946,0.474845236,268464.421613129
69,268464448676125,0.219515779,-0.487117340,0.085603174,-0.227428610,0.841368678,0.121509598,0.474984679,268464.454949629
70,268464482012708,0.228557688,-0.491560308,0.084904361,-0.232501552,0.841357233,0.125916784,0.471387368,268464.488286212
71,268464515349291,0.234977037,-0.494812879,0.084537846,-0.234782723,0.841065821,0.127326024,0.470397166,268464.521622795
72,268464548685791,0.242736574,-0.500563992,0.085567966,-0.237341096,0.840888402,0.128054358,0.469231323,268464.554959295
73,268464582022416,0.249913912,-0.504810975,0.085965159,-0.242447999,0.839828576,0.128349260,0.468437245,268464.588295920
74,268464615358791,0.255033175,-0.507990206,0.086258075,-0.245006898,0.839203286,0.128062088,0.468305050,268464.621632295
75,268464648695375,0.261364021,-0.511522494,0.085569339,-0.246519250,0.839201105,0.126820915,0.467852833,268464.654968879
76,268464682031958,0.268310043,-0.516800079,0.084984757,-0.248476008,0.840274196,0.128376919,0.464454917,268464.688305462
77,268464715368500,0.273467899,-0.520986019,0.084398256,-0.250142381,0.840362587,0.130735929,0.462739324,268464.721642004
78,268464748704958,0.280360879,-0.526834806,0.084371609,-0.250579987,0.839702062,0.132767973,0.463122917,268464.754978462
79,268464782041541,0.286354178,-0.532531570,0.084143770,-0.253694367,0.835348072,0.136124631,0.468297880,268464.788315045
80,268464815378083,0.290674725,-0.536688659,0.084001010,-0.258304764,0.831541918,0.138839629,0.471741771,268464.821651587
81,268464848714625,0.295155874,-0.540784515,0.082165531,-0.264095592,0.827590177,0.141540244,0.474672972,268464.854988129
82,268464882051125,0.301252595,-0.546571166,0.081498389,-0.269294561,0.825857293,0.143446373,0.474197599,268464.888324629
83,268464915387625,0.306192330,-0.551374739,0.080975295,-0.273978729,0.824235740,0.145490932,0.473712512,268464.921661129
84,268464948724166,0.309754850,-0.555783347,0.078589800,-0.279148238,0.822796000,0.149052229,0.472087375,268464.954997670
85,268464982060708,0.316704312,-0.563953686,0.078309689,-0.285370523,0.819669132,0.152055825,0.472848028,268464.988334212
86,268465015397250,0.322183383,-0.570760967,0.078299778,-0.290506633,0.817017921,0.154551361,0.473499253,268465.021670754
87,268465048733708,0.332085906,-0.581077020,0.079457579,-0.298701926,0.812211614,0.160856992,0.474567735,268465.055007212
88,268465082070333,0.338599763,-0.589084291,0.079606105,-0.305187250,0.808717656,0.166026168,0.474628129,268465.088343837
89,268465115406791,0.345389748,-0.597794505,0.079884641,-0.310739945,0.805886516,0.170077154,0.474406392,268465.121911296
90,268465148743416,0.354111794,-0.607848413,0.081326975,-0.317116379,0.803604671,0.173033535,0.472986453,268465.155247921
91,268465182079875,0.361744299,-0.617661029,0.082026119,-0.321834838,0.802987921,0.174710113,0.470222463,268465.188584380
92,268465215416541,0.369750015,-0.627792397,0.082749866,-0.326489759,0.802322542,0.177484529,0.467099852,268465.221921046
93,268465248752958,0.379708594,-0.640501798,0.084802759,-0.330243561,0.801420954,0.180667767,0.464782589,268465.255257463
94,268465282089500,0.387922630,-0.651570091,0.086064927,-0.333715251,0.800433086,0.184748620,0.462394860,268465.288594005
95,268465315426125,0.396176409,-0.662863948,0.087551553,-0.336518051,0.799453083,0.188060314,0.460720892,268465.321930630
96,268465348762541,0.406696530,-0.677875563,0.090687154,-0.340494991,0.797165899,0.191407241,0.460383549,268465.355267046
97,268465382099083,0.414493888,-0.688701208,0.092576368,-0.344622855,0.795381545,0.193879721,0.459362594,268465.388603588
98,268465415435666,0.422121232,-0.699327057,0.094387290,-0.348817284,0.793432224,0.196120668,0.458615902,268465.421940171
99,268465448772166,0.432440190,-0.714203328,0.095596957,-0.354225783,0.791358011,0.197173177,0.457601775,268465.455276671
100,268465482108666,0.439941074,-0.724615857,0.096843115,-0.357358387,0.790729414,0.198401966,0.455717775,268465.488613171
101,268465515445250,0.447453498,-0.734990251,0.097929180,-0.359511573,0.790043702,0.199231315,0.454850871,268465.521949755
102,268465548781750,0.456498883,-0.749208516,0.096245338,-0.361057708,0.788962784,0.198983389,0.455610274,268465.555286255
103,268465582118333,0.463610980,-0.759029309,0.096743114,-0.362646773,0.788084150,0.199339993,0.455712970,268465.588622838
104,268465615454916,0.470654052,-0.768334549,0.097004498,-0.364021041,0.787657416,0.198737401,0.455618235,268465.621959421
105,268465648791416,0.480849815,-0.779618248,0.095707581,-0.365069807,0.788729999,0.194250844,0.454857876,268465.655295921
106,268465682127916,0.488139603,-0.787606296,0.095124556,-0.365370954,0.790435834,0.191999200,0.452605368,268465.688632421
107,268465715464333,0.495840162,-0.795263555,0.094421139,-0.364706501,0.791282877,0.191229446,0.451986647,268465.721968838
108,268465748800958,0.508539290,-0.806092024,0.092898720,-0.364843265,0.791570342,0.193684553,0.450324476,268465.755305463
109,268465782137541,0.516214033,-0.812299778,0.092179755,-0.365495031,0.791003007,0.196110619,0.449742486,268465.788642046
110,268465815474041,0.523793084,-0.817488260,0.091327877,-0.366082864,0.790337551,0.199248023,0.449054752,268465.821978546
111,268465848810583,0.537726664,-0.827805489,0.089775163,-0.367831881,0.788761768,0.204142440,0.448196941,268465.855315088
112,268465882147125,0.545521501,-0.831992565,0.088512184,-0.369269008,0.787547464,0.206907269,0.447882604,268465.888651630
113,268465915483541,0.553566671,-0.835427415,0.086976642,-0.371491270,0.786179092,0.209784898,0.447109631,268465.921988046
114,268465948820166,0.570225318,-0.845328313,0.085070537,-0.376668914,0.784472309,0.215806611,0.442889700,268465.955324671
115,268465982156750,0.580294760,-0.847531680,0.083167335,-0.381626520,0.782701090,0.218908207,0.440249309,268465.988661255
116,268466015493208,0.594642179,-0.849535485,0.080693739,-0.390043233,0.780106936,0.222019466,0.435897758,268466.021997713
117,268466048829833,0.607880973,-0.852162290,0.080354858,-0.397952021,0.777739781,0.223085546,0.432420991,268466.055334338
118,268466082166375,0.619576582,-0.853031474,0.078695167,-0.404340954,0.775853800,0.221665089,0.430608774,268466.088670880
119,268466115502708,0.635463326,-0.853708832,0.076425037,-0.414178531,0.773708588,0.218618209,0.426658291,268466.122007213
120,268466148839375,0.646904932,-0.853774123,0.076342943,-0.420708859,0.772485498,0.214525715,0.424557395,268466.155343880
121,268466182175916,0.659610742,-0.854423084,0.075044162,-0.426401971,0.771114089,0.210317980,0.423474700,268466.188680421
122,268466215512458,0.677391722,-0.856096511,0.073770929,-0.431336622,0.769792374,0.207801745,0.422121911,268466.222016963
123,268466248849000,0.690569267,-0.859060519,0.074279356,-0.431890721,0.768522573,0.207484462,0.424020885,268466.255353505
124,268466282185625,0.704912431,-0.861299200,0.074525826,-0.432724467,0.767077852,0.208865921,0.425107263,268466.288690130
125,268466315522041,0.723417401,-0.863659551,0.075687958,-0.433706735,0.764995021,0.207226207,0.428647219,268466.322026546
126,268466348858541,0.736091006,-0.865916420,0.076358980,-0.436053674,0.762558285,0.207383864,0.430527631,268466.355363046
127,268466382195041,0.748701010,-0.865748588,0.076781868,-0.440643367,0.759995305,0.208038652,0.430070381,268466.388699546
128,268466415531500,0.765170042,-0.865333466,0.076599254,-0.447084007,0.757918897,0.211852658,0.425198001,268466.422036005
129,268466448868041,0.776866024,-0.867709407,0.075287695,-0.451648172,0.757443147,0.215884944,0.419150989,268466.455372546
130,268466482204708,0.788011759,-0.868298164,0.074642624,-0.453681209,0.756890897,0.219450249,0.416090341,268466.488709213
131,268466515541166,0.801680311,-0.869754434,0.074410728,-0.454163024,0.754369289,0.224230056,0.417592935,268466.522045671
132,268466548877666,0.808400071,-0.873451909,0.075849725,-0.454402561,0.752941852,0.228262605,0.417723733,268466.555382171
133,268466582214250,0.817902413,-0.875662134,0.076182968,-0.456005820,0.751987281,0.230709057,0.416349859,268466.588718755
134,268466615550708,0.830656724,-0.878302777,0.076161451,-0.459761263,0.752324142,0.231638501,0.411061583,268466.622055213
135,268466648887166,0.830927891,-0.877354061,0.076022645,-0.463243664,0.754301378,0.230256350,0.404248446,268466.655391671
136,268466682223833,0.839861080,-0.879256515,0.075694823,-0.466443066,0.756089021,0.228362127,0.398260029,268466.688728338
137,268466715560208,0.851585522,-0.881781932,0.075298290,-0.473550660,0.755755119,0.229785445,0.389592960,268466.722064713
138,268466748896791,0.851988883,-0.880802354,0.076848851,-0.478355783,0.754167381,0.230214729,0.386534007,268466.755401296
139,268466782233291,0.859720005,-0.883363967,0.077379081,-0.482648692,0.750926891,0.232375839,0.386213111,268466.788737796
140,268466815569750,0.869688519,-0.887389672,0.078190697,-0.487389113,0.746446181,0.236028763,0.386730432,268466.822074255
141,268466848906250,0.872225167,-0.887357727,0.078078975,-0.489579564,0.743318524,0.238037905,0.388751117,268466.855410755
142,268466882242833,0.879708757,-0.890778492,0.078318827,-0.491773219,0.741327270,0.240626644,0.388190484,268466.888747338
143,268466915579291,0.889673678,-0.895472337,0.078752277,-0.494082173,0.739742996,0.242531095,0.387094081,268466.922083796
144,268466948915750,0.895509645,-0.897863764,0.077264022,-0.496525283,0.738099292,0.245269128,0.385376682,268466.955420255
145,268466982252250,0.902547275,-0.900874619,0.077827776,-0.498984304,0.736258694,0.248404689,0.383709477,268466.988756755
146,268467015588791,0.911801309,-0.904606308,0.079306370,-0.500876503,0.735207744,0.253288190,0.380049271,268467.022093296
147,268467048925250,0.919940336,-0.906226971,0.082168034,-0.500489223,0.735388168,0.256501530,0.378049995,268467.055429755
148,268467082261833,0.929071523,-0.909106133,0.086989096,-0.500100091,0.735098421,0.260199360,0.376598669,268467.088766338
149,268467115598208,0.935369922,-0.910683011,0.092083424,-0.499822827,0.734743886,0.263073617,0.375660602,268467.122102713
150,268467148934791,0.937322463,-0.909891633,0.099927427,-0.500039374,0.734574951,0.263269116,0.375565829,268467.155439296
151,268467182271291,0.943465165,-0.910192579,0.109197204,-0.500512968,0.735509436,0.258590597,0.376355676,268467.188775796
152,268467215607833,0.947368872,-0.909996218,0.116335350,-0.501664318,0.735743144,0.257452137,0.375144489,268467.222112338
153,268467248944250,0.945566877,-0.907614269,0.124289530,-0.500589113,0.734895461,0.257915717,0.377913665,268467.255448755
154,268467282280750,0.949169049,-0.908407136,0.135245767,-0.499477772,0.731603071,0.261773474,0.383084330,268467.288785255
155,268467315617208,0.951031054,-0.909419855,0.144028353,-0.498723264,0.729813430,0.263657724,0.386176282,268467.322121713
156,268467348953708,0.952438494,-0.911719985,0.152901238,-0.496528633,0.728602988,0.264630815,0.390599012,268467.355458213
157,268467382290208,0.953507845,-0.911730956,0.164222628,-0.493596552,0.730510877,0.262421241,0.392239019,268467.388794713
158,268467415626708,0.954213837,-0.911355366,0.172256134,-0.493207962,0.732092376,0.260479717,0.391071644,268467.422131213
159,268467448963208,0.965668446,-0.916083355,0.179306704,-0.492238097,0.734785267,0.256242216,0.390041341,268467.455467713
