recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037686591,-0.256381141,0.110666417,-0.119090311,0.847942854,0.060847216,0.512940624,268463.455852837
40,268463481915875,-0.033836352,-0.261553835,0.109074829,-0.121702787,0.849272392,0.062925594,0.509867884,268463.489189379
41,268463515252541,-0.028323293,-0.268528967,0.107079648,-0.125832993,0.849509753,0.066173326,0.508055491,268463.522526045
42,268463548589125,-0.024747937,-0.271335613,0.107419883,-0.126826913,0.849187883,0.067552724,0.508164892,268463.555862629
43,268463581925708,-0.019888175,-0.276679501,0.106313829,-0.129359294,0.849000799,0.070053679,0.507500099,268463.589199212
44,268463615262250,-0.012329964,-0.283809656,0.104308767,-0.135862902,0.849627360,0.076730406,0.503772885,268463.622535754
45,268463648598958,-0.014310454,-0.291504594,0.102070294,-0.139651690,0.850539856,0.076251135,0.501263579,268463.655872462
46,268463681935541,-0.005891733,-0.299222567,0.099150058,-0.144947884,0.852656604,0.079657676,0.495602194,268463.689209045
47,268463715272041,0.000732812,-0.305229678,0.096623246,-0.149023033,0.853565391,0.081320064,0.492549854,268463.722545545
48,268463748608625,0.007257220,-0.321069540,0.096392871,-0.155346083,0.853783801,0.082493254,0.490016053,268463.755882129
49,268463781945250,0.017385189,-0.330462525,0.092558904,-0.162733150,0.852761559,0.082927943,0.489324693,268463.789218754
50,268463815281708,0.025827900,-0.337972362,0.089588068,-0.168481069,0.852432990,0.084349316,0.487706237,268463.822555212
51,268463848618291,0.035287431,-0.351926001,0.088099888,-0.171851118,0.851925114,0.084591581,0.487375738,268463.855891795
52,268463881954875,0.048121236,-0.364441418,0.085478624,-0.175794885,0.851811894,0.083462102,0.486360758,268463.889228379
53,268463915291416,0.058126903,-0.374349128,0.084152576,-0.178650552,0.851649240,0.079765688,0.486225299,268463.922564920
54,268463948628000,0.067193677,-0.390171782,0.084358995,-0.181070561,0.851697766,0.074634085,0.486059846,268463.955901504
55,268463981964583,0.081586881,-0.403276694,0.083114560,-0.184457378,0.851378746,0.072379604,0.485686063,268463.989238087
56,268464015301166,0.093105078,-0.412929463,0.082357035,-0.189908608,0.850588750,0.075189530,0.484541109,268464.022574670
