recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.036770271,-0.263644817,0.111308682,-0.119949254,0.848037745,0.063124809,0.512307985,268463.452852837
40,268463481915875,-0.032992937,-0.269156981,0.109519843,-0.122610285,0.849067130,0.065201781,0.509706295,268463.486189379
41,268463515252541,-0.027581965,-0.276613416,0.107274854,-0.126729722,0.849144277,0.068178453,0.508178440,268463.519526045
42,268463548589125,-0.024105130,-0.288739017,0.109511184,-0.128498238,0.849639471,0.070221381,0.506626078,268463.552862629
43,268463581925708,-0.019199756,-0.294517384,0.107795896,-0.130835573,0.849441338,0.072692013,0.506011255,268463.586199212
44,268463615262250,-0.011477860,-0.302138175,0.104975205,-0.138044347,0.850118101,0.079951971,0.501847295,268463.619535754
45,268463648598958,-0.012852084,-0.302993241,0.104843027,-0.140410048,0.851362153,0.076968964,0.499543125,268463.652872462
46,268463681935541,-0.006499381,-0.308937864,0.102504139,-0.143607129,0.853068603,0.078571896,0.495456821,268463.686209045
47,268463715272041,0.002448641,-0.317074882,0.098953827,-0.149960266,0.854451040,0.081966967,0.490618801,268463.719545545
48,268463748608625,0.009491475,-0.328546892,0.099337853,-0.156065662,0.853964964,0.082914588,0.489400219,268463.752882129
49,268463781945250,0.017269652,-0.335364765,0.096410174,-0.161958333,0.853059491,0.083171378,0.489021041,268463.786218754
50,268463815281708,0.028830407,-0.345305784,0.092504779,-0.169311496,0.852469717,0.084599601,0.487310948,268463.819555212
51,268463848618291,0.037982018,-0.356047103,0.090634491,-0.172205346,0.853015585,0.086441923,0.485012966,268463.852891795
52,268463881954875,0.047646131,-0.365145146,0.088591555,-0.174868421,0.852960263,0.085571739,0.484311218,268463.886228379
53,268463915291416,0.061066980,-0.377800110,0.086716059,-0.178861252,0.852690601,0.080888878,0.484132663,268463.919564920
54,268463948628000,0.071727649,-0.388223592,0.085805403,-0.182256489,0.852450506,0.076450601,0.484010398,268463.952901504
55,268463981964583,0.082725206,-0.397989542,0.084983675,-0.184273948,0.852373167,0.073643176,0.483817975,268463.986238087
56,268464015301166,0.098487639,-0.410851329,0.083983674,-0.191308319,0.851268392,0.078477059,0.482270315,268464.019574670
57,268464048637666,0.108825838,-0.417149843,0.084032507,-0.195513181,0.851286754,0.083561454,0.479690520,268464.052911170
58,268464081974208,0.121025006,-0.426395071,0.084014481,-0.199776258,0.851974981,0.088037827,0.475896493,268464.086247712
59,268464115310791,0.137012551,-0.437886962,0.084427608,-0.204064905,0.852272073,0.091551200,0.472872350,268464.119584295
60,268464148647291,0.146088312,-0.447439745,0.086950739,-0.207143761,0.851069042,0.090816174,0.473841137,268464.152920795
61,268464181983833,0.156949913,-0.455077182,0.087660938,-0.209578178,0.848816079,0.091755276,0.476622779,268464.186257337
62,268464215320333,0.170861888,-0.464913178,0.088198933,-0.211461566,0.845680010,0.097132489,0.480286019,268464.219593837
63,268464248656958,0.176849645,-0.468683287,0.090080462,-0.212747535,0.845475198,0.100138957,0.479460549,268464.252930462
64,268464281993541,0.186660315,-0.475202267,0.090128342,-0.214056003,0.845940232,0.103646632,0.477307636,268464.286267045
65,268464315329916,0.199378838,-0.483068758,0.089789192,-0.215238579,0.846951807,0.106727259,0.474293513,268464.319603420
66,268464348666500,0.201503098,-0.481140423,0.089738083,-0.215669063,0.846638811,0.108851690,0.474173958,268464.352940004
67,268464382003041,0.209778390,-0.485836480,0.089375298,-0.218719363,0.845490757,0.113231628,0.473799400,268464.386276545
68,268464415339625,0.220256041,-0.491195866,0.089062309,-0.224441504,0.842514988,0.118520720,0.475128824,268464.419613129
69,268464448676125,0.223173743,-0.490207101,0.087262268,-0.226845223,0.842069306,0.120980286,0.474156463,268464.452949629
70,268464482012708,0.230311455,-0.493545135,0.086686029,-0.230350164,0.842261120,0.123991595,0.471339734,268464.486286212
71,268464515349291,0.239298384,-0.497729778,0.086144650,-0.234175346,0.842175282,0.126866391,0.468836511,268464.519622795
72,268464548685791,0.244352390,-0.500620468,0.085369161,-0.236458034,0.840730926,0.127366922,0.470145540,268464.552959295
73,268464582022416,0.251629656,-0.504558755,0.085508810,-0.241848116,0.839636085,0.127655291,0.469281274,268464.586295920
74,268464615358791,0.256836664,-0.507526331,0.085517415,-0.244606159,0.839084672,0.127344192,0.468922435,268464.619632295
75,268464648695375,0.262986534,-0.513602613,0.085239809,-0.245445536,0.839518770,0.127726510,0.467601022,268464.652968879
76,268464682031958,0.269934577,-0.518972064,0.084499892,-0.247268602,0.840772696,0.129407283,0.463910897,268464.686305462
77,268464715368500,0.275062172,-0.523132592,0.083827263,-0.249196494,0.840836403,0.132175297,0.461979430,268464.719642004
78,268464748704958,0.282678601,-0.531158653,0.083403494,-0.250824415,0.839315095,0.133951981,0.463351059,268464.752978462
79,268464782041541,0.288558193,-0.537140643,0.082937151,-0.253695305,0.834619411,0.137018749,0.469334686,268464.786315045
80,268464815378083,0.292871766,-0.541412087,0.082587112,-0.259000549,0.830490800,0.140040842,0.472855541,268464.819651587
81,268464848714625,0.301688150,-0.549171623,0.082564526,-0.264572504,0.828702776,0.142893898,0.472053478,268464.852988129
82,268464882051125,0.308372226,-0.555536450,0.081841655,-0.269336991,0.827412661,0.144443566,0.471149640,268464.886324629
83,268464915387625,0.313746903,-0.560731190,0.081307737,-0.273925742,0.825857482,0.146498088,0.470597992,268464.919661129
84,268464948724166,0.320567403,-0.567204521,0.081874065,-0.279797478,0.822749681,0.150744790,0.471245578,268464.952997670
85,268464982060708,0.328060393,-0.575621748,0.081820854,-0.286033065,0.819537164,0.153812734,0.472107635,268464.986334212
86,268465015397250,0.333965210,-0.582613047,0.081970305,-0.290895881,0.817001011,0.155897080,0.472847848,268465.019670754
87,268465048733708,0.339640370,-0.590014405,0.082209484,-0.296509621,0.813912882,0.160124420,0.473273799,268465.053007212
88,268465082070333,0.348692191,-0.600766204,0.082441154,-0.305616566,0.808799247,0.168028711,0.473506810,268465.086343837
89,268465115406791,0.355775878,-0.609621309,0.082791645,-0.311104505,0.806103370,0.171946305,0.473123521,268465.119911296
90,268465148743416,0.361924973,-0.618666640,0.083508873,-0.314606418,0.804772244,0.172473719,0.472881916,268465.153247921
91,268465182079875,0.372232975,-0.631801345,0.084426265,-0.320661474,0.804065785,0.173854455,0.469498790,268465.186584380
92,268465215416541,0.380429066,-0.641995473,0.085131152,-0.325478422,0.803504876,0.177059566,0.465933123,268465.219921046
93,268465248752958,0.387695341,-0.652092914,0.085938763,-0.328949677,0.801635247,0.180697751,0.465318618,268465.253257463
94,268465282089500,0.398669483,-0.667182134,0.087476424,-0.332957947,0.800061781,0.185665193,0.463215545,268465.286594005
95,268465315426125,0.406953903,-0.678683694,0.088844445,-0.335878491,0.799194428,0.189154532,0.461188164,268465.319930630
96,268465348762541,0.415544020,-0.691036074,0.090010916,-0.339470271,0.797720791,0.191269321,0.460236434,268465.353267046
