recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.038017470,-0.251733713,0.110313200,-0.118671271,0.847616253,0.060952447,0.513564669,268463.457852837
40,268463481915875,-0.033037773,-0.258639244,0.108521715,-0.122271074,0.848686788,0.063765120,0.510602177,268463.491189379
41,268463515252541,-0.029001483,-0.263882224,0.107313566,-0.125401731,0.848679998,0.066090717,0.509557394,268463.524526045
42,268463548589125,-0.026122817,-0.277399075,0.108696979,-0.127165926,0.849196149,0.067934620,0.508015422,268463.557862629
43,268463581925708,-0.019535916,-0.284734511,0.106698797,-0.130972683,0.849032065,0.071963132,0.506766287,268463.591199212
44,268463615262250,-0.013763731,-0.290187645,0.104841655,-0.136432358,0.849676502,0.077451310,0.503425666,268463.624535754
45,268463648598958,-0.014847293,-0.296063840,0.103487853,-0.139610812,0.850848582,0.076023691,0.500785346,268463.657872462
46,268463681935541,-0.006548989,-0.303999133,0.100401953,-0.144328742,0.853105212,0.078559768,0.495185952,268463.691209045
47,268463715272041,-0.000018086,-0.310106673,0.097777156,-0.148906098,0.854011350,0.080742163,0.491906846,268463.724545545
48,268463748608625,0.007046473,-0.323051376,0.097484115,-0.155197349,0.853536140,0.082085953,0.490562729,268463.757882129
49,268463781945250,0.017329914,-0.332376670,0.093594196,-0.162879346,0.852284157,0.082229374,0.490224865,268463.791218754
50,268463815281708,0.025923577,-0.339996316,0.090671535,-0.168432508,0.851969341,0.083599132,0.488661406,268463.824555212
51,268463848618291,0.034731607,-0.352224735,0.088929338,-0.171675449,0.852419595,0.085497738,0.486413985,268463.857891795
52,268463881954875,0.047322460,-0.364599000,0.086298926,-0.175118455,0.852318278,0.083939311,0.485634971,268463.891228379
53,268463915291416,0.057173931,-0.374246424,0.084945812,-0.178137736,0.852113029,0.080014880,0.485559477,268463.924564920
54,268463948628000,0.067163268,-0.387164044,0.084501257,-0.181435165,0.851915574,0.075281780,0.485441905,268463.957901504
55,268463981964583,0.081621412,-0.400244143,0.083214397,-0.184646263,0.851653845,0.073041441,0.485032460,268463.991238087
56,268464015301166,0.093230858,-0.409908644,0.082361628,-0.190283383,0.850779037,0.076996113,0.483775689,268464.024574670
57,268464048637666,0.107728411,-0.420846847,0.083213199,-0.196170534,0.851174443,0.083395971,0.479650243,268464.057911170
58,268464081974208,0.119614734,-0.429782756,0.083041175,-0.199779072,0.851874539,0.087266633,0.476217052,268464.091247712
59,268464115310791,0.131347197,-0.438176150,0.083198748,-0.203098263,0.851958997,0.089720538,0.474201689,268464.124584295
60,268464148647291,0.144272375,-0.443423950,0.085713258,-0.207384050,0.850078473,0.089509323,0.475758951,268464.157920795
61,268464181983833,0.154760687,-0.450761216,0.086285283,-0.209456741,0.847549961,0.091607536,0.478952033,268464.191257337
62,268464215320333,0.164851322,-0.457905087,0.086580946,-0.210794606,0.845337156,0.095770178,0.481454933,268464.224593837
63,268464248656958,0.174801569,-0.463109789,0.087747687,-0.212770523,0.845289670,0.100458688,0.479710520,268464.257930462
64,268464281993541,0.184324664,-0.469374347,0.087589495,-0.213964136,0.845922122,0.103803318,0.477346873,268464.291267045
65,268464315329916,0.193581624,-0.475119431,0.087188218,-0.214762928,0.846653302,0.105950384,0.475215363,268464.324603420
66,268464348666500,0.199211728,-0.476511190,0.087296954,-0.216209495,0.846147708,0.109687756,0.474611589,268464.357940004
67,268464382003041,0.207198829,-0.481014084,0.086896767,-0.219933446,0.844495593,0.114280858,0.474759320,268464.391276545
68,268464415339625,0.214787775,-0.484978869,0.086596400,-0.224154873,0.842299433,0.118035383,0.475766708,268464.424613129
69,268464448676125,0.221329961,-0.486532035,0.085728764,-0.227678891,0.841938887,0.121278941,0.473912127,268464.457949629
70,268464482012708,0.228326839,-0.489826961,0.085136570,-0.231566206,0.842208362,0.124750349,0.470637410,268464.491286212
71,268464515349291,0.234882766,-0.493019561,0.084771133,-0.234148334,0.842010570,0.126456962,0.469256270,268464.524622795
72,268464548685791,0.244363352,-0.500374326,0.085596723,-0.237735899,0.840234883,0.127126815,0.470452772,268464.557959295
73,268464582022416,0.249817862,-0.503436922,0.085815970,-0.241901960,0.839454157,0.127297478,0.469676022,268464.591295920
74,268464615358791,0.255101353,-0.506503828,0.085925027,-0.244782780,0.838908250,0.127032276,0.469230426,268464.624632295
75,268464648695375,0.263120708,-0.512305380,0.085287346,-0.245711235,0.839673485,0.127146381,0.467341716,268464.657968879
76,268464682031958,0.268435883,-0.516391861,0.084773666,-0.247258551,0.840606624,0.128691355,0.464416086,268464.691305462
77,268464715368500,0.273663437,-0.520546651,0.084174674,-0.249193957,0.840736089,0.131458903,0.462367614,268464.724642004
78,268464748704958,0.282189976,-0.528380043,0.084001774,-0.250818129,0.838285987,0.133424402,0.465365289,268464.757978462
79,268464782041541,0.286621256,-0.532720213,0.083784197,-0.253504726,0.834549025,0.136015157,0.469854455,268464.791315045
80,268464815378083,0.290985098,-0.536848837,0.083551510,-0.258729733,0.830377445,0.139046109,0.473495995,268464.824651587
81,268464848714625,0.298118503,-0.543115997,0.081609539,-0.265505871,0.828096856,0.142183857,0.472806550,268464.857988129
82,268464882051125,0.303050539,-0.547738991,0.081019379,-0.269037886,0.827157891,0.143380658,0.472091600,268464.891324629
83,268464915387625,0.308277130,-0.552740820,0.080446040,-0.273495107,0.825693571,0.145350916,0.471490952,268464.924661129
84,268464948724166,0.313905123,-0.559028102,0.079302128,-0.281276009,0.821652982,0.150972639,0.472204933,268464.957997670
85,268464982060708,0.319289080,-0.565302009,0.079175828,-0.285707311,0.819342247,0.152924854,0.472930922,268464.991334212
86,268465015397250,0.324946901,-0.572143643,0.079190461,-0.290469644,0.816839839,0.154904241,0.473713831,268465.024670754
87,268465048733708,0.333592290,-0.581708615,0.080034480,-0.298528004,0.812398989,0.161330738,0.474195487,268465.058007212
88,268465082070333,0.340261451,-0.589701993,0.080151850,-0.305306618,0.808669817,0.167122653,0.474247896,268465.091343837
89,268465115406791,0.349524217,-0.601400193,0.080581700,-0.312269546,0.805396519,0.171608064,0.473682282,268465.124911296
90,268465148743416,0.355491705,-0.609494944,0.081928738,-0.315799353,0.804400200,0.171782503,0.472971364,268465.158247921
91,268465182079875,0.363159429,-0.619196389,0.082597445,-0.320436068,0.803953931,0.173088596,0.470126786,268465.191584380
92,268465215416541,0.373925620,-0.632636626,0.083575062,-0.326626147,0.803050439,0.177422115,0.465775481,268465.224921046
93,268465248752958,0.381019494,-0.642069564,0.084970243,-0.329518419,0.801179541,0.180826302,0.465651002,268465.258257463
94,268465282089500,0.389162909,-0.653197117,0.086194171,-0.332643146,0.800089640,0.184725891,0.463768805,268465.291594005
95,268465315426125,0.400054296,-0.668167334,0.088134232,-0.336536068,0.798836062,0.189114663,0.461345986,268465.324930630
96,268465348762541,0.408261928,-0.680106187,0.090310511,-0.340284012,0.797066232,0.190917702,0.460915064,268465.358267046
97,268465382099083,0.415979062,-0.690965432,0.092082972,-0.344586905,0.795094024,0.193220450,0.460164393,268465.391603588
98,268465415435666,0.426158207,-0.705187112,0.094221071,-0.350277079,0.792601337,0.196179806,0.458914616,268465.424940171
99,268465448772166,0.433848178,-0.716975821,0.095040127,-0.353487719,0.791581936,0.197088196,0.457821763,268465.458276671
100,268465482108666,0.441403700,-0.727584221,0.096266038,-0.356414915,0.791142334,0.198002022,0.455913882,268465.491613171
101,268465515445250,0.451491734,-0.741668160,0.097642411,-0.358990638,0.790177682,0.199160651,0.455060481,268465.524949755
102,268465548781750,0.457792576,-0.751531088,0.096497209,-0.360457107,0.788803303,0.199052574,0.456331185,268465.558286255
103,268465582118333,0.464937180,-0.761442346,0.097034509,-0.362005122,0.787870126,0.199271563,0.456622222,268465.591622838
104,268465615454916,0.474407641,-0.773802296,0.097341365,-0.363850764,0.787685242,0.197819829,0.456105196,268465.624959421
105,268465648791416,0.482357213,-0.782555429,0.096123038,-0.364714919,0.788904082,0.194154597,0.454881769,268465.658295921
106,268465682127916,0.489869423,-0.790875577,0.095630960,-0.364857073,0.790871350,0.191474321,0.452481449,268465.691632421
107,268465715464333,0.500336949,-0.801398408,0.094848514,-0.363820022,0.791622499,0.191914868,0.451815834,268465.724968838
108,268465748800958,0.509519416,-0.808884571,0.093280408,-0.364760446,0.790923287,0.194614467,0.451126848,268465.758305463
109,268465782137541,0.517200198,-0.815090580,0.092522912,-0.365782110,0.790274907,0.197262515,0.450284991,268465.791642046
110,268465815474041,0.527273028,-0.822183737,0.091296706,-0.366515433,0.789362578,0.201426811,0.449444603,268465.824978546
111,268465848810583,0.538262525,-0.830387204,0.090313419,-0.367454232,0.788884793,0.203838367,0.448428527,268465.858315088
112,268465882147125,0.546110190,-0.834674003,0.089059506,-0.369084666,0.787619488,0.206468338,0.448110398,268465.891651630
113,268465915483541,0.557211441,-0.839362504,0.086917745,-0.372436076,0.785787135,0.210603308,0.446627638,268465.924988046
114,268465948820166,0.568406202,-0.844763379,0.085804277,-0.376217182,0.784905925,0.215263274,0.442769802,268465.958324671
115,268465982156750,0.578477920,-0.846932268,0.084026734,-0.381496752,0.783171463,0.218639191,0.439658555,268465.991661255
116,268466015493208,0.592688994,-0.848878981,0.081756605,-0.390147244,0.780393169,0.221322704,0.435646581,268466.024997713
117,268466048829833,0.605303696,-0.851514264,0.080935190,-0.396840768,0.778270579,0.222449210,0.432814872,268466.058334338
118,268466082166375,0.620685537,-0.852702855,0.078802277,-0.405502787,0.775837776,0.219601848,0.430602271,268466.091670880
119,268466115502708,0.632507556,-0.853210646,0.077115361,-0.412985639,0.774362091,0.217145335,0.427380592,268466.125007213
120,268466148839375,0.644738048,-0.853478341,0.076625013,-0.419680262,0.772900167,0.215067486,0.424546627,268466.158343880
121,268466182175916,0.661802823,-0.854755441,0.075082631,-0.426612234,0.771163332,0.209444231,0.423606284,268466.191680421
122,268466215512458,0.675326726,-0.856308936,0.074241247,-0.429773446,0.770272475,0.208000612,0.422742117,268466.225016963
123,268466248849000,0.689199445,-0.859344998,0.074041965,-0.430729173,0.768808651,0.208776898,0.424049405,268466.258353505
124,268466282185625,0.708046722,-0.862198356,0.074408773,-0.431361752,0.766654802,0.210803068,0.426297517,268466.291690130
125,268466315522041,0.721646653,-0.863703746,0.075178703,-0.432258080,0.765116206,0.208848193,0.429106781,268466.325026546
126,268466348858541,0.736071933,-0.866959236,0.076050575,-0.436131009,0.762783059,0.206687270,0.430386076,268466.358363046
127,268466382195041,0.753383123,-0.867045355,0.076315967,-0.443151238,0.759211055,0.208933819,0.428441672,268466.391699546
