recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.036267113,-0.259718483,0.110501884,-0.119844126,0.848623579,0.061324210,0.511580688,268463.449852837
40,268463481915875,-0.032158821,-0.264786313,0.108724320,-0.122325470,0.849963585,0.062853975,0.508574296,268463.483189379
41,268463515252541,-0.027791441,-0.269924217,0.107072593,-0.125540172,0.850337846,0.065572533,0.506819009,268463.516526045
42,268463548589125,-0.022198433,-0.293841713,0.109271346,-0.129436375,0.849925013,0.071172666,0.505774854,268463.549862629
43,268463581925708,-0.017192390,-0.299688839,0.107439241,-0.132148721,0.849753209,0.073720342,0.504996597,268463.583199212
44,268463615262250,-0.011469419,-0.305523109,0.105196655,-0.137179380,0.850041664,0.078994149,0.502365369,268463.616535754
45,268463648598958,-0.011086235,-0.307306268,0.105293825,-0.141001815,0.851386101,0.077482111,0.499256217,268463.649872462
46,268463681935541,-0.004545231,-0.313222344,0.102882077,-0.144862393,0.852957092,0.079987297,0.495056737,268463.683209045
47,268463715272041,0.002331381,-0.319323277,0.100130150,-0.149363720,0.854157681,0.082605098,0.491204220,268463.716545545
48,268463748608625,0.011737229,-0.329136101,0.099116425,-0.156966796,0.854275148,0.083797903,0.488419246,268463.749882129
49,268463781945250,0.019550322,-0.335938159,0.096191782,-0.162644979,0.853613137,0.084467747,0.487602786,268463.783218754
50,268463815281708,0.028116653,-0.343090170,0.093147007,-0.168498944,0.853024296,0.085245944,0.486508826,268463.816555212
51,268463848618291,0.040787493,-0.355913596,0.090347550,-0.173294539,0.852986459,0.086993913,0.484577359,268463.849891795
52,268463881954875,0.050733841,-0.364875093,0.088218643,-0.176579114,0.852875937,0.086397679,0.483691996,268463.883228379
53,268463915291416,0.060994031,-0.374396600,0.086699886,-0.179390245,0.852740874,0.083834631,0.483346614,268463.916564920
54,268463948628000,0.074568678,-0.386848302,0.085817741,-0.183241700,0.852566707,0.077814735,0.483215698,268463.949901504
55,268463981964583,0.085698554,-0.396600236,0.085088111,-0.185390406,0.852447050,0.075260582,0.483011720,268463.983238087
56,268464015301166,0.097544681,-0.406223614,0.084492017,-0.190349202,0.851704808,0.077084778,0.482103818,268464.016574670
57,268464048637666,0.111346087,-0.413300299,0.083786368,-0.195932103,0.851438760,0.083878835,0.479194159,268464.049911170
58,268464081974208,0.123637844,-0.422641063,0.083889082,-0.200649095,0.851866519,0.088546871,0.475628930,268464.083247712
59,268464115310791,0.135967690,-0.431513890,0.084374455,-0.204143762,0.852163434,0.091961774,0.472954428,268464.116584295
60,268464148647291,0.148703318,-0.447193628,0.086608035,-0.207976574,0.851224574,0.092005984,0.472966618,268464.149920795
61,268464181983833,0.159728322,-0.454934537,0.087439449,-0.210495418,0.849195731,0.093617211,0.475178031,268464.183257337
62,268464215320333,0.170408299,-0.462294881,0.087940176,-0.212198278,0.846903885,0.096638727,0.477898222,268464.216593837
63,268464248656958,0.179575745,-0.470370180,0.090102268,-0.213749015,0.845334177,0.100443072,0.479200095,268464.249930462
64,268464281993541,0.189389843,-0.477092427,0.090260044,-0.215050801,0.845453830,0.104361825,0.477566370,268464.283267045
65,268464315329916,0.199071314,-0.483153501,0.090042541,-0.216113783,0.846036533,0.106867842,0.475495884,268464.316603420
66,268464348666500,0.203811055,-0.480466745,0.090304308,-0.216402642,0.846654231,0.109550707,0.473650932,268464.349940004
67,268464382003041,0.212214024,-0.485082992,0.089970983,-0.219395733,0.845633081,0.113708327,0.473118034,268464.383276545
