recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037193964,-0.241285462,0.108026670,-0.118224180,0.848183746,0.058507985,0.513014859,268463.456852837
40,268463481915875,-0.031806916,-0.247477788,0.106556336,-0.121705677,0.849585311,0.061152252,0.509561559,268463.490189379
41,268463515252541,-0.027431631,-0.252156199,0.105585227,-0.124870307,0.849746737,0.063816675,0.508198165,268463.523526045
42,268463548589125,-0.025997369,-0.278855455,0.109014199,-0.127459706,0.849305178,0.067753398,0.507783683,268463.556862629
43,268463581925708,-0.019370747,-0.286159886,0.107023996,-0.131583662,0.849158090,0.071856955,0.506411799,268463.590199212
44,268463615262250,-0.013655109,-0.291668650,0.105136147,-0.136471855,0.849738147,0.076881933,0.503398189,268463.623535754
45,268463648598958,-0.014340096,-0.296604856,0.103221728,-0.139886285,0.850671790,0.076129212,0.500992744,268463.656872462
46,268463681935541,-0.005858824,-0.304459142,0.100075417,-0.145211600,0.852802272,0.079519133,0.495296515,268463.690209045
47,268463715272041,0.000808818,-0.310548323,0.097357663,-0.149312589,0.853733770,0.081170928,0.492194813,268463.723545545
48,268463748608625,0.007541907,-0.322014647,0.096747890,-0.155578152,0.853699825,0.082513487,0.490085325,268463.756882129
49,268463781945250,0.017769093,-0.331265947,0.092768415,-0.163038927,0.852676134,0.082939736,0.489369771,268463.790218754
50,268463815281708,0.026283524,-0.338673884,0.089679161,-0.168835423,0.852336989,0.084358243,0.487749932,268463.823555212
51,268463848618291,0.035336367,-0.350638201,0.088139426,-0.172137272,0.852211789,0.085305811,0.486648537,268463.856891795
52,268463881954875,0.048123125,-0.362916254,0.085384219,-0.176110778,0.852115403,0.084237899,0.485580440,268463.890228379
53,268463915291416,0.058109935,-0.372637760,0.083937293,-0.179006420,0.851956114,0.080560851,0.485425055,268463.923564920
54,268463948628000,0.067820351,-0.384542074,0.083655619,-0.181734822,0.851870437,0.076054516,0.485288549,268463.956901504
55,268463981964583,0.082320736,-0.397593671,0.082405914,-0.185203365,0.851558044,0.073776431,0.484876997,268463.990238087
56,268464015301166,0.093927805,-0.407231053,0.081641852,-0.190614618,0.850780414,0.076571826,0.483710206,268464.023574670
57,268464048637666,0.104212488,-0.414792114,0.082445479,-0.194638530,0.850852059,0.081474424,0.481174175,268464.056911170
58,268464081974208,0.120116667,-0.426912684,0.082215304,-0.200093280,0.851553992,0.087171371,0.476675658,268464.090247712
59,268464115310791,0.131993397,-0.435419323,0.082439306,-0.203705602,0.851624032,0.089920442,0.474504903,268464.123584295
60,268464148647291,0.140935117,-0.438732687,0.084794176,-0.206845416,0.850895405,0.090379976,0.474366416,268464.156920795
61,268464181983833,0.155090475,-0.448598504,0.085736755,-0.209858601,0.847917876,0.092513751,0.477949686,268464.190257337
62,268464215320333,0.165253378,-0.455585243,0.086072088,-0.211372880,0.845853196,0.095977886,0.480252199,268464.223593837
63,268464248656958,0.171078569,-0.458524975,0.087394067,-0.212693129,0.844797027,0.099273216,0.480858084,268464.256930462
64,268464281993541,0.183629085,-0.467094387,0.087413434,-0.214313542,0.845257439,0.103952680,0.478334048,268464.290267045
65,268464315329916,0.192796488,-0.472841693,0.087045875,-0.215177056,0.845907294,0.106136345,0.476313776,268464.323603420
66,268464348666500,0.198634480,-0.473764309,0.086875268,-0.216625624,0.846069188,0.109963149,0.474498078,268464.356940004
67,268464382003041,0.206583046,-0.478260305,0.086455151,-0.220053059,0.844640221,0.114166976,0.474473922,268464.390276545
68,268464415339625,0.214148494,-0.482193392,0.086090496,-0.223867094,0.842730409,0.117781074,0.475201699,268464.423613129
69,268464448676125,0.220896955,-0.484155422,0.085279786,-0.227991833,0.841744238,0.121663152,0.474008958,268464.456949629
70,268464482012708,0.227769725,-0.487330541,0.084707342,-0.232180761,0.841619522,0.125307445,0.471239612,268464.490286212
71,268464515349291,0.234326223,-0.490452417,0.084298288,-0.234526970,0.841384594,0.126761552,0.470107039,268464.523622795
72,268464548685791,0.244073174,-0.498203723,0.084834218,-0.238311705,0.840308554,0.127856791,0.469831629,268464.556959295
73,268464582022416,0.249444693,-0.501275975,0.085032235,-0.242230598,0.839566430,0.128040405,0.469103672,268464.590295920
74,268464615358791,0.254647320,-0.504311309,0.085196439,-0.244902445,0.838949520,0.127793356,0.468887413,268464.623632295
75,268464648695375,0.262672171,-0.510214493,0.084570885,-0.246452858,0.839439669,0.127473528,0.467282124,268464.656968879
76,268464682031958,0.267950805,-0.514225966,0.084046527,-0.248177403,0.840186165,0.128921791,0.464622868,268464.690305462
77,268464715368500,0.273170697,-0.518395565,0.083395208,-0.249881884,0.840314650,0.131306823,0.462805471,268464.723642004
78,268464748704958,0.281263775,-0.526095408,0.082976103,-0.251057388,0.838413854,0.133568703,0.464964356,268464.756978462
79,268464782041541,0.285760061,-0.530416511,0.082709160,-0.254030031,0.834999236,0.136484120,0.468633287,268464.790315045
80,268464815378083,0.290098070,-0.534635526,0.082437786,-0.258617824,0.831147298,0.139222550,0.472152650,268464.823651587
81,268464848714625,0.298000682,-0.542143801,0.080995034,-0.265374615,0.827789297,0.142453408,0.473337377,268464.856988129
82,268464882051125,0.302860446,-0.546654414,0.080404075,-0.269359843,0.826416738,0.144033666,0.473006350,268464.890324629
83,268464915387625,0.308066652,-0.551618886,0.079794003,-0.273971202,0.824854780,0.146043718,0.472467626,268464.923661129
84,268464948724166,0.314809393,-0.558649811,0.079203320,-0.281208441,0.821797450,0.150857850,0.472030429,268464.956997670
85,268464982060708,0.320254404,-0.564873501,0.079068431,-0.285647842,0.819559928,0.152760020,0.472642851,268464.990334212
86,268465015397250,0.325978250,-0.571682983,0.079088796,-0.290733557,0.816926617,0.155194278,0.473307185,268465.023670754
87,268465048733708,0.334284455,-0.581339769,0.080016888,-0.298634459,0.812364678,0.161333387,0.474186336,268465.057007212
88,268465082070333,0.340963055,-0.589330960,0.080181649,-0.305151485,0.808843375,0.166566865,0.474247297,268465.090343837
89,268465115406791,0.347934254,-0.598018716,0.080476348,-0.310777070,0.805973148,0.170711070,0.474007048,268465.123911296
90,268465148743416,0.356307962,-0.609280014,0.081833662,-0.316505382,0.803921530,0.172704164,0.472977633,268465.157247921
91,268465182079875,0.364011130,-0.619053734,0.082525078,-0.321188686,0.803317837,0.174287315,0.470257659,268465.190584380
92,268465215416541,0.372108479,-0.629132745,0.083241208,-0.325870126,0.802675619,0.177028867,0.467098861,268465.223921046
93,268465248752958,0.382108535,-0.642213918,0.084815536,-0.329996841,0.801133122,0.180914535,0.465357701,268465.257257463
94,268465282089500,0.390349738,-0.653336932,0.086026050,-0.333430059,0.800107857,0.184939049,0.463086832,268465.290594005
95,268465315426125,0.401367295,-0.668423578,0.087975091,-0.337224322,0.798727017,0.189136165,0.461023289,268465.323930630
96,268465348762541,0.409439966,-0.680623792,0.090080438,-0.340764397,0.796890000,0.191496012,0.460624884,268465.357267046
97,268465382099083,0.417277491,-0.691578380,0.091859085,-0.344876239,0.795086597,0.193911484,0.459669526,268465.390603588
98,268465415435666,0.427539402,-0.705897771,0.094074590,-0.350502545,0.792541768,0.196823964,0.458569398,268465.423940171
99,268465448772166,0.435113699,-0.717568804,0.094758685,-0.353943459,0.791350841,0.197488955,0.457696450,268465.457276671
100,268465482108666,0.442727635,-0.728187923,0.095962423,-0.357088441,0.790708780,0.198696861,0.455836682,268465.490613171
101,268465515445250,0.452883968,-0.742299212,0.097321987,-0.359725132,0.789681874,0.199730404,0.455091404,268465.523949755
102,268465548781750,0.459321926,-0.752072710,0.096415073,-0.361089467,0.788724575,0.199514118,0.455765413,268465.557286255
103,268465582118333,0.466579878,-0.762090281,0.096960632,-0.362670595,0.787817796,0.199854012,0.455929366,268465.590622838
104,268465615454916,0.476179887,-0.774639569,0.097313571,-0.364456316,0.787521226,0.198376086,0.455663137,268465.623959421
105,268465648791416,0.483746547,-0.782837546,0.096028120,-0.365217107,0.788557880,0.194947952,0.454739798,268465.657295921
106,268465682127916,0.491225949,-0.791113225,0.095508490,-0.365519306,0.790262921,0.192576372,0.452542316,268465.690632421
107,268465715464333,0.501753528,-0.801604355,0.094646041,-0.364644123,0.791033636,0.192515132,0.451927459,268465.723968838
108,268465748800958,0.510986334,-0.809120902,0.093091188,-0.365131070,0.791101664,0.194377128,0.450616293,268465.757305463
109,268465782137541,0.518786637,-0.815545186,0.092355748,-0.365806677,0.790507383,0.196868531,0.450029317,268465.790642046
110,268465815474041,0.529039708,-0.822684788,0.091153296,-0.366615462,0.789587969,0.201083853,0.449120563,268465.823978546
111,268465848810583,0.539111361,-0.829832202,0.090072450,-0.367816429,0.788741909,0.203947874,0.448333128,268465.857315088
112,268465882147125,0.547011887,-0.834173006,0.088833917,-0.369284229,0.787523246,0.206722747,0.447997828,268465.890651630
113,268465915483541,0.558074571,-0.838826585,0.086736939,-0.372522753,0.785783610,0.210811951,0.446463092,268465.923988046
