ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw,vx,vy,vz,bgx,bgy,bgz,bax,bay,baz
355.108,268463.424516212,1,1,1,2,268462131783166,268462.14105666999,411062b8907128e2,0.0016551956397907876,-0.023671311304584355,-0.0041899906467988369,-0.046128524644339142,0.83865225562357437,0,0.54271047509384818,-0.00066343579014450612,0.0094879241077424591,0.0016794295883386975,0.38375424694957549,-0.38375424694957549,-0.56039888951657313,0.62563447294518559,-0.072306855185695268,-0.06228378584427724,0.047546766263314395,-0.0073937726077414811,0.0044053582741903161,0.004948135561455777,-0.014292824506039832,-0.065473914687566845,0.003957985605279532
308.407,268463.424516212,1,6,1,7,268462298466208,268462.30773971201,411062b93b201e7b,-0.012792726471854605,-0.044206273450095694,0.014236255389551049,-0.041727733633578512,0.83564690809288733,0.017285778660111661,0.5474068836881727,-0.015557858024557576,-0.011296382924816798,0.021211504852975644,0.39929800020893896,-0.3748522182420399,-0.56138561703784262,0.62039754229945587,-0.092282053882217413,-0.17307833128633709,0.1902239791322885,-0.0073937704415048293,0.0044052492831044296,0.0049481129260586345,-0.014603870167098352,-0.065552132343302788,0.003783511595608643
264.974,268463.424516212,1,11,1,12,268462465149375,268462.47442287899,411062b9e5cf1c77,-0.026107699341792218,-0.075944262817351074,0.049956438649096553,-0.040206052002932258,0.83863554649604255,0.021516690443509678,0.54278078335591429,-0.028857257212354763,-0.043098664421795579,0.057234319489073968,0.39901855971362737,-0.36858936508063889,-0.56457489483421053,0.62143483735340599,-0.084423155450562073,-0.17926026200395184,0.22135728131544807,-0.0073936574027392357,0.0044052123832748254,0.0049480144065134433,-0.014911956823539891,-0.065977814294441092,0.0035007488533639209
220.600,268463.424516212,1,16,1,17,268462631832458,268462.64110596204,411062ba907e14d1,-0.037298034939542563,-0.10213751623857104,0.080203579527531169,-0.047305169220710652,0.83744380522244222,0.023313748408185453,0.54397299235090368,-0.040529045072232962,-0.069300773605799532,0.087321855917091934,0.40113229059534505,-0.36816167228395924,-0.55871237272907814,0.62561198283141439,-0.054289484529573752,-0.12856422776743737,0.11819303833041514,-0.0073934023496924836,0.0044053460855228814,0.0049478755876474064,-0.015355481114947424,-0.067012425933189609,0.0030922648335656388
174.846,268463.424516212,1,21,1,22,268462798515500,268462.807789004,411062bb3b2d0a69,-0.045077631864505349,-0.12180279494218256,0.09230592005265667,-0.054518882436190907,0.8396833123178955,0.023462250962892728,0.53982330670784395,-0.048646729541447158,-0.088950937677349545,0.099189085602756952,0.39830302697607822,-0.36512239434336596,-0.55519507794416945,0.63229641883947818,-0.055615691685310248,-0.11710794871702099,0.052546942271537771,-0.0073932776339895043,0.0044055999716316281,0.0049477278533488177,-0.015339784437812266,-0.068525339315144096,0.0027441629809339717
128.978,268463.424516212,1,26,1,27,268462965198583,268462.97447208699,411062bbe5dc02c2,-0.053320514536527738,-0.14629680896388852,0.10163791821020009,-0.056789825718630671,0.83723878746133062,0.026703621349483231,0.54322472171692615,-0.05718931890347325,-0.11349662833505586,0.10860508804111797,0.4030001854503516,-0.36523556297821125,-0.55186073853532447,0.63217367813459102,-0.042877650968619715,-0.17499749686009525,0.056585523728253775,-0.0073934505189757818,0.0044057765515188316,0.0049476089774161411,-0.015130410032216289,-0.07020852013105118,0.0025531912817138972
82.030,268463.424516212,1,31,1,32,268463215223250,268463.224496754,411062bce5e27a22,-0.050886758025259757,-0.19718691833131613,0.11253571353558313,-0.092704682648211301,0.83904357618834902,0.044791568937488868,0.53423355158278762,-0.05725263497408669,-0.16472928015740596,0.11926908466827169,0.4094325783037841,-0.34608773571778595,-0.52774127864428522,0.65884549465268916,0.019806793054733915,-0.21502236351680423,0.021102776716087915,-0.0073939883034073346,0.0044056989541493407,0.0049474683347287733,-0.014792292706687945,-0.071651911280414371,0.0024203350604568141
34.144,268463.424516212,1,36,1,37,268463381906208,268463.39117971202,411062bd90916a18,-0.043669665650855852,-0.22972741314875644,0.11014820124328653,-0.11274634079767493,0.84205247533700622,0.055009241861884606,0.52460454433584169,-0.051355210538314044,-0.19754262786308105,0.11681400561068578,0.40984882778508586,-0.33205401395797429,-0.51569729957294375,0.67514469959465884,0.086205165536165695,-0.15576524377202927,-0.042734426334143691,-0.0073941791080536865,0.0044056380020997708,0.0049474231561152009,-0.014619850697513731,-0.07209351505521791,0.0024373092465965638
392.067,268463.524526045,2,1,1,2,268462131783166,268462.14105666999,411062b8907128e2,0.0016551956397907876,-0.023671311304584355,-0.0041899906467988369,-0.046128524644339142,0.83865225562357437,0,0.54271047509384818,-0.00066343579014450612,0.0094879241077424591,0.0016794295883386975,0.38375424694957549,-0.38375424694957549,-0.56039888951657313,0.62563447294518559,-0.07303020717349569,-0.07185179692174358,0.065838706534262242,-0.0055964234352535655,0.0015620431764699449,0.004043355073557714,-0.0058440272641128235,-0.036004277942072491,0.0071186840436973722
345.365,268463.524526045,2,6,1,7,268462298466208,268462.30773971201,411062b93b201e7b,-0.013140751962066179,-0.046197379570165412,0.016802770896625067,-0.041614649714114993,0.83594657624588786,0.017304750720502082,0.54695716597091126,-0.015892462898505644,-0.01328774995329134,0.023784555580288989,0.39899341704210267,-0.37452080453080722,-0.56167747681946545,0.6205294772727421,-0.094758656012943449,-0.18594141045549184,0.20353841828373448,-0.0055963929345266093,0.0015619693085797697,0.0040433920807895676,-0.0059766878393595693,-0.036068898203310606,0.0070098402269868562
