recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.035981601,-0.268121957,0.111432815,-0.120443941,0.848346766,0.063243678,0.511665234,268463.450852837
40,268463481915875,-0.032041881,-0.273605198,0.109386704,-0.122982291,0.849684641,0.064894363,0.508625738,268463.484189379
41,268463515252541,-0.027856644,-0.279169641,0.107433468,-0.126215775,0.850045706,0.067599471,0.506874976,268463.517526045
42,268463548589125,-0.022818137,-0.294819619,0.109821173,-0.129145435,0.849919794,0.071240135,0.505848492,268463.550862629
43,268463581925708,-0.017836512,-0.300717874,0.108036855,-0.131842545,0.849742879,0.073796052,0.505082943,268463.584199212
44,268463615262250,-0.012139229,-0.306612380,0.105847145,-0.136815026,0.850024877,0.079014787,0.502489875,268463.617535754
45,268463648598958,-0.011692796,-0.306810166,0.105550980,-0.140561815,0.851392227,0.077173609,0.499417601,268463.650872462
46,268463681935541,-0.005188085,-0.312711103,0.103187330,-0.144381839,0.852966974,0.079651129,0.495234264,268463.684209045
47,268463715272041,0.001641507,-0.318793995,0.100489014,-0.148799548,0.854180311,0.082186411,0.491406286,268463.717545545
48,268463748608625,0.011022492,-0.331453387,0.100129692,-0.156460349,0.854316619,0.083450745,0.488568624,268463.750882129
49,268463781945250,0.018828232,-0.338293174,0.097205520,-0.162115664,0.853647826,0.084068392,0.487787309,268463.784218754
50,268463815281708,0.027382250,-0.345494400,0.094171292,-0.167958495,0.853046718,0.084824026,0.486730089,268463.817555212
51,268463848618291,0.040044627,-0.358710172,0.091408483,-0.172728371,0.853036188,0.086571887,0.484767505,268463.850891795
52,268463881954875,0.049972693,-0.367734192,0.089278183,-0.175978300,0.852941609,0.086016249,0.483863109,268463.884228379
53,268463915291416,0.060215777,-0.377313033,0.087750758,-0.178754222,0.852804012,0.083421991,0.483542211,268463.917564920
54,268463948628000,0.074092664,-0.390295362,0.086696790,-0.182682702,0.852637976,0.077468370,0.483357236,268463.950901504
55,268463981964583,0.085223948,-0.400103212,0.085933506,-0.184838952,0.852515599,0.074835178,0.483168154,268463.984238087
56,268464015301166,0.097065276,-0.409799437,0.085308082,-0.189705125,0.851789638,0.076590865,0.482286503,268464.017574670
57,268464048637666,0.111328313,-0.417727051,0.084640149,-0.195405639,0.851543410,0.083422981,0.479302740,268464.050911170
58,268464081974208,0.123656495,-0.427103108,0.084682557,-0.200100933,0.851964317,0.088098774,0.475767883,268464.084247712
59,268464115310791,0.136013558,-0.436007285,0.085093837,-0.203595638,0.852283967,0.091509553,0.473061212,268464.117584295
60,268464148647291,0.148970004,-0.450320442,0.087352140,-0.207474240,0.851366219,0.091631200,0.473005049,268464.150920795
61,268464181983833,0.160030286,-0.458064763,0.088158030,-0.209971527,0.849340465,0.093153833,0.475242201,268464.184257337
62,268464215320333,0.174260048,-0.467897481,0.088753487,-0.211992574,0.846419287,0.097822180,0.478606741,268464.217593837
63,268464248656958,0.180031594,-0.472981484,0.090755636,-0.213250728,0.845445061,0.100149665,0.479287881,268464.250930462
64,268464281993541,0.189891383,-0.479735437,0.090913882,-0.214525159,0.845565663,0.104037903,0.477675448,268464.284267045
65,268464315329916,0.202730110,-0.487793241,0.090610392,-0.215725151,0.846408719,0.107102785,0.474956826,268464.317603420
66,268464348666500,0.204561112,-0.483915612,0.090677312,-0.215992887,0.846781551,0.109313644,0.473665133,268464.350940004
67,268464382003041,0.212994624,-0.488615731,0.090324419,-0.218924267,0.845779820,0.113427398,0.473141563,268464.384276545
68,268464415339625,0.223705171,-0.494022247,0.089963667,-0.224110494,0.843144153,0.118412584,0.474195041,268464.417613129
69,268464448676125,0.225137114,-0.492094901,0.087795844,-0.226998011,0.842154802,0.121435002,0.473815139,268464.450949629
70,268464482012708,0.232234046,-0.495298131,0.087251984,-0.230857524,0.841961318,0.124595861,0.471467780,268464.484286212
71,268464515349291,0.241250196,-0.499426564,0.086702670,-0.234451843,0.841740694,0.127268575,0.469369470,268464.517622795
72,268464548685791,0.245785147,-0.501403868,0.085251756,-0.236881023,0.840949392,0.128061940,0.469352420,268464.550959295
73,268464582022416,0.251240327,-0.504343687,0.085322903,-0.240604222,0.840199093,0.128464198,0.468691899,268464.584295920
74,268464615358791,0.258178613,-0.508217131,0.085400568,-0.244591293,0.839325232,0.128138334,0.468282900,268464.617632295
75,268464648695375,0.264835837,-0.515607000,0.085089040,-0.246029651,0.839460034,0.128183957,0.467274212,268464.650968879
76,268464682031958,0.270044875,-0.519522854,0.084549085,-0.247592988,0.840190204,0.129064111,0.464887774,268464.684305462
77,268464715368500,0.276916580,-0.525053899,0.083599309,-0.249864733,0.840526675,0.132207721,0.462172798,268464.717642004
78,268464748704958,0.283800003,-0.532954530,0.082736619,-0.250902234,0.839509216,0.134250518,0.462870605,268464.750978462
79,268464782041541,0.288306235,-0.537499701,0.082283601,-0.252838088,0.836649304,0.136734770,0.466255829,268464.784315045
80,268464815378083,0.294081442,-0.543361268,0.081757948,-0.258893425,0.831374107,0.140481724,0.471228423,268464.817651587
81,268464848714625,0.303649649,-0.551885928,0.082124098,-0.264326429,0.828636638,0.143285702,0.472188650,268464.850988129
82,268464882051125,0.308542425,-0.556496451,0.081568808,-0.268381167,0.827079843,0.144817176,0.472163658,268464.884324629
83,268464915387625,0.315554619,-0.563346530,0.080796446,-0.274308974,0.825134250,0.147342174,0.471379246,268464.917661129
84,268464948724166,0.323802605,-0.570924491,0.082366403,-0.279601185,0.822979107,0.150954894,0.470894086,268464.950997670
85,268464982060708,0.329464131,-0.577138443,0.082298111,-0.284364255,0.820638046,0.153349344,0.471353583,268464.984334212
86,268465015397250,0.337371240,-0.586379485,0.082507255,-0.290913993,0.817248223,0.156352500,0.472258763,268465.017670754
87,268465048733708,0.343126357,-0.594357066,0.082785752,-0.296530484,0.813945769,0.160405160,0.473109073,268465.051007212
88,268465082070333,0.349863368,-0.602389857,0.083017177,-0.303073799,0.810262377,0.165701539,0.473459826,268465.084343837
89,268465115406791,0.359310902,-0.614116948,0.083490924,-0.310785533,0.806319515,0.171523594,0.473118275,268465.117911296
90,268465148743416,0.365638845,-0.623687794,0.083876762,-0.315095807,0.804427014,0.173365662,0.472817314,268465.151247921
91,268465182079875,0.375975558,-0.636979568,0.084807454,-0.321297197,0.803514640,0.175193554,0.469509964,268465.184584380
92,268465215416541,0.384145416,-0.647325740,0.085525138,-0.325956893,0.802801143,0.178117650,0.466408174,268465.217921046
93,268465248752958,0.391593327,-0.657463695,0.086214287,-0.329130988,0.801633494,0.180737685,0.465177898,268465.251257463
94,268465282089500,0.402698681,-0.672611266,0.087720131,-0.333520613,0.800183020,0.185907070,0.462503784,268465.284594005
95,268465315426125,0.411034970,-0.684261477,0.089098096,-0.336352825,0.799208984,0.189167803,0.460811646,268465.317930630
96,268465348762541,0.418704706,-0.695929777,0.089479628,-0.339746363,0.797560452,0.191924121,0.460037954,268465.351267046
97,268465382099083,0.429366653,-0.711109635,0.091578386,-0.345321859,0.795047614,0.195207934,0.458852941,268465.384603588
98,268465415435666,0.437121068,-0.722295572,0.093066478,-0.349436669,0.793128347,0.197433533,0.458106422,268465.417940171
99,268465448772166,0.444765786,-0.731984087,0.094777033,-0.353436878,0.791627551,0.198643247,0.457109513,268465.451276671
100,268465482108666,0.455147398,-0.746643866,0.096319583,-0.357559464,0.790808834,0.200013490,0.454716697,268465.484613171
101,268465515445250,0.462943316,-0.757593077,0.097296519,-0.359739784,0.790043002,0.200902013,0.453935874,268465.517949755
102,268465548781750,0.470515972,-0.767522063,0.097244173,-0.361258066,0.789076204,0.201023504,0.454357742,268465.551286255
103,268465582118333,0.480612903,-0.781507687,0.098018829,-0.363334331,0.787815495,0.201429483,0.454709936,268465.584622838
104,268465615454916,0.488076811,-0.791459648,0.098339293,-0.364716315,0.787399505,0.200821511,0.454593007,268465.617959421
105,268465648791416,0.494305403,-0.798736967,0.097211113,-0.365597462,0.788047410,0.197566134,0.454188783,268465.651295921
106,268465682127916,0.504519805,-0.810426720,0.096627775,-0.366056667,0.790383190,0.194095383,0.451247121,268465.684632421
107,268465715464333,0.512590729,-0.818764169,0.096003433,-0.365364262,0.791096185,0.193402871,0.450856036,268465.717968838
108,268465748800958,0.521603835,-0.825889054,0.094321255,-0.365178367,0.791382731,0.194766341,0.449915836,268465.751305463
109,268465782137541,0.532334108,-0.835095232,0.093321829,-0.366275535,0.790638082,0.198086751,0.448882333,268465.784642046
110,268465815474041,0.540252993,-0.840946654,0.092457091,-0.366767408,0.789963761,0.201271970,0.448250568,268465.817978546
111,268465848810583,0.546842502,-0.843304594,0.091020075,-0.367601670,0.789288680,0.203872214,0.447580792,268465.851315088
112,268465882147125,0.557468748,-0.849446382,0.089392239,-0.369509231,0.787729884,0.207430192,0.447121154,268465.884651630
113,268465915483541,0.565720585,-0.853227792,0.087872866,-0.371755288,0.786348853,0.210357380,0.446321983,268465.917988046
114,268465948820166,0.570542657,-0.850136515,0.086560285,-0.374864738,0.785434748,0.213756090,0.443708318,268465.951324671
115,268465982156750,0.583574765,-0.852928870,0.084152602,-0.381436566,0.783236121,0.218342984,0.439742788,268465.984661255
116,268466015493208,0.594117082,-0.854290951,0.082380664,-0.387468543,0.781365354,0.220838358,0.436539557,268466.017997713
117,268466048829833,0.603734474,-0.852812131,0.081680294,-0.394396248,0.779296356,0.222279686,0.433290414,268466.051334338
118,268466082166375,0.618830943,-0.853496218,0.079541334,-0.403135868,0.776668880,0.220683175,0.430773621,268466.084670880
119,268466115502708,0.630412143,-0.853636563,0.077907282,-0.410527878,0.774962618,0.218518780,0.427959575,268466.118007213
120,268466148839375,0.644866532,-0.856641639,0.076641240,-0.417528673,0.773548758,0.216213618,0.424904519,268466.151343880
121,268466182175916,0.661557779,-0.857178755,0.074788952,-0.425358900,0.771623960,0.210768787,0.423370810,268466.184680421
122,268466215512458,0.674676554,-0.858073452,0.073676875,-0.429750363,0.770599882,0.208587537,0.421878822,268466.218016963
123,268466248849000,0.697312470,-0.864203195,0.072688152,-0.431671205,0.768625773,0.209254997,0.423186474,268466.251353505
124,268466282185625,0.711849955,-0.866309474,0.072673938,-0.432666603,0.767196860,0.210531157,0.424128841,268466.284690130
125,268466315522041,0.726067197,-0.868248639,0.073314920,-0.433135147,0.765720505,0.209793421,0.426676489,268466.318026546
126,268466348858541,0.747542887,-0.873488597,0.075014818,-0.437051560,0.762564798,0.208503872,0.428960431,268466.351363046
127,268466382195041,0.760855507,-0.873578821,0.075351330,-0.441648283,0.760016464,0.209433457,0.428321665,268466.384699546
128,268466415531500,0.773961869,-0.873476605,0.075233512,-0.446536726,0.758119427,0.212025463,0.425329452,268466.418036005
129,268466448868041,0.791873885,-0.877612480,0.076456688,-0.451675297,0.757785144,0.215939916,0.418474740,268466.451372546
130,268466482204708,0.803575912,-0.878173242,0.076031793,-0.453724889,0.757084726,0.219599511,0.415611056,268466.484709213
131,268466515541166,0.814485220,-0.879118045,0.075984232,-0.454353802,0.755378384,0.223208036,0.416106171,268466.518045671
132,268466548877666,0.824863519,-0.884900711,0.077251596,-0.455246009,0.753110476,0.227424297,0.416957942,268466.551382171
133,268466582214250,0.834567098,-0.886727291,0.077639495,-0.456936952,0.752165867,0.229885275,0.415461122,268466.584718755
134,268466615550708,0.844381229,-0.888320452,0.077731109,-0.459496930,0.752080452,0.230888879,0.412223173,268466.618055213
135,268466648887166,0.847563246,-0.890733250,0.076904143,-0.463424931,0.754237226,0.229985105,0.404314785,268466.651391671
136,268466682223833,0.856446834,-0.892430286,0.076638559,-0.466591974,0.755939186,0.228090542,0.398525577,268466.684728338
137,268466715560208,0.865241572,-0.894066346,0.076363802,-0.471758331,0.756125818,0.228624952,0.391725042,268466.718064713
138,268466748896791,0.872746422,-0.898035096,0.075007168,-0.478008428,0.753640865,0.231335450,0.387320736,268466.751401296
139,268466782233291,0.880601520,-0.900669698,0.075290899,-0.482262158,0.750428000,0.233362217,0.387069964,268466.784737796
140,268466815569750,0.888183046,-0.903746056,0.075668391,-0.486000700,0.747029528,0.236109124,0.387301871,268466.818074255
141,268466848906250,0.901003263,-0.909883531,0.075489299,-0.489308309,0.743626905,0.238946072,0.387944884,268466.851410755
142,268466882242833,0.908907266,-0.913498531,0.075561838,-0.491530309,0.741608419,0.241591247,0.387361113,268466.884747338
143,268466915579291,0.916855748,-0.917217241,0.075694155,-0.493331724,0.740327498,0.243129736,0.386557875,268466.918083796
144,268466948915750,0.929129978,-0.922014943,0.077017612,-0.496442518,0.738158058,0.245827455,0.385014835,268466.951420255
145,268466982252250,0.936659822,-0.925096801,0.077695701,-0.498914153,0.736310764,0.249001501,0.383313752,268466.984756755
