recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037686591,-0.256381141,0.110666417,-0.119090311,0.847942854,0.060847216,0.512940624,268463.455852837
40,268463481915875,-0.033836352,-0.261553835,0.109074829,-0.121702787,0.849272392,0.062925594,0.509867884,268463.489189379
41,268463515252541,-0.028323293,-0.268528967,0.107079648,-0.125832993,0.849509753,0.066173326,0.508055491,268463.522526045
42,268463548589125,-0.025742024,-0.281194248,0.108811435,-0.127555117,0.849429727,0.068542187,0.507445418,268463.555862629
43,268463581925708,-0.020952894,-0.286761463,0.107352343,-0.130116090,0.849242601,0.071060017,0.506761615,268463.589199212
44,268463615262250,-0.013485770,-0.294187387,0.104852588,-0.136657015,0.849861322,0.077758746,0.503005192,268463.622535754
45,268463648598958,-0.014208618,-0.298587101,0.104157241,-0.139707652,0.850892964,0.076172643,0.500660281,268463.655872462
46,268463681935541,-0.005725738,-0.306437902,0.101074138,-0.145048890,0.853015335,0.079596144,0.494964812,268463.689209045
47,268463715272041,0.000951704,-0.312532197,0.098412240,-0.149158517,0.853928495,0.081271554,0.491887030,268463.722545545
48,268463748608625,0.007669759,-0.324751676,0.098312478,-0.155343752,0.853943910,0.082520145,0.489733189,268463.755882129
49,268463781945250,0.017926755,-0.334013169,0.094408569,-0.162776996,0.852930679,0.082966275,0.489008749,268463.789218754
50,268463815281708,0.026462577,-0.341413701,0.091376284,-0.168559023,0.852608117,0.084396089,0.487364964,268463.822555212
51,268463848618291,0.035731244,-0.353237199,0.089704878,-0.171792103,0.852530266,0.085377523,0.486199908,268463.855891795
52,268463881954875,0.048579309,-0.365507860,0.087002948,-0.175780944,0.852425110,0.084264092,0.485151634,268463.889228379
53,268463915291416,0.058615253,-0.375232390,0.085610422,-0.178674274,0.852270485,0.080579792,0.484992242,268463.922564920
54,268463948628000,0.068706145,-0.386760157,0.085057385,-0.181474726,0.852198505,0.076216788,0.484784164,268463.955901504
55,268463981964583,0.083286640,-0.399854160,0.083884382,-0.184904821,0.851888638,0.073985822,0.484378062,268463.989238087
56,268464015301166,0.094964097,-0.409508848,0.083181526,-0.190381150,0.851096591,0.076816625,0.483206861,268464.022574670
