recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.035953620,-0.268128937,0.111450109,-0.120346736,0.848645209,0.062980312,0.511225494,268463.450852837
40,268463481915875,-0.032028243,-0.273605508,0.109385081,-0.123070493,0.849843219,0.065270786,0.508291191,268463.484189379
41,268463515252541,-0.027867035,-0.279173838,0.107418940,-0.126111669,0.850119828,0.067494237,0.506790595,268463.517526045
42,268463548589125,-0.022813135,-0.294807270,0.109864240,-0.129468803,0.849937208,0.071313158,0.505726268,268463.550862629
43,268463581925708,-0.017870186,-0.300734939,0.108040151,-0.131503324,0.849697400,0.073577294,0.505279762,268463.584199212
44,268463615262250,-0.012159522,-0.306625136,0.105863713,-0.136441228,0.849907035,0.078658722,0.502846580,268463.617535754
45,268463648598958,-0.011622725,-0.306769156,0.105527359,-0.141119563,0.851276038,0.077995498,0.499330684,268463.650872462
46,268463681935541,-0.005184455,-0.312714762,0.103181991,-0.144131545,0.852955141,0.079374870,0.495371889,268463.684209045
47,268463715272041,0.001643725,-0.318791880,0.100484935,-0.148753194,0.854301760,0.082209548,0.491205286,268463.717545545
48,268463748608625,0.011005234,-0.331460050,0.100111009,-0.156218158,0.854535975,0.083735324,0.488213686,268463.750882129
49,268463781945250,0.018821558,-0.338245821,0.097183719,-0.162297324,0.853661308,0.084118134,0.487694722,268463.784218754
50,268463815281708,0.027382270,-0.345505366,0.094180645,-0.167938289,0.852926961,0.084581428,0.486989082,268463.817555212
51,268463848618291,0.040110371,-0.358672672,0.091380749,-0.173256893,0.853020626,0.086941142,0.484540145,268463.850891795
52,268463881954875,0.049981850,-0.367759287,0.089275070,-0.175883823,0.852984463,0.086230686,0.483783741,268463.884228379
53,268463915291416,0.060217120,-0.377317600,0.087731687,-0.178667511,0.852812671,0.083772894,0.483498318,268463.917564920
54,268463948628000,0.074093613,-0.390268403,0.086690990,-0.182829548,0.852593464,0.077556621,0.483366078,268463.950901504
55,268463981964583,0.085199937,-0.400093770,0.085983778,-0.184848673,0.852552336,0.074005681,0.483227374,268463.984238087
56,268464015301166,0.097024819,-0.409847419,0.085337234,-0.189194935,0.851892337,0.075941803,0.482408145,268464.017574670
57,268464048637666,0.111355271,-0.417727092,0.084633902,-0.195787469,0.851287198,0.083613976,0.479568691,268464.050911170
58,268464081974208,0.123724898,-0.427118199,0.084711237,-0.200301688,0.851897240,0.088326779,0.475761243,268464.084247712
59,268464115310791,0.136036603,-0.436007091,0.085077754,-0.203539797,0.852414452,0.091644856,0.472823886,268464.117584295
