recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037666370,-0.256388921,0.110680343,-0.119029947,0.848192531,0.060716686,0.512557156,268463.455852837
40,268463481915875,-0.033827263,-0.261551844,0.109067448,-0.121759576,0.849384849,0.063183296,0.509635074,268463.489189379
41,268463515252541,-0.028329647,-0.268536783,0.107067429,-0.125783376,0.849586529,0.066050652,0.507955349,268463.522526045
42,268463548589125,-0.025737259,-0.281182608,0.108839811,-0.127816474,0.849444061,0.068609236,0.507346590,268463.555862629
43,268463581925708,-0.020982752,-0.286777126,0.107353724,-0.129780280,0.849199170,0.070834330,0.506952069,268463.589199212
44,268463615262250,-0.013482466,-0.294180707,0.104870180,-0.136515128,0.849701095,0.077650809,0.503330979,268463.622535754
45,268463648598958,-0.014147914,-0.298563255,0.104144195,-0.140133318,0.850804492,0.076819325,0.500592863,268463.655872462
46,268463681935541,-0.005737240,-0.306442212,0.101062503,-0.144523975,0.853055829,0.079021037,0.495140689,268463.689209045
47,268463715272041,0.000939820,-0.312516443,0.098398448,-0.149147619,0.854106562,0.081527064,0.491538767,268463.722545545
48,268463748608625,0.007657095,-0.324751654,0.098292275,-0.155141101,0.854113909,0.082710989,0.489468706,268463.755882129
49,268463781945250,0.017910249,-0.333949625,0.094378581,-0.163004780,0.852893857,0.082989565,0.488993145,268463.789218754
50,268463815281708,0.026478355,-0.341434119,0.091389934,-0.168601924,0.852440087,0.084041422,0.487705221,268463.822555212
51,268463848618291,0.035775853,-0.353209549,0.089684452,-0.172205232,0.852537096,0.085757573,0.485974844,268463.855891795
52,268463881954875,0.048589137,-0.365541465,0.086986956,-0.175631423,0.852467489,0.084482882,0.485093269,268463.889228379
53,268463915291416,0.058616655,-0.375240145,0.085597866,-0.178576925,0.852270466,0.081061629,0.484947833,268463.922564920
54,268463948628000,0.068709104,-0.386739981,0.085055801,-0.181618425,0.852162793,0.076217712,0.484792983,268463.955901504
55,268463981964583,0.083236101,-0.399857018,0.083949756,-0.184612655,0.851990816,0.072812625,0.484487557,268463.989238087
56,268464015301166,0.094929386,-0.409569213,0.083212634,-0.189941475,0.851154297,0.076222584,0.483372288,268464.022574670
57,268464048637666,0.105516778,-0.417090875,0.083777947,-0.194668782,0.850972787,0.081905385,0.480875184,268464.055911170
58,268464081974208,0.121582427,-0.429337875,0.083668133,-0.200117387,0.851883812,0.087725692,0.475974011,268464.089247712
59,268464115310791,0.133492076,-0.437906499,0.083925890,-0.203417108,0.852107130,0.090519001,0.473646792,268464.122584295
60,268464148647291,0.142699441,-0.443168270,0.086328539,-0.206577677,0.851354377,0.090781940,0.473582179,268464.155920795
61,268464181983833,0.156966511,-0.453127676,0.087307396,-0.209742189,0.848345423,0.092034165,0.477334289,268464.189257337
62,268464215320333,0.167252193,-0.460264085,0.087705448,-0.211172028,0.846006240,0.095986754,0.480069175,268464.222593837
63,268464248656958,0.173238328,-0.463759341,0.089151200,-0.212311007,0.844898469,0.099538276,0.480793925,268464.255930462
64,268464281993541,0.185976057,-0.472387975,0.089187448,-0.214019858,0.845521099,0.104062453,0.477975555,268464.289267045
65,268464315329916,0.195261404,-0.478226572,0.088878752,-0.214927092,0.846252498,0.106366415,0.475761804,268464.322603420
66,268464348666500,0.198248511,-0.477294417,0.088703712,-0.215284909,0.846751660,0.108325731,0.474267460,268464.355940004
67,268464382003041,0.209065141,-0.483474845,0.088147771,-0.219322728,0.845183947,0.114077024,0.473865088,268464.389276545
68,268464415339625,0.216763251,-0.487432691,0.087843100,-0.223516179,0.842986391,0.117981395,0.474863039,268464.422613129
69,268464448676125,0.220638448,-0.487308731,0.086812872,-0.226930111,0.841671761,0.120956913,0.474827179,268464.455949629
70,268464482012708,0.229953923,-0.491700510,0.086074894,-0.231518392,0.841907666,0.125006323,0.471130754,268464.489286212
71,268464515349291,0.236585985,-0.494803775,0.085661305,-0.234363156,0.841846687,0.127168635,0.469250742,268464.522622795
72,268464548685791,0.243434491,-0.500145512,0.085653765,-0.236513033,0.840987915,0.127656205,0.469579449,268464.555959295
73,268464582022416,0.250727320,-0.504229018,0.085897445,-0.241568513,0.839807745,0.127934929,0.469041908,268464.589295920
74,268464615358791,0.255979313,-0.507212209,0.086040866,-0.244795071,0.839192066,0.127719249,0.468529504,268464.622632295
75,268464648695375,0.262303419,-0.512225285,0.085563937,-0.245963516,0.839286679,0.127272610,0.467869165,268464.655968879
76,268464682031958,0.269320098,-0.517555970,0.084892202,-0.247512613,0.840483737,0.128492871,0.464558102,268464.689305462
77,268464715368500,0.274536818,-0.521691186,0.084217291,-0.249386055,0.840803880,0.131102397,0.462241977,268464.722642004
