recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037692631,-0.223732498,0.099511751,-0.117154715,0.847547323,0.057236688,0.514453421,268463.454852837
40,268463481915875,-0.034390731,-0.228110360,0.098555149,-0.120045364,0.848676703,0.060315451,0.511565308,268463.488189379
41,268463515252541,-0.029672388,-0.234030957,0.097648951,-0.123843598,0.848856415,0.062662167,0.510077499,268463.521526045
42,268463548589125,-0.029862973,-0.248397136,0.098021188,-0.125557296,0.848405935,0.064050006,0.510235617,268463.554862629
43,268463581925708,-0.025685748,-0.253269147,0.096938646,-0.126937468,0.848096225,0.065968037,0.510164624,268463.588199212
44,268463615262250,-0.018920866,-0.259567584,0.095103166,-0.133482036,0.848494218,0.072487024,0.506937662,268463.621535754
45,268463648598958,-0.014930656,-0.274746249,0.096270286,-0.139720575,0.850041650,0.076193581,0.502097546,268463.654872462
46,268463681935541,-0.009358922,-0.280308084,0.094173562,-0.142007835,0.851804264,0.076652102,0.498385172,268463.688209045
47,268463715272041,-0.001530089,-0.287905357,0.090980837,-0.148119359,0.853626018,0.080288793,0.492886437,268463.721545545
48,268463748608625,0.005233829,-0.300301643,0.089860800,-0.154122272,0.853703370,0.082116003,0.490605643,268463.754882129
49,268463781945250,0.012286139,-0.306995752,0.087200128,-0.160495955,0.852677002,0.082196727,0.490333285,268463.788218754
50,268463815281708,0.022889850,-0.317008142,0.083874271,-0.167770321,0.851687999,0.082793341,0.489516075,268463.821555212
51,268463848618291,0.030951570,-0.330304148,0.083449536,-0.171913903,0.851874359,0.084801026,0.487405915,268463.854891795
52,268463881954875,0.039683286,-0.339398808,0.081854334,-0.173949096,0.851927393,0.084150445,0.486703386,268463.888228379
53,268463915291416,0.051864076,-0.351813786,0.080531764,-0.177675726,0.851638758,0.080414758,0.486493866,268463.921564920
54,268463948628000,0.060583821,-0.366173262,0.081146440,-0.180825540,0.851503461,0.074681786,0.486483982,268463.954901504
55,268463981964583,0.073972288,-0.378825551,0.080574691,-0.183551507,0.851436191,0.069889920,0.486292823,268463.988238087
56,268464015301166,0.084740688,-0.388063071,0.080129764,-0.188386709,0.850643608,0.073486617,0.485299567,268464.021574670
57,268464048637666,0.094951061,-0.396421406,0.080756464,-0.193901986,0.850254042,0.079524120,0.482851997,268464.054911170
58,268464081974208,0.109658901,-0.407366613,0.080805181,-0.199289879,0.851312903,0.085468846,0.477749949,268464.088247712
59,268464115310791,0.120209201,-0.414865431,0.081124781,-0.202289031,0.851781509,0.088262561,0.475139119,268464.121584295
60,268464148647291,0.130304048,-0.418799737,0.082792960,-0.205706221,0.851105665,0.089274317,0.474693846,268464.154920795
61,268464181983833,0.142988543,-0.427606947,0.083639319,-0.208984674,0.848129995,0.089315507,0.478564219,268464.188257337
62,268464215320333,0.152172307,-0.434035279,0.083981176,-0.210416177,0.845479305,0.093489437,0.481819008,268464.221593837
63,268464248656958,0.161476402,-0.441262076,0.084255152,-0.211914369,0.844212272,0.098758416,0.482332632,268464.254930462
64,268464281993541,0.173244700,-0.448848305,0.083785343,-0.213678149,0.844932098,0.103027870,0.479392021,268464.288267045
65,268464315329916,0.181603500,-0.454036662,0.083201446,-0.214661992,0.845801169,0.105546067,0.476865487,268464.321603420
66,268464348666500,0.189665927,-0.461979923,0.083494272,-0.215161030,0.846479832,0.108033973,0.474875077,268464.354940004
67,268464382003041,0.199712587,-0.467650973,0.082639787,-0.218771615,0.845138475,0.113722590,0.474285953,268464.388276545
68,268464415339625,0.206952043,-0.471248667,0.082078763,-0.223367711,0.842696598,0.118092870,0.475419222,268464.421613129
69,268464448676125,0.215736028,-0.477311362,0.083789430,-0.227467173,0.841077607,0.121348447,0.475522609,268464.454949629
70,268464482012708,0.225013077,-0.481660038,0.082997619,-0.231557602,0.841472426,0.125058956,0.471874501,268464.488286212
71,268464515349291,0.231342279,-0.484759180,0.082640322,-0.234950572,0.841653067,0.127954105,0.469090762,268464.521622795
