recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037669639,-0.220744958,0.098900188,-0.116957809,0.847465363,0.056914315,0.514668965,268463.455852837
40,268463481915875,-0.034379058,-0.225044604,0.098031852,-0.119841658,0.848595771,0.059988273,0.511785751,268463.489189379
41,268463515252541,-0.029678002,-0.230859469,0.097250375,-0.123631182,0.848776089,0.062327972,0.510303595,268463.522526045
42,268463548589125,-0.029931853,-0.245885801,0.097667226,-0.125269082,0.848340918,0.063655440,0.510463890,268463.555862629
43,268463581925708,-0.025766665,-0.250718422,0.096657568,-0.126641705,0.848031421,0.065567027,0.510397498,268463.589199212
44,268463615262250,-0.019019021,-0.256965162,0.094924683,-0.133176402,0.848433457,0.072077530,0.507178073,268463.622535754
45,268463648598958,-0.015193625,-0.272855619,0.095753401,-0.139608328,0.849949640,0.076030354,0.502309231,268463.655872462
46,268463681935541,-0.007774825,-0.280262620,0.092925688,-0.143050841,0.852303956,0.077062504,0.497167826,268463.689209045
47,268463715272041,-0.001899927,-0.285955970,0.090511389,-0.147995300,0.853536033,0.080121540,0.493106705,268463.722545545
48,268463748608625,0.004838765,-0.298839846,0.089382723,-0.153995155,0.853610800,0.081987512,0.490828072,268463.755882129
49,268463781945250,0.014354909,-0.307938505,0.085868614,-0.162247148,0.852218183,0.082031912,0.490582155,268463.789218754
50,268463815281708,0.022388517,-0.315563433,0.083415208,-0.167632691,0.851596337,0.082661169,0.489744978,268463.822555212
51,268463848618291,0.030345376,-0.329018836,0.083044394,-0.171757302,0.851777347,0.084617496,0.487662499,268463.855891795
52,268463881954875,0.041994923,-0.341213970,0.081038555,-0.174583670,0.851781291,0.083386761,0.486863303,268463.889228379
53,268463915291416,0.051137554,-0.350537040,0.080131747,-0.177506448,0.851541149,0.080227858,0.486757307,268463.922564920
54,268463948628000,0.059794184,-0.365506942,0.080783098,-0.180678935,0.851394418,0.074426319,0.486768367,268463.955901504
55,268463981964583,0.073113415,-0.378151085,0.080178730,-0.183397543,0.851325835,0.069631117,0.486581159,268463.989238087
56,268464015301166,0.083827114,-0.387382353,0.079708386,-0.188229765,0.850533906,0.073224654,0.485592250,268464.022574670
57,268464048637666,0.093874353,-0.395616257,0.080322195,-0.193718715,0.850167100,0.079174345,0.483136045,268464.055911170
58,268464081974208,0.108505506,-0.406491938,0.080315961,-0.199101434,0.851229084,0.085114449,0.478041054,268464.089247712
59,268464115310791,0.118995352,-0.413935435,0.080591754,-0.202096444,0.851699107,0.087904696,0.475435039,268464.122584295
60,268464148647291,0.129208298,-0.417236129,0.082360890,-0.205541540,0.851029393,0.088977613,0.474957562,268464.155920795
61,268464181983833,0.141820801,-0.425959357,0.083177252,-0.208815805,0.848052540,0.089013836,0.478831326,268464.189257337
62,268464215320333,0.150948483,-0.432322506,0.083495256,-0.210245597,0.845401016,0.093184302,0.482089878,268464.222593837
63,268464248656958,0.160265825,-0.438860342,0.083685641,-0.211817485,0.844129193,0.098588048,0.482555393,268464.255930462
