ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw
336.545,268541.162618005,1,1,1,2,268539951998500,268539.96250300505,411063efd99a6344,0.00027422440372211465,-0.025405953877251371,-0.0046576116957742766,-0.040174340808870723,0.89798894279800989,0,0.43818031377282174,-8.4119276485144497e-05,0.0077932805630926694,0.0014287228238944172,0.30984026300752709,-0.30984026300752709,-0.60656650592890571,0.66338160204857355
291.486,268541.162618005,1,6,1,7,268540118681041,268540.12918554607,411063f08449373e,0.0038418575909047381,-0.012806040870097294,-0.00637229082462308,-0.036280921387731924,0.89811372442921322,0.0032363060432701596,0.43825222449043977,0.0036232150609902007,0.020336802281505226,2.0290441108810893e-05,0.31217952545054717,-0.30760269767393666,-0.60940780306559161,0.66071677278237539
246.383,268541.162618005,1,11,1,12,268540285363833,268540.29586833809,411063f12ef81c10,0.0047466975456831682,0.00087767146214412506,-0.010142128158345635,-0.035918666476802419,0.89818357364155033,0.0025055419624128161,0.4381436897993361,0.0045723086443361562,0.034027167045382008,-0.0037827663150016397,0.3115860516132421,-0.30804268028317877,-0.60971334681320266,0.66051001073554427
203.653,268541.162618005,1,16,1,17,268540452046416,268540.46255092107,411063f1d9a6f2db,0.0043480887775274096,0.01843461738013645,-0.024784093214877012,-0.03819808322481455,0.89246050639537289,0.012100691656285661,0.44934260585480246,0.003586238807044082,0.051471688129189924,-0.017904231812849364,0.32628967612183057,-0.30917671432272803,-0.60405473626512873,0.6580749821810421
159.495,268541.162618005,1,21,1,22,268540618729041,268540.62923354609,411063f28455cc78,0.0056765690173890982,0.039807484647772368,-0.056238387700059553,-0.038373991405818875,0.89029260716983361,0.017282071347747341,0.45344006618817673,0.0046861126285942505,0.072773647622356871,-0.049054235221052053,0.33285080665037026,-0.30841026761475732,-0.60239741419826165,0.65666643184286477
116.558,268541.162618005,1,26,1,27,268540785411625,268540.79591613007,411063f32f04a354,0.0065212328034976114,0.063681720438514028,-0.085622217546102192,-0.034115895435014199,0.8919062479161548,-0.012267828404367215,0.45076479920853973,0.0066975025082116934,0.09697440074410324,-0.080060983957442863,0.31006417333574821,-0.3274135021844698,-0.6065493589378157,0.65479651967083963
74.201,268541.162618005,1,31,1,32,268540952094416,268540.96259892109,411063f3d9b38815,0.014045288136058641,0.089297869664136803,-0.11344338212428222,-0.049127442216958028,0.88483462158220094,-0.0066017394623086867,0.46326089530550169,0.012979650455994767,0.12259115399820505,-0.10798603968016954,0.32290677719631106,-0.33224304643075864,-0.59093419789290869,0.66041089111231777
31.968,268541.162618005,1,36,1,37,268541118776916,268541.12928142108,411063f48462594e,0.019461519534294071,0.10455123133262155,-0.13837687599113555,-0.042751784246505775,0.87855482095807491,-0.0042425489212496448,0.47570554496053175,0.018516605003321873,0.13778968758837629,-0.13257402201830143,0.33337467270805632,-0.33937454277188495,-0.59100197927071907,0.65146213075915871
369.467,268541.262627505,2,1,1,2,268539951998500,268539.96250300505,411063efd99a6344,0.00027422440372211465,-0.025405953877251371,-0.0046576116957742766,-0.040174340808870723,0.89798894279800989,0,0.43818031377282174,-8.4119276485144497e-05,0.0077932805630926694,0.0014287228238944172,0.30984026300752709,-0.30984026300752709,-0.60656650592890571,0.66338160204857355
324.407,268541.262627505,2,6,1,7,268540118681041,268540.12918554607,411063f08449373e,0.0038573823905326226,-0.01261078743637738,-0.006458968578473394,-0.036250368522640908,0.89811834720215011,0.0030982453031773716,0.4382462769828997,0.003644610749441383,0.020533509951015379,-7.3733195856971856e-05,0.31207769624480847,-0.30769611583407364,-0.60943267599711193,0.66069843743886425
