recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.017951547,0.098498666,-0.140014149,-0.040469088,0.875765943,-0.003037149,0.481027126,268541.190954505
40,268541218786500,0.017848947,0.099416666,-0.143876218,-0.040257810,0.874192164,-0.003021722,0.483899052,268541.224291005
41,268541252123000,0.016841459,0.100396830,-0.148435800,-0.039674825,0.870522801,-0.004233564,0.490507994,268541.257627505
42,268541285459541,0.015565756,0.100867324,-0.151604848,-0.038651526,0.867587969,-0.005014093,0.495754059,268541.290964046
43,268541318796083,0.014513332,0.100889836,-0.154668410,-0.037354441,0.864120728,-0.004044839,0.501880170,268541.324300588
44,268541352132625,0.013105308,0.100241207,-0.158527954,-0.035790282,0.857920514,-0.001318530,0.512532693,268541.357637130
45,268541385469083,0.011929528,0.099476146,-0.161286598,-0.033597092,0.853570017,0.000375104,0.519893618,268541.390973588
46,268541418805625,0.011384333,0.098152986,-0.164043797,-0.031069329,0.850151781,0.002164262,0.525615844,268541.424310130
47,268541452142125,0.011759815,0.095868470,-0.167541307,-0.031669615,0.846526534,0.004227471,0.531386907,268541.457646630
48,268541485478666,0.012417294,0.094315036,-0.169858377,-0.034706149,0.845262787,0.003435428,0.533211548,268541.490983171
49,268541518815083,0.013482538,0.092449139,-0.172043299,-0.038251396,0.844700151,0.001881989,0.533867958,268541.524319588
50,268541552151666,0.014816677,0.089011454,-0.175155384,-0.042148965,0.842984966,0.002032992,0.536279528,268541.557656171
51,268541585488125,0.017631136,0.092590389,-0.183436163,-0.043717470,0.841349981,0.002212182,0.538715279,268541.590992630
52,268541618824541,0.018398703,0.089416627,-0.186501077,-0.044470824,0.839140499,0.004206817,0.542077416,268541.624329046
53,268541652161083,0.019402887,0.085238957,-0.191713652,-0.043990370,0.836793866,0.004040097,0.545733089,268541.657665588
54,268541685497500,0.020407958,0.082252145,-0.196844855,-0.042061963,0.837002990,0.001747236,0.545576564,268541.691002005
55,268541718834083,0.022282625,0.079309009,-0.203326372,-0.041958944,0.838058122,0.000638444,0.543964775,268541.724338588
56,268541752170625,0.025197419,0.075812597,-0.213076783,-0.043938578,0.840312597,0.001475953,0.540316587,268541.757675130
57,268541785507083,0.028960897,0.073545486,-0.228982963,-0.045470030,0.842267167,0.004054641,0.537123922,268541.791011588
58,268541818843500,0.030913734,0.071342543,-0.236996422,-0.045153100,0.844162277,0.004047955,0.534167498,268541.824348005
59,268541852180000,0.033075457,0.068951058,-0.246965510,-0.043493856,0.845265367,0.004313380,0.532556280,268541.857684505
60,268541885516500,0.034842229,0.068247843,-0.254620082,-0.044432198,0.845771272,0.004270620,0.531675230,268541.891021005
61,268541918852958,0.036465681,0.068085079,-0.261104616,-0.044243584,0.846805998,0.002439029,0.530053027,268541.924357463
62,268541952189375,0.038752040,0.068371842,-0.269588125,-0.041496459,0.847880531,0.000478605,0.528560756,268541.957693880
63,268541985525958,0.039034233,0.069383798,-0.276702771,-0.038613861,0.848519379,0.000070168,0.527753618,268541.991030463
64,268542018862375,0.040774997,0.071097446,-0.285121054,-0.034085319,0.850027144,-0.001758158,0.525632008,268542.024366880
65,268542052198833,0.042571517,0.073190497,-0.291385273,-0.030506156,0.851944082,-0.005163775,0.522717940,268542.057703338
66,268542085535375,0.045171217,0.075818204,-0.298168875,-0.027433216,0.854375195,-0.007909487,0.518871793,268542.091039880
67,268542118871791,0.048375762,0.080439737,-0.306118707,-0.022844970,0.857139187,-0.008102700,0.514514257,268542.124376296
68,268542152208333,0.050832539,0.084988465,-0.311131791,-0.019724697,0.859067267,-0.008976402,0.511403798,268542.157712838
69,268542185544833,0.054668645,0.090713131,-0.314834318,-0.016429706,0.860511759,-0.009904757,0.509069274,268542.191049338
70,268542218881291,0.057873730,0.101290205,-0.319220168,-0.011900100,0.862243768,-0.012497031,0.506199516,268542.224385796
71,268542252217666,0.060504105,0.111135573,-0.321860470,-0.009623329,0.863051233,-0.013635531,0.504840655,268542.257722171
72,268542285554166,0.063585442,0.122646872,-0.324854983,-0.008140917,0.863724062,-0.016917633,0.503615247,268542.291058671
73,268542318890541,0.066852636,0.140878693,-0.326044142,-0.004290367,0.863971985,-0.027960392,0.502744739,268542.324395046
74,268542352227166,0.069332708,0.156103071,-0.326539046,0.000121346,0.863336556,-0.035374249,0.503387219,268542.357731671
75,268542385563583,0.071941950,0.171992759,-0.327711323,0.004017808,0.862355511,-0.039435953,0.504749134,268542.391068088
76,268542418900000,0.076807247,0.194406926,-0.329161861,0.007077529,0.862578861,-0.037949779,0.504447702,268542.424404505
77,268542452236416,0.080525421,0.212070216,-0.329870186,0.010050806,0.862713696,-0.038859435,0.504097269,268542.457740921
78,268542485572916,0.082952672,0.229371360,-0.329318396,0.016470002,0.862182945,-0.042950522,0.504504326,268542.491077421
79,268542518909333,0.085898396,0.252772424,-0.327968478,0.025513835,0.861127083,-0.048424678,0.505434758,268542.524413838
80,268542552245875,0.088824069,0.269409760,-0.327350138,0.029596274,0.860899467,-0.047467365,0.505690687,268542.557750380
81,268542585582416,0.092601053,0.283859589,-0.324528306,0.031839245,0.860926149,-0.043549272,0.505861584,268542.591086921
82,268542618918791,0.096472806,0.302195939,-0.323205518,0.036143675,0.860556417,-0.043189274,0.506232188,268542.624423296
83,268542652255333,0.099010466,0.314368511,-0.322251658,0.039254070,0.860147730,-0.041958713,0.506798302,268542.657759838
84,268542685591833,0.102344523,0.322922316,-0.319040002,0.042358395,0.859981640,-0.039219543,0.507049529,268542.691096338
85,268542718928250,0.105869130,0.334904079,-0.318691934,0.045903893,0.859763952,-0.036722620,0.507297035,268542.724432755
86,268542752264625,0.108273485,0.342686819,-0.318668601,0.048648673,0.859415727,-0.035890007,0.507690728,268542.757769130
87,268542785601250,0.110540769,0.347781327,-0.316930631,0.051520478,0.859080365,-0.034187760,0.508092331,268542.791105755
88,268542818937583,0.113483291,0.355273638,-0.317989328,0.054619411,0.858949735,-0.032156008,0.508122149,268542.824442088
89,268542852274083,0.115710198,0.360084814,-0.319131120,0.055727216,0.859057010,-0.030561556,0.507918867,268542.857778588
90,268542885610541,0.118484671,0.364907719,-0.320349356,0.056692716,0.859115991,-0.029030324,0.507802071,268542.891115046
91,268542918946958,0.121291001,0.369695483,-0.322553214,0.056897857,0.858692808,-0.023810035,0.508765595,268542.924451463
92,268542952283416,0.123562592,0.372822519,-0.324559070,0.054479365,0.858387723,-0.016511805,0.509833236,268542.957787921
93,268542985619875,0.126346006,0.379376384,-0.328103540,0.050309279,0.858410157,-0.008188189,0.510425298,268542.991124380
94,268543018956416,0.128624610,0.383704475,-0.330719646,0.045315594,0.859716235,-0.003430161,0.508746283,268543.024460921
95,268543052292750,0.129918656,0.387099013,-0.332617852,0.040853659,0.861351845,-0.002923404,0.506355098,268543.057797255
96,268543085629208,0.132346855,0.394830524,-0.335957110,0.034473934,0.863725323,-0.002314470,0.502777099,268543.091133713
97,268543118965708,0.133369378,0.398455126,-0.337428662,0.030513546,0.865095857,-0.003292221,0.500666851,268543.124470213
98,268543152302208,0.134374898,0.402221694,-0.338581392,0.027481609,0.865890947,-0.004307212,0.499458838,268543.157806713
99,268543185638625,0.136202114,0.410246962,-0.340801712,0.024069598,0.867117829,-0.005452563,0.497491354,268543.191143130
100,268543218975125,0.138264953,0.414779653,-0.341693988,0.021235553,0.867674429,-0.004952911,0.496654466,268543.224479630
101,268543252311583,0.140452939,0.419806809,-0.342344525,0.018020128,0.868249092,-0.003492964,0.495788909,268543.257816088
102,268543285648000,0.143536302,0.427130803,-0.342547728,0.012007326,0.869101043,-0.001288420,0.494487203,268543.291152505
103,268543318984500,0.145867061,0.432971781,-0.341753205,0.006038723,0.869723933,0.000317130,0.493501537,268543.324489005
104,268543352321000,0.148016695,0.438960927,-0.339966832,-0.000169495,0.869746439,0.002889837,0.493490430,268543.357825505
105,268543385657333,0.150156935,0.448572695,-0.335800705,-0.005320603,0.868503154,0.005860674,0.495620489,268543.391161838
106,268543418993750,0.151474613,0.454107688,-0.332123649,-0.006700387,0.867699099,0.008623266,0.496969889,268543.424498255
107,268543452330208,0.153305951,0.459280794,-0.328291782,-0.008826956,0.867110864,0.013832301,0.497844911,268543.457834713
108,268543485666666,0.154225790,0.466415425,-0.322031946,-0.013758998,0.867351691,0.018499304,0.497161507,268543.491171171
109,268543519003208,0.157221329,0.470533015,-0.316210978,-0.017631829,0.870390338,0.020153220,0.491633683,268543.524507713
110,268543552339625,0.161057943,0.473528458,-0.309472503,-0.024028621,0.871940400,0.023381755,0.488462804,268543.557844130
111,268543585676041,0.164155358,0.475071881,-0.298296075,-0.026566293,0.874543041,0.022572915,0.483693310,268543.591180546
112,268543619012500,0.167137079,0.474659106,-0.288632542,-0.027181264,0.878175824,0.023348469,0.476994028,268543.624517005
113,268543652349000,0.171239584,0.472834324,-0.278753241,-0.028318058,0.880492015,0.028311023,0.472366848,268543.657853505
114,268543685685375,0.176995850,0.469177939,-0.265501526,-0.028310498,0.882169385,0.036754233,0.468641517,268543.691189880
115,268543719021916,0.180341857,0.465808789,-0.254202239,-0.027378056,0.885102073,0.041567324,0.462727752,268543.724526421
116,268543752358333,0.184535221,0.462719592,-0.242852653,-0.028599661,0.888037998,0.046025242,0.456565772,268543.757862838
117,268543785694833,0.189958041,0.461846894,-0.227664731,-0.031278959,0.891792371,0.049765301,0.448610591,268543.791199338
118,268543819031250,0.193765168,0.460301082,-0.215251266,-0.037130384,0.893977658,0.055524222,0.443105400,268543.824535755
119,268543852367708,0.197192065,0.459465531,-0.202563643,-0.040711097,0.894004490,0.059552658,0.442212746,268543.857872213
120,268543885704166,0.198144732,0.459114552,-0.185187633,-0.037315376,0.893404260,0.061261295,0.443490132,268543.891208671
121,268543919040500,0.199485720,0.457488568,-0.172725420,-0.036445474,0.893912183,0.064736885,0.442042901,268543.924545005
122,268543952377083,0.201689722,0.456163000,-0.160636630,-0.038411886,0.894807829,0.068479134,0.439493047,268543.957881588
123,268543985713375,0.205399691,0.456179952,-0.143978716,-0.043058263,0.897048686,0.071154904,0.434035337,268543.991217880
124,268544019049916,0.207445253,0.455631086,-0.133076969,-0.048018386,0.897765802,0.075675363,0.431258730,268544.024554421
125,268544052386416,0.209267208,0.454851171,-0.122746020,-0.051441012,0.897843210,0.082192874,0.429506434,268544.057890921
126,268544085722791,0.209810885,0.452568871,-0.109082817,-0.052503126,0.899321944,0.087011092,0.425314690,268544.091227296
127,268544119059250,0.211112792,0.450918021,-0.100477932,-0.054034848,0.901180814,0.086459479,0.421281601,268544.124563755
128,268544152395708,0.212793299,0.448784308,-0.089638256,-0.054562111,0.904422355,0.084629285,0.414585476,268544.157900213
129,268544185732166,0.212815723,0.446488417,-0.081567404,-0.054773024,0.905945992,0.084501338,0.411243665,268544.191236671
130,268544219068541,0.213785640,0.443817814,-0.073825662,-0.055828670,0.905795110,0.085906999,0.411142820,268544.224573046
131,268544252405000,0.214138415,0.440026164,-0.061981906,-0.055351817,0.906323447,0.081090731,0.411021084,268544.257909505
132,268544285741541,0.214436506,0.436794564,-0.052012848,-0.055497309,0.906395647,0.076165639,0.411783715,268544.291246046
133,268544319077916,0.215311108,0.434272771,-0.041653976,-0.056331458,0.906386930,0.073449472,0.412182881,268544.324582421
134,268544352414416,0.217791030,0.431775754,-0.027320155,-0.061495512,0.907515840,0.070795883,0.409415801,268544.357918921
135,268544385750708,0.220710471,0.429182927,-0.016779155,-0.066495211,0.908784063,0.068747271,0.406157333,268544.391255213
136,268544419087208,0.223724865,0.427528361,-0.006288994,-0.069469912,0.909016301,0.068185080,0.405233444,268544.424591713
137,268544452423708,0.226868488,0.424014988,0.007634438,-0.070123999,0.908094435,0.069041565,0.407038618,268544.457928213
138,268544485760166,0.231872607,0.420959979,0.016374894,-0.070225903,0.907336003,0.069585107,0.408616771,268544.491264671
139,268544519096583,0.234491529,0.417908900,0.025360084,-0.070614471,0.907172465,0.069863298,0.408865366,268544.524601088
140,268544552433041,0.238270827,0.414179455,0.036243833,-0.075405652,0.906226131,0.072652448,0.409621609,268544.557937546
141,268544585769416,0.242088057,0.411766620,0.042901366,-0.079468251,0.905253928,0.074764271,0.410622065,268544.591273921
142,268544619105875,0.244022486,0.408877138,0.049904758,-0.083067045,0.904531251,0.076955500,0.411097296,268544.624610380
143,268544652442375,0.246322502,0.404545814,0.058039995,-0.086816352,0.902831046,0.083127710,0.412854528,268544.657946880
144,268544685778750,0.247107499,0.401607161,0.063672797,-0.088119885,0.902144801,0.085259527,0.413642973,268544.691283255
145,268544719115166,0.248005274,0.397672397,0.068808720,-0.088919695,0.901949212,0.085805167,0.413785491,268544.724619671
146,268544752451750,0.249066580,0.392542938,0.074567869,-0.092507130,0.901375679,0.088757435,0.413626024,268544.757956255
147,268544785788083,0.247206765,0.388086930,0.080239441,-0.095268774,0.901102891,0.092354481,0.412805212,268544.791292588
148,268544819124625,0.247490032,0.382920944,0.083405844,-0.096689493,0.901758612,0.094472485,0.410557609,268544.824629130
149,268544852460916,0.248204538,0.375207209,0.086450954,-0.099925527,0.902990115,0.097388675,0.406373278,268544.857965421
150,268544885797416,0.248075490,0.369214720,0.088822938,-0.103777764,0.902652231,0.101846303,0.405063588,268544.891301921
151,268544919133833,0.249077757,0.361674593,0.090225391,-0.107038076,0.902497878,0.105855277,0.403528368,268544.924638338
152,268544952470291,0.250769817,0.350352120,0.090744130,-0.110961806,0.903062824,0.110898139,0.399833301,268544.957974796
153,268544985806791,0.252263437,0.342398828,0.090734887,-0.115687785,0.903334536,0.115076047,0.396687042,268544.991311296
154,268545019143166,0.254176106,0.332814298,0.090113664,-0.121061979,0.903997878,0.118398082,0.392573281,268545.024647671
155,268545052479583,0.256662650,0.319006695,0.088568312,-0.126400566,0.905006083,0.121738808,0.387513357,268545.057984088
156,268545085816000,0.257680841,0.308766385,0.088612372,-0.130980806,0.904505284,0.124615811,0.386244963,268545.091320505
157,268545119152458,0.259141573,0.297358105,0.087476130,-0.136127504,0.903434659,0.127951847,0.385880159,268545.124656963
158,268545152488916,0.261513258,0.281492144,0.085387343,-0.143422856,0.902804286,0.130917297,0.383712157,268545.157993421
159,268545185825250,0.263227430,0.269305230,0.083862538,-0.150443190,0.902869506,0.132067673,0.380462463,268545.191329755
160,268545219161708,0.266909055,0.252738071,0.081184536,-0.164165900,0.902152397,0.134085608,0.375754858,268545.224666213
161,268545252498166,0.269951662,0.240208224,0.079200874,-0.175415240,0.900067401,0.138660192,0.374007448,268545.258002671
162,268545285834583,0.273115061,0.227094726,0.077217975,-0.187682272,0.896764225,0.145559681,0.373365399,268545.291339088
163,268545319171083,0.277639834,0.209606378,0.075092579,-0.204506545,0.892135809,0.154365020,0.372078306,268545.324675588
164,268545352507416,0.280756574,0.196293540,0.073599070,-0.214578483,0.890847653,0.157431254,0.368187435,268545.358011921
165,268545385843916,0.282224506,0.181690180,0.072628466,-0.224115785,0.890344591,0.158469705,0.363243761,268545.391348421
166,268545419180333,0.285860255,0.162861783,0.071157794,-0.233629063,0.889296388,0.159751213,0.359233905,268545.424684838
167,268545452516708,0.288242574,0.148670797,0.070354884,-0.239281587,0.887837350,0.161270317,0.358442603,268545.458021213
168,268545485853166,0.289205224,0.133467505,0.071254779,-0.246080755,0.886075778,0.163839072,0.357030515,268545.491357671
169,268545519189583,0.292514410,0.115598866,0.070375142,-0.255864993,0.884313682,0.164580310,0.354169157,268545.524694088
170,268545552526000,0.294725059,0.102724629,0.069907670,-0.262380675,0.883018757,0.163889199,0.352951327,268545.558030505
171,268545585862416,0.296055362,0.088298569,0.070642640,-0.268296337,0.881497801,0.164857239,0.351853444,268545.591366921
172,268545619198875,0.299015971,0.072785478,0.069520242,-0.275782116,0.878742399,0.168695752,0.351137890,268545.624703380
173,268545652535333,0.301227681,0.061591930,0.068542838,-0.279578063,0.877097991,0.171810618,0.350736917,268545.658039838
174,268545685871750,0.302593442,0.048786347,0.068122978,-0.282578311,0.875346781,0.174415334,0.351421195,268545.691376255
175,268545719208166,0.305499064,0.035718233,0.065474038,-0.290036946,0.872343265,0.177704245,0.351165279,268545.724712671
176,268545752544500,0.308298111,0.026972176,0.062861626,-0.297584609,0.870091211,0.180061023,0.349231679,268545.758049005
177,268545785880916,0.311417033,0.018102682,0.060088147,-0.307368826,0.866722166,0.182934859,0.347637717,268545.791385421
178,268545819217458,0.316778853,0.009717237,0.055816860,-0.324330949,0.859813328,0.189180567,0.346036478,268545.824721963
179,268545852553833,0.321635306,0.004325604,0.052683013,-0.336992652,0.854360285,0.193734607,0.344922326,268545.858058338
180,268545885890250,0.324678318,0.000319784,0.049522296,-0.347818769,0.850149466,0.196685237,0.342903718,268545.891394755
181,268545919226625,0.333075969,-0.006249220,0.043436058,-0.358355688,0.848453189,0.198319153,0.335228210,268545.924731130
182,268545952563041,0.340696722,-0.010854291,0.038181814,-0.367275158,0.847972797,0.199351701,0.326052215,268545.958067546
183,268545985899458,0.347521775,-0.015162046,0.033640004,-0.378681345,0.846275681,0.201151846,0.316158029,268545.991403963
184,268546019235958,0.358974872,-0.019945219,0.027270030,-0.393310738,0.841701746,0.202751893,0.309413248,268546.024740463
185,268546052572291,0.368236449,-0.024167133,0.023017305,-0.400227692,0.838414232,0.204863580,0.308075213,268546.058076796
186,268546085908791,0.378726380,-0.029866428,0.020067126,-0.406044109,0.834829241,0.206901158,0.308836986,268546.091413296
187,268546119245125,0.393485987,-0.035704014,0.015218109,-0.413646899,0.829653210,0.208957566,0.311301434,268546.124749630
188,268546152581625,0.405509907,-0.039878951,0.011543164,-0.419813099,0.825678660,0.210626270,0.312487344,268546.158086130
189,268546185918041,0.418380132,-0.043183551,0.007498291,-0.426495789,0.821513699,0.212554273,0.313109117,268546.191422546
190,268546219254416,0.437721545,-0.048325713,0.002603615,-0.437853642,0.814871520,0.217399600,0.311457960,268546.224758921
191,268546252590833,0.453001498,-0.052164499,-0.000654321,-0.445668509,0.810022231,0.220527967,0.310823155,268546.258095338
192,268546285927291,0.474530908,-0.056658706,-0.004589211,-0.455069990,0.803543216,0.223195149,0.312111492,268546.291431796
193,268546319263708,0.491116797,-0.060608119,-0.006501923,-0.463715804,0.797651825,0.226898159,0.311827672,268546.324768213
194,268546352600041,0.508164036,-0.064376732,-0.007912450,-0.471748039,0.791651013,0.231137873,0.311958007,268546.358104546
195,268546385936500,0.531418048,-0.072603109,-0.008646370,-0.479673261,0.785273903,0.232607709,0.314884369,268546.391441005
196,268546419272875,0.548335325,-0.076430976,-0.009002547,-0.486672010,0.779928330,0.235273751,0.315449633,268546.424777380
197,268546452609375,0.564610610,-0.079431320,-0.009490664,-0.495976740,0.772905518,0.241739433,0.313346825,268546.458113880
198,268546485945666,0.584890822,-0.085419000,-0.007980553,-0.506670244,0.763760496,0.251906769,0.310641597,268546.491450171
199,268546519282208,0.600388090,-0.089109919,-0.005699659,-0.512763188,0.757393080,0.256118902,0.312782347,268546.524786713
200,268546552618625,0.615191075,-0.093101377,-0.002779883,-0.517374499,0.751839696,0.259609142,0.315695813,268546.558123130
201,268546585954958,0.633758153,-0.100200866,0.001593469,-0.523851085,0.744904542,0.264905919,0.317052317,268546.591459463
202,268546619291458,0.648377780,-0.103809415,0.003846246,-0.528029028,0.742170219,0.265778062,0.315801817,268546.624795963
203,268546652627875,0.662914566,-0.107083462,0.005918709,-0.532359969,0.740279864,0.265366952,0.313303401,268546.658132380
