ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw
327.445,268541.156618005,1,1,1,2,268539951998500,268539.956503005,411063efd3758614,0.00029760927624706705,-0.025347660855318675,-0.0046328931455255681,-0.040769450465596935,0.89810083052422485,0,0.43789594259983056,-9.2221159766003077e-05,0.0078544855393470787,0.0014355953330612587,0.30963918222808107,-0.30963918222808107,-0.60622481643411419,0.66388152467903128
285.022,268541.156618005,1,6,1,7,268540118681041,268540.12318554602,411063f07e245a0e,0.0038553491930373987,-0.013750950531757518,-0.0061657092573399446,-0.036882744613417673,0.89822892261385634,0.0034243181717923954,0.43796437410738209,0.0035996426539787315,0.019392949487009627,0.00022001369926019274,0.31210892914562161,-0.30726621207403865,-0.60906370720833025,0.66122378347038524
242.350,268541.156618005,1,11,1,12,268540285363833,268540.28986833803,411063f128d33ee0,0.0047929969400083349,-0.0010321224252021061,-0.0093390454592223848,-0.036495718503463725,0.89830564272932056,0.0028010738313378469,0.43784385569452722,0.0045801238312800909,0.032117104183392364,-0.0029794533136336949,0.31158300947315526,-0.30762169297706465,-0.60939162530034841,0.66100436400327667
198.877,268541.156618005,1,16,1,17,268540452046416,268540.45655092102,411063f1d38215ab,0.004455860321593506,0.015544028618763618,-0.022908871791947574,-0.038744733046322866,0.89263474391774666,0.012221057697083398,0.44894627582074098,0.0036642360406180957,0.048582397926921032,-0.016038614415242361,0.32609454011602235,-0.30881135503410345,-0.60379140101001982,0.65858472649681032
157.532,268541.156618005,1,21,1,22,268540618729041,268540.62323354604,411063f27e30ef48,0.0058665927173724968,0.035867070883727745,-0.053045308138017895,-0.03925369481964841,0.89060917058239331,0.017347345926414681,0.45274007500920066,0.0048333642751294068,0.068836941500781137,-0.045884231232447115,0.33240199425010147,-0.30786914302251511,-0.60199921409520096,0.65751232020540729
114.701,268541.156618005,1,26,1,27,268540785411625,268540.78991613002,411063f328dfc624,0.0064402094488882709,0.058308940101622769,-0.081036615431150719,-0.034278200892670418,0.89216039020155025,-0.011665656435123767,0.45026526489548058,0.0065962513359019096,0.091596735345350275,-0.075445614562990385,0.31013674911651029,-0.32663447822210473,-0.60661429737974504,0.65509099268612647
73.240,268541.156618005,1,31,1,32,268540952094416,268540.95659892104,411063f3d38eaae5,0.013412700137298096,0.081777134576006952,-0.10717063180336843,-0.04950703703303061,0.88487974173248907,-0.0064999174807750526,0.46313572550698034,0.0123232772427764,0.11507059930718957,-0.10171908927698277,0.32289026779703239,-0.33208253900807866,-0.59069768859489002,0.66071120993711252
32.826,268541.156618005,1,36,1,37,268541118776916,268541.12328142102,411063f47e3d7c1e,0.018314754357807293,0.094408503475501837,-0.13019664843762699,-0.044175808796905136,0.87880390699465627,-0.0032142842426595986,0.47512304991165655,0.017262941218037654,0.12764116235479345,-0.12437900072585814,0.33368987942768824,-0.33823556367603602,-0.59017117230222582,0.65264519856941083
359.810,268541.256627505,2,1,1,2,268539951998500,268539.956503005,411063efd3758614,0.00029760927624706705,-0.025347660855318675,-0.0046328931455255681,-0.040769450465596935,0.89810083052422485,0,0.43789594259983056,-9.2221159766003077e-05,0.0078544855393470787,0.0014355953330612587,0.30963918222808107,-0.30963918222808107,-0.60622481643411419,0.66388152467903128
317.386,268541.256627505,2,6,1,7,268540118681041,268540.12318554602,411063f07e245a0e,0.0038740750628252891,-0.013139081477323511,-0.0064211036848900926,-0.036866702518192629,0.89822591893451009,0.0033133787693582495,0.43797273834486661,0.0036223748559552813,0.020006028759194612,-4.150601877325478e-05,0.31203639755283419,-0.30735057248460085,-0.60907292676036873,0.66121031607439118
274.713,268541.256627505,2,11,1,12,268540285363833,268540.28986833803,411063f128d33ee0,0.0048512048163535893,0.00013081889788020551,-0.0099308677895170311,-0.03647093192288775,0.89830333826688624,0.0025917641607804964,0.43785193793594124,0.0046456787380555224,0.033282340707569698,-0.0035830088828130695,0.31144072019723307,-0.30777541226810484,-0.60940752255811881,0.66098520774356428
231.275,268541.256627505,2,16,1,17,268540452046416,268540.45655092102,411063f1d38215ab,0.0045869367453528738,0.017249449819009714,-0.023912885836972333,-0.038723577512480456,0.89263766325712046,0.011924232167623394,0.44895027851555619,0.0038051915194760146,0.050291562943857067,-0.017059522676216209,0.32588748310946775,-0.30902407270580112,-0.60380842451567429,0.65857183156038157
19.360,268541.256627505,1,39,1,40,268541218786500,268541.22329100501,411063f4e4a665b0,0.018383817454142196,0.10164188008904707,-0.14632756551539811,-0.040416317751987396,0.87367818074023307,-0.0036163478934090887,0.48480917173481863,0.017418302978090727,0.13485942448311719,-0.14040950179564016,0.3402546997436664,-0.34536898784471293,-0.58920509814659228,0.64636240133189249
9.079,268541.356637130,1,42,0,43,268541318796083,268541.323300588,411063f54b0f4f31,0.014798036666357461,0.102669793265079,-0.15685275761504211,-0.036796649128069625,0.86266859759629044,-0.0042435317577435017,0.50441148181310891,0.013760225512608441,0.13586988663489938,-0.15084961675287981,0.35367213980643758,-0.35967339981092838,-0.58397963961612365,0.63601795847837983
8.737,268541.456646630,1,45,0,46,268541418805625,268541.42331013002,411063f5b17835f2,0.012139812347690118,0.099430742518770848,-0.16614032929095005,-0.029848742780760273,0.84883752601847484,0.0020461235813366008,0.52780656832594741,0.010909202657477681,0.13251326835586877,-0.15955299022310909,0.37466242150922885,-0.37176876586720053,-0.5791125069351013,0.62132500267232271
9.090,268541.556656171,1,48,0,49,268541518815083,268541.52331958804,411063f617e11710,0.014749479387454845,0.093716754376865524,-0.17392703586352087,-0.039964573809659398,0.84472820606659171,-7.6404343963332177e-05,0.53370135665050222,0.012924895746658043,0.12686442650957888,-0.16782263755685092,0.37732981234697427,-0.37743786440355653,-0.56905380648081183,0.62557224727314953
