recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018772700,0.106024470,-0.145285043,-0.040103319,0.875817269,-0.004019220,0.480957102,268541.193954505
40,268541218786500,0.018630863,0.107732004,-0.150678714,-0.040032296,0.873391108,-0.004161087,0.485353610,268541.227291005
41,268541252123000,0.017876835,0.108842696,-0.154307421,-0.039399207,0.870700199,-0.005218960,0.490205755,268541.260627505
42,268541285459541,0.016718821,0.109735747,-0.157758951,-0.038338724,0.867694204,-0.006103197,0.495580180,268541.293964046
43,268541318796083,0.015484591,0.110247219,-0.162195480,-0.036751041,0.862710837,-0.004265136,0.504342379,268541.327300588
44,268541352132625,0.014520796,0.110131848,-0.165338745,-0.035450855,0.858122657,-0.002442116,0.512213659,268541.360637130
45,268541385469083,0.013478349,0.109797375,-0.168412156,-0.033302320,0.853691930,-0.000757621,0.519711963,268541.393973588
46,268541418805625,0.013108188,0.108586698,-0.172497581,-0.030290123,0.849409990,0.001650012,0.526860995,268541.427310130
47,268541452142125,0.013642451,0.107300414,-0.175403665,-0.031148331,0.846722329,0.002994445,0.531114079,268541.460646630
48,268541485478666,0.014458074,0.106232270,-0.178068850,-0.034256166,0.845393448,0.002296834,0.533039595,268541.493983171
49,268541518815083,0.016088871,0.104271937,-0.181453502,-0.038897079,0.844626901,0.000453629,0.533940318,268541.527319588
50,268541552151666,0.017258298,0.102138543,-0.184133385,-0.041755429,0.843277330,0.000595878,0.535854016,268541.560656171
51,268541585488125,0.018262013,0.096715265,-0.183727042,-0.043461799,0.841465860,0.001267984,0.538558004,268541.593992630
52,268541618824541,0.019434041,0.092838909,-0.187980131,-0.044250142,0.838569951,0.003728469,0.542981136,268541.627329046
53,268541652161083,0.020283205,0.089974487,-0.191999343,-0.043679238,0.836920394,0.003159357,0.545569840,268541.660665588
54,268541685497500,0.021399255,0.087260147,-0.197140572,-0.041798137,0.837052219,0.000818406,0.545523493,268541.694002005
55,268541718834083,0.024164816,0.083768901,-0.205959540,-0.042284728,0.838709980,0.000068907,0.542934269,268541.727338588
56,268541752170625,0.026488566,0.081482613,-0.213370905,-0.043535841,0.840485212,0.000422666,0.540082506,268541.760675130
57,268541785507083,0.030107494,0.074995207,-0.227889028,-0.045378323,0.842389662,0.003841861,0.536941113,268541.794011588
58,268541818843500,0.032762453,0.072198152,-0.238252629,-0.044287699,0.844810431,0.003535364,0.533218051,268541.827348005
59,268541852180000,0.034529727,0.070529969,-0.245499974,-0.043350635,0.845458486,0.004066857,0.532263267,268541.860684505
60,268541885516500,0.036040614,0.068164671,-0.252078859,-0.044269934,0.845868029,0.004418980,0.531533608,268541.894021005
61,268541918852958,0.038393568,0.067945930,-0.260329309,-0.043565199,0.847475393,0.001596844,0.529041619,268541.927357463
62,268541952189375,0.040302549,0.068172489,-0.266397839,-0.041504514,0.848045269,0.000520655,0.528295731,268541.960693880
63,268541985525958,0.039498376,0.070050423,-0.272335971,-0.038418687,0.848463188,-0.000076028,0.527858192,268541.994030463
64,268542018862375,0.041375319,0.071876004,-0.280375250,-0.033881410,0.849936089,-0.001794211,0.525792287,268542.027366880
65,268542052198833,0.043221484,0.074049616,-0.286310191,-0.030303808,0.851891131,-0.005209627,0.522815545,268542.060703338
66,268542085535375,0.045823726,0.078069522,-0.295371743,-0.026110009,0.855021947,-0.008247592,0.517868486,268542.094039880
67,268542118871791,0.048275209,0.081754431,-0.301030857,-0.022644143,0.857058272,-0.008386065,0.514653366,268542.127376296
68,268542152208333,0.050732265,0.086422813,-0.305789973,-0.019492289,0.858961009,-0.009016802,0.511590447,268542.160712838
69,268542185544833,0.055539218,0.094134456,-0.313625155,-0.015109967,0.860850714,-0.010543705,0.508523963,268542.194049338
70,268542218881291,0.057932049,0.102339713,-0.316712612,-0.011810684,0.862160961,-0.012429387,0.506344299,268542.227385796
71,268542252217666,0.060546270,0.112218074,-0.319267494,-0.009473544,0.863004376,-0.013636703,0.504923551,268542.260722171
72,268542285554166,0.064625448,0.127146272,-0.324465324,-0.007459730,0.863901865,-0.019189498,0.503239244,268542.294058671
73,268542318890541,0.067049724,0.141041654,-0.325263417,-0.004364962,0.863940366,-0.027536839,0.502821804,268542.327395046
74,268542352227166,0.069465832,0.156201982,-0.325734598,0.000075027,0.863330388,-0.035268101,0.503405254,268542.360731671
75,268542385563583,0.073632343,0.177286815,-0.329235563,0.004866547,0.862246065,-0.039006857,0.504961938,268542.394068088
76,268542418900000,0.077324354,0.194129639,-0.330440474,0.007089404,0.862466006,-0.037812304,0.504650782,268542.427404505
77,268542452236416,0.081032556,0.211689101,-0.331247030,0.009978117,0.862691641,-0.038453483,0.504167584,268542.460740921
78,268542485572916,0.083699256,0.234976280,-0.329477696,0.019475745,0.861741795,-0.044851406,0.504985326,268542.494077421
79,268542518909333,0.085837636,0.252365340,-0.328538479,0.025662563,0.861067096,-0.048434514,0.505528476,268542.527413838
80,268542552245875,0.088747891,0.268929141,-0.328055284,0.029775645,0.860829604,-0.047532747,0.505792936,268542.560750380
81,268542585582416,0.093962504,0.287945803,-0.325622160,0.032784408,0.860914155,-0.042913098,0.505875993,268542.594086921
82,268542618918791,0.096785236,0.301326795,-0.324717506,0.036020480,0.860594715,-0.042736520,0.506214288,268542.627423296
83,268542652255333,0.099261768,0.313374963,-0.323875022,0.039295639,0.860177513,-0.041929446,0.506746953,268542.660759838
84,268542685591833,0.104031852,0.325134775,-0.320449727,0.043173028,0.860043878,-0.038037254,0.506965322,268542.694096338
85,268542718928250,0.106675954,0.333782952,-0.320354377,0.045816746,0.859867619,-0.036366644,0.507154832,268542.727432755
86,268542752264625,0.109087671,0.341457417,-0.320441414,0.048579119,0.859538968,-0.035632715,0.507506841,268542.760769130
87,268542785601250,0.112517625,0.349910279,-0.318915352,0.052323686,0.859072359,-0.033327301,0.508080956,268542.794105755
