recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.014551497,0.067608215,-0.114148988,-0.039982153,0.876040847,-0.000173977,0.480576618,268541.182954505
40,268541218786500,0.013935149,0.067184200,-0.116849893,-0.039752439,0.874471907,0.000033276,0.483444598,268541.216291005
41,268541252123000,0.012795075,0.066248524,-0.120085906,-0.039182084,0.870794650,-0.001063068,0.490081998,268541.249627505
42,268541285459541,0.012488183,0.065907449,-0.122283417,-0.038763623,0.867984717,-0.002017399,0.495071606,268541.282964046
43,268541318796083,0.010318436,0.064221634,-0.124801238,-0.037199834,0.863124994,-0.000001138,0.503618378,268541.316300588
44,268541352132625,0.008670155,0.062420001,-0.126376745,-0.036002901,0.858344080,0.001573273,0.511807395,268541.349637130
45,268541385469083,0.007774472,0.059638823,-0.128192730,-0.033677873,0.853696100,0.003863962,0.519667098,268541.382973588
46,268541418805625,0.005788107,0.055676410,-0.130061962,-0.030435620,0.849357481,0.006539279,0.526899264,268541.416310130
47,268541452142125,0.005021049,0.052150816,-0.131283793,-0.031324209,0.846299622,0.008111393,0.531723614,268541.449646630
48,268541485478666,0.006140091,0.048472310,-0.132535178,-0.034066620,0.845257263,0.007373771,0.533221629,268541.482983171
49,268541518815083,0.006628790,0.043366105,-0.133631741,-0.038349923,0.844547185,0.005567587,0.534077139,268541.516319588
50,268541552151666,0.007287926,0.039089222,-0.134504993,-0.041622220,0.842888524,0.006132946,0.536441020,268541.549656171
51,268541585488125,0.017007399,0.075674837,-0.175732806,-0.043829752,0.842736622,0.005310248,0.536512623,268541.582992630
52,268541618824541,0.017406536,0.070146697,-0.179194469,-0.044873258,0.839761425,0.008108892,0.541037373,268541.616329046
53,268541652161083,0.017711946,0.065792689,-0.182427035,-0.044570435,0.838038311,0.007764017,0.543732507,268541.649665588
54,268541685497500,0.018041622,0.062188910,-0.187227470,-0.041995613,0.837860397,0.005759934,0.544236346,268541.683002005
55,268541718834083,0.019542851,0.056985194,-0.194943454,-0.042927762,0.839258620,0.005512479,0.542007234,268541.716338588
56,268541752170625,0.021441164,0.053158976,-0.202081284,-0.043948034,0.840850197,0.005596515,0.539451803,268541.749675130
57,268541785507083,0.030399467,0.062016581,-0.217078569,-0.045783601,0.843864697,0.006040485,0.534565057,268541.783011588
58,268541818843500,0.033351247,0.058981924,-0.227954201,-0.045187645,0.846183738,0.005718766,0.530941152,268541.816348005
59,268541852180000,0.035593291,0.056854076,-0.235894501,-0.044090745,0.847012394,0.006452624,0.529702206,268541.849684505
60,268541885516500,0.037309985,0.061768238,-0.248607603,-0.043955757,0.847379219,0.005275628,0.529139463,268541.883021005
61,268541918852958,0.039913296,0.061236248,-0.257714572,-0.043098048,0.849222170,0.002041983,0.526270033,268541.916357463
62,268541952189375,0.042093378,0.061620437,-0.264325498,-0.041244365,0.849583904,0.001408604,0.525836630,268541.949693880
63,268541985525958,0.043324767,0.063093152,-0.271959702,-0.038483355,0.850208107,0.000524163,0.525038079,268541.983030463
64,268542018862375,0.046003446,0.064514523,-0.280663267,-0.033923677,0.851811872,-0.001353883,0.522746534,268542.016366880
65,268542052198833,0.048337813,0.066385291,-0.287211815,-0.030457105,0.853503191,-0.004563230,0.520176794,268542.049703338
66,268542085535375,0.050055673,0.069740547,-0.295534266,-0.026923991,0.855830164,-0.007433921,0.516502294,268542.083039880
67,268542118871791,0.054465227,0.074296481,-0.304194911,-0.022292702,0.858573592,-0.007603614,0.512149061,268542.116376296
68,268542152208333,0.058081928,0.078546767,-0.310085429,-0.019225979,0.860580002,-0.008801921,0.508876214,268542.149712838
69,268542185544833,0.060364589,0.084485044,-0.311243134,-0.015727422,0.861834517,-0.009156796,0.506863019,268542.183049338
70,268542218881291,0.065076979,0.094369885,-0.316019551,-0.011098511,0.863695592,-0.011857848,0.503752114,268542.216385796
71,268542252217666,0.068747737,0.103515070,-0.318878282,-0.008751379,0.864487764,-0.012812941,0.502414372,268542.249722171
72,268542285554166,0.069414099,0.117104070,-0.319382168,-0.007130551,0.864896574,-0.016607651,0.501624672,268542.283058671
73,268542318890541,0.074172970,0.135050784,-0.320864966,-0.003388554,0.865360922,-0.027520901,0.500381499,268542.316395046
74,268542352227166,0.077804769,0.150539425,-0.321376335,0.000948370,0.864727618,-0.034895329,0.501026563,268542.349731671
75,268542385563583,0.078807410,0.174196812,-0.319564098,0.005948528,0.863078819,-0.040994249,0.503367751,268542.383068088
76,268542418900000,0.083118814,0.191879680,-0.320235377,0.008451504,0.863505324,-0.040278687,0.502657745,268542.416404505
77,268542452236416,0.087752685,0.210414163,-0.320818844,0.011036779,0.863562724,-0.040831701,0.502464364,268542.449740921
78,268542485572916,0.088958044,0.233922662,-0.320892632,0.020236132,0.862599197,-0.044956300,0.503479999,268542.483077421
79,268542518909333,0.092375624,0.252835468,-0.319629584,0.025940291,0.862069135,-0.047997127,0.503845450,268542.516413838
80,268542552245875,0.095729734,0.271048016,-0.318464244,0.030311418,0.861833663,-0.047758809,0.504026888,268542.549750380
81,268542585582416,0.096094410,0.291835393,-0.314599340,0.034219066,0.861192726,-0.043812079,0.505229353,268542.583086921
82,268542618918791,0.099879775,0.306956061,-0.313591939,0.037957718,0.860957265,-0.044715733,0.505284430,268542.616423296
83,268542652255333,0.103294904,0.320618539,-0.312389092,0.040823986,0.860501003,-0.043099795,0.505978149,268542.649759838
