recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.013336567,0.062079187,-0.108324096,-0.040044141,0.876052266,-0.000183426,0.480550635,268541.180954505
40,268541218786500,0.012574339,0.061427758,-0.110758879,-0.039838277,0.874427294,0.000063485,0.483518220,268541.214291005
41,268541252123000,0.011247742,0.060179734,-0.113643562,-0.039212699,0.870698023,-0.001070444,0.490251184,268541.247627505
42,268541285459541,0.015482468,0.086742027,-0.141125879,-0.038460122,0.868336751,-0.002988410,0.494472676,268541.280964046
43,268541318796083,0.013745236,0.086366611,-0.143726065,-0.037157706,0.865001682,-0.001999209,0.500387302,268541.314300588
44,268541352132625,0.011560495,0.085135294,-0.146872741,-0.035746002,0.858697877,0.000568193,0.511233713,268541.347637130
45,268541385469083,0.010549431,0.083134908,-0.149434251,-0.033092594,0.853856507,0.003240215,0.519445377,268541.380973588
46,268541418805625,0.008848518,0.081099778,-0.151581116,-0.030445676,0.850429980,0.005167892,0.525181164,268541.414310130
47,268541452142125,0.007638203,0.077593045,-0.154309744,-0.030834840,0.846507005,0.007459920,0.531431563,268541.447646630
48,268541485478666,0.008651580,0.074838137,-0.156339356,-0.033373555,0.845840289,0.006477516,0.532351863,268541.480983171
49,268541518815083,0.008923408,0.071962384,-0.157954631,-0.036543780,0.845360610,0.004914281,0.532922034,268541.514319588
50,268541552151666,0.009708550,0.067488337,-0.160256230,-0.040821248,0.843473699,0.005341698,0.535590575,268541.547656171
51,268541585488125,0.009686416,0.064289781,-0.161966969,-0.043848551,0.842762814,0.005145978,0.536471543,268541.580992630
52,268541618824541,0.009596082,0.059843004,-0.163881440,-0.044762597,0.840509206,0.007323814,0.539895360,268541.614329046
53,268541652161083,0.009521561,0.053683843,-0.167322149,-0.044606878,0.838071419,0.007558312,0.543681384,268541.647665588
54,268541685497500,0.021908488,0.062978809,-0.182264237,-0.041642883,0.838795611,0.005534987,0.542823369,268541.681002005
55,268541718834083,0.023296211,0.059359404,-0.187818276,-0.041892681,0.839691735,0.004865050,0.541423289,268541.714338588
56,268541752170625,0.026284297,0.054683604,-0.197058687,-0.043682375,0.841794773,0.005481526,0.537999458,268541.747675130
57,268541785507083,0.036808585,0.061892361,-0.212034742,-0.046343111,0.845712909,0.006277759,0.531585022,268541.781011588
58,268541818843500,0.039650044,0.059683468,-0.220047931,-0.046511677,0.847458656,0.006400140,0.528781223,268541.814348005
59,268541852180000,0.043435735,0.056940147,-0.230414901,-0.044661866,0.848863270,0.006700514,0.526679811,268541.847684505
60,268541885516500,0.043161944,0.058705139,-0.239258497,-0.043687554,0.848971296,0.005269338,0.526603669,268541.881021005
61,268541918852958,0.045633913,0.058067863,-0.245651191,-0.043342254,0.850196216,0.003138627,0.524669464,268541.914357463
62,268541952189375,0.049317954,0.058285133,-0.253835931,-0.040830850,0.851221273,0.001427424,0.523214298,268541.947693880
63,268541985525958,0.047819212,0.062918023,-0.260833091,-0.037862736,0.851569397,-0.000642018,0.522872467,268541.981030463
64,268542018862375,0.051211275,0.064603111,-0.268877912,-0.033280383,0.853252119,-0.002683247,0.520428757,268542.014366880
65,268542052198833,0.054067922,0.066677872,-0.274909898,-0.029825813,0.854906997,-0.005877746,0.517889904,268542.047703338
66,268542085535375,0.053723298,0.071010658,-0.282606100,-0.025909655,0.857074270,-0.008647078,0.514468334,268542.081039880
67,268542118871791,0.058699897,0.075927087,-0.290619158,-0.021252108,0.859779146,-0.008748832,0.510148683,268542.114376296
68,268542152208333,0.062795479,0.080494578,-0.296021508,-0.018179149,0.861798479,-0.010112791,0.506824116,268542.147712838
69,268542185544833,0.063922409,0.086371924,-0.301926045,-0.014742269,0.862963272,-0.009564940,0.504961010,268542.181049338
70,268542218881291,0.069182004,0.096457826,-0.306345086,-0.010077556,0.864842283,-0.012259334,0.501792816,268542.214385796
71,268542252217666,0.073307495,0.105771695,-0.308908166,-0.007766162,0.865623816,-0.013176893,0.500461305,268542.247722171
72,268542285554166,0.073422069,0.118760835,-0.312826527,-0.006246135,0.865936541,-0.017416877,0.499811563,268542.281058671
73,268542318890541,0.078719053,0.136855715,-0.314121420,-0.002422941,0.866423503,-0.028472739,0.498491524,268542.314395046
74,268542352227166,0.082803574,0.152446960,-0.314507279,0.001912159,0.865754634,-0.035643199,0.499194224,268542.347731671
75,268542385563583,0.081491757,0.170351884,-0.313572856,0.006059837,0.863897743,-0.043489054,0.501749662,268542.381068088
76,268542418900000,0.087610901,0.194051464,-0.314373555,0.009439346,0.864222989,-0.042623547,0.501211343,268542.414404505
77,268542452236416,0.092581936,0.212820155,-0.314850931,0.012063638,0.864229845,-0.043323967,0.501083157,268542.447740921
78,268542485572916,0.090029124,0.230027248,-0.315681641,0.017645342,0.863800935,-0.042824807,0.501699786,268542.481077421
79,268542518909333,0.094816809,0.255374034,-0.314201309,0.026503125,0.862843858,-0.048008538,0.502487108,268542.514413838
80,268542552245875,0.098399772,0.273752185,-0.313039160,0.030758032,0.862642727,-0.047703322,0.502619056,268542.547750380
81,268542585582416,0.097420378,0.289912139,-0.311667119,0.034558274,0.861716232,-0.045328790,0.504178753,268542.581086921
82,268542618918791,0.102627501,0.310601990,-0.310375414,0.039249277,0.861433471,-0.045730130,0.504282339,268542.614423296
83,268542652255333,0.106196646,0.324435410,-0.309236423,0.042007437,0.860978458,-0.043852044,0.505003487,268542.647759838
84,268542685591833,0.105729943,0.333971409,-0.307334944,0.045062167,0.860595433,-0.041508185,0.505590768,268542.681096338
85,268542718928250,0.109500070,0.347686454,-0.306323824,0.048777317,0.860376503,-0.039377637,0.505788990,268542.714432755
86,268542752264625,0.112202337,0.356572826,-0.305937269,0.051384932,0.859949570,-0.038338079,0.506336421,268542.747769130
87,268542785601250,0.110989479,0.356227822,-0.304213464,0.053946094,0.859534948,-0.035003413,0.507015094,268542.781105755
88,268542818937583,0.113967286,0.364484921,-0.304674022,0.057203588,0.859317881,-0.033201453,0.507147164,268542.814442088
89,268542852274083,0.116193762,0.369581382,-0.305483216,0.058242827,0.859474086,-0.031488601,0.506873347,268542.847778588
90,268542885610541,0.116038195,0.363336940,-0.305917855,0.059169951,0.859559370,-0.028884019,0.506776452,268542.881115046
91,268542918946958,0.118939405,0.367585779,-0.308002855,0.059591017,0.859182875,-0.023971106,0.507621058,268542.914451463
92,268542952283416,0.121163110,0.370070644,-0.309935875,0.057379488,0.858890871,-0.016974429,0.508651145,268542.947787921
93,268542985619875,0.124533778,0.374107516,-0.314476089,0.052430820,0.858653331,-0.006909304,0.509821323,268542.981124380
94,268543018956416,0.126964603,0.377038455,-0.317305292,0.047780226,0.859873307,-0.001944125,0.508262944,268543.014460921
95,268543052292750,0.128389230,0.379116203,-0.319325716,0.043170795,0.861397762,-0.001096071,0.506091919,268543.047797255
96,268543085629208,0.132121881,0.389974818,-0.323907059,0.035928313,0.864574218,-0.002458763,0.501213114,268543.081133713
97,268543118965708,0.133258089,0.393162430,-0.325837259,0.032175740,0.865964960,-0.003821692,0.499053962,268543.114470213
98,268543152302208,0.134390386,0.396227098,-0.327465215,0.028870102,0.866794576,-0.004666227,0.497807151,268543.147806713
99,268543185638625,0.136530529,0.400410273,-0.328614937,0.025639122,0.867949408,-0.005947871,0.495954773,268543.181143130
100,268543218975125,0.138526154,0.404051858,-0.329628529,0.022669026,0.868420245,-0.005523173,0.495279659,268543.214479630
101,268543252311583,0.141101959,0.408036303,-0.330595018,0.019675575,0.869113526,-0.004233962,0.494203073,268543.247816088
102,268543285648000,0.147433185,0.429432624,-0.333990789,0.013573905,0.869774922,-0.001879015,0.493258408,268543.281152505
103,268543318984500,0.150290695,0.435243015,-0.333949029,0.007764410,0.870503534,-0.000545460,0.492100668,268543.314489005
104,268543352321000,0.153171759,0.441347576,-0.333025472,0.001513234,0.870507835,0.002187686,0.492147423,268543.347825505
105,268543385657333,0.154621092,0.458992223,-0.328911205,-0.005336121,0.869359100,0.004692651,0.494129855,268543.381161838
106,268543418993750,0.156300608,0.465406364,-0.325395347,-0.006899616,0.868513563,0.007237526,0.495564585,268543.414498255
107,268543452330208,0.158178432,0.471555366,-0.321544650,-0.009019276,0.868052844,0.012535739,0.496231621,268543.447834713
108,268543485666666,0.159356703,0.478093913,-0.314382117,-0.011569139,0.867628885,0.017953941,0.496753442,268543.481171171
109,268543519003208,0.162458377,0.482798549,-0.309071660,-0.014586991,0.870742984,0.018763990,0.491163762,268543.514507713
110,268543552339625,0.166537662,0.486896419,-0.302943132,-0.021942172,0.872191358,0.023776174,0.488093764,268543.547844130
111,268543585676041,0.170499164,0.487149842,-0.289630177,-0.025536495,0.876315020,0.021427746,0.480583788,268543.581180546
112,268543619012500,0.174307565,0.487774018,-0.279824488,-0.026176817,0.880182732,0.021941166,0.473404448,268543.614517005
113,268543652349000,0.179138811,0.486969060,-0.269839860,-0.028096982,0.882284530,0.027704823,0.469059765,268543.647853505
114,268543685685375,0.183516637,0.477736642,-0.253785852,-0.026118795,0.884075850,0.036161666,0.465209724,268543.681189880
115,268543719021916,0.188122073,0.473702576,-0.241891384,-0.025168302,0.887233123,0.041248067,0.458783819,268543.714526421
116,268543752358333,0.193362653,0.469696307,-0.230025180,-0.026639472,0.889949634,0.046201001,0.452929916,268543.747862838
117,268543785694833,0.196684242,0.461693833,-0.214303633,-0.028252848,0.893500641,0.049921432,0.445383302,268543.781199338
118,268543819031250,0.202019671,0.459070628,-0.201532281,-0.034300766,0.896117090,0.056351711,0.438887407,268543.814535755
119,268543852367708,0.207222200,0.457038809,-0.188670765,-0.038155810,0.895894979,0.060580153,0.438459141,268543.847872213
120,268543885704166,0.207502903,0.456219260,-0.169701891,-0.037383437,0.894456408,0.063245155,0.441078583,268543.881208671
121,268543919040500,0.209693675,0.454125161,-0.155844134,-0.037188741,0.895008866,0.067325763,0.439367071,268543.914545005
122,268543952377083,0.212412890,0.451799551,-0.142833941,-0.038963730,0.895585741,0.070827347,0.437483198,268543.947881588
123,268543985713375,0.214704065,0.453441301,-0.125404054,-0.040969836,0.897862849,0.072287836,0.432363620,268543.981217880
124,268544019049916,0.217791115,0.452305438,-0.113284344,-0.046378208,0.898521068,0.076855842,0.429653564,268544.014554421
125,268544052386416,0.220898062,0.451082968,-0.102235605,-0.049834418,0.898567000,0.083478610,0.427931364,268544.047890921
126,268544085722791,0.216782700,0.451568160,-0.087851091,-0.051961254,0.899326022,0.088565866,0.425051614,268544.081227296
127,268544119059250,0.218349965,0.449194101,-0.077903797,-0.054067461,0.901067541,0.088178289,0.421163435,268544.114563755
128,268544152395708,0.220677369,0.446164430,-0.065988805,-0.054616712,0.904124370,0.086959938,0.414745900,268544.147900213
129,268544185732166,0.214732890,0.447519658,-0.061085581,-0.053369747,0.906568897,0.082385842,0.410484021,268544.181236671
