recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.015973201,0.075598419,-0.121090696,-0.039742916,0.876153683,-0.000734265,0.480390194,268541.185954505
40,268541218786500,0.015325857,0.075453357,-0.125080408,-0.039685923,0.873781505,-0.000592983,0.484696410,268541.219291005
41,268541252123000,0.014572466,0.075077411,-0.127831270,-0.039023891,0.871059749,-0.001614000,0.489621790,268541.252627505
42,268541285459541,0.013790662,0.074878753,-0.130234936,-0.039087919,0.868078274,-0.002857144,0.494877899,268541.285964046
43,268541318796083,0.011760583,0.073688044,-0.133234591,-0.037488089,0.863252322,-0.000964013,0.503377786,268541.319300588
44,268541352132625,0.010238650,0.072235793,-0.135206499,-0.036281557,0.858560946,0.000709087,0.511425753,268541.352637130
45,268541385469083,0.008771389,0.070083905,-0.137289148,-0.033822005,0.853526973,0.003599980,0.519937373,268541.385973588
46,268541418805625,0.006721395,0.066720568,-0.139635031,-0.030568754,0.849161656,0.006205171,0.527211136,268541.419310130
47,268541452142125,0.005928642,0.063606664,-0.141251991,-0.031247439,0.846197909,0.007761248,0.531895208,268541.452646630
48,268541485478666,0.006212742,0.059214648,-0.143110869,-0.035405952,0.845598234,0.005925409,0.532611479,268541.485983171
49,268541518815083,0.006398586,0.055838086,-0.144291687,-0.038475024,0.844806694,0.005147132,0.533661767,268541.519319588
50,268541552151666,0.006865457,0.052018076,-0.145556537,-0.041667307,0.843308444,0.005475967,0.535784258,268541.552656171
51,268541585488125,0.006849151,0.046452256,-0.147269731,-0.044633868,0.841638323,0.006432881,0.538155574,268541.585992630
52,268541618824541,0.006618738,0.041497102,-0.148781846,-0.045546178,0.839335438,0.008518456,0.541635539,268541.619329046
53,268541652161083,0.006435476,0.036382384,-0.150923210,-0.045229200,0.837565208,0.008312311,0.544398568,268541.652665588
54,268541685497500,0.027914318,0.068938651,-0.185745618,-0.041366408,0.839672880,0.002727292,0.541507977,268541.686002005
55,268541718834083,0.029662825,0.065571860,-0.191530216,-0.042645425,0.840510973,0.002966140,0.540105477,268541.719338588
56,268541752170625,0.032164595,0.062238975,-0.198510223,-0.043737666,0.842176207,0.003123062,0.537416554,268541.752675130
57,268541785507083,0.033967632,0.063530222,-0.215380653,-0.046340375,0.845678137,0.005752183,0.531646522,268541.786011588
58,268541818843500,0.036547342,0.061306608,-0.223154776,-0.045527383,0.847461500,0.005043502,0.528876999,268541.819348005
59,268541852180000,0.039218617,0.059195423,-0.230637702,-0.044432920,0.848314168,0.005652407,0.527595386,268541.852684505
60,268541885516500,0.043070353,0.058365002,-0.240016383,-0.044004365,0.848882052,0.004566833,0.526727704,268541.886021005
61,268541918852958,0.045736458,0.057819106,-0.246062346,-0.042780333,0.850425461,0.001938392,0.524349763,268541.919357463
62,268541952189375,0.048777143,0.057961147,-0.251950221,-0.040952446,0.850933661,0.001029622,0.523673367,268541.952693880
63,268541985525958,0.051204126,0.063333595,-0.260197641,-0.036777445,0.851738483,-0.000619009,0.522674512,268541.986030463
64,268542018862375,0.053982769,0.064685588,-0.265921776,-0.033407943,0.852986157,-0.002205438,0.520858632,268542.019366880
65,268542052198833,0.057254043,0.066786424,-0.271695974,-0.029917062,0.854747817,-0.005462280,0.518151865,268542.052703338
66,268542085535375,0.055977442,0.073952889,-0.280391812,-0.025040962,0.857539867,-0.009239045,0.513724653,268542.086039880
67,268542118871791,0.059997285,0.077916169,-0.286108118,-0.021467371,0.859557710,-0.009273384,0.510503431,268542.119376296
68,268542152208333,0.064309484,0.082576810,-0.291223811,-0.018357625,0.861549667,-0.010252940,0.507237716,268542.152712838
69,268542185544833,0.067464482,0.091159303,-0.301247873,-0.013786108,0.863072719,-0.010347720,0.504785502,268542.186049338
70,268542218881291,0.071771442,0.099193601,-0.304424799,-0.010404072,0.864548215,-0.012445433,0.502288069,268542.219385796
71,268542252217666,0.076231238,0.108673820,-0.307004281,-0.007987505,0.865385858,-0.013510067,0.500860309,268542.252722171
72,268542285554166,0.078241211,0.123887963,-0.314630505,-0.006021271,0.865877356,-0.019435885,0.499842424,268542.286058671
73,268542318890541,0.082559022,0.137604064,-0.315606782,-0.002944436,0.866123916,-0.027834230,0.499045089,268542.319395046
74,268542352227166,0.086980822,0.153064960,-0.316073959,0.001403617,0.865550387,-0.035536946,0.499557540,268542.352731671
75,268542385563583,0.085252723,0.175767556,-0.317523093,0.006699332,0.863379385,-0.043205204,0.502657457,268542.386068088
76,268542418900000,0.090175115,0.193477145,-0.318352588,0.009187072,0.863729724,-0.042391000,0.502085269,268542.419404505
77,268542452236416,0.095471691,0.212073738,-0.319161792,0.011737097,0.863889219,-0.042750984,0.501727082,268542.452740921
78,268542485572916,0.092723147,0.237314267,-0.318196540,0.020294509,0.863036375,-0.044856062,0.502736844,268542.486077421
79,268542518909333,0.096321925,0.256529974,-0.317073302,0.026291818,0.862434186,-0.048347405,0.503168557,268542.519413838
80,268542552245875,0.101521266,0.280957403,-0.315968337,0.031000089,0.862286134,-0.046075155,0.503367411,268542.552750380
81,268542585582416,0.099021128,0.297365209,-0.315438888,0.034979814,0.861366213,-0.044535367,0.504818099,268542.586086921
82,268542618918791,0.102949338,0.312940712,-0.314638246,0.038505351,0.861135610,-0.044968926,0.504916476,268542.619423296
83,268542652255333,0.107637722,0.331512396,-0.313390212,0.042392127,0.860611495,-0.042590044,0.505704364,268542.652759838
84,268542685591833,0.107123146,0.341096865,-0.311033884,0.045618842,0.860122082,-0.040438778,0.506432309,268542.686096338
85,268542718928250,0.110082584,0.351494279,-0.310471456,0.048380305,0.859982970,-0.039023423,0.506523309,268542.719432755
86,268542752264625,0.113763989,0.363683135,-0.310148720,0.052034785,0.859477386,-0.037939936,0.507101192,268542.752769130
87,268542785601250,0.112454908,0.364135077,-0.307855122,0.054513654,0.859009692,-0.034489713,0.507879044,268542.786105755
88,268542818937583,0.114736417,0.370538111,-0.308257666,0.056919554,0.858972387,-0.033372951,0.507752796,268542.819442088
89,268542852274083,0.117778875,0.377764804,-0.309349080,0.058192431,0.859155327,-0.031311529,0.507430199,268542.852778588
90,268542885610541,0.117724109,0.371784209,-0.309164079,0.059127970,0.859227428,-0.028498017,0.507365772,268542.886115046
91,268542918946958,0.119918832,0.375224918,-0.310629965,0.059215390,0.858961690,-0.024513827,0.508013265,268542.919451463
92,268542952283416,0.123009519,0.378964937,-0.313102824,0.055411631,0.858612302,-0.014222823,0.509423430,268542.952787921
93,268542985619875,0.126044516,0.378898194,-0.316245184,0.050566922,0.858510430,-0.004707344,0.510275143,268542.986124380
94,268543018956416,0.127871446,0.381133483,-0.318207792,0.047085697,0.859509392,-0.001488661,0.508944378,268543.019460921
95,268543052292750,0.129793942,0.384046495,-0.320716567,0.040774007,0.861759371,-0.000869836,0.505675354,268543.052797255
96,268543085629208,0.131309770,0.388428321,-0.324271322,0.035690493,0.864231494,-0.002917877,0.501818347,268543.086133713
97,268543118965708,0.132500969,0.391203889,-0.326106486,0.031711758,0.865656366,-0.003904350,0.499618083,268543.119470213
98,268543152302208,0.134011347,0.394857469,-0.328039938,0.027763872,0.866678357,-0.005254717,0.498066496,268543.152806713
99,268543185638625,0.137692483,0.409312972,-0.331057921,0.025211499,0.867569940,-0.006890658,0.496627982,268543.186143130
100,268543218975125,0.139790292,0.413266895,-0.332115234,0.022344309,0.868105588,-0.006488619,0.495834015,268543.219479630
101,268543252311583,0.143310695,0.419172221,-0.333351064,0.018022890,0.868888956,-0.004458127,0.494658808,268543.252816088
102,268543285648000,0.147802944,0.436234599,-0.335471445,0.013316283,0.869432445,-0.002526309,0.493865944,268543.286152505
103,268543318984500,0.150690224,0.442321503,-0.335433250,0.007516546,0.870146667,-0.001113839,0.492734301,268543.319489005
104,268543352321000,0.154491503,0.450864486,-0.333965907,-0.000595597,0.870004378,0.002590541,0.493036885,268543.352825505
105,268543385657333,0.155975944,0.462098705,-0.331020045,-0.005736950,0.868968346,0.004436603,0.494814582,268543.386161838
106,268543418993750,0.157746794,0.468536209,-0.327648681,-0.007275189,0.868084736,0.006961668,0.496313965,268543.419498255
107,268543452330208,0.160570026,0.476702317,-0.322700047,-0.010624237,0.867406448,0.014501770,0.497275509,268543.452834713
108,268543485666666,0.160689448,0.481538598,-0.317302049,-0.011541188,0.867366694,0.018025504,0.497209165,268543.486171171
109,268543519003208,0.163757555,0.486358352,-0.312022681,-0.014866170,0.870283929,0.019100209,0.491955399,268543.519507713
110,268543552339625,0.169094776,0.491557502,-0.303535250,-0.023890084,0.871816810,0.024140518,0.488653253,268543.552844130
111,268543585676041,0.170421324,0.490455078,-0.292420163,-0.026382719,0.875959868,0.022316396,0.481144774,268543.586180546
112,268543619012500,0.175457097,0.491059818,-0.279508568,-0.027319768,0.881189640,0.024251895,0.471349496,268543.619517005
113,268543652349000,0.180160914,0.489788478,-0.269303838,-0.028955062,0.881909539,0.030259018,0.469554697,268543.652853505
114,268543685685375,0.183459626,0.478290061,-0.255383885,-0.026774475,0.883776507,0.036830216,0.465688525,268543.686189880
115,268543719021916,0.189481643,0.473070129,-0.239457643,-0.025612474,0.888220708,0.043063720,0.456676631,268543.719526421
116,268543752358333,0.194795043,0.469097393,-0.227312382,-0.028137507,0.890133652,0.047778655,0.452313625,268543.752862838
117,268543785694833,0.197990790,0.463443766,-0.214920661,-0.028521298,0.893261027,0.049424561,0.445901940,268543.786199338
118,268543819031250,0.205191216,0.460039613,-0.197524372,-0.036826518,0.896020151,0.057951274,0.438672315,268543.819535755
119,268543852367708,0.210026995,0.457963332,-0.184171568,-0.038019901,0.895191528,0.059636063,0.440034326,268543.852872213
120,268543885704166,0.210612662,0.459542687,-0.170348635,-0.037776294,0.893789780,0.062489042,0.442501925,268543.886208671
121,268543919040500,0.214032180,0.456508674,-0.151977715,-0.037892157,0.894686264,0.068074252,0.439848409,268543.919545005
122,268543952377083,0.217063689,0.454009465,-0.138856939,-0.039801887,0.895338690,0.070264254,0.438003914,268543.952881588
123,268543985713375,0.217198243,0.457199500,-0.127114659,-0.041368235,0.897242851,0.071513609,0.433739314,268543.986217880
124,268544019049916,0.221326248,0.455534807,-0.111092553,-0.048378417,0.897903569,0.078505963,0.430424879,268544.019554421
125,268544052386416,0.224234834,0.454064903,-0.100140681,-0.050247854,0.898088409,0.084303327,0.428725280,268544.052890921
126,268544085722791,0.216535404,0.455325833,-0.090799727,-0.051790430,0.898514338,0.087922421,0.426918537,268544.086227296
127,268544119059250,0.218529419,0.452162441,-0.077745219,-0.054457348,0.901027040,0.086745115,0.421497341,268544.119563755
128,268544152395708,0.220192437,0.449878424,-0.069029406,-0.054167062,0.903522765,0.085802553,0.416353836,268544.152900213
129,268544185732166,0.214398386,0.450614391,-0.063182092,-0.053221004,0.905994428,0.081295014,0.411986402,268544.186236671
130,268544219068541,0.215941599,0.447225458,-0.052278257,-0.055143832,0.905406436,0.083210919,0.412643115,268544.219573046
131,268544252405000,0.216503028,0.444420344,-0.043410263,-0.053983794,0.906371225,0.078640653,0.411573388,268544.252909505
132,268544285741541,0.211434421,0.445522175,-0.035624865,-0.053412535,0.905295248,0.073694030,0.414917894,268544.286246046
133,268544319077916,0.211845678,0.442471043,-0.021804913,-0.055051524,0.905114388,0.071140552,0.415543438,268544.319582421
134,268544352414416,0.212635544,0.440910932,-0.010465047,-0.058788048,0.906174803,0.068195504,0.413207717,268544.352918921
135,268544385750708,0.213844954,0.439904691,-0.000569621,-0.064198734,0.907830221,0.066098496,0.409089055,268544.386255213
136,268544419087208,0.217107419,0.439324320,0.013807927,-0.067555178,0.907669013,0.066146391,0.408898483,268544.419591713
137,268544452423708,0.219294980,0.438205820,0.024736499,-0.068247081,0.907312234,0.066221647,0.409562684,268544.452928213
138,268544485760166,0.224864230,0.432508243,0.035238639,-0.067595203,0.906252662,0.067516523,0.411799191,268544.486264671
139,268544519096583,0.227404792,0.429382137,0.048203470,-0.068301778,0.906112249,0.067924808,0.411924426,268544.519601088
140,268544552433041,0.229468622,0.427166658,0.057137044,-0.072185015,0.905271981,0.070142678,0.412737232,268544.552937546
141,268544585769416,0.236890183,0.421292656,0.065723558,-0.077211475,0.904866177,0.072655114,0.412282522,268544.586273921
142,268544619105875,0.239250153,0.418496729,0.075933075,-0.081685107,0.904076564,0.075319618,0.412674349,268544.619610380
143,268544652442375,0.240486101,0.416127439,0.082656744,-0.084753562,0.902540701,0.080652482,0.414406018,268544.652946880
144,268544685778750,0.245262389,0.407445506,0.088896453,-0.086574034,0.901840218,0.084173661,0.414854198,268544.686283255
145,268544719115166,0.245793469,0.403704527,0.094615756,-0.087833498,0.901633804,0.084768798,0.414916937,268544.719619671
146,268544752451750,0.246341694,0.400032320,0.099453549,-0.090837304,0.901021805,0.087631911,0.415004810,268544.752956255
147,268544785788083,0.242747777,0.389500968,0.101648914,-0.093987579,0.901087072,0.091641258,0.413292096,268544.786292588
148,268544819124625,0.242439341,0.384657775,0.105165179,-0.094954536,0.902071967,0.092590285,0.410702928,268544.819629130
149,268544852460916,0.242409906,0.379036774,0.107770382,-0.097851727,0.902836523,0.095390753,0.407690950,268544.852965421
150,268544885797416,0.244306003,0.369941045,0.111221704,-0.102719991,0.902799474,0.101851100,0.405003852,268544.886301921
151,268544919133833,0.244969379,0.362601616,0.112611748,-0.105022452,0.903288726,0.104461301,0.402650781,268544.919638338
152,268544952470291,0.245865260,0.354183236,0.113396101,-0.108338621,0.903587837,0.108842081,0.399931518,268544.952974796
153,268544985806791,0.249647350,0.341977735,0.112724810,-0.115547685,0.903634766,0.115518785,0.395914644,268544.986311296
154,268545019143166,0.251470396,0.332126210,0.111982483,-0.120277982,0.904735353,0.117794581,0.391294822,268545.019647671
155,268545052479583,0.253356001,0.321615275,0.110859228,-0.124194325,0.905401385,0.120695915,0.387629528,268545.052984088
156,268545085816000,0.257097261,0.306466142,0.107447807,-0.131526047,0.904660202,0.124983607,0.385577449,268545.086320505
157,268545119152458,0.258862011,0.294636046,0.105956877,-0.136644412,0.903903260,0.127837125,0.384636092,268545.119656963
158,268545152488916,0.260649840,0.282413957,0.104427179,-0.141911851,0.903468016,0.130062078,0.383001932,268545.152993421
159,268545185825250,0.263773429,0.265249142,0.100560917,-0.152225976,0.902859428,0.131992656,0.379802708,268545.186329755
160,268545219161708,0.266705144,0.252336653,0.098142466,-0.162566734,0.902273652,0.133496552,0.376368220,268545.219666213
161,268545252498166,0.269965436,0.239443963,0.095682188,-0.173755556,0.900352188,0.137748380,0.374433415,268545.253002671
162,268545285834583,0.274161477,0.222506071,0.091665886,-0.192320843,0.895472927,0.147400963,0.373381763,268545.286339088
163,268545319171083,0.277737433,0.209019884,0.089703058,-0.205169744,0.891994672,0.153773656,0.372296383,268545.319675588
164,268545352507416,0.281060505,0.195384784,0.087867088,-0.215439098,0.890469608,0.157278076,0.368664527,268545.353011921
165,268545385843916,0.282819362,0.175809238,0.086046910,-0.227702719,0.889635163,0.158903408,0.362561040,268545.386348421
166,268545419180333,0.285764013,0.161458702,0.084253704,-0.234897865,0.888679608,0.160192410,0.359736003,268545.419684838
167,268545452516708,0.288411866,0.146934792,0.082866156,-0.240381235,0.887308975,0.161423273,0.358945993,268545.453021213
168,268545485853166,0.289129482,0.127167675,0.084048936,-0.247268849,0.885505689,0.163843515,0.357621513,268545.486357671
169,268545519189583,0.291473602,0.113164891,0.083165539,-0.254270382,0.884217834,0.164010326,0.355817456,268545.519694088
170,268545552526000,0.293805558,0.099742884,0.082333032,-0.260896178,0.882946157,0.163176912,0.354559750,268545.553030505
171,268545585862416,0.293192164,0.083945532,0.083197287,-0.268969150,0.881072456,0.163653843,0.352965148,268545.586366921
172,268545619198875,0.295074932,0.072181010,0.082415051,-0.274760069,0.878963688,0.166138179,0.352601615,268545.619703380
173,268545652535333,0.296988711,0.060998735,0.081296238,-0.278759628,0.877322068,0.169135800,0.352125252,268545.653039838
174,268545685871750,0.297229349,0.048216121,0.081020509,-0.282091587,0.874574085,0.173820103,0.354021372,268545.686376255
175,268545719208166,0.299027247,0.038265494,0.079329845,-0.288066578,0.872266392,0.176453297,0.353600445,268545.719712671
176,268545752544500,0.301799772,0.026527816,0.076115435,-0.298365523,0.869334920,0.179567980,0.350699594,268545.753049005
177,268545785880916,0.306768624,0.015302642,0.074345439,-0.309852383,0.865331518,0.182499310,0.349123072,268545.786385421
178,268545819217458,0.310461876,0.008807370,0.071006495,-0.322742989,0.860192369,0.187344348,0.347574740,268545.819721963
179,268545852553833,0.315873815,0.001764931,0.066603142,-0.339359792,0.853133262,0.193280057,0.345892240,268545.853058338
180,268545885890250,0.320732315,-0.002852722,0.063561920,-0.351327918,0.848498127,0.196623280,0.343451542,268545.886394755
181,268545919226625,0.326244772,-0.007502781,0.059391576,-0.359437395,0.847064181,0.198243289,0.337619141,268545.919731130
182,268545952563041,0.335185998,-0.013010578,0.052603217,-0.371877346,0.846334539,0.199779059,0.324828368,268545.953067546
183,268545985899458,0.346599019,-0.022084421,0.048218354,-0.381255908,0.846669375,0.199933946,0.312764084,268545.986403963
184,268546019235958,0.355368475,-0.025201325,0.042887689,-0.391838135,0.843369893,0.200976002,0.307894136,268546.019740463
185,268546052572291,0.367804785,-0.029783389,0.036450630,-0.400207608,0.839209845,0.203996787,0.306506233,268546.053076796
186,268546085908791,0.381975133,-0.032073909,0.035887040,-0.407302983,0.834203454,0.205365968,0.309893126,268546.086413296
187,268546119245125,0.393317737,-0.036020251,0.032379880,-0.412791451,0.830419509,0.206854782,0.311797706,268546.119749630
188,268546152581625,0.409428925,-0.040884559,0.027632462,-0.420996834,0.825181345,0.209175024,0.313182496,268546.153086130
189,268546185918041,0.423038915,-0.044702072,0.022081244,-0.427673443,0.820646036,0.211288721,0.314630958,268546.186422546
190,268546219254416,0.437484354,-0.047997213,0.018149349,-0.436348723,0.815603689,0.215103940,0.313242339,268546.219758921
191,268546252590833,0.457830760,-0.052350731,0.013470752,-0.446388075,0.809321474,0.218911971,0.312752364,268546.253095338
192,268546285927291,0.476723524,-0.060742656,0.008914281,-0.454856327,0.803792827,0.222710501,0.312126414,268546.286431796
193,268546319263708,0.493437666,-0.064413203,0.006466129,-0.463466183,0.797985024,0.226224481,0.311835752,268546.319768213
194,268546352600041,0.516345661,-0.069140435,0.003999916,-0.473848657,0.790094196,0.231785836,0.312240277,268546.353104546
195,268546385936500,0.534982301,-0.074686958,0.004398929,-0.480135362,0.785134961,0.233147056,0.314126774,268546.386441005
196,268546419272875,0.552557722,-0.078704150,0.003932629,-0.486799767,0.780030730,0.235320357,0.314964171,268546.419777380
197,268546452609375,0.575193435,-0.082870409,0.003051056,-0.499730483,0.770188057,0.245068690,0.311482249,268546.453113880
198,268546485945666,0.592370684,-0.090129061,0.005191486,-0.507288719,0.763737817,0.252543667,0.309167352,268546.486450171
199,268546519282208,0.608339829,-0.093835618,0.006563772,-0.513616655,0.757250192,0.256965220,0.311028951,268546.519786713
200,268546552618625,0.629021191,-0.099371605,0.009990955,-0.519843783,0.749802221,0.261989540,0.314516461,268546.553123130
201,268546585954958,0.640959431,-0.107974053,0.014936008,-0.523192044,0.744870746,0.264692655,0.318395209,268546.586459463
202,268546619291458,0.655498511,-0.112526784,0.017572200,-0.527389853,0.741959838,0.265701793,0.317424246,268546.619795963
203,268546652627875,0.674796396,-0.118128456,0.020638229,-0.533216463,0.739455571,0.265061842,0.314050849,268546.653132380
204,268546685964125,0.677092371,-0.119553930,0.024557985,-0.536532715,0.739061908,0.262654790,0.311340096,268546.686468630
205,268546719300583,0.690102010,-0.122665614,0.027123952,-0.539995882,0.737098114,0.262655760,0.310004553,268546.719805088
206,268546752636958,0.706515997,-0.126169835,0.030187561,-0.544544169,0.734037106,0.265806168,0.306607745,268546.753141463
