recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018273040,0.092675146,-0.135681946,-0.038407546,0.875939427,-0.002526790,0.480883197,268541.187954505
40,268541218786500,0.018181958,0.093312340,-0.139307870,-0.038962358,0.874455889,-0.002238982,0.483532700,268541.221291005
41,268541252123000,0.017415684,0.093799077,-0.142526172,-0.038721853,0.871110426,-0.003264967,0.489547379,268541.254627505
42,268541285459541,0.015532621,0.094153476,-0.146476845,-0.036687289,0.867066667,-0.004915723,0.496815184,268541.287964046
43,268541318796083,0.014300189,0.093871305,-0.149364316,-0.035389573,0.863665874,-0.003032743,0.502811785,268541.321300588
44,268541352132625,0.012920300,0.093126855,-0.152064916,-0.034546247,0.858474558,-0.000263295,0.511691289,268541.354637130
45,268541385469083,0.010665957,0.091671171,-0.155362881,-0.031453511,0.852484977,0.001651040,0.521802039,268541.387973588
46,268541418805625,0.009486540,0.089877719,-0.157860200,-0.028428365,0.849753339,0.003349825,0.526402815,268541.421310130
47,268541452142125,0.009041221,0.087624586,-0.160245441,-0.029005551,0.847074283,0.005360448,0.530655402,268541.454646630
48,268541485478666,0.009038239,0.084808515,-0.162747092,-0.034858829,0.845363161,0.004036500,0.533038224,268541.487983171
49,268541518815083,0.009431150,0.082458590,-0.164605099,-0.038207929,0.845558194,0.001515008,0.532512209,268541.521319588
50,268541552151666,0.009905307,0.079546612,-0.166650162,-0.041046723,0.844032696,0.002348837,0.534713485,268541.554656171
51,268541585488125,0.009921413,0.074945006,-0.169392302,-0.042667457,0.841284757,0.004705423,0.538885291,268541.587992630
52,268541618824541,0.009915949,0.071015846,-0.171892335,-0.042917384,0.839074930,0.006864416,0.542276952,268541.621329046
53,268541652161083,0.009851985,0.067030644,-0.174934371,-0.042833892,0.837157206,0.007059517,0.545236909,268541.654665588
54,268541685497500,0.022473631,0.074269146,-0.191220385,-0.040491247,0.838611246,0.001847377,0.543220285,268541.688002005
55,268541718834083,0.024275781,0.070891287,-0.197434112,-0.041041775,0.840407560,0.001609169,0.540396308,268541.721338588
56,268541752170625,0.026547616,0.067798464,-0.204434795,-0.043661982,0.841869947,0.003339749,0.537901034,268541.754675130
57,268541785507083,0.032060110,0.065547871,-0.222481502,-0.045773732,0.844640790,0.005693189,0.533342613,268541.788011588
58,268541818843500,0.034345621,0.063019059,-0.230256299,-0.045049773,0.846375434,0.005520074,0.530649342,268541.821348005
59,268541852180000,0.037180230,0.060054977,-0.240053095,-0.042703520,0.847246812,0.005405565,0.529452625,268541.854684505
60,268541885516500,0.039428866,0.059668016,-0.247052835,-0.044266576,0.847112250,0.005940788,0.529533820,268541.888021005
61,268541918852958,0.041689730,0.059140955,-0.253255832,-0.044186307,0.848729504,0.002884903,0.526970141,268541.921357463
62,268541952189375,0.045016572,0.058962175,-0.261428564,-0.040264702,0.849904267,0.000946150,0.525395706,268541.954693880
63,268541985525958,0.046021499,0.062799848,-0.267161415,-0.036823607,0.849837232,0.001178624,0.525755995,268541.988030463
64,268542018862375,0.048223628,0.063907791,-0.273249915,-0.033345257,0.851294125,-0.000378099,0.523628033,268542.021366880
65,268542052198833,0.051790588,0.066463319,-0.281180901,-0.028835867,0.854065329,-0.005693669,0.519334711,268542.054703338
66,268542085535375,0.051581632,0.071986120,-0.286142444,-0.025464663,0.856503800,-0.009055308,0.515432679,268542.088039880
67,268542118871791,0.055056362,0.075489652,-0.292075176,-0.022089986,0.858519833,-0.008128900,0.512239888,268542.121376296
68,268542152208333,0.059900320,0.081516678,-0.298719096,-0.017921914,0.860879149,-0.008542701,0.508422041,268542.154712838
