recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.019237398,0.104498466,-0.143219244,-0.037825917,0.876091110,-0.004295994,0.480640370,268541.192954505
40,268541218786500,0.019270657,0.105770310,-0.147216911,-0.038368632,0.874618408,-0.004051834,0.483274379,268541.226291005
41,268541252123000,0.018238785,0.107274133,-0.151951085,-0.037673479,0.870165599,-0.005717779,0.491283929,268541.259627505
42,268541285459541,0.016937999,0.108191304,-0.155288036,-0.036079835,0.867249607,-0.006837007,0.496517547,268541.292964046
43,268541318796083,0.015503318,0.108659326,-0.159645091,-0.034534045,0.862249124,-0.003996839,0.505289943,268541.326300588
44,268541352132625,0.014138524,0.108573485,-0.162654565,-0.033449606,0.856954629,-0.001624551,0.514302733,268541.359637130
45,268541385469083,0.012598134,0.108154154,-0.165560784,-0.030833726,0.852712447,-0.000436635,0.521469679,268541.392973588
46,268541418805625,0.011447531,0.106696188,-0.169465082,-0.027447131,0.849119000,0.001948381,0.527484441,268541.426310130
47,268541452142125,0.011370772,0.105257055,-0.172146112,-0.029582727,0.846550610,0.003461486,0.531474363,268541.459646630
48,268541485478666,0.011636362,0.103977370,-0.174476333,-0.034200619,0.845640562,0.001805300,0.532652937,268541.492983171
49,268541518815083,0.012515162,0.101902529,-0.177646345,-0.038500857,0.845553658,-0.000810183,0.532499852,268541.526319588
50,268541552151666,0.013106838,0.099681714,-0.180125834,-0.041083884,0.843613963,0.000617069,0.535375820,268541.559656171
51,268541585488125,0.013418116,0.097094935,-0.182768457,-0.041959408,0.841613038,0.002340672,0.538443570,268541.592992630
52,268541618824541,0.013772805,0.093120335,-0.186888287,-0.042299548,0.838709301,0.004925568,0.542911823,268541.626329046
53,268541652161083,0.013953605,0.090159503,-0.190653791,-0.041605035,0.837180241,0.003689817,0.545329903,268541.659665588
54,268541685497500,0.021556897,0.081380650,-0.190633284,-0.039942139,0.838568984,-0.000056021,0.543329307,268541.693002005
55,268541718834083,0.024163272,0.077520285,-0.199036443,-0.041353579,0.840859814,0.000313815,0.539670834,268541.726338588
56,268541752170625,0.026435376,0.075003122,-0.206108847,-0.043612743,0.842518763,0.001659497,0.536896044,268541.759675130
57,268541785507083,0.032459580,0.067379358,-0.223386528,-0.045417849,0.844737356,0.005493551,0.533222180,268541.793011588
58,268541818843500,0.035543053,0.064032668,-0.233583730,-0.043894281,0.846958169,0.004925331,0.529821618,268541.826348005
59,268541852180000,0.037771140,0.061836310,-0.240799214,-0.042337021,0.847347285,0.005210863,0.529323206,268541.859684505
60,268541885516500,0.041155529,0.059996697,-0.247319358,-0.044030955,0.847265173,0.006143550,0.529306445,268541.893021005
61,268541918852958,0.044467865,0.059182945,-0.255308251,-0.043202921,0.849518372,0.002015320,0.525783259,268541.926357463
62,268541952189375,0.047144705,0.058891529,-0.261224798,-0.040030251,0.850064590,0.001172937,0.525153739,268541.959693880
63,268541985525958,0.048332275,0.064874264,-0.267176696,-0.036530266,0.849901735,0.001152042,0.525672243,268541.993030463
64,268542018862375,0.051632755,0.066439771,-0.274920502,-0.031985394,0.851952244,-0.001419096,0.522639787,268542.026366880
65,268542052198833,0.054540944,0.068429042,-0.280561253,-0.028539937,0.854132107,-0.005702725,0.519241128,268542.059703338
66,268542085535375,0.053792500,0.074931846,-0.285280293,-0.024939553,0.856410129,-0.009388306,0.515608013,268542.093039880
67,268542118871791,0.058689324,0.079841878,-0.292803777,-0.020453109,0.858994827,-0.008051391,0.511512254,268542.126376296
68,268542152208333,0.062487557,0.084643905,-0.297420856,-0.017383923,0.860782685,-0.008860421,0.508598578,268542.159712838
69,268542185544833,0.063954242,0.091385826,-0.304575588,-0.014175006,0.861918299,-0.010745121,0.506735148,268542.193049338
70,268542218881291,0.068876185,0.102131439,-0.308762452,-0.009442513,0.863536565,-0.013387482,0.504020108,268542.226385796
71,268542252217666,0.072905469,0.112138777,-0.311232401,-0.007564715,0.864287970,-0.014233045,0.502739051,268542.259722171
72,268542285554166,0.074209965,0.122778995,-0.318684127,-0.006728391,0.864626343,-0.017725401,0.502057646,268542.293058671
73,268542318890541,0.079095701,0.141155152,-0.319780344,-0.002296746,0.864844591,-0.031250655,0.501060882,268542.326395046
74,268542352227166,0.082768981,0.156659682,-0.320233636,0.002991951,0.863751291,-0.038983460,0.502399342,268542.359731671
75,268542385563583,0.082501549,0.178284204,-0.322698192,0.007257506,0.862322632,-0.040194634,0.504709275,268542.393068088
76,268542418900000,0.087293234,0.195613520,-0.324037329,0.008759780,0.863110143,-0.037378307,0.503554429,268542.426404505
77,268542452236416,0.092037181,0.213676630,-0.324735187,0.011612611,0.863427923,-0.038414444,0.502873496,268542.459740921
78,268542485572916,0.089098680,0.238986877,-0.322475287,0.023302203,0.861519936,-0.047823668,0.504929062,268542.493077421
79,268542518909333,0.091851964,0.257202202,-0.321609976,0.029823246,0.860751827,-0.050828130,0.505602037,268542.526413838
80,268542552245875,0.095523486,0.274731790,-0.321153427,0.032055148,0.860947459,-0.047596582,0.505446890,268542.559750380
81,268542585582416,0.097319098,0.295357714,-0.320738845,0.034309312,0.860827761,-0.041418565,0.506046433,268542.593086921
82,268542618918791,0.100308583,0.309687695,-0.319744225,0.038606378,0.860364962,-0.043708268,0.506331236,268542.626423296
83,268542652255333,0.103101604,0.322662661,-0.318890190,0.041839796,0.859815077,-0.042778287,0.507087306,268542.659759838
84,268542685591833,0.105730336,0.335379462,-0.316397516,0.045382121,0.859694686,-0.037122366,0.507432255,268542.693096338
85,268542718928250,0.108384435,0.344739287,-0.316156982,0.048136282,0.859539860,-0.036249776,0.507503827,268542.726432755
86,268542752264625,0.110807542,0.353105512,-0.316109817,0.050866841,0.859079637,-0.036201597,0.508019920,268542.759769130
87,268542785601250,0.111804296,0.357432462,-0.313892801,0.054782821,0.858481316,-0.032990054,0.508842198,268542.793105755
88,268542818937583,0.113859777,0.363029796,-0.314681432,0.056841868,0.858549698,-0.031433825,0.508599435,268542.826442088
89,268542852274083,0.116028217,0.367925777,-0.315752006,0.057414503,0.858932820,-0.030109378,0.507967975,268542.859778588
90,268542885610541,0.119375499,0.369481402,-0.315922912,0.058515694,0.858686201,-0.027360608,0.508414568,268542.893115046
91,268542918946958,0.121421927,0.372658786,-0.317601747,0.058365723,0.858258679,-0.022212961,0.509403691,268542.926451463
92,268542952283416,0.123713152,0.375403775,-0.319578866,0.054876616,0.857985024,-0.013379560,0.510559787,268542.959787921
93,268542985619875,0.127219677,0.378116351,-0.323303800,0.048237836,0.858311055,-0.002384766,0.510851848,268542.993124380
94,268543018956416,0.128625697,0.380445261,-0.325144469,0.045225554,0.859765312,-0.001691555,0.508680105,268543.026460921
95,268543052292750,0.129764984,0.382981818,-0.326933463,0.040691312,0.861725212,-0.003114336,0.505731381,268543.059797255
96,268543085629208,0.131101311,0.385881500,-0.330881773,0.033686013,0.863992949,-0.001559069,0.502373426,268543.093133713
97,268543118965708,0.131967505,0.388427807,-0.332442063,0.030338161,0.865154331,-0.002730236,0.500579843,268543.126470213
98,268543152302208,0.132835999,0.391153335,-0.333681657,0.027727406,0.865764984,-0.004588833,0.499661065,268543.159806713
99,268543185638625,0.137420384,0.406348176,-0.336481574,0.024535090,0.867128668,-0.005621910,0.497447836,268543.193143130
100,268543218975125,0.139570376,0.410299637,-0.337449284,0.021462424,0.867714041,-0.004602297,0.496578875,268543.226479630
101,268543252311583,0.141892152,0.414715197,-0.338228020,0.018113129,0.868173041,-0.002822430,0.495922951,268543.259816088
102,268543285648000,0.145157146,0.421186776,-0.338627511,0.011691174,0.869025381,-0.000435379,0.494629222,268543.293152505
103,268543318984500,0.147706861,0.426462307,-0.337987139,0.005076809,0.869780043,0.000856258,0.493412832,268543.326489005
104,268543352321000,0.150078949,0.431898954,-0.336418328,-0.001447989,0.869503096,0.003939804,0.493909708,268543.359825505
105,268543385657333,0.154775928,0.454455631,-0.333602438,-0.005553842,0.867969736,0.006450889,0.496544188,268543.393161838
106,268543418993750,0.156109641,0.460133213,-0.330097792,-0.005716416,0.867074546,0.008828903,0.498067423,268543.426498255
107,268543452330208,0.159000451,0.467009472,-0.325204737,-0.009509497,0.866727937,0.017498472,0.498383496,268543.459834713
108,268543485666666,0.160224557,0.476034735,-0.319955685,-0.013835668,0.867292804,0.020230131,0.497194691,268543.493171171
109,268543519003208,0.163216878,0.480375870,-0.314219989,-0.017289843,0.871373581,0.019588199,0.489923973,268543.526507713
110,268543552339625,0.168802936,0.484435568,-0.305189786,-0.026675437,0.873001116,0.025288749,0.486331168,268543.559844130
111,268543585676041,0.169948989,0.483378519,-0.294268875,-0.026141774,0.874635109,0.022630790,0.483547240,268543.593180546
112,268543619012500,0.173188962,0.483125685,-0.284709754,-0.024477445,0.879691849,0.022162630,0.474396434,268543.626517005
