recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018357747,0.091593402,-0.134702178,-0.039187555,0.876102628,-0.002115566,0.480524816,268541.191954505
40,268541218786500,0.018157980,0.092212339,-0.138282316,-0.039079449,0.874149461,-0.002203479,0.484077177,268541.225291005
41,268541252123000,0.017305998,0.092738963,-0.142651089,-0.038089670,0.870410072,-0.003715149,0.490837789,268541.258627505
42,268541285459541,0.015577391,0.099740431,-0.147363754,-0.036878790,0.867426184,-0.006486159,0.496154969,268541.291964046
43,268541318796083,0.014131853,0.099941255,-0.150216042,-0.035745431,0.863642164,-0.005002897,0.502811596,268541.325300588
44,268541352132625,0.012220405,0.099455653,-0.153704274,-0.033984357,0.857407465,-0.002564689,0.513508498,268541.358637130
45,268541385469083,0.010926241,0.098402007,-0.156350650,-0.031281667,0.853070148,-0.000442104,0.520857598,268541.391973588
46,268541418805625,0.009602112,0.097107496,-0.158751831,-0.029075384,0.849806976,0.001498998,0.526289399,268541.425310130
47,268541452142125,0.008954643,0.094696448,-0.161741854,-0.030843327,0.846331199,0.003130328,0.531754121,268541.458646630
48,268541485478666,0.009780875,0.092713000,-0.163755197,-0.033899111,0.845967782,0.001518376,0.532153277,268541.491983171
49,268541518815083,0.010252756,0.090828330,-0.165590086,-0.037260337,0.845276098,0.000407800,0.533028961,268541.525319588
50,268541552151666,0.011114062,0.087572225,-0.168263068,-0.040907165,0.843317467,0.000958331,0.535855754,268541.558656171
51,268541585488125,0.011276400,0.084631459,-0.170230284,-0.042521374,0.841875395,0.002046391,0.537990351,268541.591992630
52,268541618824541,0.011353324,0.080030056,-0.173388219,-0.043359518,0.838979368,0.004305101,0.542415976,268541.625329046
53,268541652161083,0.011341167,0.076453317,-0.176490530,-0.042272477,0.837663088,0.002711213,0.544542277,268541.658665588
54,268541685497500,0.011745497,0.073712412,-0.181474235,-0.039964468,0.838239203,0.000741854,0.543835804,268541.692002005
55,268541718834083,0.013282209,0.069607341,-0.189123187,-0.041581207,0.839719430,0.001082045,0.541425124,268541.725338588
56,268541752170625,0.015001107,0.066639244,-0.196029033,-0.042348566,0.841706450,0.001021125,0.538271179,268541.758675130
57,268541785507083,0.030107099,0.067339021,-0.216240621,-0.044672992,0.845319757,0.005054640,0.532365791,268541.792011588
58,268541818843500,0.033174707,0.064243118,-0.226417141,-0.042929016,0.847638760,0.004212636,0.528817491,268541.825348005
59,268541852180000,0.035501163,0.062186307,-0.233590469,-0.042635066,0.847922178,0.005357398,0.528376365,268541.858684505
60,268541885516500,0.043979194,0.058514958,-0.237277754,-0.043812405,0.848878807,0.005315764,0.526741910,268541.892021005
61,268541918852958,0.047558497,0.057736978,-0.245019164,-0.042123079,0.850779701,0.002144315,0.523827264,268541.925357463
62,268541952189375,0.050546423,0.057853187,-0.250665770,-0.039999033,0.850894039,0.001974001,0.523808713,268541.958693880
63,268541985525958,0.051847035,0.063362160,-0.256307537,-0.036750934,0.851546944,0.000060687,0.522988738,268541.992030463
64,268542018862375,0.055405785,0.065059246,-0.263614215,-0.032338845,0.853260590,-0.002362792,0.520475778,268542.025366880
65,268542052198833,0.058654869,0.067170438,-0.269130664,-0.028651579,0.855414289,-0.006020570,0.517116319,268542.058703338
66,268542085535375,0.056360684,0.073780887,-0.275610517,-0.025088957,0.857191003,-0.008991799,0.514308593,268542.092039880
