recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.019400177,0.099021462,-0.139118518,-0.038874648,0.876261361,-0.003265042,0.480254289,268541.194954505
40,268541218786500,0.019214422,0.100328611,-0.144125830,-0.038803957,0.873314813,-0.003642487,0.485594765,268541.228291005
41,268541252123000,0.018627534,0.101109494,-0.147615813,-0.037878297,0.870692686,-0.004854632,0.490342703,268541.261627505
42,268541285459541,0.017804442,0.101905707,-0.150772815,-0.037272151,0.867623276,-0.005602797,0.495791590,268541.294964046
43,268541318796083,0.016304275,0.102196106,-0.154854800,-0.035881525,0.862161529,-0.003214109,0.505351103,268541.328300588
44,268541352132625,0.015163897,0.101829442,-0.157678116,-0.034368167,0.857667571,-0.001574934,0.513052375,268541.361637130
45,268541385469083,0.014176716,0.100920023,-0.160613744,-0.031736764,0.853252975,0.000629700,0.520530302,268541.394973588
46,268541418805625,0.013052081,0.099219236,-0.164158201,-0.029382095,0.849083803,0.003255302,0.527430417,268541.428310130
47,268541452142125,0.013017846,0.097428421,-0.166637108,-0.031075218,0.846565608,0.004227219,0.531359753,268541.461646630
48,268541485478666,0.014084159,0.095664349,-0.169105669,-0.034286686,0.846152314,0.002768055,0.531829932,268541.494983171
49,268541518815083,0.015241724,0.093165497,-0.171990961,-0.038761295,0.845074866,0.001720354,0.533238339,268541.528319588
50,268541552151666,0.016295961,0.090782471,-0.174326658,-0.041368057,0.843631626,0.002025530,0.535322626,268541.561656171
51,268541585488125,0.016712933,0.088019155,-0.176757995,-0.043006715,0.842090252,0.003270467,0.537609325,268541.594992630
52,268541618824541,0.017333164,0.083563621,-0.180381253,-0.043772648,0.839224737,0.005521310,0.541992034,268541.628329046
53,268541652161083,0.017723854,0.080101790,-0.183833203,-0.042728205,0.837866974,0.004114239,0.544184123,268541.661665588
54,268541685497500,0.022207996,0.080775974,-0.184342079,-0.040782167,0.838965051,0.000157667,0.542655034,268541.695002005
55,268541718834083,0.024595277,0.077154888,-0.192228268,-0.042127112,0.840578802,0.000231681,0.540048686,268541.728338588
56,268541752170625,0.026949294,0.074597135,-0.199274501,-0.043091409,0.842573578,0.000350208,0.536854567,268541.761675130
57,268541785507083,0.033337583,0.067011113,-0.222912447,-0.045765583,0.845357813,0.005384121,0.532209305,268541.795011588
58,268541818843500,0.035771375,0.064741810,-0.230678541,-0.044125476,0.847137030,0.004584186,0.529519436,268541.828348005
59,268541852180000,0.038167714,0.062728716,-0.237933306,-0.043750932,0.847461851,0.005550991,0.529021272,268541.861684505
60,268541885516500,0.042640683,0.060179964,-0.246482497,-0.044056100,0.848517614,0.004175856,0.527313507,268541.895021005
61,268541918852958,0.045150389,0.059603004,-0.252301957,-0.042419866,0.849848850,0.002140514,0.525312248,268541.928357463
62,268541952189375,0.047986962,0.059614652,-0.258038482,-0.040234113,0.850110967,0.001680040,0.525061702,268541.961693880
63,268541985525958,0.050796873,0.066159322,-0.265730955,-0.035689422,0.851200393,-0.000320093,0.523625922,268541.995030463
64,268542018862375,0.053271086,0.067458113,-0.271222810,-0.032480897,0.852394230,-0.002213098,0.521885260,268542.028366880
65,268542052198833,0.056393360,0.069519970,-0.276789664,-0.028818182,0.854574699,-0.005881355,0.518494995,268542.061703338
66,268542085535375,0.055798288,0.077926065,-0.284490664,-0.024086939,0.857118534,-0.008999504,0.514477113,268542.095039880
67,268542118871791,0.059623920,0.082030387,-0.289969948,-0.020659975,0.859099539,-0.009216267,0.511308381,268542.128376296
68,268542152208333,0.063630724,0.086926695,-0.294679024,-0.017561405,0.860996268,-0.010276501,0.508204162,268542.161712838
69,268542185544833,0.065838937,0.095835984,-0.303091036,-0.012978236,0.862540334,-0.011509091,0.505690945,268542.195049338
70,268542218881291,0.069759816,0.104381545,-0.305981882,-0.009885434,0.863801960,-0.013208833,0.503561350,268542.228385796
71,268542252217666,0.073848275,0.114411759,-0.308299547,-0.007911547,0.864575079,-0.014439550,0.502233902,268542.261722171
72,268542285554166,0.076513839,0.128914520,-0.318834781,-0.005631280,0.865190174,-0.021808778,0.500937802,268542.295058671
73,268542318890541,0.080341095,0.143020342,-0.319709047,-0.002144756,0.864937342,-0.030355421,0.500956481,268542.328395046
74,268542352227166,0.084351885,0.158656409,-0.320241257,0.002260965,0.864243693,-0.037013621,0.501704866,268542.361731671
75,268542385563583,0.083248507,0.180010657,-0.323844690,0.006781751,0.862887841,-0.040927816,0.503689933,268542.395068088
76,268542418900000,0.087871296,0.197472570,-0.324910038,0.008793355,0.863171948,-0.039569991,0.503280373,268542.428404505
77,268542452236416,0.092580565,0.215773150,-0.325797030,0.012503737,0.863190660,-0.041685499,0.502998921,268542.461740921
78,268542485572916,0.090210597,0.240318391,-0.324370306,0.022238409,0.861957800,-0.046381882,0.504363934,268542.495077421
79,268542518909333,0.093212894,0.259000018,-0.323389289,0.027517959,0.861477349,-0.049066524,0.504670257,268542.528413838
80,268542552245875,0.096604682,0.276762468,-0.322848066,0.030997376,0.861323225,-0.046908761,0.504936715,268542.561750380
81,268542585582416,0.098379207,0.297067957,-0.322592295,0.035070067,0.860991656,-0.044004205,0.505496925,268542.595086921
82,268542618918791,0.101916701,0.311588831,-0.322032301,0.038271019,0.860567986,-0.043880622,0.505996655,268542.628423296
83,268542652255333,0.105041539,0.324742257,-0.321389519,0.041290415,0.860239934,-0.042156157,0.506463492,268542.661759838
84,268542685591833,0.107223112,0.337261300,-0.318152369,0.045370034,0.859923870,-0.038783977,0.506920462,268542.695096338
85,268542718928250,0.110053998,0.346657637,-0.318029738,0.047949509,0.859691277,-0.037448494,0.507177894,268542.728432755
86,268542752264625,0.112627877,0.355026433,-0.318115759,0.050781277,0.859373924,-0.036643274,0.507498812,268542.761769130
87,268542785601250,0.113388735,0.360041850,-0.315658671,0.054406279,0.858781375,-0.033573805,0.508337840,268542.795105755
88,268542818937583,0.115603301,0.365795681,-0.316459304,0.056370766,0.858976373,-0.032340205,0.507874091,268542.828442088
89,268542852274083,0.118472847,0.372305937,-0.317968954,0.057605179,0.858987570,-0.030416086,0.507835517,268542.861778588
90,268542885610541,0.121440173,0.372587167,-0.317438206,0.058332956,0.859073402,-0.027495347,0.507773783,268542.895115046
91,268542918946958,0.123713653,0.375992573,-0.319064316,0.057774504,0.858796762,-0.022515496,0.508550227,268542.928451463
92,268542952283416,0.126963217,0.379793831,-0.321698142,0.052840379,0.858528469,-0.011259300,0.509911800,268542.961787921
93,268542985619875,0.128965028,0.382444270,-0.323610087,0.048966458,0.858827336,-0.004274537,0.509901633,268542.995124380
94,268543018956416,0.130683981,0.385012206,-0.325368920,0.045190227,0.860045297,-0.002247496,0.508207568,268543.028460921
95,268543052292750,0.132571498,0.388496193,-0.327711930,0.038442508,0.862409597,-0.001260473,0.504747783,268543.061797255
96,268543085629208,0.134640189,0.395899334,-0.330525958,0.034066811,0.864322875,-0.002909370,0.501773862,268543.095133713
97,268543118965708,0.135796699,0.399084608,-0.331970693,0.030204669,0.865628491,-0.004138762,0.499757859,268543.128470213
98,268543152302208,0.137286817,0.403419518,-0.333398523,0.026682965,0.866641823,-0.005351240,0.498188104,268543.161806713
99,268543185638625,0.139725739,0.413743705,-0.336257545,0.024162190,0.867503768,-0.006372980,0.496802616,268543.195143130
100,268543218975125,0.141900270,0.418064135,-0.337045033,0.021348404,0.868059591,-0.005751410,0.495967505,268543.228479630
101,268543252311583,0.145326393,0.424528575,-0.337795557,0.016556580,0.868741133,-0.003400002,0.494977996,268543.261816088
102,268543285648000,0.148152740,0.429916139,-0.337963117,0.011532078,0.869511409,-0.001498046,0.493775992,268543.295152505
103,268543318984500,0.150888284,0.435621233,-0.337367200,0.005318255,0.870019706,0.000355321,0.492988190,268543.328489005
104,268543352321000,0.154286704,0.443519151,-0.335058958,-0.002036025,0.869581316,0.004074728,0.493768811,268543.361825505
105,268543385657333,0.157201970,0.458424324,-0.333236830,-0.005575283,0.868492760,0.005674683,0.495638067,268543.395161838
106,268543418993750,0.158810545,0.464389352,-0.329567315,-0.006751275,0.867881627,0.008810541,0.496647087,268543.428498255
107,268543452330208,0.161656132,0.471856813,-0.324206858,-0.011094165,0.867134907,0.016590507,0.497673367,268543.461834713
108,268543485666666,0.161639851,0.477903282,-0.320967671,-0.012823570,0.868093916,0.018670690,0.495883018,268543.495171171
109,268543519003208,0.164876594,0.482254691,-0.315495532,-0.017381398,0.871460347,0.021200156,0.489699251,268543.528507713
110,268543552339625,0.170008356,0.486530589,-0.306453988,-0.024746487,0.872343217,0.023932489,0.487680441,268543.561844130
111,268543585676041,0.171635377,0.485395231,-0.295637670,-0.025656760,0.876107434,0.022557804,0.480904038,268543.595180546
112,268543619012500,0.174966688,0.485226282,-0.285812973,-0.026880522,0.879813934,0.024834565,0.473907350,268543.628517005
113,268543652349000,0.180902526,0.482677822,-0.272255890,-0.028241567,0.881214624,0.032508779,0.470750925,268543.661853505
114,268543685685375,0.185679590,0.472681314,-0.258914893,-0.026518268,0.883621192,0.038884016,0.465830932,268543.695189880
115,268543719021916,0.189692515,0.468446121,-0.246935041,-0.025893650,0.886812004,0.043514782,0.459347914,268543.728526421
116,268543752358333,0.196369948,0.462953153,-0.230795618,-0.028710218,0.889906872,0.048457440,0.452651534,268543.761862838
117,268543785694833,0.201150739,0.460631377,-0.217826161,-0.030190395,0.893408776,0.050922883,0.445327085,268543.795199338
118,268543819031250,0.206185390,0.458222839,-0.204664475,-0.036544212,0.895074767,0.057018990,0.440743203,268543.828535755
119,268543852367708,0.212144278,0.455804517,-0.186816598,-0.037345390,0.894224097,0.059193941,0.442113917,268543.861872213
120,268543885704166,0.214174485,0.461316897,-0.172160766,-0.035712821,0.893686525,0.061879641,0.442967214,268543.895208671
121,268543919040500,0.217399699,0.458582905,-0.153930173,-0.037582146,0.894497284,0.067711551,0.440315104,268543.928545005
122,268543952377083,0.220358410,0.456422682,-0.140842272,-0.039080872,0.895663579,0.069033837,0.437600069,268543.961881588
123,268543985713375,0.219986852,0.459890281,-0.130923391,-0.042663219,0.897407705,0.071435740,0.433285412,268543.995217880
124,268544019049916,0.223800200,0.458623381,-0.115403519,-0.049332910,0.897515390,0.079969753,0.430856450,268544.028554421
125,268544052386416,0.226265255,0.457399402,-0.104646618,-0.049942190,0.898129412,0.084477653,0.428640777,268544.061890921
126,268544085722791,0.219388432,0.455775202,-0.095980479,-0.051160715,0.899257065,0.086956246,0.425626570,268544.095227296
127,268544119059250,0.221266461,0.452602678,-0.083494680,-0.053702773,0.901732054,0.085714633,0.420295575,268544.128563755
