recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.017672282,0.084038082,-0.129416781,-0.039671374,0.876236074,-0.001389499,0.480244362,268541.188954505
40,268541218786500,0.017575606,0.084307343,-0.132784702,-0.039936505,0.874305060,-0.001309791,0.483729340,268541.222291005
41,268541252123000,0.016951299,0.084394061,-0.135819790,-0.039423122,0.871231130,-0.002396852,0.489281559,268541.255627505
42,268541285459541,0.014693965,0.083896452,-0.139397488,-0.037101226,0.867365970,-0.003324784,0.496274896,268541.288964046
43,268541318796083,0.013463857,0.083149495,-0.142062915,-0.035965062,0.863603474,-0.001322553,0.502885532,268541.322300588
44,268541352132625,0.012142373,0.081896493,-0.144502514,-0.034900069,0.858643032,0.000942745,0.511383704,268541.355637130
45,268541385469083,0.009593871,0.079975349,-0.147262947,-0.031801907,0.853279870,0.002355551,0.520477287,268541.388973588
46,268541418805625,0.008436827,0.077734514,-0.149450780,-0.029354089,0.850328597,0.004344250,0.525414879,268541.422310130
47,268541452142125,0.008032292,0.075025956,-0.151504178,-0.030250233,0.847577001,0.006093916,0.529774544,268541.455646630
48,268541485478666,0.007373560,0.071421031,-0.153490531,-0.035582579,0.845826428,0.004502742,0.532251175,268541.488983171
49,268541518815083,0.007622182,0.068566024,-0.155035351,-0.038817233,0.845465094,0.003006223,0.532609625,268541.522319588
50,268541552151666,0.008022084,0.063887459,-0.157250250,-0.042372155,0.843174806,0.004303640,0.535949978,268541.555656171
51,268541585488125,0.008103968,0.059569477,-0.159116822,-0.042473791,0.841030681,0.006292569,0.539280843,268541.588992630
52,268541618824541,0.007998979,0.055056990,-0.161207649,-0.043044604,0.838775821,0.008383753,0.542708071,268541.622329046
53,268541652161083,0.007750792,0.048927341,-0.164952398,-0.042056936,0.836763433,0.006993228,0.545902298,268541.655665588
54,268541685497500,0.025685160,0.066002719,-0.192696257,-0.041183887,0.839074218,0.003667905,0.542443494,268541.689002005
55,268541718834083,0.027557990,0.062231287,-0.198838552,-0.042260134,0.840393490,0.003839648,0.540313033,268541.722338588
56,268541752170625,0.030685768,0.057522622,-0.208302455,-0.044636884,0.842725728,0.005119420,0.536465041,268541.755675130
57,268541785507083,0.030761545,0.064954029,-0.220112545,-0.045437607,0.843890798,0.005199723,0.534562214,268541.789011588
58,268541818843500,0.032882276,0.062451843,-0.227811387,-0.044469029,0.845648136,0.004645719,0.531864837,268541.822348005
59,268541852180000,0.035576599,0.059506414,-0.237486901,-0.042925082,0.846251830,0.005248881,0.531025216,268541.855684505
60,268541885516500,0.036602839,0.060311203,-0.245161016,-0.044949735,0.846549242,0.005117085,0.530384551,268541.889021005
61,268541918852958,0.038534509,0.059864440,-0.251604168,-0.044183981,0.848148970,0.002245443,0.527907295,268541.922357463
62,268541952189375,0.041403981,0.059937628,-0.260087849,-0.040579154,0.848822397,0.001155756,0.527117243,268541.955693880
63,268541985525958,0.042508977,0.061739741,-0.266008304,-0.037285479,0.849339360,0.001099536,0.526527577,268541.989030463
64,268542018862375,0.044271250,0.062830791,-0.272289862,-0.033890886,0.850697953,-0.000531535,0.524560932,268542.022366880
65,268542052198833,0.047253119,0.065395346,-0.280579804,-0.029233884,0.853527943,-0.005748385,0.520194618,268542.055703338
66,268542085535375,0.047881204,0.069833641,-0.286781770,-0.026116312,0.855818071,-0.008159042,0.516552854,268542.089039880
67,268542118871791,0.050942501,0.073173211,-0.292859934,-0.022662206,0.857815157,-0.007583569,0.513402497,268542.122376296
68,268542152208333,0.055201056,0.078982215,-0.299733770,-0.018557685,0.860245543,-0.008654533,0.509468713,268542.155712838
69,268542185544833,0.058192613,0.085470751,-0.303160821,-0.015049858,0.861404851,-0.010844389,0.507580179,268542.189049338
