recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.019202364,0.098456240,-0.139221430,-0.039021349,0.876388077,-0.003255570,0.480011174,268541.194954505
40,268541218786500,0.019235523,0.099750263,-0.144245187,-0.039330236,0.873479719,-0.003482396,0.485256879,268541.228291005
41,268541252123000,0.018551481,0.100553455,-0.147649910,-0.038352087,0.870445585,-0.004892496,0.490744045,268541.261627505
42,268541285459541,0.016999168,0.100988069,-0.150830279,-0.036507213,0.867668592,-0.005361768,0.495771866,268541.294964046
43,268541318796083,0.015753103,0.101006072,-0.155007379,-0.035105733,0.862250049,-0.002509150,0.505258546,268541.328300588
44,268541352132625,0.014622555,0.100503031,-0.157877553,-0.033723434,0.857373275,-0.000555437,0.513588884,268541.361637130
45,268541385469083,0.012738307,0.099958886,-0.160442399,-0.031190506,0.853606093,0.000159375,0.519984440,268541.394973588
46,268541418805625,0.011830808,0.098084611,-0.164078229,-0.028566828,0.849793481,0.002747660,0.526334000,268541.428310130
47,268541452142125,0.011948800,0.096288402,-0.166554369,-0.030811261,0.847311557,0.003863662,0.530187623,268541.461646630
48,268541485478666,0.011502030,0.094732642,-0.168533391,-0.034611391,0.846115053,0.002257841,0.531870589,268541.494983171
49,268541518815083,0.012367274,0.092138609,-0.171411931,-0.038938258,0.845428787,0.000704524,0.532666440,268541.528319588
50,268541552151666,0.013027989,0.089596068,-0.173671337,-0.041443795,0.843683163,0.001658930,0.535236801,268541.561656171
51,268541585488125,0.013428481,0.086738127,-0.176142101,-0.041803832,0.841537245,0.003595955,0.538567198,268541.594992630
52,268541618824541,0.013891577,0.082306095,-0.179933614,-0.042330465,0.838647466,0.005929575,0.542994892,268541.628329046
53,268541652161083,0.014127992,0.078926963,-0.183487955,-0.041286959,0.837312762,0.004293865,0.545146165,268541.661665588
54,268541685497500,0.021186569,0.078804610,-0.190689929,-0.040333071,0.838808253,0.000887122,0.542930221,268541.695002005
55,268541718834083,0.023703431,0.074713800,-0.198879255,-0.042076984,0.840742161,0.001481861,0.539796262,268541.728338588
56,268541752170625,0.025955779,0.071921872,-0.205920821,-0.043569017,0.842633353,0.002138116,0.536718040,268541.761675130
57,268541785507083,0.031930796,0.066540839,-0.225376248,-0.045021901,0.844621775,0.005195246,0.533441794,268541.795011588
58,268541818843500,0.034054690,0.064047435,-0.233037615,-0.043197185,0.846280170,0.004310990,0.530966426,268541.828348005
59,268541852180000,0.036150345,0.061844676,-0.240254809,-0.042433737,0.846504559,0.005099371,0.530663225,268541.861684505
60,268541885516500,0.039606023,0.060860454,-0.249603382,-0.044853104,0.847297873,0.004564685,0.529201030,268541.895021005
61,268541918852958,0.041810127,0.060397020,-0.255811355,-0.043211767,0.848925787,0.001838447,0.526739428,268541.928357463
62,268541952189375,0.044198073,0.060316554,-0.261966661,-0.040480858,0.849192595,0.001448697,0.526527484,268541.961693880
63,268541985525958,0.046241182,0.064774011,-0.269662774,-0.035942340,0.849995411,0.000819249,0.525561920,268541.995030463
64,268542018862375,0.048371383,0.066068535,-0.275647582,-0.032698513,0.851462115,-0.001451802,0.523393751,268542.028366880
65,268542052198833,0.050946336,0.068105160,-0.281590548,-0.029104213,0.853710514,-0.005499161,0.519904910,268542.061703338
66,268542085535375,0.052420004,0.074323170,-0.289228648,-0.024777523,0.856634816,-0.007834618,0.515268414,268542.095039880
67,268542118871791,0.055776226,0.077987860,-0.294952218,-0.021396728,0.858521809,-0.007237342,0.512279375,268542.128376296
68,268542152208333,0.059210258,0.082610611,-0.299787502,-0.018335288,0.860359017,-0.008315083,0.509290774,268542.161712838
69,268542185544833,0.062752528,0.091167870,-0.307910388,-0.013738456,0.861981511,-0.011190497,0.506629999,268542.195049338
70,268542218881291,0.066223825,0.099315031,-0.311178120,-0.010524155,0.863206606,-0.012926134,0.504575630,268542.228385796
71,268542252217666,0.069913223,0.109086307,-0.313869909,-0.008735194,0.863940665,-0.013955718,0.503324463,268542.261722171
72,268542285554166,0.072264889,0.124122003,-0.320012923,-0.006555648,0.864713709,-0.021160327,0.501776364,268542.295058671
73,268542318890541,0.075585028,0.137948445,-0.320869597,-0.002756085,0.864477556,-0.030927181,0.501711592,268542.328395046
74,268542352227166,0.079015620,0.153221829,-0.321477330,0.002083118,0.863541325,-0.037699958,0.502862613,268542.361731671
75,268542385563583,0.080382364,0.175037282,-0.321353852,0.005889742,0.862830779,-0.037690822,0.504051398,268542.395068088
76,268542418900000,0.084940193,0.192154093,-0.322542160,0.007562182,0.863392807,-0.035530987,0.503222889,268542.428404505
77,268542452236416,0.089421158,0.210015852,-0.323202201,0.011159077,0.863494400,-0.037639219,0.502828239,268542.461740921
