recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018102379,0.092642477,-0.135728255,-0.038713618,0.875911603,-0.002119689,0.480911301,268541.187954505
40,268541218786500,0.017620887,0.093265511,-0.139257061,-0.038595284,0.873809473,-0.002221396,0.484729334,268541.221291005
41,268541252123000,0.016915031,0.093670613,-0.142587541,-0.037990785,0.871121277,-0.003237230,0.489585533,268541.254627505
42,268541285459541,0.014986731,0.093923869,-0.146507822,-0.036483326,0.867293025,-0.004137501,0.496442051,268541.287964046
43,268541318796083,0.013414714,0.093690894,-0.149372441,-0.035385077,0.863430600,-0.002446648,0.503219199,268541.321300588
44,268541352132625,0.011900574,0.092936673,-0.152001767,-0.034171717,0.858790868,-0.000743101,0.511184936,268541.354637130
45,268541385469083,0.009507041,0.091388513,-0.155290379,-0.031003788,0.853206731,0.001381184,0.520648811,268541.387973588
46,268541418805625,0.008025949,0.089658296,-0.157668679,-0.028865769,0.849954390,0.003489964,0.526053397,268541.421310130
47,268541452142125,0.007290139,0.087418341,-0.159951175,-0.029428284,0.847069536,0.005016648,0.530643066,268541.454646630
48,268541485478666,0.006955704,0.084256045,-0.162571115,-0.033760326,0.845678550,0.003499822,0.532612274,268541.487983171
49,268541518815083,0.007044937,0.081843294,-0.164384796,-0.036937419,0.844923902,0.002609724,0.533603289,268541.521319588
50,268541552151666,0.007406570,0.078989735,-0.166325234,-0.040063844,0.843526547,0.002800358,0.535583853,268541.554656171
51,268541585488125,0.007294785,0.074267143,-0.169111631,-0.041632063,0.841217983,0.004594126,0.539071446,268541.587992630
52,268541618824541,0.006986712,0.070228550,-0.171339084,-0.042494217,0.838948625,0.006615440,0.542508743,268541.621329046
53,268541652161083,0.006696039,0.066032381,-0.174204433,-0.042167332,0.837173732,0.006430785,0.545271269,268541.654665588
54,268541685497500,0.020676925,0.069195771,-0.193973338,-0.041117805,0.838353456,0.004355486,0.543556706,268541.688002005
55,268541718834083,0.021986715,0.065539899,-0.199902474,-0.042215349,0.839213954,0.004417375,0.542142364,268541.721338588
56,268541752170625,0.024014773,0.061918013,-0.206988584,-0.043413694,0.840860226,0.004691259,0.539488069,268541.754675130
57,268541785507083,0.030284582,0.065315937,-0.223378462,-0.045579998,0.843479195,0.005746171,0.535193746,268541.788011588
58,268541818843500,0.032268667,0.062772416,-0.231287811,-0.044771999,0.845272387,0.005130241,0.532431961,268541.821348005
59,268541852180000,0.034863297,0.059650178,-0.241272183,-0.043704678,0.845935905,0.006156382,0.531455076,268541.854684505
60,268541885516500,0.035463962,0.060187659,-0.248603834,-0.044457832,0.846513361,0.004993698,0.530484446,268541.888021005
61,268541918852958,0.037117946,0.059442596,-0.255130597,-0.043397886,0.847932315,0.002560898,0.528318945,268541.921357463
62,268541952189375,0.039643897,0.059342830,-0.263643780,-0.040441883,0.848367830,0.001855070,0.527857074,268541.954693880
63,268541985525958,0.041464261,0.061031753,-0.268975600,-0.037330568,0.849363850,0.000683485,0.526485580,268541.988030463
64,268542018862375,0.042983149,0.061884479,-0.275265812,-0.033972907,0.850516648,-0.000724974,0.524849313,268542.021366880
65,268542052198833,0.045659631,0.064133577,-0.283683634,-0.029260228,0.853174313,-0.005458465,0.520776046,268542.054703338
66,268542085535375,0.046788789,0.069052827,-0.288957029,-0.026122117,0.855360997,-0.007696399,0.517316168,268542.088039880
67,268542118871791,0.049664507,0.072348759,-0.295109589,-0.022589409,0.857392311,-0.007759940,0.514108918,268542.121376296
68,268542152208333,0.053756275,0.077963246,-0.302271516,-0.018504050,0.859909994,-0.009138702,0.510028372,268542.154712838
69,268542185544833,0.057117751,0.084528789,-0.304453286,-0.014896182,0.861086000,-0.010230641,0.508138162,268542.188049338
70,268542218881291,0.060278372,0.092004441,-0.307825783,-0.011530658,0.862509397,-0.012274445,0.505760788,268542.221385796
71,268542252217666,0.064664973,0.104307849,-0.311388843,-0.008771890,0.863527413,-0.013713236,0.504039146,268542.254722171
72,268542285554166,0.066191066,0.116608661,-0.312204477,-0.006987568,0.864072702,-0.018658872,0.502972602,268542.288058671
73,268542318890541,0.069330576,0.129784479,-0.313044944,-0.003994435,0.864282379,-0.026928511,0.502269770,268542.321395046
74,268542352227166,0.073605772,0.149830292,-0.313493375,0.001984920,0.863276023,-0.036268610,0.503423489,268542.354731671
75,268542385563583,0.074381618,0.167463712,-0.312646394,0.005521232,0.862313845,-0.039568710,0.504795720,268542.388068088
76,268542418900000,0.078383228,0.184473400,-0.313192596,0.007955451,0.862585121,-0.038654613,0.504370394,268542.421404505
77,268542452236416,0.083991036,0.208427973,-0.313616956,0.012282926,0.862643709,-0.040585842,0.504031550,268542.454740921
78,268542485572916,0.083571715,0.227381458,-0.314065420,0.019891418,0.861677561,-0.045169517,0.505050374,268542.488077421
79,268542518909333,0.086318273,0.246021613,-0.312561280,0.026080202,0.860996290,-0.048844857,0.505588217,268542.521413838
80,268542552245875,0.090388059,0.269682134,-0.310952584,0.030816571,0.860796975,-0.046556999,0.505876868,268542.554750380
81,268542585582416,0.092013605,0.286400047,-0.309700492,0.033588485,0.860523497,-0.043726857,0.506417950,268542.588086921
82,268542618918791,0.095315508,0.301584267,-0.308474898,0.036984245,0.860266205,-0.043880831,0.506605120,268542.621423296
83,268542652255333,0.099103858,0.319654963,-0.306644899,0.040961984,0.859718571,-0.041730281,0.507409827,268542.654759838
84,268542685591833,0.100561796,0.329694018,-0.305820120,0.044198848,0.859396625,-0.039097410,0.507893049,268542.688096338
85,268542718928250,0.103160104,0.339827749,-0.305054130,0.046911197,0.859241526,-0.037503330,0.508032374,268542.721432755
86,268542752264625,0.106305976,0.351649861,-0.304416682,0.050575791,0.858728416,-0.036438922,0.508625457,268542.754769130
87,268542785601250,0.106098130,0.351306479,-0.302726809,0.053480324,0.858186664,-0.033744818,0.509427959,268542.788105755
88,268542818937583,0.107992343,0.357367358,-0.303003338,0.055870011,0.858119128,-0.032512559,0.509365381,268542.821442088
89,268542852274083,0.110468711,0.364140079,-0.303909824,0.057156870,0.858267828,-0.030434229,0.509100421,268542.854778588
90,268542885610541,0.111049404,0.357629662,-0.304788048,0.058399989,0.858151813,-0.027903368,0.509299875,268542.888115046
91,268542918946958,0.113370413,0.361555644,-0.306830522,0.057966996,0.857736733,-0.021566171,0.510355246,268542.921451463
92,268542952283416,0.115169848,0.363856578,-0.308713601,0.054704329,0.857454195,-0.013656410,0.511461920,268542.954787921
93,268542985619875,0.120023200,0.368289402,-0.313937912,0.050726019,0.857755482,-0.006019099,0.511513663,268542.988124380
94,268543018956416,0.121802961,0.371098686,-0.316619773,0.046050667,0.859333778,-0.003198570,0.509327613,268543.021460921
95,268543052292750,0.122839911,0.373151409,-0.318651346,0.040901779,0.860972276,-0.002052488,0.507000616,268543.054797255
96,268543085629208,0.128287925,0.386422303,-0.323693862,0.036208347,0.862923036,-0.001633144,0.504033904,268543.088133713
97,268543118965708,0.129487441,0.390360110,-0.326234735,0.031163600,0.864653673,-0.003192945,0.501390781,268543.121470213
98,268543152302208,0.130314530,0.393258249,-0.327800832,0.028222791,0.865346305,-0.003830789,0.500364492,268543.154806713
99,268543185638625,0.134492765,0.405223623,-0.331836593,0.025520303,0.866588256,-0.004999099,0.498345834,268543.188143130
100,268543218975125,0.136928186,0.410582323,-0.333650951,0.021637011,0.867305917,-0.004137367,0.497287866,268543.221479630
101,268543252311583,0.139286283,0.415027486,-0.334882339,0.018294888,0.867874753,-0.002499953,0.496439839,268543.254816088
102,268543285648000,0.141656603,0.419973004,-0.335702164,0.013753078,0.868532989,-0.000885973,0.495439773,268543.288152505
103,268543318984500,0.144888302,0.427048175,-0.335836312,0.005565083,0.869323940,0.001279563,0.494209806,268543.321489005
104,268543352321000,0.147203218,0.432628639,-0.334918384,-0.000243026,0.869084692,0.004249738,0.494645057,268543.354825505
105,268543385657333,0.151265575,0.445656443,-0.332491363,-0.004154331,0.868307634,0.005894874,0.495973686,268543.388161838
106,268543418993750,0.153248961,0.453088589,-0.328609146,-0.005750394,0.867301911,0.009747766,0.497653857,268543.421498255
107,268543452330208,0.155079320,0.458313724,-0.325270648,-0.008937723,0.866655170,0.015884179,0.498574648,268543.454834713
108,268543485666666,0.154746250,0.472326555,-0.314526974,-0.012642172,0.866733045,0.018060273,0.498284943,268543.488171171
109,268543519003208,0.158572922,0.478783410,-0.307183863,-0.018031049,0.871129805,0.020301070,0.490301604,268543.521507713
110,268543552339625,0.162190542,0.482729919,-0.300437984,-0.024925721,0.871280102,0.023942433,0.489567672,268543.554844130
111,268543585676041,0.164560437,0.482945782,-0.290957606,-0.026069920,0.873743035,0.022645929,0.485160472,268543.588180546
112,268543619012500,0.168587309,0.483967717,-0.278082213,-0.026929436,0.878918461,0.024437740,0.475583846,268543.621517005
113,268543652349000,0.172559513,0.483004436,-0.267959579,-0.028400021,0.879847948,0.030210928,0.473443112,268543.654853505
114,268543685685375,0.176692803,0.476114494,-0.256850938,-0.027963771,0.881517356,0.036443952,0.469911769,268543.688189880
115,268543719021916,0.181417716,0.471617390,-0.241221191,-0.026796144,0.885872986,0.042670467,0.461183591,268543.721526421
116,268543752358333,0.185764789,0.468207530,-0.229348912,-0.029157576,0.887941665,0.047281981,0.456589425,268543.754862838
117,268543785694833,0.188123596,0.458357162,-0.217861675,-0.030443493,0.891048207,0.050302925,0.450084387,268543.788199338
118,268543819031250,0.193806947,0.454960384,-0.200793886,-0.038682123,0.893770652,0.058584265,0.442996220,268543.821535755
119,268543852367708,0.197534857,0.452953183,-0.187774225,-0.040048258,0.893048513,0.060529590,0.444068364,268543.854872213
120,268543885704166,0.198408572,0.449282617,-0.174155503,-0.037481147,0.892963541,0.062496248,0.444190893,268543.888208671
121,268543919040500,0.200604862,0.445947412,-0.156372952,-0.037275748,0.893820200,0.067889494,0.441686585,268543.921545005
122,268543952377083,0.202811259,0.443234977,-0.143711314,-0.039219915,0.894548511,0.070323541,0.439658291,268543.954881588
