recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.019742658,0.109686272,-0.145859627,-0.037726724,0.876066236,-0.004886403,0.480687863,268541.194954505
40,268541218786500,0.019418519,0.111719167,-0.151236770,-0.037644858,0.873128238,-0.005323492,0.486005821,268541.228291005
41,268541252123000,0.018720202,0.113065418,-0.155013807,-0.036711861,0.870509810,-0.006580959,0.490735829,268541.261627505
42,268541285459541,0.017356269,0.114269066,-0.158464981,-0.035615729,0.867572772,-0.007167161,0.495981543,268541.294964046
43,268541318796083,0.015685303,0.115283058,-0.162986458,-0.034221104,0.862119091,-0.004848672,0.505525601,268541.328300588
44,268541352132625,0.014413649,0.115471670,-0.166148128,-0.032706002,0.857630312,-0.003263037,0.513215326,268541.361637130
45,268541385469083,0.012759765,0.115388133,-0.169239672,-0.030217153,0.853516161,-0.001744267,0.520186598,268541.394973588
46,268541418805625,0.011396671,0.114555782,-0.173225606,-0.027857596,0.849359970,0.000816645,0.527077775,268541.428310130
47,268541452142125,0.011193787,0.113439579,-0.176043993,-0.029544295,0.846859066,0.001743833,0.530993286,268541.461646630
48,268541485478666,0.011369944,0.112255591,-0.178644495,-0.032637943,0.845996259,0.000352845,0.532188898,268541.494983171
49,268541518815083,0.012056425,0.110659069,-0.181951564,-0.037092786,0.844942387,-0.000750715,0.533569094,268541.528319588
50,268541552151666,0.012750860,0.108976397,-0.184611128,-0.039688240,0.843515736,-0.000489220,0.535635940,268541.561656171
51,268541585488125,0.013127906,0.106541392,-0.187350265,-0.040777562,0.841748426,0.000952859,0.538326967,268541.594992630
52,268541618824541,0.013370997,0.103065961,-0.191447102,-0.041533480,0.838896795,0.003140142,0.542694509,268541.628329046
53,268541652161083,0.013467291,0.100354396,-0.195262878,-0.040475559,0.837543097,0.001689689,0.544867405,268541.661665588
54,268541685497500,0.020809446,0.080854269,-0.192664754,-0.040530155,0.838382711,0.001725040,0.543570432,268541.695002005
55,268541718834083,0.023017071,0.076868285,-0.200737194,-0.041894613,0.839977940,0.001837363,0.540997762,268541.728338588
56,268541752170625,0.025227106,0.074024707,-0.207924237,-0.042875993,0.841960191,0.001985001,0.537829712,268541.761675130
57,268541785507083,0.031530390,0.066902293,-0.227775619,-0.045119954,0.844225706,0.005599903,0.534056029,268541.795011588
58,268541818843500,0.033629073,0.064323203,-0.235659110,-0.043496899,0.845985642,0.004847404,0.531406501,268541.828348005
59,268541852180000,0.035651131,0.061990398,-0.243034581,-0.043142362,0.846285852,0.005857170,0.530947022,268541.861684505
60,268541885516500,0.038367961,0.060462091,-0.251519832,-0.044074408,0.847251321,0.004347509,0.529342798,268541.895021005
61,268541918852958,0.040324103,0.059708457,-0.257701909,-0.042446267,0.848561273,0.002349397,0.527386589,268541.928357463
62,268541952189375,0.042564750,0.059539711,-0.263806134,-0.040271879,0.848797829,0.001927666,0.527178109,268541.961693880
63,268541985525958,0.044755783,0.064806434,-0.271294237,-0.035731828,0.849890825,0.000119108,0.525746004,268541.995030463
64,268542018862375,0.046558401,0.065869426,-0.277192107,-0.032530447,0.851065422,-0.001735189,0.524048146,268542.028366880
65,268542052198833,0.048964934,0.067686933,-0.283170028,-0.028871468,0.853232212,-0.005363707,0.520703865,268542.061703338
66,268542085535375,0.050422663,0.074553813,-0.289970150,-0.024508900,0.856031633,-0.007964131,0.516280721,268542.095039880
67,268542118871791,0.053612759,0.078238693,-0.295741369,-0.021100249,0.858002829,-0.008140648,0.513146868,268542.128376296
68,268542152208333,0.056939829,0.082701253,-0.300746695,-0.018017980,0.859890250,-0.009161325,0.510078655,268542.161712838
69,268542185544833,0.060512149,0.091117067,-0.308518250,-0.013392589,0.861527246,-0.011071821,0.507413945,268542.195049338
70,268542218881291,0.063854677,0.099167514,-0.311708037,-0.010311173,0.862777715,-0.012732308,0.505317955,268542.228385796
71,268542252217666,0.067324107,0.108698032,-0.314325614,-0.008349172,0.863537492,-0.013925671,0.504023234,268542.261722171
