recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.016960309,0.081205847,-0.127374321,-0.039740778,0.876023699,-0.000831132,0.480627206,268541.187954505
40,268541218786500,0.016527488,0.081311853,-0.130583482,-0.039632858,0.873911167,-0.000893165,0.484466473,268541.221291005
41,268541252123000,0.015871693,0.081185449,-0.133585670,-0.039037333,0.871214118,-0.001868167,0.489345083,268541.254627505
42,268541285459541,0.014013194,0.080700144,-0.137050096,-0.037539599,0.867373174,-0.002717135,0.496233036,268541.287964046
43,268541318796083,0.012493336,0.079898400,-0.139565503,-0.036446483,0.863500822,-0.000983382,0.503027901,268541.321300588
44,268541352132625,0.011032052,0.078560473,-0.141837829,-0.035236021,0.858851229,0.000764464,0.511011211,268541.354637130
45,268541385469083,0.008708675,0.076181675,-0.144638444,-0.032071516,0.853257120,0.002942119,0.520495056,268541.387973588
46,268541418805625,0.007279485,0.073827168,-0.146641570,-0.029940736,0.849994742,0.005091584,0.525915032,268541.421310130
47,268541452142125,0.006594476,0.070949213,-0.148541772,-0.030511851,0.847095060,0.006658259,0.530523050,268541.454646630
48,268541485478666,0.006325514,0.066885031,-0.150616621,-0.034862400,0.845678953,0.005189856,0.532526845,268541.487983171
49,268541518815083,0.006457944,0.063793373,-0.152026874,-0.038055210,0.844905851,0.004335448,0.533542089,268541.521319588
50,268541552151666,0.006859980,0.060244705,-0.153556611,-0.041195142,0.843489219,0.004563157,0.535544702,268541.554656171
51,268541585488125,0.006812283,0.054532645,-0.155739870,-0.042778269,0.841156746,0.006407383,0.539058760,268541.587992630
52,268541618824541,0.006538444,0.049750720,-0.157535208,-0.043650808,0.838870295,0.008467587,0.542512293,268541.621329046
53,268541652161083,0.006276707,0.044793728,-0.159960738,-0.043335935,0.837082452,0.008320896,0.545294215,268541.654665588
54,268541685497500,0.027599776,0.061379595,-0.192694487,-0.041866030,0.838915751,0.005345874,0.542622404,268541.688002005
55,268541718834083,0.029282984,0.057438434,-0.198663674,-0.042975831,0.839781159,0.005422554,0.541194356,268541.721338588
56,268541752170625,0.031695979,0.053525830,-0.205794060,-0.044187507,0.841430631,0.005710277,0.538525212,268541.754675130
57,268541785507083,0.030497631,0.064082761,-0.219237320,-0.045819563,0.843690538,0.005513558,0.534842499,268541.788011588
58,268541818843500,0.032609107,0.061669393,-0.227066196,-0.045007024,0.845493808,0.004883190,0.532062774,268541.821348005
59,268541852180000,0.035388846,0.058733185,-0.236946069,-0.043933756,0.846172440,0.005890861,0.531062499,268541.854684505
60,268541885516500,0.035866334,0.059824179,-0.244339332,-0.044662008,0.846764425,0.004650616,0.530069561,268541.888021005
61,268541918852958,0.037674929,0.059264449,-0.250803434,-0.043596781,0.848192910,0.002200049,0.527885708,268541.921357463
62,268541952189375,0.040424638,0.059426874,-0.259237290,-0.040633562,0.848643161,0.001470236,0.527400787,268541.954693880
63,268541985525958,0.041834528,0.061229757,-0.265434273,-0.037507205,0.849591440,0.000329192,0.526106015,268541.988030463
64,268542018862375,0.043500656,0.062247376,-0.271664839,-0.034143725,0.850753439,-0.001097265,0.524453660,268542.021366880
65,268542052198833,0.046390008,0.064729275,-0.280006877,-0.029423712,0.853420992,-0.005855214,0.520358169,268542.054703338
