recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018238618,0.099854440,-0.141277516,-0.039662293,0.875609448,-0.003453296,0.481376282,268541.186954505
40,268541218786500,0.018079225,0.100832622,-0.145111969,-0.040020338,0.874474782,-0.003141931,0.483407084,268541.220291005
41,268541252123000,0.017219400,0.101683193,-0.148544819,-0.040091736,0.871387777,-0.003843553,0.488938928,268541.253627505
42,268541285459541,0.015590858,0.102426023,-0.152806672,-0.038208847,0.867175348,-0.005743397,0.496501828,268541.286964046
43,268541318796083,0.014548047,0.102392458,-0.155927642,-0.036778600,0.864021721,-0.004526780,0.502088998,268541.320300588
44,268541352132625,0.013359122,0.102052294,-0.158879970,-0.035955376,0.859094491,-0.001678769,0.510549803,268541.353637130
45,268541385469083,0.012277439,0.101509571,-0.161510572,-0.033228542,0.852759565,-0.000253076,0.521245603,268541.386973588
46,268541418805625,0.011783756,0.100094142,-0.164278430,-0.030031624,0.849794332,0.001217484,0.526256844,268541.420310130
47,268541452142125,0.011910131,0.098480207,-0.166895812,-0.029681972,0.847139861,0.003275126,0.530530267,268541.453646630
48,268541485478666,0.012878022,0.096454917,-0.169741897,-0.035072328,0.844904141,0.002810652,0.533759383,268541.486983171
49,268541518815083,0.013881269,0.094553244,-0.171888851,-0.038712037,0.845094550,0.000004173,0.533213497,268541.520319588
50,268541552151666,0.014715253,0.092023227,-0.174088585,-0.041604146,0.843949799,0.000161448,0.534806376,268541.553656171
51,268541585488125,0.015463975,0.088069405,-0.177279025,-0.043700921,0.841188168,0.002431573,0.538968307,268541.586992630
52,268541618824541,0.016031026,0.084784517,-0.180266596,-0.043950545,0.839026140,0.004526577,0.542294247,268541.620329046
53,268541652161083,0.016637850,0.081570202,-0.183904974,-0.044045429,0.836979969,0.005337640,0.545432025,268541.653665588
54,268541685497500,0.023415007,0.078435548,-0.200440898,-0.041045742,0.837212295,0.003323817,0.545325430,268541.687002005
55,268541718834083,0.025513405,0.075261802,-0.207277398,-0.040665540,0.839015960,0.002196330,0.542580650,268541.720338588
56,268541752170625,0.027935588,0.072437612,-0.214745848,-0.043189751,0.840484888,0.003902775,0.540096861,268541.753675130
57,268541785507083,0.032188470,0.071745804,-0.226876032,-0.045471945,0.843432861,0.004892218,0.535284439,268541.787011588
58,268541818843500,0.034286283,0.069573786,-0.234645996,-0.045141909,0.845255086,0.005194251,0.532427574,268541.820348005
59,268541852180000,0.036103176,0.067672506,-0.242004605,-0.042960379,0.846440175,0.004452825,0.530729367,268541.853684505
60,268541885516500,0.035522193,0.068695101,-0.251654018,-0.043233552,0.845990524,0.004829902,0.531420378,268541.887021005
61,268541918852958,0.037452900,0.068620896,-0.257846630,-0.043694177,0.847223930,0.002442188,0.529430374,268541.920357463
62,268541952189375,0.039262049,0.068722196,-0.263880370,-0.041244508,0.848741670,-0.000235027,0.527196800,268541.953693880
63,268541985525958,0.039448923,0.070656507,-0.271394623,-0.036811611,0.848635173,0.000100414,0.527696212,268541.987030463
64,268542018862375,0.041059732,0.072036732,-0.277510241,-0.033255934,0.849823900,-0.000932307,0.526015747,268542.020366880
65,268542052198833,0.042928749,0.074115403,-0.283440788,-0.029937271,0.851659795,-0.004276288,0.523221865,268542.053703338
66,268542085535375,0.045363021,0.077712703,-0.292329486,-0.025395637,0.855038703,-0.009300850,0.517858500,268542.087039880
