ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw,vx,vy,vz,bgx,bgy,bgz,bax,bay,baz
208.788,268541.159618005,1,1,1,2,268539951998500,268539.95950300503,411063efd687f4ac,0.00028674339777062623,-0.025423454960601242,-0.0046554441842868383,-0.040415763578992125,0.89792440868082068,0,0.43829034757166224,-8.7713634417984853e-05,0.0077768519166812791,0.0014240665389169255,0.30991806865077681,-0.30991806865077681,-0.60635016174489376,0.66350668121124901,0.028450904192952906,0.074140967188989521,-0.0060782513254687628,-0.0014745243373528981,0.0018987197688250697,0.0036596891079954293,-0.0099733158557338553,-0.047190218161971283,-0.04359920382693834
179.757,268541.159618005,1,6,1,7,268540118681041,268540.12618554605,411063f08136c8a6,0.0038087418926226997,-0.012335565629928175,-0.0061759855387417389,-0.036497479504978336,0.89806533102420194,0.0030643187326260257,0.43833464198641592,0.0035807997566185698,0.020810367648924053,0.00020022818282609486,0.31211619002889091,-0.30778258903307809,-0.60922045405250203,0.66083568318758934,0.010784202944606991,0.079479061068934778,-0.010200697488958379,-0.0014744465380690686,0.0018988939415679681,0.003659675137892694,-0.0096760512785102198,-0.047300723416113813,-0.043551335293135568
154.461,268541.159618005,1,11,1,12,268540285363833,268540.29286833806,411063f12be5ad78,0.0046854426537239957,0.0018560990339762454,-0.010148391840441126,-0.036150348060408621,0.89811738471419866,0.0022812605187566282,0.43826152542992514,0.0045018120262792635,0.035009345895931132,-0.0038088765380270471,0.31151078305899599,-0.30828459357990085,-0.60950272056059285,0.66062703171190496,0.0017679123069358161,0.092180358171997948,-0.046947866637628802,-0.0014742933561564095,0.0018992159130210746,0.0036596580123175893,-0.0090234992171286613,-0.047550740539843976,-0.043436569546884483
128.917,268541.159618005,1,16,1,17,268540452046416,268540.45955092105,411063f1d6948443,0.0042793654122027808,0.020070236925759224,-0.025661273657217154,-0.038438030431448944,0.89238211887591024,0.011837209335026744,0.44948482222955105,0.0035086987318035724,0.053111782727477186,-0.018803921699843469,0.32620392815100757,-0.3094635866141609,-0.60382963962760727,0.65818922212836806,0.0023271501130884692,0.12488603770808768,-0.15425831153240205,-0.0014741360226194009,0.0018994257714156975,0.0036596458722407172,-0.0079456827533440372,-0.048048444182781896,-0.043252176754364303
104.016,268541.159618005,1,21,1,22,268540618729041,268540.62623354606,411063f281435de0,0.0055186676268489717,0.042030036528109008,-0.057704029770651533,-0.038465303694961539,0.89017325672453529,0.016914803332519435,0.45368043385712736,0.0045297329335201812,0.075001489611093708,-0.050543984956862319,0.33276107455737008,-0.30883993091609918,-0.60224845315415843,0.65664660587304269,-0.006907889926972167,0.13149523964357829,-0.19012556647652518,-0.0014741190433844615,0.001899439897530511,0.0036596351168442518,-0.0066788015155885708,-0.048570940006554798,-0.043046469475754683
79.711,268541.159618005,1,26,1,27,268540785411625,268540.79291613004,411063f32bf234bc,0.0066141745896757219,0.066857412540288486,-0.087491832675286041,-0.034449368705849415,0.89176347416889334,-0.012703087678761937,0.45100979136810321,0.0067799234646377347,0.10015602765780258,-0.081965920032770812,0.30992963417219382,-0.32789451257353563,-0.6062126014507595,0.65493136459353996,0.030064941304175537,0.15779203239613726,-0.17630931630472235,-0.0014742982527110847,0.0018992390143604725,0.0036596024096252969,-0.0056928712985838134,-0.04893255361369811,-0.042892307450400999
55.279,268541.159618005,1,31,1,32,268540952094416,268540.95959892106,411063f3d6a1197d,0.014223477048417362,0.093374384317341325,-0.11584075163982498,-0.049255633784775987,0.88475126609046417,-0.0072192519875245165,0.46339725431318846,0.013166950828400161,0.12667454505513184,-0.11042374147273734,0.32256655029032666,-0.33277611408963464,-0.59078461153653739,0.66044259500491298,0.041627009914562342,0.1338236061763014,-0.15826172076080119,-0.0014744036389074432,0.0018989750294189514,0.003659573680978849,-0.0051100826775702752,-0.049148383758538951,-0.042807819026887836
31.234,268541.159618005,1,36,1,37,268541118776916,268541.12628142105,411063f4814feab6,0.019397129451284578,0.10961157337185866,-0.1414697208395404,-0.042625319143967721,0.87840909222676611,-0.0051755854464352047,0.47597669626672934,0.018484600529092877,0.1428596968952501,-0.13571728438999417,0.33290664919379515,-0.34022603213062336,-0.59098835782854753,0.65126966065856939,-0.0015266905607153672,0.065848539736951955,-0.14665253483245386,-0.001474395287499624,0.0018988710578140668,0.0036595691281162768,-0.0048906876517882053,-0.049131144840197899,-0.042773822598506213
5.745,268541.259627505,1,39,0,40,268541218786500,268541.22629100503,411063f4e7b8d448,0.018992710016484098,0.11559855847119405,-0.15587748355301823,-0.039587250844620392,0.87320939451119051,-0.0053501063678546845,0.48570529385863004,0.018116966723272405,0.14883162670165923,-0.1500330672741893,0.33966240141572346,-0.34722859419997426,-0.58945985505058784,0.6454446806025701,-0.027442928444547914,0.05372270981604127,-0.12969636173961732,-0.001474371135802752,0.0018988569393899302,0.0036595720232337906,-0.0048702515272480186,-0.049094471314154141,-0.042771558377687598
5.910,268541.359637130,1,42,0,43,268541318796083,268541.32630058803,411063f54e21bdc9,0.015762699443768645,0.11913841965192118,-0.16797918092520769,-0.035639315599469035,0.86177252270602644,-0.0052060304214948672,0.50601473175414879,0.014798299856681475,0.1523436987501828,-0.16199250192850376,0.35412521936760755,-0.36148765799992566,-0.58416437736601978,0.63456597949948679,-0.040971107220021355,0.015025527594944132,-0.1074926770806669,-0.0014742922097698886,0.0018988768437526364,0.003659579904612892,-0.0049060928458087094,-0.048966825629475914,-0.042765547494862173
5.727,268541.459646630,1,45,0,46,268541418805625,268541.42631013005,411063f5b48aa48a,0.013903114912416451,0.11843192027088928,-0.17902622220957939,-0.02861031629584293,0.84860043760057824,0.00069265882523600331,0.52825970936821509,0.012781740412543196,0.1515249081629311,-0.17247201565387732,0.37402579652285267,-0.37304622904416912,-0.57982055985371317,0.62028165610656061,0.0082062407336390836,-0.0252745665863577,-0.10346946944149883,-0.0014742613890591678,0.0018989683578457101,0.0036595944090299952,-0.0051121379543607832,-0.048853704482406488,-0.042723429724041834
5.697,268541.559656171,1,48,0,49,268541518815083,268541.52631958807,411063f61af385a8,0.017335534857662382,0.11521808895007783,-0.188411007708293,-0.039615180167001829,0.84498504434865263,-0.0021449526898086324,0.53331638332033282,0.015609018622364634,0.14838984766535993,-0.18240979804765292,0.37559491057823524,-0.37862833168210336,-0.56948247717434675,0.62550680075177778,0.029444293830733086,-0.054743312025855209,-0.097393582480559765,-0.0014742732225262168,0.0018991287355951654,0.0036596254730825025,-0.0056116843293674201,-0.048792538309599599,-0.04273580696745255
281.767,268541.659665588,2,1,1,2,268539951998500,268539.95950300503,411063efd687f4ac,0.00028674339777062623,-0.025423454960601242,-0.0046554441842868383,-0.040415763578992125,0.89792440868082068,0,0.43829034757166224,-8.7713634417984853e-05,0.0077768519166812791,0.0014240665389169255,0.30991806865077681,-0.30991806865077681,-0.60635016174489376,0.66350668121124901,0.029392656931582797,0.071886692458953294,-0.0068271223773729841,-0.0010408481467089081,0.0011511676919914581,0.0030514851015778569,-0.018763047531063816,-0.051936759673770663,-0.051688090911201273
252.734,268541.659665588,2,6,1,7,268540118681041,268540.12618554605,411063f08136c8a6,0.0039388769385059249,-0.01281527549876546,-0.0061707864543594339,-0.036557137943239004,0.89808526742190387,0.0030694315689243912,0.43828878597044951,0.0037079099886012262,0.020330929446183199,0.00020390600740788131,0.31208738025102706,-0.30774654861297124,-0.60919236632900775,0.66089196523434846,0.01139988763224776,0.076055772376395436,-0.0093797992064798674,-0.001040802690457779,0.0011512720043504378,0.0030514729091322096,-0.018545767546595499,-0.052008144511710874,-0.051647708799027719
227.466,268541.659665588,2,11,1,12,268540285363833,268540.29286833806,411063f12be5ad78,0.004913554659299736,0.0007312787170124721,-0.0098673221069980263,-0.036278654191217674,0.89815464823566249,0.0023129889377531132,0.43817438354769389,0.0047226473619986593,0.033884870261392371,-0.0035298246451556134,0.31147159982441619,-0.30820053958605742,-0.6094383437158607,0.66074410713267084,0.0023169178444720365,0.087928762694287912,-0.044420653546224556,-0.0010407278315450171,0.0011514472770400139,0.0030514540816465444,-0.018097021276016464,-0.05213747670999716,-0.051548490024818816
201.922,268541.659665588,2,16,1,17,268540452046416,268540.45955092105,411063f1d6948443,0.0046022179419208543,0.01815685310373074,-0.0248178175617319,-0.038644730485183854,0.8924314289761679,0.011914514452917219,0.44936714047548454,0.0038188500701054396,0.051198457124899031,-0.017962185537452682,0.32617537755852566,-0.30932571007842613,-0.60371834812717406,0.65837024863949245,0.0028680569676513622,0.11970823357384272,-0.15004594827258586,-0.0010406499004200023,0.0011515262103203626,0.0030514402135946696,-0.017392099432661935,-0.052420197762956283,-0.051386051147041936
177.021,268541.659665588,2,21,1,22,268540618729041,268540.62623354606,411063f281435de0,0.0059208662804302991,0.039144519004275583,-0.056040890295596363,-0.038757917305766998,0.89022324720844792,0.017040264305958008,0.45355272745363262,0.004912936729155817,0.072115721969069485,-0.048882342604853982,0.33275948679859296,-0.30866091455185735,-0.60207689270042442,0.65688886354523457,-0.0065742146774932682,0.12495821418341278,-0.18455681850202152,-0.0010406326112694932,0.0011514801426951334,0.0030514406709369569,-0.016614766009754318,-0.052710690236670403,-0.05119771018455712
19.836,268541.659665588,1,51,1,52,268541618824541,268541.62632904603,411063f6815c66c5,0.021237573495846967,0.093632970052105496,-0.18829988097350692,-0.044068245073458356,0.83828223039328775,0.0038266386640886108,0.54343932690965158,0.018887047116156814,0.1267380547000562,-0.18214444856326967,0.3869754650738334,-0.3815637809207626,-0.56159407979093778,0.62391598798565229,0.029974645664043037,-0.088883347017540124,-0.12966514177345595,-0.0010408129560497406,0.0011510731995867879,0.0030514782476837197,-0.015801003304303923,-0.053074484554746795,-0.050831532579068313
167.734,268541.759675130,2,26,1,27,268540785411625,268540.79291613004,411063f32bf234bc,0.0055860131766894703,0.059488539723212559,-0.085158554363800043,-0.035173771283286692,0.89185734004736572,-0.011196344129726282,0.45080814756164023,0.0056670338110965156,0.092776236968634837,-0.079565379977058023,0.31085247902573832,-0.32668650032170987,-0.60576674468699709,0.65550996775215031,0.030914701588762337,0.14748528866975663,-0.17296739457167343,-0.0011583175439181844,-0.0033320385690909474,0.0026849859984031457,-0.0050547918675139525,-0.053134178275231335,-0.050024773899012144
9.222,268541.759675130,1,54,1,55,268541718834083,268541.72633858805,411063f6e7c54d86,0.027271945702214639,0.07518082516658553,-0.21259447585826802,-0.043618315217279269,0.83990134045916287,0.0024617991065361555,0.54097797887727972,0.025034980908589313,0.10830375874023705,-0.20649298325775217,0.38426994195488995,-0.38078843236321841,-0.56305711191144225,0.62474272321836122,0.078977282248990227,-0.086644466273793005,-0.2513217060032451,-0.0011597780026453837,-0.0033332673043950569,0.002683384412899593,-0.0075128792330712377,-0.052515717118987559,-0.05091034527254984
158.448,268541.859684505,2,31,1,32,268540952094416,268540.95959892106,411063f3d6a1197d,0.013570851196709852,0.083827982041150384,-0.11274612857732184,-0.050421055944044724,0.88476118271574022,-0.0052197007639576132,0.46327980164620519,0.012386416663790204,0.11711040469982732,-0.10724718242619291,0.32389739490713959,-0.33127916632265647,-0.58996754575949162,0.66127368500754402,0.044452898161745351,0.12501661721536134,-0.15381341686895408,-0.0011112632845848669,-0.0043232458329158004,0.0023190702010244891,-0.00058714480789079327,-0.053647976295643399,-0.050710567791810476
9.070,268541.859684505,1,57,1,58,268541818843500,268541.82634800504,411063f74e2e2be3,0.035314607240563331,0.066703678379171155,-0.23783415418714826,-0.045282383184801267,0.84607271808986628,0.0047199452794250973,0.53111979515564078,0.033064367784430067,0.099809181087283802,-0.23164359162791281,0.37889590400987933,-0.37222089355965443,-0.56624426105438741,0.6302832197870728,0.070099002135217858,-0.063517687583434665,-0.23815818055868099,-0.001112276293647267,-0.0043233887352377327,0.0023175671484089388,-0.0047867373212995791,-0.05349323275458677,-0.052099263451167083
149.171,268541.959693880,2,36,1,37,268541118776916,268541.12628142105,411063f4814feab6,0.01893693270549749,0.09778931334221648,-0.13697991047764041,-0.044243187603271728,0.87840217355543615,-0.0028586666861701859,0.4758613696036324,0.017859016982157569,0.13101780927580967,-0.13114329265126543,0.33446340985368983,-0.33850617494401308,-0.58983945986105946,0.65240877414748932,0.0017840236735233899,0.0507741283377229,-0.14162193648157598,-0.0013717689995660599,-0.0038230700904603237,0.0019489219457918469,0.00095132619933223188,-0.052869576485519487,-0.048915747911454019
111.622,268541.959693880,2,39,0,40,268541218786500,268541.22629100503,411063f4e7b8d448,0.018990517671997057,0.11554297450311324,-0.15588497946975305,-0.039572115950352316,0.87320200761349387,-0.0053660366864966003,0.48571963147656999,0.018115945945957234,0.14877614925919372,-0.1500409935102878,0.33966127520628664,-0.34724999686261437,-0.58946533371135845,0.64542875529117116,-0.027482734621022693,0.05260734388202716,-0.12991827186801849,-0.0014743422956870469,0.0018989809903698599,0.0036596017410710094,-0.0052898018897008046,-0.048942598918810233,-0.042749537916449476
