recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.019603404,0.116914880,-0.151754782,-0.038715161,0.875811232,-0.006130608,0.481059551,268541.194954505
40,268541218786500,0.019503596,0.119462784,-0.157476929,-0.039235461,0.873852748,-0.005941705,0.484568574,268541.228291005
41,268541252123000,0.018642839,0.121256372,-0.161361545,-0.038763244,0.870461445,-0.007222848,0.490654835,268541.261627505
42,268541285459541,0.016608919,0.119536623,-0.161314770,-0.037028828,0.867358928,-0.009681874,0.496209301,268541.294964046
43,268541318796083,0.015393750,0.120617486,-0.165957126,-0.035303311,0.862768560,-0.007614042,0.504307612,268541.328300588
44,268541352132625,0.014315836,0.121147706,-0.169209755,-0.034376638,0.857541937,-0.005089039,0.513238958,268541.361637130
45,268541385469083,0.013407309,0.121293157,-0.172358341,-0.032113779,0.852981742,-0.003780568,0.520938204,268541.394973588
46,268541418805625,0.013127240,0.120698460,-0.176706451,-0.028281673,0.849173492,-0.001714028,0.527353433,268541.428310130
47,268541452142125,0.013629146,0.120195657,-0.179688256,-0.029462445,0.846549583,0.000011184,0.531493952,268541.461646630
48,268541485478666,0.014662784,0.119652262,-0.182212892,-0.033882232,0.845176209,-0.000996758,0.533411876,268541.494983171
49,268541518815083,0.016275804,0.118480355,-0.185796613,-0.038460278,0.845239636,-0.004238679,0.532984851,268541.528319588
50,268541552151666,0.017252056,0.116946211,-0.188507944,-0.041176168,0.843564170,-0.003261214,0.535437608,268541.561656171
51,268541585488125,0.018112623,0.114890108,-0.191335312,-0.042404904,0.841519659,-0.001633893,0.538557213,268541.594992630
52,268541618824541,0.019251275,0.112148407,-0.196153466,-0.042739708,0.838651867,0.000956147,0.542987571,268541.628329046
53,268541652161083,0.020162035,0.110247676,-0.200603062,-0.042394245,0.836888974,0.000496782,0.545728302,268541.661665588
54,268541685497500,0.027046017,0.088947744,-0.204578245,-0.040382444,0.837852099,0.001738913,0.544398887,268541.695002005
55,268541718834083,0.030488060,0.085550813,-0.214173577,-0.040724200,0.840196280,0.001081676,0.540750066,268541.728338588
56,268541752170625,0.033306444,0.083413135,-0.222022627,-0.043170777,0.841741077,0.002653336,0.538146129,268541.761675130
57,268541785507083,0.031870258,0.067488131,-0.212659889,-0.044686956,0.844423262,0.004133509,0.533793404,268541.795011588
58,268541818843500,0.034007302,0.065668584,-0.219780737,-0.043577248,0.846105051,0.003699668,0.531219005,268541.828348005
59,268541852180000,0.035980379,0.064214794,-0.226446210,-0.041611011,0.846819929,0.003522026,0.530237852,268541.861684505
60,268541885516500,0.039076591,0.063182618,-0.232846483,-0.043273682,0.846753755,0.004144198,0.530205946,268541.895021005
61,268541918852958,0.041452560,0.063374362,-0.238154013,-0.042698987,0.848483646,0.000924129,0.527495495,268541.928357463
62,268541952189375,0.043570238,0.063713742,-0.243332970,-0.039700056,0.849421130,-0.000677256,0.526219768,268541.961693880
63,268541985525958,0.041682874,0.067446183,-0.247928340,-0.034909501,0.849178684,-0.000758536,0.526950061,268541.995030463
64,268542018862375,0.043737076,0.069405872,-0.253043399,-0.031423503,0.850711377,-0.002628559,0.524686440,268542.028366880
65,268542052198833,0.046011572,0.072088339,-0.257953321,-0.028008528,0.852731824,-0.006604246,0.521555746,268542.061703338
66,268542085535375,0.045982080,0.077321831,-0.265788738,-0.023587608,0.855900047,-0.010842849,0.516489322,268542.095039880
67,268542118871791,0.048799736,0.081532384,-0.270457585,-0.020156221,0.857837912,-0.009748060,0.513432441,268542.128376296
68,268542152208333,0.051621431,0.087082238,-0.274177067,-0.016973293,0.859603019,-0.009989827,0.510582817,268542.161712838
69,268542185544833,0.055026247,0.094994878,-0.285647820,-0.012972448,0.861426719,-0.011986676,0.507574720,268542.195049338
70,268542218881291,0.057735606,0.103867490,-0.288013027,-0.009323732,0.862651316,-0.014044186,0.505518139,268542.228385796
71,268542252217666,0.060647783,0.114500613,-0.289784983,-0.007023624,0.863504996,-0.015046949,0.504066893,268542.261722171
72,268542285554166,0.064956953,0.126649999,-0.305887796,-0.005982293,0.864236872,-0.018999412,0.502690677,268542.295058671
73,268542318890541,0.067561693,0.140822385,-0.306266936,-0.002694012,0.864467341,-0.029207395,0.501832582,268542.328395046
74,268542352227166,0.070143970,0.156084744,-0.306419533,0.002514665,0.863518623,-0.038044865,0.502873648,268542.361731671
75,268542385563583,0.074978238,0.174495957,-0.316941034,0.007037370,0.862169051,-0.040006337,0.504989653,268542.395068088
76,268542418900000,0.079115158,0.191227981,-0.318436088,0.008784488,0.862757561,-0.037511444,0.504147963,268542.428404505
77,268542452236416,0.082975235,0.208664750,-0.319001637,0.011016577,0.863276730,-0.037187856,0.503238550,268542.461740921
78,268542485572916,0.083015666,0.231713087,-0.318867511,0.021643639,0.861831274,-0.045970739,0.504643590,268542.495077421
79,268542518909333,0.085259172,0.248709520,-0.318353724,0.029113764,0.860865975,-0.050022504,0.505529390,268542.528413838
80,268542552245875,0.088471178,0.264855577,-0.318286312,0.032107604,0.860918613,-0.048103984,0.505444658,268542.561750380
81,268542585582416,0.093575261,0.281800123,-0.316042850,0.033841556,0.861130874,-0.040874987,0.505606225,268542.595086921
82,268542618918791,0.096190519,0.294624820,-0.315349046,0.037893626,0.860765578,-0.042453998,0.505810640,268542.628423296
83,268542652255333,0.098666574,0.305971853,-0.314866158,0.041478603,0.860169489,-0.042572737,0.506532912,268542.661759838
84,268542685591833,0.103546891,0.317338707,-0.311927249,0.044932566,0.860163581,-0.037049137,0.506682437,268542.695096338
85,268542718928250,0.106144843,0.325404956,-0.312107112,0.047699135,0.860047758,-0.035625419,0.506728259,268542.728432755
86,268542752264625,0.108504112,0.332487220,-0.312481746,0.050423055,0.859620365,-0.035590641,0.507191978,268542.761769130
87,268542785601250,0.112395418,0.343102211,-0.311210312,0.054250818,0.859207141,-0.033406783,0.507645523,268542.795105755
88,268542818937583,0.114673671,0.348153087,-0.312444883,0.056542350,0.859106289,-0.031640519,0.507679305,268542.828442088
89,268542852274083,0.117805444,0.353902420,-0.314377717,0.057526613,0.859571984,-0.029880703,0.506886466,268542.861778588
90,268542885610541,0.122762452,0.364809060,-0.314932851,0.058367839,0.859522742,-0.028536247,0.506951267,268542.895115046
91,268542918946958,0.125079895,0.368262818,-0.316787358,0.058650538,0.859093009,-0.024141349,0.507874556,268542.928451463
92,268542952283416,0.128537717,0.372524660,-0.319641010,0.054281184,0.858755522,-0.012660893,0.509344934,268542.961787921
93,268542985619875,0.131749902,0.379449155,-0.321343384,0.049160910,0.858962358,-0.004357272,0.509654726,268542.995124380
94,268543018956416,0.133515913,0.382723314,-0.323204272,0.045977420,0.860219811,-0.002322241,0.507841130,268543.028460921
95,268543052292750,0.135496331,0.387410618,-0.325492659,0.040088837,0.862799126,-0.003894142,0.503939919,268543.061797255
96,268543085629208,0.132911571,0.385031614,-0.326612704,0.034886403,0.864399921,-0.002381509,0.501587576,268543.095133713
97,268543118965708,0.133935908,0.388236760,-0.327843162,0.031274614,0.865646025,-0.002909196,0.499670339,268543.128470213
98,268543152302208,0.135470971,0.392770657,-0.329008121,0.027793140,0.866564866,-0.005299916,0.498261817,268543.161806713
99,268543185638625,0.137253530,0.396397602,-0.329787707,0.025556400,0.867500351,-0.005641927,0.496747655,268543.195143130
100,268543218975125,0.139446501,0.400399174,-0.330388708,0.022603357,0.868192837,-0.004783521,0.495688871,268543.228479630
101,268543252311583,0.142582583,0.406380860,-0.330863862,0.018129508,0.868815291,-0.002460849,0.494798250,268543.261816088
102,268543285648000,0.145238755,0.420627441,-0.331676806,0.013355405,0.869420299,-0.001331351,0.493890937,268543.295152505
103,268543318984500,0.147662984,0.426312062,-0.330446197,0.007047967,0.870259747,-0.000138675,0.492542723,268543.328489005
104,268543352321000,0.150447162,0.433836327,-0.327177610,-0.001490288,0.869986942,0.003726723,0.493058480,268543.361825505
105,268543385657333,0.151479309,0.446012423,-0.325958503,-0.004580297,0.868780510,0.006019232,0.495139645,268543.395161838
106,268543418993750,0.152760631,0.451468231,-0.322273171,-0.005003489,0.867704948,0.008108401,0.496988326,268543.428498255
107,268543452330208,0.155623961,0.458062018,-0.317009124,-0.007816585,0.867356681,0.016035853,0.497367263,268543.461834713
108,268543485666666,0.156921095,0.461736968,-0.314273298,-0.012273395,0.867474471,0.020453763,0.496909553,268543.495171171
109,268543519003208,0.160100642,0.465283771,-0.308547829,-0.015558763,0.870924523,0.019647474,0.490777373,268543.528507713
110,268543552339625,0.164999070,0.468057143,-0.298917136,-0.024769125,0.873607367,0.025219608,0.485345941,268543.561844130
111,268543585676041,0.166175425,0.467559466,-0.290202982,-0.025853091,0.874457836,0.023742164,0.483830005,268543.595180546
112,268543619012500,0.169400538,0.466306074,-0.280845620,-0.023551247,0.879092505,0.021743822,0.475572252,268543.628517005
113,268543652349000,0.174747684,0.462472475,-0.267367470,-0.026830499,0.882133591,0.032355404,0.469120062,268543.661853505
114,268543685685375,0.179765994,0.459458772,-0.256193457,-0.026473770,0.882162342,0.038181444,0.468648027,268543.695189880
115,268543719021916,0.183597626,0.455636605,-0.245159384,-0.024083837,0.885674700,0.042024847,0.461772953,268543.728526421
116,268543752358333,0.189239430,0.451086247,-0.229563322,-0.026873842,0.890212424,0.047705603,0.452243149,268543.761862838
117,268543785694833,0.195200497,0.454314845,-0.216685479,-0.029319517,0.892309877,0.049116021,0.447784679,268543.795199338
118,268543819031250,0.199627040,0.452869931,-0.204379655,-0.034348409,0.895188734,0.054847423,0.440963866,268543.828535755
119,268543852367708,0.203877669,0.451132302,-0.186603509,-0.039868448,0.894098427,0.060830530,0.441925569,268543.861872213
120,268543885704166,0.205912645,0.459010345,-0.172928982,-0.034223541,0.893175918,0.058940202,0.444512805,268543.895208671
121,268543919040500,0.209036170,0.457182569,-0.156367500,-0.032893860,0.894916375,0.065001266,0.440247162,268543.928545005
122,268543952377083,0.211703613,0.456333079,-0.143928164,-0.037685419,0.895747255,0.068906421,0.437571276,268543.961881588
123,268543985713375,0.211529419,0.457901480,-0.134691310,-0.040759213,0.897370176,0.069373600,0.433881101,268543.995217880
124,268544019049916,0.214517766,0.457327843,-0.120397854,-0.047384766,0.898448515,0.076407228,0.429775452,268544.028554421
125,268544052386416,0.216297187,0.456151809,-0.110486607,-0.050151294,0.897861079,0.084347349,0.429203808,268544.061890921
126,268544085722791,0.214857296,0.452287726,-0.101123978,-0.049188867,0.899259476,0.087107191,0.425823016,268544.095227296
127,268544119059250,0.216765169,0.450246015,-0.089761912,-0.051675139,0.902667135,0.083927019,0.418900981,268544.128563755
128,268544152395708,0.218080297,0.448231219,-0.081829388,-0.052498052,0.904862837,0.082718358,0.414276389,268544.161900213
129,268544185732166,0.218570217,0.445153292,-0.070791067,-0.051322873,0.906900455,0.082760658,0.409936889,268544.195236671
130,268544219068541,0.219720878,0.441498673,-0.059749092,-0.053586335,0.905794935,0.085264082,0.411575181,268544.228573046
131,268544252405000,0.220139377,0.438326059,-0.050594313,-0.053099893,0.906199455,0.080605936,0.411686392,268544.261909505
132,268544285741541,0.221129328,0.439336932,-0.036065404,-0.051901017,0.907087237,0.072674632,0.411360523,268544.295246046
133,268544319077916,0.222888822,0.436544462,-0.021343175,-0.054148768,0.906546040,0.070930977,0.412566405,268544.328582421
134,268544352414416,0.225322577,0.435277380,-0.010220880,-0.058791162,0.907469109,0.069958799,0.410060039,268544.361918921
135,268544385750708,0.225222300,0.435571453,0.000861976,-0.064332711,0.909585584,0.065899081,0.405182345,268544.395255213
