recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.003259635,-0.127726541,0.068399304,-0.158212831,0.843144866,0.078041120,0.507922309,254668.082357500
40,254668111694041,0.003062082,-0.132479747,0.067352960,-0.157815559,0.843315415,0.078687318,0.507662997,254668.115694041
41,254668145030541,0.002768441,-0.137273560,0.066294065,-0.156989847,0.843733196,0.078082377,0.507318123,254668.149030541
42,254668178367083,0.002391275,-0.143689375,0.064704367,-0.156821351,0.844154610,0.077633521,0.506737750,254668.182367083
43,254668211703541,0.002322610,-0.148522346,0.063386859,-0.157246886,0.844730127,0.077913972,0.505602508,254668.215703541
44,254668245040125,0.002408044,-0.153401135,0.062070113,-0.157680909,0.845467236,0.078244813,0.504182195,254668.249040125
45,254668278376708,0.001552866,-0.162370579,0.063873614,-0.158870280,0.846161989,0.079050481,0.502514874,254668.282376708
46,254668311713250,0.001479409,-0.167267959,0.063184632,-0.158618282,0.846251162,0.079963381,0.502299832,254668.315713250
47,254668345049666,0.001354773,-0.173503122,0.062837501,-0.159399834,0.845323625,0.081532552,0.503360863,254668.349049666
48,254668378386291,0.001416390,-0.177910035,0.062914848,-0.161318466,0.844229832,0.083127225,0.504323568,254668.382386291
49,254668411722791,0.001517965,-0.182176043,0.062982614,-0.163027680,0.843833672,0.083770629,0.504330492,254668.415722791
50,254668445059375,0.001610599,-0.187454545,0.063055041,-0.165518471,0.843585931,0.082858185,0.504084306,254668.449059375
51,254668478395833,0.001830254,-0.191166912,0.063091155,-0.167509861,0.843716994,0.082451168,0.503273224,254668.482395833
52,254668511732416,0.002100507,-0.194865496,0.062743018,-0.169559951,0.843950751,0.081837777,0.502293922,254668.515732416
53,254668545068916,0.002380761,-0.199589811,0.061819172,-0.171767432,0.844387547,0.081278343,0.500898696,254668.549068916
54,254668578405500,0.002926094,-0.203116126,0.060950352,-0.172396413,0.845559459,0.080680066,0.498798013,254668.582405500
55,254668611741875,0.003588969,-0.206683557,0.059561620,-0.173397729,0.846847212,0.080178867,0.496341041,254668.615741875
56,254668645078458,0.004583140,-0.211336323,0.057311925,-0.175210339,0.849114108,0.080333060,0.491785747,254668.649078458
57,254668678414916,0.005325529,-0.214860762,0.056265371,-0.175749830,0.850785309,0.078358592,0.489015683,254668.682414916
