recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.037808094,-0.243110182,0.106009452,-0.117977356,0.847948879,0.058915923,0.513413098,268463.451852837
40,268463481915875,-0.034194565,-0.247955661,0.104612014,-0.120939757,0.849154865,0.062198985,0.510334135,268463.485189379
41,268463515252541,-0.030386887,-0.252884936,0.103366289,-0.123681856,0.849424114,0.063888306,0.509018477,268463.518526045
42,268463548589125,-0.026948606,-0.267102140,0.103944550,-0.127200656,0.849118316,0.067052545,0.508253959,268463.551862629
43,268463581925708,-0.022459545,-0.272400719,0.102583544,-0.128542122,0.848799439,0.068983996,0.508190611,268463.585199212
44,268463615262250,-0.017211929,-0.277616032,0.100972144,-0.132769351,0.848891330,0.073266865,0.506347537,268463.618535754
45,268463648598958,-0.014228210,-0.286871160,0.100452536,-0.140052663,0.850365298,0.077050930,0.501325562,268463.651872462
46,268463681935541,-0.008281069,-0.292613819,0.098308307,-0.142345498,0.852110441,0.077528339,0.497629345,268463.685209045
47,268463715272041,-0.002009366,-0.298458308,0.095858294,-0.146640808,0.853687877,0.080092702,0.493253175,268463.718545545
48,268463748608625,0.006838933,-0.312685753,0.094430257,-0.154197660,0.854156339,0.082812904,0.489675512,268463.751882129
49,268463781945250,0.014178176,-0.319348964,0.091641811,-0.160618466,0.853156573,0.082932134,0.489334124,268463.785218754
50,268463815281708,0.022269650,-0.326665965,0.088891376,-0.166141013,0.852219821,0.083041563,0.489103969,268463.818555212
51,268463848618291,0.033803642,-0.341764993,0.086792474,-0.172329369,0.852255777,0.085706191,0.486433121,268463.851891795
52,268463881954875,0.042984597,-0.350892955,0.084919831,-0.174382125,0.852332707,0.085214738,0.485652481,268463.885228379
53,268463915291416,0.055782237,-0.363518544,0.083237138,-0.178069876,0.852055854,0.081710443,0.485402304,268463.918564920
54,268463948628000,0.064920064,-0.375646992,0.083151735,-0.181258553,0.851892279,0.076406882,0.485372973,268463.951901504
55,268463981964583,0.075287054,-0.385284972,0.082592600,-0.183349066,0.851899437,0.071593348,0.485309093,268463.985238087
56,268464015301166,0.090096805,-0.398055408,0.081842624,-0.188609940,0.851100244,0.074481625,0.484259441,268464.018574670
57,268464048637666,0.100460818,-0.406508553,0.082416925,-0.194317898,0.850541743,0.080810898,0.481963639,268464.051911170
58,268464081974208,0.112130314,-0.415392251,0.082422893,-0.198648295,0.851200085,0.085623831,0.478190216,268464.085247712
59,268464115310791,0.127284129,-0.426336102,0.082739366,-0.202829489,0.852071152,0.089825627,0.474095308,268464.118584295
60,268464148647291,0.136740546,-0.431667454,0.084593866,-0.206184758,0.851445773,0.090805837,0.473584517,268464.151920795
61,268464181983833,0.146956441,-0.438821665,0.085353629,-0.208804759,0.849480854,0.090039910,0.476104735,268464.185257337
62,268464215320333,0.160065767,-0.448026027,0.085999829,-0.211021368,0.845870429,0.094628317,0.480644083,268464.218593837
63,268464248656958,0.167498914,-0.453486940,0.086925965,-0.212164707,0.844491651,0.099328167,0.481615985,268464.251930462
64,268464281993541,0.176752327,-0.459724874,0.086847500,-0.213496794,0.844807026,0.102534796,0.479798788,268464.285267045
65,268464315329916,0.188688908,-0.467264922,0.086332276,-0.214969964,0.846006077,0.106223921,0.476212310,268464.318603420
66,268464348666500,0.194203499,-0.470070261,0.086628264,-0.215253670,0.846676560,0.108052842,0.474477919,268464.351940004
67,268464382003041,0.202098429,-0.474705566,0.086114765,-0.217308593,0.846074066,0.111906094,0.473722207,268464.385276545
68,268464415339625,0.212200570,-0.479875641,0.085601777,-0.223228861,0.843055777,0.118070082,0.474852969,268464.418613129
69,268464448676125,0.218314399,-0.482989291,0.085447807,-0.227138689,0.841299808,0.121196502,0.475325268,268464.451949629
70,268464482012708,0.225331894,-0.486392983,0.084875663,-0.229943092,0.841398471,0.123765231,0.473135296,268464.485286212
71,268464515349291,0.234216992,-0.490543068,0.084251294,-0.234656977,0.841865310,0.127898205,0.468872057,268464.518622795
72,268464548685791,0.241595011,-0.496513971,0.084915527,-0.236484425,0.841027763,0.128190415,0.469376916,268464.551959295
73,268464582022416,0.247113053,-0.499674010,0.085151550,-0.239691396,0.839925572,0.128256238,0.469705714,268464.585295920
74,268464615358791,0.254330260,-0.503703490,0.085368591,-0.245219896,0.839016327,0.128292419,0.468465488,268464.618632295
75,268464648695375,0.260460377,-0.508545312,0.084941431,-0.246485030,0.838939326,0.127740717,0.468090056,268464.651968879
76,268464682031958,0.265782573,-0.512688804,0.084498466,-0.246987729,0.839803273,0.127888444,0.466231834,268464.685305462
77,268464715368500,0.272817116,-0.518270166,0.083655084,-0.249437907,0.840840002,0.131060354,0.462160209,268464.718642004
78,268464748704958,0.278992833,-0.523862338,0.083315885,-0.251234870,0.840011883,0.133735057,0.461926471,268464.751978462
79,268464782041541,0.283414547,-0.528354113,0.083058855,-0.251818667,0.837403554,0.135181564,0.465906261,268464.785315045
80,268464815378083,0.289294931,-0.533980074,0.082737726,-0.257140930,0.831542471,0.138935963,0.472347871,268464.818651587
81,268464848714625,0.295036770,-0.538731540,0.081295735,-0.263752067,0.827972569,0.142298590,0.473969870,268464.851988129
82,268464882051125,0.301677221,-0.544814778,0.080526615,-0.269085675,0.826437473,0.144067596,0.473115825,268464.885324629
83,268464915387625,0.306839635,-0.549871512,0.079953880,-0.272638190,0.825564152,0.145324101,0.472221565,268464.918661129
84,268464948724166,0.311803848,-0.554670045,0.079551866,-0.278260833,0.823329178,0.148822808,0.471753960,268464.951997670
85,268464982060708,0.319250083,-0.562815788,0.079366787,-0.285508988,0.819717028,0.153276563,0.472286947,268464.985334212
86,268465015397250,0.325041669,-0.569672077,0.079449063,-0.289674570,0.817472404,0.154655274,0.473190566,268465.018670754
87,268465048733708,0.330629702,-0.576613569,0.080031511,-0.294970628,0.814550362,0.157742487,0.473938179,268465.052007212
88,268465082070333,0.339620650,-0.587119681,0.080200733,-0.304142555,0.809197429,0.165844392,0.474544537,268465.085343837
89,268465115406791,0.346716476,-0.595673989,0.080465732,-0.310441688,0.805960550,0.170993492,0.474146421,268465.118911296
90,268465148743416,0.352450283,-0.603857749,0.081501697,-0.314544585,0.804261812,0.172813271,0.473666833,268465.152247921
91,268465182079875,0.362628823,-0.616711866,0.082446001,-0.320110799,0.803291951,0.173224200,0.471428199,268465.185584380
92,268465215416541,0.370757068,-0.626684379,0.083156203,-0.325085997,0.803064301,0.175865017,0.467416700,268465.218921046
93,268465248752958,0.377906568,-0.636544338,0.084249954,-0.328959531,0.802070852,0.179449525,0.465043972,268465.252257463
94,268465282089500,0.388728932,-0.651220059,0.085864158,-0.332540394,0.800182452,0.183734685,0.464076017,268465.285594005
95,268465315426125,0.396951113,-0.662298742,0.087210151,-0.335589575,0.799376309,0.187716867,0.461670428,268465.318930630
96,268465348762541,0.404426784,-0.673966428,0.089027953,-0.338513826,0.798158471,0.190450515,0.460521551,268465.352267046
97,268465382099083,0.414625755,-0.688291931,0.091352387,-0.343849838,0.795393384,0.193143894,0.460230533,268465.385603588
98,268465415435666,0.422210225,-0.698797243,0.092912915,-0.348284515,0.793454049,0.195467416,0.459261485,268465.418940171
99,268465448772166,0.429473414,-0.710125246,0.093478126,-0.352432005,0.791642323,0.197325376,0.458428689,268465.452276671
100,268465482108666,0.439428623,-0.724090930,0.095023748,-0.356426793,0.790784056,0.198085014,0.456489757,268465.485613171
101,268465515445250,0.446941242,-0.734510309,0.095915251,-0.358904424,0.790434970,0.199129200,0.454695268,268465.518949755
102,268465548781750,0.454030044,-0.744767757,0.095254782,-0.360243400,0.789476243,0.199552556,0.455116232,268465.552286255
103,268465582118333,0.463588013,-0.758000399,0.095933751,-0.362016720,0.787897995,0.199638903,0.456404432,268465.585622838
104,268465615454916,0.470759585,-0.767248339,0.096090306,-0.363647492,0.787341428,0.199651663,0.456062763,268465.618959421
105,268465648791416,0.479430170,-0.776999078,0.095268657,-0.364917672,0.787661219,0.197459192,0.455450127,268465.652295921
106,268465682127916,0.489470289,-0.788161846,0.094664454,-0.365393705,0.790101976,0.192247274,0.453064395,268465.685632421
107,268465715464333,0.497364236,-0.796144824,0.094053287,-0.364806083,0.791717021,0.191102689,0.451198954,268465.718968838
108,268465748800958,0.506854251,-0.804729496,0.092797333,-0.364066411,0.791590592,0.192996992,0.451211921,268465.752305463
109,268465782137541,0.517279716,-0.813189183,0.091800893,-0.365441247,0.790661810,0.196897910,0.450042069,268465.785642046
110,268465815474041,0.524944594,-0.818593394,0.090946990,-0.366288764,0.789997860,0.199719805,0.449274945,268465.818978546
111,268465848810583,0.537647011,-0.828166196,0.089620818,-0.367154485,0.788985219,0.204188341,0.448338134,268465.852315088
112,268465882147125,0.545479986,-0.832429420,0.088367980,-0.368681680,0.787866673,0.206679285,0.447910315,268465.885651630
113,268465915483541,0.553675274,-0.836082214,0.086822629,-0.370840378,0.786309686,0.209425615,0.447588490,268465.918988046
114,268465948820166,0.567487495,-0.842566913,0.085182718,-0.375173587,0.784809821,0.214735546,0.444079975,268465.952324671
115,268465982156750,0.577600851,-0.844748066,0.083327870,-0.380218816,0.783458751,0.219040270,0.440053918,268465.985661255
116,268466015493208,0.588168500,-0.846306280,0.081632925,-0.386325068,0.781270480,0.221266315,0.437505028,268466.018997713
117,268466048829833,0.604002069,-0.849259651,0.080470456,-0.395844569,0.778413091,0.223304165,0.433030530,268466.052334338
118,268466082166375,0.615506404,-0.850160029,0.078855386,-0.402809865,0.776249158,0.222503798,0.430898562,268466.085670880
119,268466115502708,0.627138223,-0.850864704,0.077277012,-0.409324865,0.774615434,0.219368626,0.429303555,268466.119007213
120,268466148839375,0.642946644,-0.852000743,0.076202094,-0.419040646,0.772976423,0.215747336,0.424694627,268466.152343880
121,268466182175916,0.655567711,-0.852975115,0.075013335,-0.425223382,0.771372311,0.211993650,0.423353964,268466.185680421
122,268466215512458,0.668807909,-0.854551324,0.074209823,-0.429547569,0.770284203,0.207997762,0.422951672,268466.219016963
123,268466248849000,0.687489428,-0.858743828,0.074072829,-0.431673436,0.769083701,0.207648269,0.423143658,268466.252353505
124,268466282185625,0.701681094,-0.861273202,0.074396300,-0.431807628,0.767297327,0.209885920,0.425141080,268466.285690130
125,268466315522041,0.715492334,-0.863190759,0.075060857,-0.432294258,0.765720236,0.210595924,0.427134176,268466.319026546
126,268466348858541,0.733073633,-0.866856459,0.076386669,-0.434605174,0.763371258,0.207077121,0.430699181,268466.352363046
127,268466382195041,0.745864755,-0.867100097,0.076824890,-0.439643045,0.760427700,0.206972585,0.430843485,268466.385699546
