recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.036697370,-0.254883196,0.110108907,-0.119310561,0.848654194,0.061036096,0.511689063,268463.451852837
40,268463481915875,-0.032760273,-0.259980962,0.108582503,-0.122106178,0.849527308,0.063658503,0.509255420,268463.485189379
41,268463515252541,-0.028572988,-0.265151074,0.107162147,-0.125010373,0.849626493,0.065425235,0.508160232,268463.518526045
42,268463548589125,-0.024498687,-0.280181824,0.108436788,-0.128146682,0.849334152,0.068846853,0.507415106,268463.551862629
43,268463581925708,-0.019598319,-0.285766721,0.106928682,-0.129797912,0.849073753,0.070993398,0.507135341,268463.585199212
44,268463615262250,-0.013864113,-0.291254094,0.105133701,-0.135100818,0.849354510,0.076307542,0.504501632,268463.618535754
45,268463648598958,-0.012796992,-0.297905963,0.103221792,-0.140944076,0.850873913,0.077663763,0.500116732,268463.651872462
46,268463681935541,-0.006500969,-0.303846879,0.100926241,-0.143311901,0.852686581,0.078154287,0.496265306,268463.685209045
47,268463715272041,0.000195044,-0.309867344,0.098305228,-0.148189850,0.854047227,0.081282434,0.491971870,268463.718545545
48,268463748608625,0.009130321,-0.325254610,0.097386888,-0.155877011,0.854054368,0.082991414,0.489291297,268463.751882129
49,268463781945250,0.016875403,-0.332108137,0.094424456,-0.162170633,0.852943142,0.083029455,0.489177723,268463.785218754
50,268463815281708,0.025378717,-0.339594177,0.091466332,-0.167593802,0.852196302,0.083431711,0.488582628,268463.818555212
51,268463848618291,0.037467968,-0.354682515,0.088993638,-0.172851318,0.852432269,0.086039854,0.485879456,268463.851891795
52,268463881954875,0.047082514,-0.364019396,0.086965117,-0.174902292,0.852419917,0.084962029,0.485356550,268463.885228379
53,268463915291416,0.060476450,-0.376904935,0.085072013,-0.178852730,0.852108514,0.080605323,0.485206776,268463.918564920
54,268463948628000,0.070168857,-0.389421154,0.084812348,-0.181961562,0.851993083,0.075103825,0.485136316,268463.951901504
55,268463981964583,0.081008976,-0.399226064,0.083987401,-0.183787916,0.851992133,0.071436212,0.485003431,268463.985238087
56,268464015301166,0.096563032,-0.412176824,0.082894953,-0.190312389,0.850930743,0.076357751,0.483598606,268464.018574670
57,268464048637666,0.107087404,-0.420337721,0.083686406,-0.195505230,0.850701198,0.082628665,0.480892643,268464.051911170
58,268464081974208,0.119202942,-0.429486892,0.083562359,-0.199616359,0.851584059,0.087134173,0.476828678,268464.085247712
59,268464115310791,0.135008453,-0.440804754,0.083731897,-0.203645682,0.852132318,0.090747141,0.473459563,268464.118584295
60,268464148647291,0.144029256,-0.444456075,0.086096896,-0.206904944,0.851166173,0.090836122,0.473767182,268464.151920795
61,268464181983833,0.154709810,-0.451854584,0.086781795,-0.209405568,0.848859626,0.090888438,0.476787153,268464.185257337
62,268464215320333,0.168391017,-0.461418523,0.087310353,-0.211287541,0.845408009,0.096483018,0.480971885,268464.218593837
63,268464248656958,0.174339812,-0.464505184,0.088516996,-0.212404717,0.844497562,0.100432000,0.481270786,268464.251930462
64,268464281993541,0.183877601,-0.470971919,0.088464331,-0.213782282,0.845143827,0.103661815,0.478835388,268464.285267045
65,268464315329916,0.196205750,-0.478848343,0.088018089,-0.215051710,0.846289721,0.106965789,0.475504829,268464.318603420
66,268464348666500,0.198855124,-0.477676606,0.087948160,-0.215301523,0.846762317,0.108722303,0.474150131,268464.351940004
67,268464382003041,0.206926131,-0.482390337,0.087483785,-0.218160185,0.845687818,0.113172107,0.473719722,268464.385276545
68,268464415339625,0.217163175,-0.487737634,0.087076377,-0.224249670,0.842474514,0.118922455,0.475190784,268464.418613129
69,268464448676125,0.220610040,-0.487034683,0.086215319,-0.227627036,0.841223244,0.121572164,0.475131191,268464.451949629
70,268464482012708,0.227544013,-0.490448656,0.085655105,-0.230634799,0.841648415,0.124251432,0.472225761,268464.485286212
71,268464515349291,0.236302496,-0.494638270,0.085095342,-0.235009884,0.841822252,0.127862682,0.468782294,268464.518622795
72,268464548685791,0.243400213,-0.500277015,0.085565571,-0.236830049,0.840769472,0.127738182,0.469788498,268464.551959295
73,268464582022416,0.248819331,-0.503404217,0.085803881,-0.240593043,0.839787385,0.127935542,0.469579265,268464.585295920
74,268464615358791,0.255819052,-0.507412335,0.086017367,-0.245577657,0.838989843,0.127774888,0.468466955,268464.618632295
75,268464648695375,0.262073953,-0.511907473,0.085393926,-0.246214401,0.839180594,0.127141033,0.467963257,268464.651968879
76,268464682031958,0.267295945,-0.515970022,0.084915204,-0.247032255,0.840211539,0.127793091,0.465498242,268464.685305462
77,268464715368500,0.274205557,-0.521444091,0.084049188,-0.249694236,0.840886173,0.131458943,0.461824461,268464.718642004
78,268464748704958,0.280878272,-0.527598862,0.083748346,-0.251056604,0.839629472,0.133739326,0.462716736,268464.751978462
79,268464782041541,0.285231071,-0.532045474,0.083498836,-0.251996834,0.836475782,0.135335266,0.467429440,268464.785315045
80,268464815378083,0.290982392,-0.537612649,0.083174981,-0.258509954,0.830496334,0.139424922,0.473296088,268464.818651587
81,268464848714625,0.297686619,-0.543587459,0.081756500,-0.265002110,0.827481827,0.142707494,0.474006680,268464.851988129
82,268464882051125,0.304097448,-0.549781356,0.080965869,-0.269640375,0.826414035,0.144036139,0.472850457,268464.885324629
83,268464915387625,0.309163128,-0.554864040,0.080380373,-0.273704903,0.825198610,0.145714111,0.472123217,268464.918661129
84,268464948724166,0.314332713,-0.560100790,0.079874503,-0.279764113,0.822650935,0.149890597,0.471710020,268464.951997670
85,268464982060708,0.321554983,-0.568435642,0.079688600,-0.286381319,0.819227452,0.153535792,0.472524006,268464.985334212
86,268465015397250,0.327213393,-0.575397023,0.079749899,-0.290747744,0.816901194,0.155024579,0.473397953,268465.018670754
87,268465048733708,0.333722984,-0.582695899,0.080669796,-0.296543411,0.813675295,0.159101479,0.474005583,268465.052007212
88,268465082070333,0.342616958,-0.593391413,0.080843458,-0.305888161,0.808292550,0.167516034,0.474377507,268465.085343837
89,268465115406791,0.349576077,-0.602160669,0.081143333,-0.311665889,0.805461551,0.171864946,0.473876098,268465.118911296
90,268465148743416,0.355676201,-0.610380496,0.082331285,-0.315457246,0.804082497,0.173005009,0.473294184,268465.152247921
91,268465182079875,0.365835497,-0.623477788,0.083287373,-0.321276324,0.803371612,0.173764036,0.470299574,268465.185584380
92,268465215416541,0.373968688,-0.633616786,0.083993815,-0.326275043,0.803032480,0.177042664,0.466196720,268465.218921046
93,268465248752958,0.381302289,-0.642883073,0.085205436,-0.329652069,0.801801458,0.180471780,0.464622346,268465.252257463
94,268465282089500,0.392240553,-0.657838180,0.086862857,-0.333272797,0.800045444,0.185087901,0.463248371,268465.285594005
95,268465315426125,0.400554894,-0.669156267,0.088268432,-0.336311522,0.799302109,0.188919785,0.460782017,268465.318930630
96,268465348762541,0.408709788,-0.681218184,0.090270801,-0.339314540,0.797829843,0.191183680,0.460197825,268465.352267046
97,268465382099083,0.419107155,-0.695838590,0.092682392,-0.345013093,0.794972017,0.194014591,0.459721491,268465.385603588
98,268465415435666,0.426822944,-0.706587416,0.094304707,-0.349376839,0.793091487,0.196354515,0.458679273,268465.418940171
99,268465448772166,0.434664303,-0.718239783,0.094967947,-0.353298583,0.791452542,0.197721565,0.457918356,268465.452276671
100,268465482108666,0.444782612,-0.732470456,0.096596461,-0.357091183,0.790875206,0.198437925,0.455658576,268465.485613171
101,268465515445250,0.452434310,-0.743081713,0.097562928,-0.359334672,0.790389546,0.199542034,0.454253222,268465.518949755
102,268465548781750,0.458945998,-0.752982517,0.096727139,-0.360445673,0.789294792,0.199504084,0.455292018,268465.552286255
103,268465582118333,0.468584019,-0.766361938,0.097470521,-0.362326679,0.787839795,0.199602351,0.456274906,268465.585622838
104,268465615454916,0.475798686,-0.775735796,0.097687462,-0.363903340,0.787489697,0.199330511,0.455743061,268465.618959421
105,268465648791416,0.483212905,-0.783953081,0.096490931,-0.364921081,0.788146504,0.196031958,0.455224360,268465.652295921
106,268465682127916,0.493219628,-0.795093680,0.095856580,-0.365182858,0.790887659,0.191305839,0.452261341,268465.685632421
107,268465715464333,0.501118679,-0.803019493,0.095226800,-0.364345301,0.792017018,0.190993044,0.451091183,268465.718968838
108,268465748800958,0.510394287,-0.810903097,0.093710910,-0.363953467,0.791596123,0.193421783,0.451111426,268465.752305463
109,268465782137541,0.520815431,-0.819277055,0.092707350,-0.365621208,0.790674973,0.197246939,0.449719821,268465.785642046
110,268465815474041,0.528465292,-0.824630960,0.091829941,-0.366210114,0.790019312,0.200200982,0.449087140,268465.818978546
111,268465848810583,0.541392578,-0.833799611,0.090373498,-0.367336936,0.788935299,0.204501874,0.448133580,268465.852315088
112,268465882147125,0.549257310,-0.837995055,0.089108719,-0.369006937,0.787709305,0.206953157,0.447792781,268465.885651630
113,268465915483541,0.557483499,-0.841574554,0.087535714,-0.371349505,0.786131485,0.209837842,0.447286225,268465.918988046
114,268465948820166,0.570923953,-0.846850359,0.085673288,-0.376167259,0.784785288,0.215530138,0.442896216,268465.952324671
115,268465982156750,0.581082704,-0.848917423,0.083829219,-0.381556503,0.783179619,0.219338797,0.439243514,268465.985661255
116,268466015493208,0.591691663,-0.850353758,0.082123502,-0.387879769,0.780940467,0.221182189,0.436760533,268466.018997713
117,268466048829833,0.607778512,-0.852479271,0.080847475,-0.397649086,0.778066582,0.222928783,0.432192560,268466.052334338
118,268466082166375,0.619329043,-0.853228061,0.079227195,-0.404267991,0.776050696,0.221293226,0.430513728,268466.085670880
119,268466115502708,0.631025011,-0.853700395,0.077602123,-0.411061054,0.774521211,0.218026964,0.428497374,268466.119007213
120,268466148839375,0.647543309,-0.854431194,0.076444475,-0.420734723,0.772831254,0.214564320,0.423882474,268466.152343880
121,268466182175916,0.660240913,-0.855145555,0.075233659,-0.426362587,0.771287895,0.210261508,0.423225801,268466.185680421
122,268466215512458,0.673559375,-0.856379679,0.074319365,-0.430267394,0.770365356,0.207027389,0.422548105,268466.219016963
123,268466248849000,0.692917828,-0.860670909,0.074025226,-0.431502063,0.768917765,0.207866901,0.423512509,268466.252353505
124,268466282185625,0.707245352,-0.862896304,0.074295545,-0.431700130,0.767119981,0.210152375,0.425438557,268466.285690130
125,268466315522041,0.721174359,-0.864557151,0.074969892,-0.432258626,0.765653672,0.209816405,0.427672847,268466.319026546
126,268466348858541,0.739856483,-0.868643110,0.076255511,-0.435651243,0.762835505,0.206518794,0.430859639,268466.352363046
127,268466382195041,0.752816101,-0.868576466,0.076577518,-0.441141756,0.759850787,0.207484849,0.430082346,268466.385699546
128,268466415531500,0.765596479,-0.868378074,0.076370102,-0.446524704,0.757794995,0.211255263,0.426302360,268466.419036005
129,268466448868041,0.781688889,-0.871291692,0.076017397,-0.451624914,0.757773329,0.216041241,0.418498213,268466.452372546
130,268466482204708,0.792874918,-0.871938633,0.075542642,-0.453212745,0.757866431,0.219120171,0.414997691,268466.485709213
131,268466515541166,0.803309298,-0.873047090,0.075544060,-0.453492187,0.755728090,0.223266514,0.416379644,268466.519045671
132,268466548877666,0.813292671,-0.877466408,0.076884640,-0.453925194,0.752671738,0.228047128,0.418845716,268466.552382171
133,268466582214250,0.823054294,-0.879379418,0.077077376,-0.455905153,0.752190660,0.230304255,0.416316833,268466.585718755
134,268466615550708,0.832783110,-0.881106391,0.077023097,-0.458789081,0.752282304,0.231218934,0.412458206,268466.619055213
135,268466648887166,0.836050466,-0.881922245,0.077047268,-0.463255245,0.754442449,0.230000755,0.404117403,268466.652391671
