recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268463448579333,-0.038188782,-0.233821248,0.101547755,-0.117577090,0.847176498,0.058222585,0.514857060,268463.455852837
40,268463481915875,-0.034968423,-0.238524161,0.100314864,-0.120297444,0.848722689,0.060752274,0.511378076,268463.489189379
41,268463515252541,-0.030315879,-0.244827244,0.098802278,-0.124310766,0.849101239,0.063784465,0.509416837,268463.522526045
42,268463548589125,-0.029410414,-0.255451542,0.099088290,-0.125949272,0.848824789,0.065173230,0.509299286,268463.555862629
43,268463581925708,-0.025275873,-0.260416138,0.097817716,-0.128051369,0.848573883,0.067348705,0.508910028,268463.589199212
44,268463615262250,-0.018645895,-0.266959406,0.095680894,-0.134096005,0.848979603,0.073524890,0.505812256,268463.622535754
45,268463648598958,-0.015207574,-0.279845989,0.098340113,-0.138884303,0.850345451,0.075382506,0.501937541,268463.655872462
46,268463681935541,-0.007540273,-0.287293145,0.095475599,-0.143623633,0.852501453,0.078140647,0.496495335,268463.689209045
47,268463715272041,-0.001517593,-0.293067091,0.093023104,-0.147834464,0.853646278,0.080233514,0.492945880,268463.722545545
48,268463748608625,0.005342224,-0.303644052,0.092092823,-0.153904070,0.853939887,0.082128982,0.490260226,268463.755882129
49,268463781945250,0.014850756,-0.312545436,0.088536424,-0.161621669,0.852920549,0.082595441,0.489472185,268463.789218754
50,268463815281708,0.022852398,-0.319962045,0.085998892,-0.167401268,0.852392711,0.083538018,0.488287759,268463.822555212
51,268463848618291,0.031408392,-0.332132422,0.085183013,-0.171355017,0.852298956,0.084898234,0.486843188,268463.855891795
52,268463881954875,0.043270451,-0.344184449,0.083175020,-0.175158920,0.852268173,0.084186971,0.485665441,268463.889228379
53,268463915291416,0.052543761,-0.353528856,0.082197007,-0.177945528,0.852114931,0.081153474,0.485437637,268463.922564920
54,268463948628000,0.061790264,-0.364501666,0.082043276,-0.180794981,0.852016384,0.076599948,0.485297596,268463.955901504
55,268463981964583,0.075340187,-0.377129581,0.081539304,-0.183985709,0.851821032,0.072712602,0.485039296,268463.989238087
56,268464015301166,0.086215988,-0.386523444,0.081302782,-0.188860699,0.851116335,0.074786161,0.484086463,268464.022574670
57,268464048637666,0.096734590,-0.395294911,0.081674617,-0.193286211,0.850914169,0.079648125,0.481914667,268464.055911170
58,268464081974208,0.111740375,-0.406641461,0.081991434,-0.199075621,0.851570898,0.085706973,0.477336644,268464.089247712
59,268464115310791,0.122592734,-0.414395305,0.082392659,-0.202580002,0.851852930,0.088813819,0.474784254,268464.122584295
60,268464148647291,0.132356422,-0.422096484,0.083945364,-0.205794244,0.851383755,0.089768465,0.474063399,268464.155920795
61,268464181983833,0.145393455,-0.431202842,0.084859269,-0.209027844,0.848654639,0.090912650,0.477312904,268464.189257337
62,268464215320333,0.154795416,-0.437773808,0.085327585,-0.210658032,0.846395642,0.094059712,0.479990035,268464.222593837
63,268464248656958,0.163633099,-0.445862783,0.086376165,-0.212060772,0.845010767,0.098143614,0.480993677,268464.255930462
64,268464281993541,0.175676430,-0.453627535,0.086087972,-0.213709005,0.845296085,0.102851165,0.478774144,268464.289267045
65,268464315329916,0.184346035,-0.458861058,0.085614315,-0.214686795,0.845963146,0.105266145,0.476628815,268464.322603420
66,268464348666500,0.192643915,-0.465897881,0.086177084,-0.215373772,0.846566493,0.108040452,0.474622614,268464.355940004
67,268464382003041,0.203054316,-0.471626164,0.085451751,-0.218954477,0.845309415,0.113349797,0.473986082,268464.389276545
68,268464415339625,0.210493783,-0.475211805,0.085009231,-0.222785955,0.843384918,0.117225295,0.474685771,268464.422613129
69,268464448676125,0.218625078,-0.481348143,0.085396766,-0.226535798,0.841871309,0.120925333,0.474669725,268464.455949629
70,268464482012708,0.228144847,-0.485644508,0.084616992,-0.231262467,0.841747236,0.125040837,0.471533779,268464.489286212
71,268464515349291,0.234803796,-0.488646310,0.084202213,-0.234044364,0.841708872,0.127187309,0.469651841,268464.522622795
72,268464548685791,0.242433365,-0.495572956,0.084953557,-0.236546953,0.841067384,0.128417880,0.469212207,268464.555959295
73,268464582022416,0.249970169,-0.499705190,0.085196874,-0.241266829,0.839883343,0.128684256,0.468856804,268464.589295920
74,268464615358791,0.255532470,-0.502797943,0.085290695,-0.244455971,0.839185507,0.128523595,0.468498348,268464.622632295
75,268464648695375,0.261030211,-0.507637248,0.084849948,-0.246230910,0.839112357,0.128178586,0.467793858,268464.655968879
76,268464682031958,0.268368056,-0.513262025,0.084172519,-0.247813598,0.840136153,0.129165929,0.464839629,268464.689305462
77,268464715368500,0.273707187,-0.517537520,0.083542271,-0.249458469,0.840536492,0.131367179,0.462613873,268464.722642004
78,268464748704958,0.280474385,-0.524160571,0.082884395,-0.250998714,0.839078710,0.133868103,0.463708905,268464.755978462
79,268464782041541,0.284974887,-0.528552430,0.082607763,-0.253224781,0.836020186,0.136418620,0.467265954,268464.789315045
80,268464815378083,0.289540423,-0.532739304,0.082308595,-0.257312016,0.832083589,0.139061894,0.471263483,268464.822651587
81,268464848714625,0.296506018,-0.538542491,0.080962648,-0.264476200,0.828168211,0.142484966,0.473167880,268464.855988129
82,268464882051125,0.301773742,-0.543124864,0.080389121,-0.268548428,0.826705413,0.144049025,0.472958596,268464.889324629
83,268464915387625,0.307232656,-0.548163872,0.079826737,-0.272757843,0.825406407,0.145710516,0.472309137,268464.922661129
84,268464948724166,0.314084843,-0.555027078,0.079617079,-0.279922017,0.822477764,0.150141322,0.471838563,268464.955997670
85,268464982060708,0.319858846,-0.561258688,0.079584799,-0.284673433,0.820125115,0.152490393,0.472337343,268464.989334212
86,268465015397250,0.325952070,-0.568049152,0.079665871,-0.289539754,0.817598555,0.154735442,0.473028889,268465.022670754
