recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.019214608,0.107554916,-0.147615405,-0.039711963,0.875517880,-0.004259377,0.481532256,268541.188954505
40,268541218786500,0.018983042,0.108857847,-0.151578056,-0.040256000,0.874034976,-0.004011015,0.484175877,268541.222291005
41,268541252123000,0.018071445,0.110032451,-0.155188681,-0.040015377,0.870683943,-0.005067778,0.490186303,268541.255627505
42,268541285459541,0.016708302,0.111097112,-0.159751021,-0.037976835,0.866630090,-0.006764028,0.497457886,268541.288964046
43,268541318796083,0.015817068,0.111338462,-0.163116395,-0.036676987,0.863230062,-0.004920811,0.503452577,268541.322300588
44,268541352132625,0.014800422,0.111353055,-0.166274778,-0.035839882,0.858039135,-0.002179493,0.512327677,268541.355637130
45,268541385469083,0.013785429,0.110756149,-0.170437903,-0.032749794,0.852045276,-0.000307320,0.522442587,268541.388973588
46,268541418805625,0.013745791,0.109688708,-0.173630137,-0.029718537,0.849310713,0.001356122,0.527054396,268541.422310130
47,268541452142125,0.014300228,0.108624760,-0.176556839,-0.030281548,0.846632225,0.003330941,0.531305808,268541.455646630
48,268541485478666,0.015783714,0.107245321,-0.180067986,-0.036108967,0.844914256,0.001954359,0.533678064,268541.488983171
49,268541518815083,0.017039580,0.105650520,-0.182701954,-0.039440943,0.845102873,-0.000615462,0.533146528,268541.522319588
50,268541552151666,0.018366252,0.102633381,-0.186241398,-0.043001487,0.842849009,0.000750982,0.536428848,268541.555656171
51,268541585488125,0.019092220,0.100024380,-0.189595929,-0.043880040,0.840840376,0.002476809,0.539495989,268541.588992630
52,268541618824541,0.019992735,0.097285599,-0.193313232,-0.044123524,0.838632703,0.004597901,0.542887849,268541.622329046
53,268541652161083,0.021336958,0.093830086,-0.199503399,-0.043536316,0.836371394,0.003847946,0.546418088,268541.655665588
54,268541685497500,0.022384616,0.086973588,-0.201542238,-0.041228075,0.837148871,-0.000533906,0.545418904,268541.689002005
55,268541718834083,0.024583331,0.084488885,-0.208545434,-0.041736077,0.838934898,-0.000826405,0.542628516,268541.722338588
56,268541752170625,0.027678146,0.081729199,-0.218641357,-0.044868420,0.841063044,0.001130031,0.539071941,268541.755675130
57,268541785507083,0.031650050,0.071318788,-0.230768337,-0.046901469,0.843397337,0.004792623,0.535217963,268541.789011588
58,268541818843500,0.033599088,0.069269354,-0.238410043,-0.046162520,0.845118535,0.004606199,0.532562221,268541.822348005
59,268541852180000,0.035883135,0.067170294,-0.247852791,-0.043791098,0.845969810,0.004469652,0.531410853,268541.855684505
60,268541885516500,0.037588046,0.066062034,-0.253673817,-0.045405301,0.845809192,0.005213390,0.531524264,268541.889021005
61,268541918852958,0.039658033,0.065993188,-0.259707225,-0.045307528,0.847404671,0.002150453,0.529006597,268541.922357463
62,268541952189375,0.041882565,0.066151702,-0.267571602,-0.041365778,0.848560035,0.000196460,0.527479625,268541.955693880
63,268541985525958,0.042192487,0.067737992,-0.273005778,-0.038052746,0.848553831,0.000783407,0.527738404,268541.989030463
64,268542018862375,0.044006251,0.069222267,-0.278992714,-0.034558535,0.849995241,-0.000768317,0.525655078,268542.022366880
65,268542052198833,0.046738245,0.072283590,-0.286699003,-0.030020600,0.852748236,-0.006081883,0.521423316,268542.055703338
66,268542085535375,0.046985173,0.075355711,-0.293101025,-0.026746021,0.855296472,-0.009079756,0.517368540,268542.089039880
67,268542118871791,0.049536182,0.078952176,-0.298544320,-0.023366361,0.857308855,-0.008154266,0.514207256,268542.122376296
68,268542152208333,0.052900067,0.085877175,-0.304373029,-0.019186194,0.859659427,-0.008553971,0.510435541,268542.155712838
69,268542185544833,0.055577768,0.092432374,-0.311493280,-0.015961981,0.860954892,-0.010320895,0.508326097,268542.189049338
70,268542218881291,0.057980530,0.100762855,-0.314477099,-0.012267456,0.862182052,-0.012436783,0.506297343,268542.222385796
71,268542252217666,0.061436643,0.114610367,-0.317528143,-0.009335294,0.863309935,-0.013805352,0.504398923,268542.255722171
72,268542285554166,0.064323675,0.126309659,-0.322997374,-0.008512189,0.863819191,-0.017275540,0.503433767,268542.289058671
73,268542318890541,0.066641542,0.140308787,-0.323603127,-0.005588440,0.864198199,-0.027091266,0.502390644,268542.322395046
74,268542352227166,0.069729526,0.160554377,-0.324107407,0.001241241,0.862926585,-0.038515287,0.503857910,268542.355731671
75,268542385563583,0.073152216,0.176172244,-0.327691411,0.004819759,0.861818255,-0.040085120,0.505607853,268542.389068088
76,268542418900000,0.076989427,0.192961068,-0.329101138,0.006688635,0.862273978,-0.037820258,0.504983693,268542.422404505
77,268542452236416,0.081522220,0.216401881,-0.329471083,0.009941720,0.862887007,-0.037858921,0.503878885,268542.455740921
78,268542485572916,0.083160017,0.233756410,-0.329885890,0.018271005,0.861839712,-0.044834849,0.504864705,268542.489077421
79,268542518909333,0.085234813,0.250778381,-0.329121150,0.026329859,0.860751821,-0.049585298,0.505919355,268542.522413838
80,268542552245875,0.089438804,0.272073662,-0.328736203,0.030181403,0.860819087,-0.046743978,0.505860293,268542.555750380
81,268542585582416,0.093035627,0.284915187,-0.325755289,0.031363103,0.860944435,-0.040825118,0.506087343,268542.589086921
82,268542618918791,0.096264657,0.301922703,-0.324481247,0.036658211,0.860433839,-0.042764533,0.506439565,268542.622423296
83,268542652255333,0.098677476,0.312910425,-0.323902798,0.039896074,0.859889851,-0.041836565,0.507195724,268542.655759838
84,268542685591833,0.102684182,0.320838763,-0.320562818,0.042424797,0.859947010,-0.037302735,0.507247312,268542.689096338
85,268542718928250,0.105939842,0.331714057,-0.320543123,0.046056950,0.859762707,-0.035451014,0.507375722,268542.722432755
86,268542752264625,0.108140492,0.338715464,-0.320807980,0.048787630,0.859309403,-0.035396510,0.507891973,268542.755769130
87,268542785601250,0.111673865,0.346331550,-0.319441366,0.051682251,0.859066387,-0.033474571,0.508147020,268542.789105755
88,268542818937583,0.114630000,0.353242099,-0.320928819,0.054606043,0.858979588,-0.031139748,0.508136416,268542.822442088
89,268542852274083,0.116887865,0.357710866,-0.322215609,0.055179901,0.859367786,-0.029816115,0.507497034,268542.855778588
90,268542885610541,0.120457466,0.365640562,-0.323266889,0.055966976,0.859293067,-0.028420729,0.507617412,268542.889115046
91,268542918946958,0.123340062,0.370296058,-0.325703236,0.056157080,0.858733136,-0.022371097,0.508845135,268542.922451463
92,268542952283416,0.125766427,0.373591334,-0.327796326,0.052680029,0.858467915,-0.013543291,0.509974790,268542.955787921
93,268542985619875,0.128056760,0.379289653,-0.330507096,0.047401068,0.858547809,-0.004511424,0.510517874,268542.989124380
94,268543018956416,0.130034816,0.383823232,-0.333030093,0.043054067,0.860236382,-0.001992851,0.508070661,268543.022460921
95,268543052292750,0.131245386,0.387441299,-0.334758668,0.038522779,0.862187206,-0.003426018,0.505111406,268543.055797255
96,268543085629208,0.131934789,0.391880013,-0.336900929,0.032985542,0.863988944,-0.002273774,0.502424066,268543.089133713
97,268543118965708,0.133177480,0.396756051,-0.338536380,0.028149045,0.865619221,-0.003075991,0.499901577,268543.122470213
98,268543152302208,0.134264247,0.400612547,-0.339419484,0.025534078,0.866226680,-0.004941419,0.498973933,268543.155806713
99,268543185638625,0.135994137,0.407227748,-0.340748138,0.023249595,0.867120738,-0.005717236,0.497522310,268543.189143130
100,268543218975125,0.138751047,0.413520815,-0.341606842,0.019294808,0.868034404,-0.004578215,0.496107929,268543.222479630
101,268543252311583,0.140954856,0.418741393,-0.342000496,0.015945866,0.868490959,-0.002801886,0.495440597,268543.255816088
102,268543285648000,0.143506228,0.425441913,-0.342530442,0.011340118,0.869053247,-0.000951912,0.494587711,268543.289152505
103,268543318984500,0.146516351,0.433477137,-0.340830706,0.002859091,0.870086782,0.000737535,0.492889771,268543.322489005
104,268543352321000,0.148417309,0.439421946,-0.338327944,-0.003668453,0.869805997,0.003819449,0.493365518,268543.355825505
105,268543385657333,0.148940455,0.445059518,-0.335982890,-0.007365808,0.868588232,0.006612254,0.495435727,268543.389161838
106,268543418993750,0.150638043,0.452195140,-0.331069380,-0.007999483,0.867225351,0.009602477,0.497759022,268543.422498255
107,268543452330208,0.152783536,0.457073984,-0.327056815,-0.010233605,0.867014257,0.015950516,0.497922871,268543.455834713
108,268543485666666,0.154550664,0.460914856,-0.323138111,-0.014946755,0.866881561,0.021056829,0.497844973,268543.489171171
109,268543519003208,0.158909057,0.465538003,-0.315212401,-0.019672793,0.871502877,0.020497192,0.489566783,268543.522507713
110,268543552339625,0.162431721,0.467542737,-0.307579058,-0.027312644,0.873249289,0.025559693,0.485835831,268543.555844130
111,268543585676041,0.164126931,0.468288521,-0.299444863,-0.029487903,0.873609288,0.024686335,0.485106084,268543.589180546
112,268543619012500,0.168586873,0.466678776,-0.286800311,-0.026891415,0.879718370,0.022716287,0.474190325,268543.622517005
