recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018642477,0.095133733,-0.137392327,-0.038291258,0.875988408,-0.002850193,0.480801433,268541.188954505
40,268541218786500,0.018590358,0.095900737,-0.141104163,-0.038843942,0.874507519,-0.002570406,0.483447198,268541.222291005
41,268541252123000,0.017864869,0.096522494,-0.144410031,-0.038602714,0.871164508,-0.003604938,0.489458157,268541.255627505
42,268541285459541,0.016038818,0.097064848,-0.148481119,-0.036566945,0.867124076,-0.005266883,0.496720252,268541.288964046
43,268541318796083,0.014852908,0.096929315,-0.151460910,-0.035268264,0.863726261,-0.003392533,0.502714272,268541.322300588
44,268541352132625,0.013522045,0.096336420,-0.154255676,-0.034425113,0.858538665,-0.000632041,0.511591562,268541.355637130
45,268541385469083,0.011333445,0.095083025,-0.157689101,-0.031330967,0.852553737,0.001269018,0.521698130,268541.388973588
46,268541418805625,0.010208820,0.093451802,-0.160286055,-0.028304257,0.849824600,0.002959259,0.526296793,268541.422310130
47,268541452142125,0.009821341,0.091365683,-0.162772888,-0.028879727,0.847149278,0.004961852,0.530546411,268541.455646630
48,268541485478666,0.009896390,0.088810687,-0.165420825,-0.034731848,0.845443437,0.003631683,0.532922093,268541.488983171
49,268541518815083,0.010354656,0.086643468,-0.167386267,-0.038077530,0.845641284,0.001103224,0.532390606,268541.522319588
50,268541552151666,0.010985608,0.082870260,-0.170225412,-0.041646284,0.843389080,0.002520850,0.535681010,268541.555656171
51,268541585488125,0.011003066,0.079615475,-0.172454599,-0.042533450,0.841377257,0.004276973,0.538755025,268541.588992630
52,268541618824541,0.011072924,0.075891022,-0.175070417,-0.042781266,0.839171195,0.006427964,0.542144080,268541.622329046
53,268541652161083,0.011059787,0.070880294,-0.179437529,-0.042201947,0.836922016,0.005708644,0.545662900,268541.655665588
54,268541685497500,0.022592910,0.075706151,-0.190940383,-0.040463553,0.838636494,0.001462740,0.543184540,268541.689002005
55,268541718834083,0.024420901,0.072426186,-0.197136518,-0.041011409,0.840434064,0.001218100,0.540358416,268541.722338588
56,268541752170625,0.027446972,0.068513682,-0.206538939,-0.044176969,0.842572609,0.003231972,0.536758234,268541.755675130
57,268541785507083,0.031699815,0.065810897,-0.222791362,-0.045743735,0.844602915,0.005677760,0.533405327,268541.789011588
58,268541818843500,0.033973735,0.063271990,-0.230550768,-0.045020402,0.846337289,0.005504979,0.530712828,268541.822348005
59,268541852180000,0.036791786,0.060292634,-0.240324844,-0.042675020,0.847208090,0.005390944,0.529517030,268541.855684505
60,268541885516500,0.039221261,0.059948403,-0.247237077,-0.044248474,0.847062341,0.005898395,0.529615639,268541.889021005
61,268541918852958,0.041483671,0.059406265,-0.253397997,-0.044168747,0.848679033,0.002842890,0.527053121,268541.922357463
62,268541952189375,0.044811520,0.059205319,-0.261511341,-0.040248153,0.849852803,0.000905002,0.525480288,268541.955693880
63,268541985525958,0.045958356,0.063756930,-0.267188608,-0.036782468,0.849754515,0.000971314,0.525892978,268541.989030463
64,268542018862375,0.048173767,0.064898112,-0.273223164,-0.033303766,0.851209863,-0.000586884,0.523767446,268542.022366880
65,268542052198833,0.051757728,0.067499521,-0.281078688,-0.028793010,0.853978782,-0.005904367,0.519477039,268542.055703338
66,268542085535375,0.051277655,0.073045089,-0.285879560,-0.025372509,0.856383347,-0.009322719,0.515632562,268542.089039880
67,268542118871791,0.054747194,0.076586795,-0.291763453,-0.021996432,0.858397751,-0.008398948,0.512444113,268542.122376296
68,268542152208333,0.059583010,0.082666758,-0.298340121,-0.017826228,0.860754589,-0.008816382,0.508631584,268542.155712838
69,268542185544833,0.062148350,0.089719170,-0.305880078,-0.014504575,0.861877540,-0.010762632,0.506794773,268542.189049338
70,268542218881291,0.065694749,0.097486774,-0.309176198,-0.010818974,0.863109795,-0.012888377,0.504735945,268542.222385796
71,268542252217666,0.070860008,0.110406587,-0.312691705,-0.007901179,0.864246344,-0.014264817,0.502804531,268542.255722171
72,268542285554166,0.071586615,0.122174492,-0.318984950,-0.006975270,0.864535995,-0.017954197,0.502201711,268542.289058671
73,268542318890541,0.075142192,0.135750962,-0.319872335,-0.004064026,0.864918907,-0.027792233,0.501125147,268542.322395046
74,268542352227166,0.079837633,0.156255960,-0.320456346,0.002744623,0.863649983,-0.039229586,0.502555736,268542.355731671
75,268542385563583,0.079234485,0.173031915,-0.320317850,0.006436141,0.862255338,-0.041090247,0.504763264,268542.389068088
76,268542418900000,0.083762509,0.190252486,-0.321419365,0.008302325,0.862716780,-0.038832590,0.504125888,268542.422404505
77,268542452236416,0.090113439,0.214391199,-0.322403559,0.011558506,0.863329007,-0.038903027,0.503006992,268542.455740921
78,268542485572916,0.087256378,0.233333607,-0.321074396,0.020020785,0.861922956,-0.046017778,0.504549704,268542.489077421
79,268542518909333,0.089880890,0.251851007,-0.319968257,0.028067635,0.860821373,-0.050778652,0.505589116,268542.522413838
80,268542552245875,0.094580794,0.275543317,-0.318977929,0.031906370,0.860886267,-0.047941296,0.505527946,268542.555750380
81,268542585582416,0.095178882,0.291597688,-0.318645688,0.033178582,0.860806969,-0.042146362,0.506097107,268542.589086921
82,268542618918791,0.099351346,0.311209110,-0.317168968,0.038477697,0.860282493,-0.044120339,0.506445405,268542.622423296
83,268542652255333,0.102157797,0.324354737,-0.316121068,0.041710545,0.859731562,-0.043199179,0.507203860,268542.655759838
84,268542685591833,0.103642835,0.333937164,-0.314237024,0.044405793,0.859589008,-0.038542711,0.507591741,268542.689096338
85,268542718928250,0.107226728,0.346927313,-0.313693840,0.048037868,0.859393175,-0.036718137,0.507727846,268542.722432755
86,268542752264625,0.109637927,0.355485886,-0.313491681,0.050768265,0.858930795,-0.036678932,0.508247165,268542.755769130
87,268542785601250,0.109453456,0.356409926,-0.311142372,0.053822543,0.858451404,-0.034165182,0.508917591,268542.789105755
88,268542818937583,0.112168992,0.364194244,-0.311972967,0.056743971,0.858352301,-0.031843269,0.508917978,268542.822442088
89,268542852274083,0.114291160,0.369185837,-0.312928887,0.057316606,0.858734013,-0.030527777,0.508290084,268542.855778588
90,268542885610541,0.115632925,0.366223621,-0.313009830,0.058163118,0.858585684,-0.028438844,0.508565591,268542.889115046
91,268542918946958,0.118162270,0.370421492,-0.315155850,0.058344796,0.858009177,-0.022387103,0.509818602,268542.922451463
92,268542952283416,0.120309700,0.373022845,-0.317135632,0.054852275,0.857734156,-0.013562740,0.510978915,268542.955787921
93,268542985619875,0.122403017,0.375467334,-0.319164996,0.049559264,0.857855697,-0.004381372,0.511476626,268542.989124380
94,268543018956416,0.124193317,0.378458480,-0.321506025,0.045216677,0.859546969,-0.001881474,0.509049088,268543.022460921
95,268543052292750,0.125145789,0.380892291,-0.323169163,0.040685050,0.861505885,-0.003312575,0.506104156,268543.055797255
96,268543085629208,0.128855341,0.388184919,-0.328112267,0.035008977,0.863391813,-0.002270822,0.503312871,268543.089133713
97,268543118965708,0.130005433,0.391850684,-0.330230593,0.030179102,0.865026400,-0.003082348,0.500808448,268543.122470213
98,268543152302208,0.130810642,0.394777997,-0.331414456,0.027568443,0.865635400,-0.004949090,0.499890883,268543.155806713
99,268543185638625,0.131991674,0.397901088,-0.332477909,0.025374718,0.866522295,-0.005476564,0.498462933,268543.189143130
100,268543218975125,0.134491430,0.402473726,-0.333726070,0.021419332,0.867435074,-0.004335254,0.497070280,268543.222479630
101,268543252311583,0.136610380,0.406419618,-0.334445787,0.018069333,0.867890729,-0.002559063,0.496419868,268543.255816088
102,268543285648000,0.138844441,0.410777517,-0.334807553,0.013518798,0.868449488,-0.000582111,0.495593021,268543.289152505
103,268543318984500,0.141937339,0.417077533,-0.334070365,0.005034396,0.869490148,0.001103912,0.493923447,268543.322489005
104,268543352321000,0.144085240,0.422013634,-0.332447471,-0.001491541,0.869208493,0.004181971,0.494425864,268543.355825505
105,268543385657333,0.152796747,0.445383938,-0.333536363,-0.005299630,0.868464176,0.006311260,0.495683477,268543.389161838
106,268543418993750,0.154678668,0.452564507,-0.329124987,-0.005928363,0.867100390,0.009292591,0.498011516,268543.422498255
107,268543452330208,0.156762590,0.457454367,-0.325703628,-0.008170540,0.866888338,0.015644138,0.498189889,268543.455834713
108,268543485666666,0.160167464,0.476982577,-0.320152761,-0.013097911,0.866845309,0.019768879,0.498012951,268543.489171171
109,268543519003208,0.164239663,0.483392232,-0.312711873,-0.017812711,0.871486901,0.019206428,0.489718751,268543.522507713
110,268543552339625,0.168773678,0.487044218,-0.306360465,-0.025455657,0.873242615,0.024270334,0.486014763,268543.555844130
