recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018176688,0.102795279,-0.143846056,-0.040243488,0.875731577,-0.003460083,0.481105755,268541.192954505
40,268541218786500,0.018131080,0.103934130,-0.147890597,-0.040034551,0.874239637,-0.003458405,0.483828880,268541.226291005
41,268541252123000,0.017165868,0.105227724,-0.152687497,-0.039506658,0.870568075,-0.004645216,0.490437485,268541.259627505
42,268541285459541,0.015947844,0.105942298,-0.156053580,-0.038458273,0.867583580,-0.005486599,0.495771765,268541.292964046
43,268541318796083,0.014624404,0.106214580,-0.160376857,-0.036883288,0.862572099,-0.003590757,0.504575225,268541.326300588
44,268541352132625,0.013608295,0.105899058,-0.163434401,-0.035573844,0.857973799,-0.001802195,0.512457088,268541.359637130
45,268541385469083,0.012345038,0.104152806,-0.163491228,-0.033252817,0.853582547,-0.000990013,0.519894372,268541.392973588
46,268541418805625,0.011838227,0.102585236,-0.167222879,-0.030267082,0.849294078,0.001441455,0.527049758,268541.426310130
47,268541452142125,0.012273344,0.101015529,-0.169859009,-0.031171734,0.846583501,0.002765601,0.531335208,268541.459646630
48,268541485478666,0.013034996,0.099616828,-0.172115840,-0.034243874,0.845275435,0.002029740,0.533228590,268541.492983171
49,268541518815083,0.014508071,0.097260834,-0.175093462,-0.038848941,0.844480338,0.000237111,0.534175734,268541.526319588
50,268541552151666,0.015572014,0.094834744,-0.177473530,-0.041725442,0.843101231,0.000402244,0.536133559,268541.559656171
51,268541585488125,0.016182714,0.091983933,-0.179927159,-0.043118024,0.841353216,0.001728016,0.538760308,268541.592992630
52,268541618824541,0.017182780,0.087819074,-0.184001817,-0.043921956,0.838441800,0.004204811,0.543202156,268541.626329046
53,268541652161083,0.017892029,0.084723533,-0.187888622,-0.043334134,0.836798233,0.003604032,0.545781948,268541.659665588
54,268541685497500,0.023565534,0.080792697,-0.201411303,-0.041412685,0.837331223,0.003760259,0.545112215,268541.693002005
55,268541718834083,0.026492188,0.076700268,-0.210519437,-0.041987708,0.838954988,0.003134574,0.542569615,268541.726338588
56,268541752170625,0.028943852,0.073922948,-0.218163786,-0.043196544,0.840728805,0.003481810,0.539719433,268541.759675130
57,268541785507083,0.031662607,0.073005388,-0.226162014,-0.045222767,0.842764784,0.004542084,0.536359807,268541.793011588
58,268541818843500,0.034425762,0.070111388,-0.236528249,-0.044117376,0.845185993,0.004213042,0.532631765,268541.826348005
59,268541852180000,0.036273933,0.068374132,-0.243773501,-0.043198053,0.845830935,0.004809695,0.531677419,268541.859684505
60,268541885516500,0.035159454,0.069303258,-0.250805087,-0.043338582,0.845948708,0.004180043,0.531483895,268541.893021005
61,268541918852958,0.037431324,0.069123083,-0.259010224,-0.042536683,0.847580004,0.001323558,0.528958475,268541.926357463
62,268541952189375,0.039287558,0.069398776,-0.265050729,-0.040469881,0.848105563,0.000327918,0.528279366,268541.959693880
63,268541985525958,0.038839352,0.071173612,-0.270012181,-0.037366771,0.848585786,-0.000430372,0.527736445,268541.993030463
64,268542018862375,0.040697863,0.073056181,-0.277998582,-0.032798855,0.850065902,-0.002183211,0.525649583,268542.026366880
65,268542052198833,0.042550847,0.075272190,-0.283903839,-0.029195202,0.852007016,-0.005595897,0.522685779,268542.059703338
66,268542085535375,0.044310641,0.077826715,-0.290774854,-0.026073324,0.854377753,-0.008426180,0.518929561,268542.093039880
67,268542118871791,0.047533239,0.082584120,-0.298307079,-0.021471396,0.857155852,-0.008638259,0.514536936,268542.126376296
68,268542152208333,0.050002627,0.087254050,-0.302999125,-0.018304329,0.859064836,-0.009349998,0.511453995,268542.159712838
69,268542185544833,0.053894994,0.092444143,-0.309166262,-0.015184213,0.860574943,-0.010179045,0.508995724,268542.193049338
70,268542218881291,0.057109973,0.103054182,-0.313309961,-0.010609394,0.862274882,-0.012751162,0.506168875,268542.226385796
71,268542252217666,0.059749124,0.112933462,-0.315759634,-0.008268859,0.863105444,-0.013937593,0.504763723,268542.259722171
72,268542285554166,0.063049585,0.123523431,-0.320169608,-0.006916924,0.863812684,-0.016882292,0.503482715,268542.293058671
73,268542318890541,0.066355933,0.141680276,-0.321210637,-0.003112608,0.864067579,-0.027894962,0.502592733,268542.326395046
74,268542352227166,0.068831782,0.156848109,-0.321568593,0.001336330,0.863449703,-0.035520853,0.503181028,268542.359731671
75,268542385563583,0.073331570,0.177927151,-0.325507219,0.006083987,0.862395777,-0.039229199,0.504675769,268542.393068088
76,268542418900000,0.077085122,0.194769901,-0.326586942,0.008345998,0.862633959,-0.038068831,0.504325108,268542.426404505
77,268542452236416,0.080862833,0.212327811,-0.327287937,0.011293618,0.862826288,-0.038814146,0.503881698,268542.459740921
78,268542485572916,0.083625215,0.235707740,-0.326138645,0.020798249,0.861871467,-0.045181796,0.504681747,268542.493077421
79,268542518909333,0.085853525,0.253107562,-0.325098675,0.026901490,0.861216234,-0.048673921,0.505186907,268542.526413838
80,268542552245875,0.088830956,0.269658083,-0.324516691,0.031031284,0.860975792,-0.047752571,0.505447811,268542.559750380
81,268542585582416,0.093568908,0.288718580,-0.321975435,0.034080326,0.861001926,-0.043238156,0.505613222,268542.593086921
82,268542618918791,0.096434101,0.302098159,-0.320988165,0.037373205,0.860681575,-0.043148883,0.505933491,268542.626423296
83,268542652255333,0.098963595,0.314143742,-0.320069556,0.040612345,0.860266671,-0.042193476,0.506469798,268542.659759838
84,268542685591833,0.103477881,0.325974561,-0.316751707,0.044532936,0.860095208,-0.038367292,0.506735685,268542.693096338
85,268542718928250,0.106142462,0.334617272,-0.316590701,0.047207701,0.859914656,-0.036760850,0.506919037,268542.726432755
86,268542752264625,0.108576968,0.342281085,-0.316615690,0.049986842,0.859578805,-0.035993495,0.507277159,268542.759769130
87,268542785601250,0.112217814,0.350346710,-0.315454468,0.053720392,0.859078946,-0.033651775,0.507902643,268542.793105755
88,268542818937583,0.114485699,0.355742415,-0.316354688,0.055972733,0.859096583,-0.032322380,0.507715895,268542.826442088
89,268542852274083,0.116805300,0.360492572,-0.317549981,0.057132080,0.859214075,-0.030756323,0.507485173,268542.859778588
90,268542885610541,0.120738418,0.367738653,-0.319272187,0.058367688,0.859138623,-0.028456760,0.507606447,268542.893115046
91,268542918946958,0.122945435,0.371236591,-0.320976242,0.058292141,0.858846100,-0.024177887,0.508331473,268542.926451463
92,268542952283416,0.125331537,0.374364863,-0.322987984,0.055954970,0.858536743,-0.016888891,0.509409973,268542.959787921
93,268542985619875,0.127984238,0.380873716,-0.326880341,0.050395337,0.858686904,-0.006570895,0.509974497,268542.993124380
94,268543018956416,0.129678975,0.384032780,-0.328801316,0.046717208,0.859750293,-0.003572164,0.508560939,268543.026460921
95,268543052292750,0.131021221,0.387366108,-0.330675554,0.042383802,0.861414011,-0.003225224,0.506121691,268543.059797255
96,268543085629208,0.132802826,0.394735235,-0.334261437,0.036001565,0.863724178,-0.002797605,0.502669533,268543.093133713
97,268543118965708,0.133838873,0.398236069,-0.335706989,0.032019768,0.865104855,-0.003632565,0.500554873,268543.126470213
98,268543152302208,0.134859085,0.401896252,-0.336832495,0.029040383,0.865911883,-0.004734564,0.499330455,268543.159806713
99,268543185638625,0.136823100,0.407118311,-0.338081845,0.025786946,0.867120277,-0.005656993,0.497398744,268543.193143130
100,268543218975125,0.138933573,0.411348490,-0.338908524,0.023002781,0.867714528,-0.005158641,0.496503587,268543.226479630
101,268543252311583,0.141158223,0.416062300,-0.339490116,0.019794205,0.868280304,-0.003685634,0.495665181,268543.259816088
102,268543285648000,0.144354366,0.428534217,-0.340313333,0.013703623,0.869132072,-0.001904921,0.494386566,268543.293152505
103,268543318984500,0.146725155,0.434380389,-0.339444104,0.007754667,0.869769033,-0.000285950,0.493398081,268543.326489005
104,268543352321000,0.148903991,0.440364528,-0.337569953,0.001508672,0.869834613,0.002217344,0.493336200,268543.359825505
105,268543385657333,0.149628207,0.450141079,-0.334026443,-0.003796570,0.868517439,0.005384551,0.495614874,268543.393161838
106,268543418993750,0.150868588,0.455687332,-0.330319750,-0.005135487,0.867695161,0.008112150,0.497004004,268543.426498255
107,268543452330208,0.153415089,0.462499763,-0.325036474,-0.008614346,0.866976308,0.015554806,0.498032103,268543.459834713
108,268543485666666,0.154933917,0.466332624,-0.320509484,-0.011868373,0.867512871,0.018317970,0.496935675,268543.493171171
109,268543519003208,0.157919247,0.470282252,-0.314727654,-0.015801499,0.870491003,0.020003597,0.491523789,268543.526507713
110,268543552339625,0.162820041,0.473687716,-0.305369985,-0.023858503,0.872144276,0.023737371,0.488089872,268543.559844130
111,268543585676041,0.165060272,0.474291476,-0.297242712,-0.024821217,0.874601194,0.022462479,0.483686002,268543.593180546
112,268543619012500,0.168065660,0.473652981,-0.287659016,-0.025243403,0.878186793,0.023020887,0.477096236,268543.626517005
113,268543652349000,0.173402543,0.470697471,-0.274330335,-0.026880589,0.880536561,0.030621410,0.472223655,268543.659853505
114,268543685685375,0.177522261,0.468632589,-0.263912756,-0.026456342,0.882309963,0.036423389,0.468511025,268543.693189880
115,268543719021916,0.180871478,0.465119241,-0.252636574,-0.025421470,0.885150421,0.041197696,0.462779951,268543.726526421
116,268543752358333,0.186307886,0.460932023,-0.237246153,-0.027698915,0.888807280,0.046617870,0.455061773,268543.759862838
