recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,268541185450000,0.018824529,0.094127881,-0.136034832,-0.039088124,0.876189675,-0.002546498,0.480372086,268541.192954505
40,268541218786500,0.018682458,0.094877330,-0.139693047,-0.038981514,0.874278053,-0.002635581,0.483850632,268541.226291005
41,268541252123000,0.017890769,0.095590436,-0.144155864,-0.038022047,0.870549824,-0.004140143,0.490591724,268541.259627505
42,268541285459541,0.016593225,0.095922867,-0.147132386,-0.036972487,0.867640285,-0.004608993,0.495794495,268541.292964046
43,268541318796083,0.014974605,0.095731480,-0.151024153,-0.035590292,0.862137557,-0.002127318,0.505418333,268541.326300588
44,268541352132625,0.013758496,0.094997940,-0.153687322,-0.034061392,0.857638117,-0.000584769,0.513124150,268541.359637130
45,268541385469083,0.012176726,0.093986428,-0.156245163,-0.031551379,0.853556349,0.000994299,0.520043397,268541.392973588
46,268541418805625,0.010887141,0.091832534,-0.159541656,-0.029236175,0.849389503,0.003704787,0.526943115,268541.426310130
47,268541452142125,0.010727638,0.089718002,-0.161810710,-0.031048189,0.846824012,0.004642564,0.530945951,268541.459646630
48,268541485478666,0.010879155,0.087619666,-0.163851189,-0.034097656,0.845996682,0.003243833,0.532086924,268541.492983171
49,268541518815083,0.011603122,0.084594670,-0.166423084,-0.038495629,0.844879945,0.002313687,0.533564115,268541.526319588
50,268541552151666,0.012337929,0.081826909,-0.168497272,-0.041148327,0.843367535,0.002691852,0.535752576,268541.559656171
51,268541585488125,0.012602719,0.078504586,-0.170675440,-0.042215311,0.841635363,0.004127043,0.538377938,268541.592992630
52,268541618824541,0.012849682,0.073498544,-0.173969633,-0.043036280,0.838732286,0.006421611,0.542802770,268541.626329046
53,268541652161083,0.012954280,0.069596200,-0.177173047,-0.041969334,0.837396264,0.004920537,0.544960470,268541.659665588
54,268541685497500,0.013218234,0.065949385,-0.181535436,-0.040143554,0.838066189,0.002882426,0.544082074,268541.693002005
55,268541718834083,0.014832444,0.061186338,-0.189113870,-0.041689663,0.839570762,0.003189769,0.541638982,268541.726338588
56,268541752170625,0.016598539,0.057718191,-0.195951020,-0.042541343,0.841546928,0.003230726,0.538496627,268541.759675130
57,268541785507083,0.029987755,0.069059611,-0.218564710,-0.044497520,0.844067972,0.004246032,0.534369959,268541.793011588
58,268541818843500,0.032725160,0.065793149,-0.228695996,-0.042764566,0.846379764,0.003465746,0.530848875,268541.826348005
59,268541852180000,0.034737669,0.063620679,-0.235827902,-0.042448966,0.846656914,0.004561316,0.530423795,268541.859684505
60,268541885516500,0.038546610,0.062105888,-0.247601444,-0.044028692,0.846947616,0.004280955,0.529832933,268541.893021005
61,268541918852958,0.041281768,0.061375724,-0.256099878,-0.042403738,0.848786690,0.001159125,0.527031106,268541.926357463
62,268541952189375,0.043587761,0.061527612,-0.262332839,-0.040261094,0.848923431,0.000885550,0.526979432,268541.959693880
63,268541985525958,0.045497667,0.063517408,-0.266517745,-0.037298434,0.849762654,0.000067198,0.525844375,268541.993030463
