engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
base	-10	13f5	backend_final	-5.1397	-7.2456	3.8412	-8.8467	7.2990	5.9179	8.9222	17.6629	0.0843	0.0843	0.0531	0.0372	0.0222	-4.5000	-6.5000	0.9962	288
base	-10	13f5	front	-4.5811	-6.6994	4.7569	-9.0078	12.3195	7.4524	8.5873	19.9355	0.2286			0.0222		0.0000	-2.0000	0.9100	858
base	-10	6d18	backend_final	1.2806	-2.7099	4.9658	-1.0789	3.8447	1.6933	3.2717	8.2782	0.1041	0.1041	0.0695	0.0616	0.0266	-4.0000	-6.5000	0.9990	288
base	-10	6d18	front	1.7855	-2.2248	5.3470	-1.3963	4.8166	2.0198	3.7113	8.7066	0.2856			0.0350		0.0000	-2.5000	0.8998	859
base	-10	7353	backend_final	0.7853	0.1604	4.0013	-2.2728	1.7412	1.4233	2.9403	6.4864	0.0946	0.0946	0.0614	0.0798	0.0306	-4.5000	-5.5000	0.9993	290
base	-10	7353	front	1.3395	0.7112	4.8883	-4.2152	5.8036	3.2708	8.6556	24.9127	0.3306			0.0408		-0.5000	-1.5000	0.9087	862
base	-9	13f5	backend_final	-5.7113	-7.8045	3.8027	-7.2079	8.3207	5.9646	8.5639	17.4438	0.0814	0.0814	0.0529	0.0372	0.0222	-4.5000	-5.5000	0.9966	288
base	-9	13f5	front	-5.0764	-7.1837	4.7242	-7.4994	12.7061	7.3290	8.6147	19.9918	0.2316			0.0222		-0.5000	-1.5000	0.9081	858
base	-9	6d18	backend_final	1.4213	-2.5747	5.2184	-0.9742	3.1181	1.5140	2.7424	6.4399	0.0997	0.0997	0.0658	0.0616	0.0266	-4.0000	-5.5000	0.9989	288
base	-9	6d18	front	1.8517	-2.1613	5.5253	-1.2086	3.8712	1.7381	3.0243	6.0901	0.2861			0.0350		0.0000	-1.5000	0.8988	859
base	-9	7353	backend_final	0.7239	0.0994	3.3458	-2.4173	1.5719	1.3760	2.8592	6.0552	0.0884	0.0884	0.0611	0.0798	0.0306	-4.5000	-4.5000	0.9992	290
