DRIVER feed=/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/2359d42b-b338-4098-99ad-6a4c217067ad/scratchpad/offline_sfm/feeds/13f5_q0_F.jsonl n=115 max_features=13312 k=12 ratio=0.800 gpu_match=1 gpu_extract=1 size=1920x1440
  fed 1/115 frame=40 fid=0 trusted=1 add_ms=109 extract_ms=65 cand=0
  fed 2/115 frame=49 fid=1 trusted=1 add_ms=65 extract_ms=39 cand=1
  fed 3/115 frame=55 fid=2 trusted=1 add_ms=100 extract_ms=32 cand=2
  fed 4/115 frame=64 fid=3 trusted=1 add_ms=146 extract_ms=42 cand=3
  fed 5/115 frame=70 fid=4 trusted=1 add_ms=179 extract_ms=49 cand=4
  fed 6/115 frame=79 fid=5 trusted=1 add_ms=187 extract_ms=41 cand=5
  fed 7/115 frame=85 fid=6 trusted=1 add_ms=177 extract_ms=38 cand=6
  fed 8/115 frame=94 fid=7 trusted=1 add_ms=191 extract_ms=40 cand=7
  fed 9/115 frame=100 fid=8 trusted=1 add_ms=202 extract_ms=48 cand=8
  fed 10/115 frame=109 fid=9 trusted=1 add_ms=211 extract_ms=48 cand=9
  fed 11/115 frame=115 fid=10 trusted=1 add_ms=220 extract_ms=43 cand=10
  fed 12/115 frame=124 fid=11 trusted=1 add_ms=226 extract_ms=40 cand=11
  fed 13/115 frame=130 fid=12 trusted=1 add_ms=209 extract_ms=37 cand=12
  fed 14/115 frame=139 fid=13 trusted=1 add_ms=242 extract_ms=53 cand=12
  fed 15/115 frame=145 fid=14 trusted=1 add_ms=254 extract_ms=48 cand=12
  fed 16/115 frame=154 fid=15 trusted=1 add_ms=225 extract_ms=40 cand=12
  fed 17/115 frame=160 fid=16 trusted=1 add_ms=255 extract_ms=44 cand=12
  fed 18/115 frame=169 fid=17 trusted=1 add_ms=254 extract_ms=47 cand=12
  fed 19/115 frame=175 fid=18 trusted=1 add_ms=261 extract_ms=44 cand=12
  fed 20/115 frame=184 fid=19 trusted=1 add_ms=236 extract_ms=35 cand=12
  fed 21/115 frame=190 fid=20 trusted=1 add_ms=215 extract_ms=34 cand=12
  fed 22/115 frame=199 fid=21 trusted=1 add_ms=236 extract_ms=37 cand=12
  fed 23/115 frame=205 fid=22 trusted=1 add_ms=254 extract_ms=42 cand=12
  fed 24/115 frame=214 fid=23 trusted=1 add_ms=233 extract_ms=39 cand=12
  fed 25/115 frame=220 fid=24 trusted=1 add_ms=218 extract_ms=37 cand=16
  fed 26/115 frame=229 fid=25 trusted=1 add_ms=205 extract_ms=44 cand=12
  fed 27/115 frame=235 fid=26 trusted=1 add_ms=183 extract_ms=37 cand=12
  fed 28/115 frame=244 fid=27 trusted=1 add_ms=170 extract_ms=40 cand=12
  fed 29/115 frame=250 fid=28 trusted=1 add_ms=172 extract_ms=34 cand=12
  fed 30/115 frame=259 fid=29 trusted=1 add_ms=182 extract_ms=39 cand=18
  fed 31/115 frame=265 fid=30 trusted=1 add_ms=165 extract_ms=38 cand=12
  fed 32/115 frame=274 fid=31 trusted=1 add_ms=154 extract_ms=26 cand=12
  fed 33/115 frame=280 fid=32 trusted=1 add_ms=173 extract_ms=37 cand=12
  fed 34/115 frame=289 fid=33 trusted=1 add_ms=171 extract_ms=38 cand=12
  fed 35/115 frame=295 fid=34 trusted=1 add_ms=178 extract_ms=38 cand=20
  fed 36/115 frame=304 fid=35 trusted=1 add_ms=165 extract_ms=30 cand=12
  fed 37/115 frame=310 fid=36 trusted=1 add_ms=180 extract_ms=35 cand=12
  fed 38/115 frame=319 fid=37 trusted=1 add_ms=158 extract_ms=26 cand=12
  fed 39/115 frame=325 fid=38 trusted=1 add_ms=162 extract_ms=30 cand=12
  fed 40/115 frame=334 fid=39 trusted=1 add_ms=188 extract_ms=35 cand=20
  fed 41/115 frame=340 fid=40 trusted=1 add_ms=149 extract_ms=25 cand=12
  fed 42/115 frame=349 fid=41 trusted=1 add_ms=167 extract_ms=29 cand=12
  fed 43/115 frame=355 fid=42 trusted=1 add_ms=185 extract_ms=35 cand=12
  fed 44/115 frame=364 fid=43 trusted=1 add_ms=172 extract_ms=28 cand=12
  fed 45/115 frame=370 fid=44 trusted=1 add_ms=193 extract_ms=31 cand=20
