DRIVER feed=/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/2359d42b-b338-4098-99ad-6a4c217067ad/scratchpad/offline_sfm/feeds/6d18_q0_B1.jsonl n=115 max_features=13312 k=12 ratio=0.800 gpu_match=1 gpu_extract=1 size=1920x1440
  fed 1/115 frame=40 fid=0 trusted=1 add_ms=139 extract_ms=85 cand=0
  fed 2/115 frame=49 fid=1 trusted=1 add_ms=93 extract_ms=45 cand=1
  fed 3/115 frame=55 fid=2 trusted=1 add_ms=294 extract_ms=43 cand=2
  fed 4/115 frame=64 fid=3 trusted=1 add_ms=364 extract_ms=56 cand=3
  fed 5/115 frame=70 fid=4 trusted=1 add_ms=473 extract_ms=52 cand=4
  fed 6/115 frame=79 fid=5 trusted=1 add_ms=567 extract_ms=59 cand=5
  fed 7/115 frame=85 fid=6 trusted=1 add_ms=522 extract_ms=56 cand=6
  fed 8/115 frame=94 fid=7 trusted=1 add_ms=576 extract_ms=51 cand=7
  fed 9/115 frame=100 fid=8 trusted=1 add_ms=622 extract_ms=51 cand=8
  fed 10/115 frame=109 fid=9 trusted=1 add_ms=598 extract_ms=59 cand=9
  fed 11/115 frame=115 fid=10 trusted=1 add_ms=575 extract_ms=55 cand=10
  fed 12/115 frame=124 fid=11 trusted=1 add_ms=540 extract_ms=55 cand=11
  fed 13/115 frame=130 fid=12 trusted=1 add_ms=666 extract_ms=64 cand=12
  fed 14/115 frame=139 fid=13 trusted=1 add_ms=721 extract_ms=67 cand=12
  fed 15/115 frame=145 fid=14 trusted=1 add_ms=696 extract_ms=62 cand=12
  fed 16/115 frame=154 fid=15 trusted=1 add_ms=600 extract_ms=47 cand=12
  fed 17/115 frame=160 fid=16 trusted=1 add_ms=762 extract_ms=61 cand=12
  fed 18/115 frame=169 fid=17 trusted=1 add_ms=722 extract_ms=67 cand=12
  fed 19/115 frame=175 fid=18 trusted=1 add_ms=659 extract_ms=60 cand=12
  fed 20/115 frame=184 fid=19 trusted=1 add_ms=663 extract_ms=59 cand=12
  fed 21/115 frame=190 fid=20 trusted=1 add_ms=574 extract_ms=50 cand=12
  fed 22/115 frame=199 fid=21 trusted=1 add_ms=558 extract_ms=48 cand=12
  fed 23/115 frame=205 fid=22 trusted=1 add_ms=577 extract_ms=54 cand=12
  fed 24/115 frame=214 fid=23 trusted=1 add_ms=601 extract_ms=59 cand=12
  fed 25/115 frame=220 fid=24 trusted=1 add_ms=558 extract_ms=59 cand=16
  fed 26/115 frame=229 fid=25 trusted=1 add_ms=507 extract_ms=47 cand=12
  fed 27/115 frame=235 fid=26 trusted=1 add_ms=515 extract_ms=51 cand=12
  fed 28/115 frame=244 fid=27 trusted=1 add_ms=557 extract_ms=56 cand=12
  fed 29/115 frame=250 fid=28 trusted=1 add_ms=627 extract_ms=60 cand=12
  fed 30/115 frame=259 fid=29 trusted=1 add_ms=632 extract_ms=64 cand=13
  fed 31/115 frame=265 fid=30 trusted=1 add_ms=574 extract_ms=47 cand=12
  fed 32/115 frame=274 fid=31 trusted=1 add_ms=625 extract_ms=56 cand=12
  fed 33/115 frame=280 fid=32 trusted=1 add_ms=641 extract_ms=53 cand=12
  fed 34/115 frame=289 fid=33 trusted=1 add_ms=582 extract_ms=57 cand=12
  fed 35/115 frame=295 fid=34 trusted=1 add_ms=603 extract_ms=57 cand=19
  fed 36/115 frame=304 fid=35 trusted=1 add_ms=450 extract_ms=45 cand=12
  fed 37/115 frame=310 fid=36 trusted=1 add_ms=457 extract_ms=48 cand=12
  fed 38/115 frame=319 fid=37 trusted=1 add_ms=530 extract_ms=49 cand=12
  fed 39/115 frame=325 fid=38 trusted=1 add_ms=663 extract_ms=63 cand=12
  fed 40/115 frame=334 fid=39 trusted=1 add_ms=667 extract_ms=54 cand=20
  fed 41/115 frame=340 fid=40 trusted=1 add_ms=602 extract_ms=52 cand=12
  fed 42/115 frame=349 fid=41 trusted=1 add_ms=563 extract_ms=53 cand=12
  fed 43/115 frame=355 fid=42 trusted=1 add_ms=436 extract_ms=53 cand=12
  fed 44/115 frame=364 fid=43 trusted=1 add_ms=267 extract_ms=31 cand=12
  fed 45/115 frame=370 fid=44 trusted=1 add_ms=337 extract_ms=34 cand=20
  fed 46/115 frame=379 fid=45 trusted=1 add_ms=316 extract_ms=41 cand=12
  fed 47/115 frame=385 fid=46 trusted=1 add_ms=364 extract_ms=47 cand=12
  fed 48/115 frame=394 fid=47 trusted=1 add_ms=313 extract_ms=40 cand=12
  fed 49/115 frame=400 fid=48 trusted=1 add_ms=349 extract_ms=46 cand=12
  fed 50/115 frame=409 fid=49 trusted=1 add_ms=436 extract_ms=43 cand=20
  fed 51/115 frame=415 fid=50 trusted=1 add_ms=413 extract_ms=39 cand=12
  fed 52/115 frame=424 fid=51 trusted=1 add_ms=418 extract_ms=51 cand=12
  fed 53/115 frame=430 fid=52 trusted=1 add_ms=469 extract_ms=56 cand=12
  fed 54/115 frame=439 fid=53 trusted=1 add_ms=498 extract_ms=47 cand=12
  fed 55/115 frame=445 fid=54 trusted=1 add_ms=484 extract_ms=39 cand=20
  fed 56/115 frame=454 fid=55 trusted=1 add_ms=461 extract_ms=55 cand=12
  fed 57/115 frame=460 fid=56 trusted=1 add_ms=493 extract_ms=50 cand=12
  fed 58/115 frame=469 fid=57 trusted=1 add_ms=473 extract_ms=60 cand=12
  fed 59/115 frame=475 fid=58 trusted=1 add_ms=256 extract_ms=37 cand=12
  fed 60/115 frame=484 fid=59 trusted=1 add_ms=377 extract_ms=44 cand=20
  fed 61/115 frame=490 fid=60 trusted=1 add_ms=394 extract_ms=53 cand=12
  fed 62/115 frame=499 fid=61 trusted=1 add_ms=236 extract_ms=36 cand=12
  fed 63/115 frame=505 fid=62 trusted=1 add_ms=333 extract_ms=45 cand=12
  fed 64/115 frame=514 fid=63 trusted=1 add_ms=344 extract_ms=39 cand=12
  fed 65/115 frame=520 fid=64 trusted=1 add_ms=476 extract_ms=54 cand=20
  fed 66/115 frame=529 fid=65 trusted=1 add_ms=401 extract_ms=41 cand=12
  fed 67/115 frame=535 fid=66 trusted=1 add_ms=454 extract_ms=59 cand=12
  fed 68/115 frame=544 fid=67 trusted=1 add_ms=440 extract_ms=53 cand=12
  fed 69/115 frame=550 fid=68 trusted=1 add_ms=440 extract_ms=48 cand=12
  fed 70/115 frame=559 fid=69 trusted=1 add_ms=527 extract_ms=57 cand=20
  fed 71/115 frame=565 fid=70 trusted=1 add_ms=352 extract_ms=38 cand=12
  fed 72/115 frame=574 fid=71 trusted=1 add_ms=370 extract_ms=54 cand=12
  fed 73/115 frame=580 fid=72 trusted=1 add_ms=332 extract_ms=36 cand=12
  fed 74/115 frame=589 fid=73 trusted=1 add_ms=374 extract_ms=55 cand=12
  fed 75/115 frame=595 fid=74 trusted=1 add_ms=519 extract_ms=44 cand=20
  fed 76/115 frame=604 fid=75 trusted=1 add_ms=466 extract_ms=46 cand=12
  fed 77/115 frame=610 fid=76 trusted=1 add_ms=540 extract_ms=64 cand=12
  fed 78/115 frame=619 fid=77 trusted=1 add_ms=568 extract_ms=53 cand=12
  fed 79/115 frame=625 fid=78 trusted=1 add_ms=551 extract_ms=47 cand=12
  fed 80/115 frame=634 fid=79 trusted=1 add_ms=576 extract_ms=55 cand=20
  fed 81/115 frame=640 fid=80 trusted=1 add_ms=538 extract_ms=55 cand=12
  fed 82/115 frame=649 fid=81 trusted=1 add_ms=694 extract_ms=56 cand=12
  fed 83/115 frame=655 fid=82 trusted=1 add_ms=683 extract_ms=73 cand=12
  fed 84/115 frame=664 fid=83 trusted=1 add_ms=515 extract_ms=55 cand=12
  fed 85/115 frame=670 fid=84 trusted=1 add_ms=631 extract_ms=83 cand=20
  fed 86/115 frame=679 fid=85 trusted=1 add_ms=409 extract_ms=46 cand=12
  fed 87/115 frame=685 fid=86 trusted=1 add_ms=292 extract_ms=28 cand=12
  fed 88/115 frame=694 fid=87 trusted=1 add_ms=300 extract_ms=27 cand=12
  fed 89/115 frame=700 fid=88 trusted=1 add_ms=318 extract_ms=37 cand=12
  fed 90/115 frame=709 fid=89 trusted=1 add_ms=379 extract_ms=36 cand=20
  fed 91/115 frame=715 fid=90 trusted=1 add_ms=400 extract_ms=38 cand=12
  fed 92/115 frame=724 fid=91 trusted=1 add_ms=393 extract_ms=42 cand=12
  fed 93/115 frame=730 fid=92 trusted=1 add_ms=316 extract_ms=41 cand=12
  fed 94/115 frame=739 fid=93 trusted=1 add_ms=293 extract_ms=32 cand=12
  fed 95/115 frame=745 fid=94 trusted=1 add_ms=286 extract_ms=34 cand=20
  fed 96/115 frame=754 fid=95 trusted=1 add_ms=491 extract_ms=35 cand=12
  fed 97/115 frame=760 fid=96 trusted=1 add_ms=235 extract_ms=27 cand=12
  fed 98/115 frame=769 fid=97 trusted=1 add_ms=184 extract_ms=37 cand=12
  fed 99/115 frame=775 fid=98 trusted=1 add_ms=310 extract_ms=43 cand=12
  fed 100/115 frame=784 fid=99 trusted=1 add_ms=357 extract_ms=36 cand=20
  fed 101/115 frame=790 fid=100 trusted=1 add_ms=437 extract_ms=44 cand=12
  fed 102/115 frame=799 fid=101 trusted=1 add_ms=409 extract_ms=54 cand=12
  fed 103/115 frame=805 fid=102 trusted=1 add_ms=421 extract_ms=43 cand=12
  fed 104/115 frame=814 fid=103 trusted=1 add_ms=384 extract_ms=48 cand=12
  fed 105/115 frame=820 fid=104 trusted=1 add_ms=373 extract_ms=49 cand=20
  fed 106/115 frame=829 fid=105 trusted=1 add_ms=345 extract_ms=37 cand=12
  fed 107/115 frame=835 fid=106 trusted=1 add_ms=449 extract_ms=50 cand=12
  fed 108/115 frame=844 fid=107 trusted=1 add_ms=333 extract_ms=36 cand=12
  fed 109/115 frame=850 fid=108 trusted=1 add_ms=281 extract_ms=28 cand=12
  fed 110/115 frame=859 fid=109 trusted=1 add_ms=369 extract_ms=49 cand=20
  fed 111/115 frame=865 fid=110 trusted=1 add_ms=345 extract_ms=37 cand=12
  fed 112/115 frame=874 fid=111 trusted=1 add_ms=350 extract_ms=38 cand=12
  fed 113/115 frame=880 fid=112 trusted=1 add_ms=354 extract_ms=42 cand=12
  fed 114/115 frame=889 fid=113 trusted=1 add_ms=305 extract_ms=37 cand=12
  fed 115/115 frame=895 fid=114 trusted=1 add_ms=301 extract_ms=38 cand=20
STREAMED fed=115 rejected=0 stream_ms=52853.1 tvg_pairs=1114740 raw_pairs=0 grow_acc=71335 grow_rej=696715 spatial_first=1075 temporal_fallback=227 spatial_attempted=0 spatial_written=0 spatial_inliers=0
FINALIZE_ASYNC phase1={"solve_ms":10.5,"n_models":1,"n_registered":115,"n_points3d":198182,"reproj_px":0.5793,"track_len":2.279,"phase1":"live_reuse"}
