13f5 d=0ms                        k-1 +1.48% rms 0.0017 
13f5 d=5ms                        k-1 +1.43% rms 0.0014 
13f5 d=10ms                       k-1 +1.41% rms 0.0012 
13f5 d=15ms                       k-1 +1.43% rms 0.0011 
13f5 d=17ms                       k-1 +1.45% rms 0.0011 
13f5 d=20ms                       k-1 +1.50% rms 0.0011 
13f5 d=25ms                       k-1 +1.60% rms 0.0012 
13f5 T=0.5                        k-1 +2.14% rms 0.0004 
13f5 T=1.0                        k-1 +1.45% rms 0.0011 
13f5 T=2.0                        k-1 +0.96% rms 0.0032 
13f5 T=3.0                        k-1 +0.44% rms 0.0061 
13f5 T=5.0                        k-1 -0.19% rms 0.0134 
13f5 chk=1                        k-1 +1.42% rms 0.0011 
13f5 chk=6                        k-1 +1.46% rms 0.0010 
13f5 bias=none                    k-1 +0.54% rms 0.0024 
13f5 bias=block5                  k-1 +1.70% rms 0.0009 
13f5 dg T=1                       k-1 +1.30% rms 0.0010 dg [ 0.0179 -0.0194 -0.0209]
13f5 dg T=2                       k-1 +0.82% rms 0.0031 dg [ 0.0157 -0.0116 -0.0165]
13f5 dg T=3                       k-1 +0.69% rms 0.0058 dg [ 0.0117 -0.0136 -0.0156]
13f5 g=9.79                       k-1 +1.50% rms 0.0011 
13f5 g=9.80                       k-1 +1.48% rms 0.0011 
13f5 g=9.81                       k-1 +1.45% rms 0.0011 
13f5 g=9.82                       k-1 +1.43% rms 0.0011 
13f5 dg bias=block5 T=2           k-1 +0.90% rms 0.0022 dg [0.0127 0.0387 0.0223]
13f5 no_lever                     k-1 +4.00%
13f5 Rbc 扰动0.3° 轴0                k-1 +1.18% rms 0.0011
13f5 Rbc 扰动0.3° 轴1                k-1 +1.18% rms 0.0011
13f5 Rbc 扰动0.3° 轴2                k-1 +1.58% rms 0.0011
13f5 SIMEX σ=1mm                  k-1 均值 +2.41%
13f5 SIMEX σ=2mm                  k-1 均值 +5.00%
13f5 SIMEX σ=4mm                  k-1 均值 +13.67%
13f5 分段4                          +2.91% +2.78% +1.08% +0.97%
13f5 块bootstrap(5s)               k-1 95% [+0.99, +2.73] 中位 +1.46 sd 0.41%
