photo_id	t_photo	source	trusted	reasons	state_at_photo	t_state	extrap_ms	wait_ms	submit_to_resolve_ms	prop_status	imu_samples	state_kind	frame_id	has_pose	cpx	cpy	cpz	cqx	cqy	cqz	cqw	bpx	bpy	bpz	bqx	bqy	bqz	bqw	propagated_t
900	254666.843033333	1	0	6	0	254666.714211421	128.822	1405.007	1400.481	0	15	2	1	1	0.00012116647243641358	-0.03455695508378076	7.1882135182815138e-05	-0.094189271687281861	0.85107184203776642	0.0077608627642882788	0.51647359683102767	-0.0048040458014499705	-0.0014964875300085487	0.0047738816267781925	0.3706897314488532	-0.35971421436389761	-0.53519678381715785	0.66840052572330533	254666.843033333
0	254669.675639333	1	1	0	1	254669.614837125	60.802	572.591	566.721	0	9	2	84	1	0.099984723319266736	-0.34885014706706463	0.0014116072600488857	-0.2146512701389105	0.85866833768568673	0.13088934107754152	0.44663357653519392	0.085518490838465452	-0.31954492599893236	0.0098551306908155958	0.40837036046940534	-0.22326488407242892	-0.45538882354601612	0.7589515528804115	254669.675639333
1	254671.176808333	1	1	0	1	254671.114979208	61.829	471.555	466.711	0	8	2	129	1	0.31973868515520631	-0.46499960298959236	-0.12257308997508852	-0.36615375285863744	0.8171605051302806	0.18683446073421861	0.40407063196599002	0.29640530484627536	-0.44182021456799359	-0.11498162979103663	0.41783298696901844	-0.15360916571002525	-0.31890992440720628	0.83672951383646565	254671.176808333
2	254672.609957333	1	1	0	1	254672.515111666	94.846	438.538	433.374	0	12	2	171	1	0.54682512587785304	-0.52563678421070203	-0.22505412711180317	-0.49304552451370898	0.75979179242866801	0.2168487415210742	0.3641417573256876	0.51773649002650979	-0.50967725506347483	-0.21884883536416114	0.41082231060906338	-0.10415188752576934	-0.188618089880453	0.88588973896331991	254672.609957333
3	254674.076606333	1	1	0	1	254674.015252958	61.353	472.030	466.711	0	8	2	216	1	0.54318342117903884	-0.46321041221155568	0.016586059605435605	-0.48972814487106497	0.7845124429716116	0.16471296146524975	0.3428939551547775	0.51509193077153959	-0.44501051522121415	0.020944140397817907	0.35893228336937733	-0.12599298556422292	-0.20844397062830294	0.90102413655382507	254674.076606333
4	254675.478211333	1	1	0	1	254675.415384708	62.827	470.557	466.711	0	9	2	258	1	0.47272519283040038	-0.23288258971095427	0.32187700791706847	-0.23843556515087594	0.89065771490283685	0.1445012145061895	0.35916120109771776	0.45807717511196716	-0.20408584106713121	0.33165165862343848	0.35614310002669131	-0.15178752812978763	-0.46119069265912938	0.79838949367599965	254675.478211333
5	254676.943492333	1	1	0	1	254676.915525583	27.967	505.417	500.047	0	5	2	303	1	0.29313717321027588	0.0025753572524942793	0.45993658764033696	-0.095041115771533846	0.90641527939681232	0.13361230446100084	0.38926383456211477	0.28682704857476049	0.033280232122136516	0.47245672894506968	0.36972925378677984	-0.18077292574552661	-0.57372815791424892	0.70813658924532064	254676.943492333
6	254678.442225333	1	1	0	1	254678.415666125	26.559	506.824	500.047	0	5	2	348	1	0.23961830500024292	-0.22855027067341618	0.64684365676344369	-0.24660912436985971	0.86556317680942463	0.1322869203923637	0.41531259387922803	0.22380016032476219	-0.19983389846461114	0.65487591784968391	0.38721131961366489	-0.20012936764776146	-0.43766659607824793	0.78642455508791909	254678.442225333
7	254679.864826333	1	1	0	1	254679.815797166	49.029	484.354	466.710	0	7	2	390	1	0.61250469747842695	-0.48367420869494837	0.31334882453981799	-0.49170082382412439	0.75414081887110973	0.15889678809403801	0.40528235726338707	0.58387151349477651	-0.46590039601256344	0.31524442725571417	0.39893488887210893	-0.1742209021107908	-0.18557309521488505	0.88094305039580589	254679.864826333
8	254681.331343333	1	1	0	1	254681.315937041	15.406	517.977	500.047	0	4	2	435	1	0.73063226557354755	-0.67549711596545281	-0.38784959241730299	-0.3380580140057845	0.76085408281184397	0.30672231498781111	0.46123672721934295	0.7053903121802968	-0.65692137048204202	-0.37531378687497335	0.5430290319702441	-0.10925818577302027	-0.29896195935752523	0.77704817491334299	254681.331343333
