# w h
1920 1440
# curr_x curr_y cpu_x cpu_y cpu_st gpu_x gpu_y gpu_st cpu_rx cpu_ry cpu_rst gpu_rx gpu_ry gpu_rst
882.750305 586.194519 884.887451 587.812195 1 884.887451 587.812195 1 882.750977 586.194763 1 882.750977 586.194763 1
429.916107 770.377136 431.427399 770.955566 1 431.427399 770.955566 1 429.918579 770.377136 1 429.918579 770.377136 1
899.473206 482.614777 901.471619 484.505737 1 901.471619 484.505676 1 899.47229 482.6138 1 899.472351 482.6138 1
1140.67432 649.224487 1142.27515 651.368103 1 1142.27515 651.368103 1 1140.67432 649.225037 1 1140.67432 649.225037 1
1006.81134 654.919678 1008.75903 657.18811 1 1008.75903 657.18811 1 1006.81268 654.919922 1 1006.81268 654.919922 1
616.204041 303.983307 618.500549 305.498962 1 618.500549 305.498962 1 616.207275 303.988098 1 616.207275 303.988098 1
693.689331 503.079773 695.868103 504.365845 1 695.868103 504.365845 1 693.689819 503.079773 1 693.689819 503.079773 1
1166.93274 653.838806 1168.50623 655.964722 1 1168.50623 655.964722 1 1166.92737 653.837341 1 1166.92737 653.837341 1
433.107422 853.13031 434.640808 853.768555 1 434.640839 853.768494 1 433.108612 853.132324 1 433.108704 853.132263 1
469.81134 865.447876 471.562866 866.168213 1 471.562866 866.168213 1 469.811005 865.448059 1 469.811005 865.448059 1
432.234253 734.108643 433.746643 734.723206 1 433.746552 734.723267 1 432.23465 734.108643 1 432.234558 734.108704 1
925.687378 553.746887 927.738525 555.726074 1 927.738525 555.726074 1 925.677185 553.751648 1 925.677185 553.751648 1
555.436035 1148.92944 556.233215 1149.38672 1 556.233276 1149.38672 1 555.436035 1148.92859 1 555.436096 1148.92859 1
727.745422 798.582458 729.370422 799.846558 1 729.370544 799.846558 1 727.745117 798.583191 1 727.745056 798.583191 1
844.785522 687.199524 846.729919 688.959167 1 846.729919 688.959167 1 844.787048 687.199341 1 844.787048 687.199341 1
735.026733 753.836853 736.548523 755.093262 1 736.548523 755.093262 1 735.026428 753.837219 1 735.026428 753.837219 1
720.318665 1043.33008 721.534668 1044.39368 1 721.534668 1044.39368 1 720.315735 1043.32983 1 720.315735 1043.32983 1
704.046875 790.072998 705.608521 791.307861 1 705.608521 791.307861 1 704.045715 790.070984 1 704.045715 790.070984 1
545.152832 1218.38379 545.728027 1218.69214 1 545.728027 1218.69214 1 545.152832 1218.38037 1 545.152832 1218.38037 1
759.094543 983.77356 760.583984 985.084534 1 760.584045 985.084534 1 759.094238 983.77124 1 759.094238 983.77124 1
526.115173 815.341125 527.84729 816.478516 1 527.847351 816.478516 1 526.103577 815.342346 1 526.103577 815.342346 1
619.133179 1153.02795 619.928345 1153.61584 1 619.928345 1153.61584 1 619.133057 1153.02295 1 619.133057 1153.02295 1
1542.56067 1167.10156 1543.83435 1170.53418 1 1543.83423 1170.53418 1 1542.56409 1167.10339 1 1542.56409 1167.10339 1
1043.97375 397.219574 1046.50708 399.418152 1 1046.50708 399.418152 1 1043.96716 397.204163 1 1043.96716 397.204163 1
528.317993 1003.52222 529.564514 1004.42175 1 529.564514 1004.42175 1 528.322571 1003.51971 1 528.322571 1003.51971 1
605.358032 798.611572 607.113403 799.724365 1 607.113403 799.724365 1 605.348328 798.611938 1 605.348328 798.611938 1
