nohup: setsid: No such file or directory
17:32:56 续传,已有 2984/4687 MB
18:02:59 续传,已有 3774/4687 MB
18:33:02 续传,已有 4568/4687 MB
18:37:34 续传,已有 4686/4687 MB
18:37:39 续传,已有 4686/4687 MB
18:37:44 续传,已有 4686/4687 MB
18:37:49 续传,已有 4686/4687 MB
18:37:53 续传,已有 4686/4687 MB
18:37:58 续传,已有 4686/4687 MB
18:38:03 续传,已有 4686/4687 MB
18:38:08 续传,已有 4686/4687 MB
18:38:12 续传,已有 4686/4687 MB
18:38:17 续传,已有 4686/4687 MB
18:38:22 续传,已有 4686/4687 MB
18:38:27 续传,已有 4686/4687 MB
18:38:32 续传,已有 4686/4687 MB
18:38:37 续传,已有 4686/4687 MB
18:38:41 续传,已有 4686/4687 MB
18:38:46 续传,已有 4686/4687 MB
18:38:50 续传,已有 4686/4687 MB
18:38:55 续传,已有 4686/4687 MB
18:39:00 续传,已有 4686/4687 MB
18:39:04 续传,已有 4686/4687 MB
18:39:09 续传,已有 4686/4687 MB
18:39:14 续传,已有 4686/4687 MB
18:39:19 续传,已有 4686/4687 MB
18:39:23 续传,已有 4686/4687 MB
18:39:28 续传,已有 4686/4687 MB
18:39:33 续传,已有 4686/4687 MB
18:39:38 续传,已有 4686/4687 MB
18:39:42 续传,已有 4686/4687 MB
18:39:47 续传,已有 4686/4687 MB
18:39:52 续传,已有 4686/4687 MB
18:39:56 续传,已有 4686/4687 MB
18:40:01 续传,已有 4686/4687 MB
18:40:05 续传,已有 4686/4687 MB
18:40:10 续传,已有 4686/4687 MB
18:40:15 续传,已有 4686/4687 MB
18:40:19 续传,已有 4686/4687 MB
18:40:24 续传,已有 4686/4687 MB
18:40:29 续传,已有 4686/4687 MB
18:40:34 续传,已有 4686/4687 MB
18:40:38 续传,已有 4686/4687 MB
18:40:43 续传,已有 4686/4687 MB
18:40:48 续传,已有 4686/4687 MB
18:40:53 续传,已有 4686/4687 MB
18:40:57 续传,已有 4686/4687 MB
18:41:02 续传,已有 4686/4687 MB
18:41:06 续传,已有 4686/4687 MB
18:41:11 续传,已有 4686/4687 MB
18:41:16 续传,已有 4686/4687 MB
18:41:20 续传,已有 4686/4687 MB
18:41:25 续传,已有 4686/4687 MB
18:41:30 续传,已有 4686/4687 MB
18:41:35 续传,已有 4686/4687 MB
18:41:40 续传,已有 4686/4687 MB
18:41:44 续传,已有 4686/4687 MB
18:41:49 续传,已有 4686/4687 MB
18:41:54 续传,已有 4686/4687 MB
18:41:58 续传,已有 4686/4687 MB
18:42:03 续传,已有 4686/4687 MB
18:42:08 续传,已有 4686/4687 MB
18:42:12 续传,已有 4686/4687 MB
18:42:17 续传,已有 4686/4687 MB
18:42:22 续传,已有 4686/4687 MB
18:42:26 续传,已有 4686/4687 MB
18:42:31 续传,已有 4686/4687 MB
18:42:36 续传,已有 4686/4687 MB
18:42:41 续传,已有 4686/4687 MB
18:42:45 续传,已有 4686/4687 MB
18:42:50 续传,已有 4686/4687 MB
18:42:54 续传,已有 4686/4687 MB
18:42:59 续传,已有 4686/4687 MB
18:43:04 续传,已有 4686/4687 MB
18:43:09 续传,已有 4686/4687 MB
18:43:13 续传,已有 4686/4687 MB
18:43:18 续传,已有 4686/4687 MB
18:43:23 续传,已有 4686/4687 MB
18:43:27 续传,已有 4686/4687 MB
18:43:32 续传,已有 4686/4687 MB
18:43:37 续传,已有 4686/4687 MB
18:43:42 续传,已有 4686/4687 MB
18:43:47 续传,已有 4686/4687 MB
18:43:51 续传,已有 4686/4687 MB
18:43:56 续传,已有 4686/4687 MB
18:44:01 续传,已有 4686/4687 MB
18:44:05 续传,已有 4686/4687 MB
18:44:10 续传,已有 4686/4687 MB
18:44:15 续传,已有 4686/4687 MB
18:44:19 续传,已有 4686/4687 MB
18:44:24 续传,已有 4686/4687 MB
18:44:29 续传,已有 4686/4687 MB
18:44:33 续传,已有 4686/4687 MB
18:44:38 续传,已有 4686/4687 MB
18:44:43 续传,已有 4686/4687 MB
18:44:48 续传,已有 4686/4687 MB
18:44:52 续传,已有 4686/4687 MB
18:44:57 续传,已有 4686/4687 MB
18:45:02 续传,已有 4686/4687 MB
18:45:07 续传,已有 4686/4687 MB
18:45:12 续传,已有 4686/4687 MB
18:45:16 续传,已有 4686/4687 MB
18:45:21 续传,已有 4686/4687 MB
18:45:26 续传,已有 4686/4687 MB
18:45:30 续传,已有 4686/4687 MB
18:45:35 续传,已有 4686/4687 MB
18:45:40 续传,已有 4686/4687 MB
18:45:45 续传,已有 4686/4687 MB
18:45:49 续传,已有 4686/4687 MB
18:45:55 续传,已有 4686/4687 MB
18:45:59 续传,已有 4686/4687 MB
18:46:04 续传,已有 4686/4687 MB
18:46:09 续传,已有 4686/4687 MB
18:46:14 续传,已有 4686/4687 MB
18:46:18 续传,已有 4686/4687 MB
18:46:23 续传,已有 4686/4687 MB
18:46:28 续传,已有 4686/4687 MB
18:46:32 续传,已有 4686/4687 MB
18:46:37 续传,已有 4686/4687 MB
18:46:41 续传,已有 4686/4687 MB
18:46:46 续传,已有 4686/4687 MB
18:46:51 续传,已有 4686/4687 MB
18:46:55 续传,已有 4686/4687 MB
18:47:00 续传,已有 4686/4687 MB
18:47:05 续传,已有 4686/4687 MB
18:47:09 续传,已有 4686/4687 MB
18:47:14 续传,已有 4686/4687 MB
18:47:19 续传,已有 4686/4687 MB
18:47:23 续传,已有 4686/4687 MB
18:47:28 续传,已有 4686/4687 MB
18:47:33 续传,已有 4686/4687 MB
18:47:38 续传,已有 4686/4687 MB
18:47:42 续传,已有 4686/4687 MB
18:47:47 续传,已有 4686/4687 MB
18:47:52 续传,已有 4686/4687 MB
18:47:57 续传,已有 4686/4687 MB
18:48:02 续传,已有 4686/4687 MB
18:48:06 续传,已有 4686/4687 MB
18:48:11 续传,已有 4686/4687 MB
18:48:15 续传,已有 4686/4687 MB
18:48:20 续传,已有 4686/4687 MB
18:48:24 续传,已有 4686/4687 MB
18:48:29 续传,已有 4686/4687 MB
18:48:34 续传,已有 4686/4687 MB
18:48:39 续传,已有 4686/4687 MB
18:48:43 续传,已有 4686/4687 MB
18:48:48 续传,已有 4686/4687 MB
18:48:53 续传,已有 4686/4687 MB
18:48:58 续传,已有 4686/4687 MB
18:49:03 续传,已有 4686/4687 MB
18:49:08 续传,已有 4686/4687 MB
18:49:12 续传,已有 4686/4687 MB
18:49:17 续传,已有 4686/4687 MB
18:49:22 续传,已有 4686/4687 MB
18:49:26 续传,已有 4686/4687 MB
18:49:31 续传,已有 4686/4687 MB
18:49:36 续传,已有 4686/4687 MB
18:49:40 续传,已有 4686/4687 MB
18:49:45 续传,已有 4686/4687 MB
18:49:50 续传,已有 4686/4687 MB
18:49:54 续传,已有 4686/4687 MB
18:49:59 续传,已有 4686/4687 MB
18:50:04 续传,已有 4686/4687 MB
18:50:08 续传,已有 4686/4687 MB
18:50:13 续传,已有 4686/4687 MB
18:50:18 续传,已有 4686/4687 MB
18:50:23 续传,已有 4686/4687 MB
18:50:27 续传,已有 4686/4687 MB
18:50:32 续传,已有 4686/4687 MB
18:50:37 续传,已有 4686/4687 MB
18:50:41 续传,已有 4686/4687 MB
18:50:46 续传,已有 4686/4687 MB
18:50:51 续传,已有 4686/4687 MB
18:50:55 续传,已有 4686/4687 MB
18:51:00 续传,已有 4686/4687 MB
18:51:05 续传,已有 4686/4687 MB
18:51:09 续传,已有 4686/4687 MB
18:51:14 续传,已有 4686/4687 MB
18:51:18 续传,已有 4686/4687 MB
18:51:23 续传,已有 4686/4687 MB
18:51:27 续传,已有 4686/4687 MB
18:51:32 续传,已有 4686/4687 MB
18:51:37 续传,已有 4686/4687 MB
18:51:41 续传,已有 4686/4687 MB
18:51:46 续传,已有 4686/4687 MB
18:51:51 续传,已有 4686/4687 MB
18:51:55 续传,已有 4686/4687 MB
18:52:00 续传,已有 4686/4687 MB
18:52:04 续传,已有 4686/4687 MB
18:52:09 续传,已有 4686/4687 MB
18:52:14 续传,已有 4686/4687 MB
18:52:18 续传,已有 4686/4687 MB
18:52:23 续传,已有 4686/4687 MB
18:52:28 续传,已有 4686/4687 MB
18:52:32 续传,已有 4686/4687 MB
18:52:37 续传,已有 4686/4687 MB
18:52:41 续传,已有 4686/4687 MB
18:52:46 续传,已有 4686/4687 MB
18:52:51 续传,已有 4686/4687 MB
18:52:55 续传,已有 4686/4687 MB
18:53:00 续传,已有 4686/4687 MB
18:53:04 续传,已有 4686/4687 MB
18:53:09 续传,已有 4686/4687 MB
18:53:14 续传,已有 4686/4687 MB
18:53:18 续传,已有 4686/4687 MB
18:53:23 续传,已有 4686/4687 MB
18:53:27 续传,已有 4686/4687 MB
18:53:32 续传,已有 4686/4687 MB
18:53:37 续传,已有 4686/4687 MB
18:53:41 续传,已有 4686/4687 MB
18:53:46 续传,已有 4686/4687 MB
18:53:51 续传,已有 4686/4687 MB
18:53:57 续传,已有 4686/4687 MB
18:54:02 续传,已有 4686/4687 MB
18:54:07 续传,已有 4686/4687 MB
18:54:12 续传,已有 4686/4687 MB
18:54:17 续传,已有 4686/4687 MB
18:54:21 续传,已有 4686/4687 MB
18:54:26 续传,已有 4686/4687 MB
18:54:30 续传,已有 4686/4687 MB
18:54:35 续传,已有 4686/4687 MB
18:54:39 续传,已有 4686/4687 MB
18:54:44 续传,已有 4686/4687 MB
18:54:49 续传,已有 4686/4687 MB
18:54:53 续传,已有 4686/4687 MB
18:54:58 续传,已有 4686/4687 MB
18:55:02 续传,已有 4686/4687 MB
18:55:07 续传,已有 4686/4687 MB
18:55:12 续传,已有 4686/4687 MB
18:55:17 续传,已有 4686/4687 MB
18:55:21 续传,已有 4686/4687 MB
18:55:26 续传,已有 4686/4687 MB
18:55:31 续传,已有 4686/4687 MB
18:55:35 续传,已有 4686/4687 MB
18:55:40 续传,已有 4686/4687 MB
18:55:44 续传,已有 4686/4687 MB
18:55:49 续传,已有 4686/4687 MB
18:55:54 续传,已有 4686/4687 MB
18:55:58 续传,已有 4686/4687 MB
18:56:03 续传,已有 4686/4687 MB
18:56:08 续传,已有 4686/4687 MB
18:56:13 续传,已有 4686/4687 MB
18:56:18 续传,已有 4686/4687 MB
