frame_id,registered,qw,qx,qy,qz,tx,ty,tz
19,1,0.198314,-0.664113,0.715025,-0.0914605,0.285405,0.0819795,-0.041671
18,1,0.174238,-0.632097,0.741541,-0.142168,0.253099,0.0117163,-0.0387286
17,1,0.186507,-0.629729,0.732498,-0.179172,0.190073,-0.0191521,-0.0415352
16,1,0.213576,-0.645217,0.723139,-0.123085,0.130704,0.00694504,-0.0451542
15,1,-0.266052,0.684843,-0.678231,0.0144938,0.101149,0.106055,0.00826807
14,1,-0.298599,0.706337,-0.640764,-0.0367236,0.0386195,0.190978,0.0612471
13,1,-0.292615,0.718714,-0.622345,-0.102532,0.0299027,0.248554,0.0985023
12,1,-0.261884,0.715943,-0.647162,0.00486996,0.0750797,0.381853,0.0413313
11,1,-0.242883,0.703045,-0.666075,0.055496,0.109542,0.436326,-0.0124413
10,1,-0.249758,0.697919,-0.667782,0.0677981,0.135145,0.464264,-0.0189892
9,1,-0.22159,0.707712,-0.66932,0.0453071,0.159784,0.480643,-0.0248748
8,1,-0.208454,0.710441,-0.67201,0.0149353,0.177868,0.440359,-0.0256338
7,1,-0.227793,0.711326,-0.664684,0.0179081,0.138653,0.40471,0.0203253
6,1,-0.198259,0.720839,-0.662896,0.0406624,0.151506,0.341321,0.0010038
5,1,-0.177828,0.707636,-0.683833,0.00111191,0.155653,0.313368,-0.107582
4,1,0.124806,-0.6972,0.703827,-0.0544362,0.0898512,0.235585,-0.0978117
3,1,-0.115611,0.699349,-0.702746,0.0607715,0.056792,0.181204,-0.0939598
2,1,-0.11584,0.702932,-0.698856,0.0637889,0.0444079,0.144982,-0.103526
1,1,-0.185987,0.705882,-0.682052,0.0440962,0.0357601,0.143052,-0.0985136
0,1,-0.168082,0.721757,-0.653046,0.156033,0.0420682,0.119363,-0.075725
